2Sam.0.0	¶ The seconde Boke of Samuel otherwyse called the seconde boke of the kynges.
2Sam.2.22	And Abner sayde agayne to Asahel departe fro me. Wherfore shulde I smyte the to the grounde, and not be able to holde vp my face to Ioab, thy brother?
2Sam.2.23	Howbeit, whan he wolde in no wyse departe, Abner with the hynder ende of the speare smote hym vnder the short rybbes, that the speare cam out behynde hym: that he fell downe in the same place, and dyed there. And as many as cam to the place where Asahel fell downe and dyed, stode still.
2Sam.2.24	Ioab also Ꟶ Abisai folowed Abner. And the sonne went downe, when they were come to the hyll Ama that lyeth before Giah by the waye that goeth thorowe the wyldernesse of Gibeon.
2Sam.2.25	And the chyldren of Ben Iamin geathered them selues together on a heape, to Abner, Ꟶ stode on the toppe of an hyll.
2Sam.2.26	Then Abner called to Ioab, and sayde: shall the swerde deuoure styll for euer? knowest thou not, that it wylbe bitternesse in the latter ende? howe longe shall it be, yer thou bydde the people returne from folowynge their brethren?
2Sam.2.27	And Ioab sayde: as truely as God lyueth yf thou haddest not spoken in the mornynge, the people had bene departed, euery one from persecutynge hys brother.
2Sam.2.28	And so Ioab blewe a trompet, and all the people stode styll, and pursued after Israel no more nether fought they any more.
2Sam.2.29	And Abner and his men walked all that nyght thorowe the playne, Ꟶ went ouer Iordan, Ꟶ past thorowe all Bethhoron tyll they cam to Mahanaim.
2Sam.2.30	And Ioab returned from persecuting Abner. And whan he had geathered all the people together, there lacked of Dauids seruauntes nyntene men, Ꟶ Asahel.
2Sam.2.31	But the seruauntes of Dauid had slayne of Beniamin, and of Abners men, thre hundred Ꟶ thre skore men.
2Sam.2.32	And they toke vp Asahel, and buryed hym in the sepulchre of his father in Bethlehem. And Ioab and his men went all nyght, vntyll the dawnyng of the daye, and came to Hebron.
2Sam.3.1	There was longe warre betwene the howse of Saul, and the howse of Dauid. But Dauid waxed stronger and stronger, Ꟶ the house of Saul waxed weaker and weaker.
2Sam.3.2	And vnto Dauid were chyldren borne in Hebron: his eldest sonne also was Ammon, of Ahinoam the Iezrahelite:
2Sam.3.3	the seconde Cheleab, of Abigail the wyfe of Nabal the Carmelite: the thyrde Absalom, the sonne of Maachah the daughter of Thalmai, the kynge of Gessur:
2Sam.3.4	the fourth, Adonia, the sonne of Hagith: the fyfte, Sephatia the sonne of Abital:
2Sam.3.5	the sixte Iethream by Egla Dauids wyfe. These were borne to Dauid in Hebron.
2Sam.3.6	And it fortuned, that whyle there was warre betwene the house of Saul and the house of Dauid, Abner helde vp the house of Saul.
2Sam.3.7	And Saul had a concubyne named Rizpa, the daughter of Aia. And Isboseth sayde to Abner: Wherfore hast thou gone into my fathers concubyne?
2Sam.3.8	Then was Abner very wroth for the wordes of Isboseth, Ꟶ sayde: Am I not a dogges heed, which agaynst Iuda do shewe mercye thys daye vnto the house of Saul thy father, Ꟶ to his brethren and frendes, and haue not delyuered the into the hande of Dauid: and thou fyndest a fault in me this daye for this woman?
2Sam.3.9	So and so do God to Abner. For as the Lorde hath sworne to Dauid, so wyll I be on hys syde,
2Sam.3.10	to bryng the kyngdom from the house of Saul, that the throne of Dauid maye be stablysshed ouer Israel, and ouer Iuda euen from Dan to Bersabe.
2Sam.3.11	And he coulde geue Abner neuer a woorde to answer, because he feared hym.
2Sam.3.12	And Abner sent messengers to Dauid secretely, saying: Whose is the lande? Make a bonde with me, and beholde, my hande is wyth the, to bryng all Israel vnto the.
2Sam.3.13	He sayde: It is good, that I make a bonde with the. But one thyng I requyre of the, that thou se not my face, except thou fyrst bring Michol Sauls daughter, when thou comest to se me.
2Sam.3.14	And Dauid sent messengers to Isboseth Sauls sonne, saying, delyuer me my wife Michol, which I maryed with an hundred forskynnes of the Philistines.
2Sam.3.15	And Isboseth sent, and toke her from her husbande Paltiel the sonne of Lais.
2Sam.3.16	And her husband went with her, and cam wepyng behynde her, tyll they cam to Bahurim. Then sayde Abner vnto hym, go and returne. And he returned
2Sam.3.17	And Abner had communicacyon with the elders of Israel, sayeng: ye sought for Dauid in tymes past, that he might be your kyng.
2Sam.3.18	Now then do it: for the Lorde hath sayd of Dauid: By the hand of my seruaunt Dauid, I will saue my people Israel, out of the handes of the Philistines, and out of the hande of all their enemyes.
2Sam.3.19	And Abner spake in the eares of Beniamin, and went to tell in the eares of Dauid in Hebron, all that Israell was content wyth, and the whole house of Beniamin.
2Sam.3.20	And so Abner came to Dauid to Hebron, hauyng twentye men wt hym, Ꟶ Dauid made him Ꟶ the men that were with him a feast.
2Sam.3.21	And Abner sayde vnto Dauid: I wyll vp, and go geather all Israell vnto my Lorde the kyng, that they maye make an appoyntment wyth the, and that thou mayst commaunde all, as thyne hart desyreth. And whan Dauid had lett Abner departe, he went in peace.
2Sam.3.22	And beholde, the seruauntes of Dauid, Ꟶ Ioab came from chasyng the robbers, and brought a great praye with them. But Abner was not with Dauid in Hebron: for he had sent him awaye to depart in peace.
2Sam.3.23	When Ioab and all the host that was with hym, were come, men tolde Ioab saying: Abner the sonne of Ner came to the kyng, and he hath sent hym awaye, that he is gone in peace.
2Sam.3.24	Then Ioab came to the kynge, and sayde: what hast thou done? Beholde, Abner cam vnto the: Ꟶ why hast thou sent hym awaye, that he shulde skape quyte?
2Sam.3.25	Thou knowest Abner the sonne of Ner, for he came to disceaue the, Ꟶ to know thy outgoing Ꟶ ingoing, and to know all that thou doest.
2Sam.3.26	And when Ioab was come out from Dauid, he sent messengers after Abner, which brought him agayne from the well of Sira, vnknowyng to Dauid.
2Sam.3.27	And when Abner was come agayne to Hebron, Ioab toke hym a syde in the gate to speake with him secretly, Ꟶ smote him vnder the short rybbes that he dyed, for the bloud of Asahel his brother.
2Sam.3.28	And when after warde it cam to Dauids eare, he sayd. I and my kyngdom are giltlesse before the Lorde for euer concernyng the bloude of Abner the sonne of Ner.
2Sam.3.29	Let the bloude remayne on the heed of Ioab Ꟶ on all his fathers house that the house of Ioab be neuer wythout one or other that hath runnyng issues or leper, and that leaneth on a staff, and that doth fal on the swerde, Ꟶ lacketh breed.
2Sam.3.30	And the cause why Ioab and Abisai slue Abner was, that Abner had slayne their brother Asahel at Gibeon in battell.
2Sam.3.31	And Dauid sayd to Ioab, and to all the people that were with hym. Rent youre clothes, and put on sacke cloth, and mourne before Abner. And king Dauid him self folowed the corse.
2Sam.3.32	And when they buried Abner in Hebron, the kyng lifte vp his voyce, Ꟶ vepte besyde the sepulchre of Abner, and so dyd all the people.
2Sam.3.33	And the kyng lamented ouer Abner, and sayde: died Abner as a foole dieth?
2Sam.3.34	thy handes were not bounde, ner thy fete brought into cheynes: but as a man falleth before wicked children, so fellest thou. And all they that were of the people, wept yet moare ouer hym.
2Sam.3.35	And when all the people cam to eate meate with Dauid, while it was yet daye, Dauid sware saying: So Ꟶ so do God to me, yf I tast breed or ought elles, tyll the sonne be downe.
2Sam.3.36	And the people wist it, and it pleased them. And whatsoeuer the kyng dyd, it pleased all the people.
2Sam.3.37	For all the people Ꟶ all Israel vnderstode that day, how that it was not the kynges dede, that Abner the sonne of Ner was slayne.
2Sam.3.38	And the kyng sayde vnto his seruauntes: know ye not, how that there is a lorde and a great man fallen this daye in Israel?
2Sam.3.39	And I am this daye tender, and anoynted king. And these men the sonnes of zaruia be to hard for me. The Lorde rewarde the doer of euel, accordynge to his wykednesse.
2Sam.4.1	When Sauls sonne heard that Abner was deed in Hebron, his handes were feble, Ꟶ all the Israelites were afrayed:
2Sam.4.2	Ꟶ Sauls sonne had two men that were captaynes ouer the soudiars, the one called Baanah, and the other Rechab, the sonnes of Rimmon a Berothite, of the chyldren of Beniamin: for Beroth was rekened to Beniamin.
2Sam.4.3	And these Berothites fled to Gitthaim, and soiourned there vntill the same tyme.
2Sam.4.4	And Ionathas Sauls sonne had a sonne that was lame on hys feete. And he was fyue yere olde, when the tydinges cam of Saul Ꟶ Ionathas out of Iesrahel. And his nourse toke him vp, Ꟶ fled awaye. And as she made hast to flee, the childe fell, Ꟶ beganne to halt, and hys name was Miphiboseth.
2Sam.4.5	And the sonnes of Rimmon the Berothite, Rechab an Baanah went, and cam in the heat of the daye to the house of Isboseth, which slept on a bed at none.
2Sam.4.6	And they cam into the myddes of the house as though they wold haue fetched whete, and Rechab and Baana hys brother smote him vnder the short rybbes and fled.
2Sam.4.7	For whan they cam into the house, he slept on his bed in hys resting chamber, and they smote hym and slue him, and behedded hym, and toke hys heed, Ꟶ gat them awaye thorow the plaine all the night.
2Sam.4.8	And they brought the heed of Isboseth vnto Dauid, to Hebron, and sayde to the kyng: beholde, there is the heed of Isboseth Sauls sonne, thine enemye which sought after thy lyfe. And the Lorde hath aduenged my lord the kyng this daye of Saul and of his seede.
2Sam.4.9	And Dauid answered Rechab and Baana his brother, the sonnes of Rimmon the Berothite, and sayde vnto them: as surely as the lord lyueth, which hath delyuered my soule out of all aduersites:
2Sam.4.10	Whan one tolde me Ꟶ sayd that Saul was deed, thinkyng to haue brought good tydynges, I caught hym, and slue hym in zikleg: whych thought that I wolde haue geuen hym a rewarde for hys tydynges brynging.
2Sam.4.11	How moch more whan wycked men haue slayne a ryghtuouse person, in his awne house and vpon his bed? Shall I not require his bloud of youre hande, and take you from the erth?
2Sam.4.12	And Dauid commaunded his young men, Ꟶ they slue them, and cut of their handes and fete, Ꟶ hanged them vp ouer the pole in Hebron. But they toke the heed of Isboseth, and buryed it in the sepulchre of Abner in Hebron.
2Sam.5.1	Then cam all the trybes of Israel to Dauid, vnto Hebron and sayd, Beholde, we are of thy bone, and of thy fleshe.
2Sam.5.2	And in tyme past when Saul was oure kynge, thou leddest Israel in and oute. And the Lorde hath sayd to the: thou shalt fede my people Israell, and thou shalt be a captayne ouer Israel.
2Sam.5.3	And so all the elders of Israel came to the kynge to Hebron. And kyng Dauid made a couenaunt wyth them in Hebron before the Lord. And they annoynted Dauid kyng ouer Israell.
2Sam.5.4	Dauid was thirtye yere olde, when he began to raygne, and he raygned fourtye yere.
2Sam.5.5	In Hebron he raygned ouer Iuda seuen yere, and syxe monethes: And in Ierusalem he raygned thirtye and thre yeres ouer all Israel and Iuda.
2Sam.5.6	The kyng also and his men went to Ierusalem, vnto the Iebusites, the enhabiters of the land. Which spake vnto Dauid sayeng: except thou take awaye the blynde and the lame, thou shalt not come in hither. For they sayd: Thou art not able to come in hither.
2Sam.5.7	Neuerthelesse Dauid toke the strong holde of Sion. The same is the citie of Dauid.
2Sam.5.8	And Dauid sayd the same daye: Whosoeuer smyteth the Iebusites, Ꟶ getteth vp to the gutters of the houses, Ꟶ smyteth the lame Ꟶ the blynd that hate Dauids soule? Wherfore: they sayd, the blynd and the lame shall not come into the house.
2Sam.5.9	And so Dauid dwelt in the towre, Ꟶ called it in the citye of Dauid, Ꟶ buylt round about it from Millo inwarde.
2Sam.5.10	And Dauid prospered Ꟶ grew, and the Lord God of hostes was with him
2Sam.5.11	And Hiram kyng of Tire sent messengers to Dauid, and Cedar trees, and carpenters Ꟶ Masons for walles: and they builte Dauid an house.
2Sam.5.12	And Dauid perceaued, that the Lord had stablissshed hym kynge ouer Israel, Ꟶ that he had exalted his kingdom for his people Israels sake.
2Sam.5.13	And Dauid toke him mo concubyues and wyues out of Ierusalem, after he was come from Hebron, Ꟶ mo sonnes, Ꟶ daughters were yet borne to Dauid.
2Sam.5.14	And these be the names of the sonnes that were borne vnto hym in Ierusalem: Sammua, Sobab, Nathan, Ꟶ Salomon,
2Sam.5.15	Iibhar also and Elisua, Nepheg, Ꟶ Iaphia,
2Sam.5.16	Elisama Eliada, and Eliaphelet.
2Sam.5.17	But when the Philistines heard, that they had anoynted Dauid king ouer Israel, they cam all vp to seke Dauid. And as sone as Dauid heard of it, he gat hym to an holde.
2Sam.5.18	And whan the Philistines cam, they layde them a long in the valeye of Raphaim.
2Sam.5.19	And Dauid asked councell of the Lorde sayeng: shall I go vp to the Philistines? wilt thou deliuer them into my handes? And the lord answered vnto Dauid: go vp, for I will doutlesse delyuer the Philistines into thy handes.
2Sam.5.20	And Dauid cam to the playne of Perazim, and smote them there, and sayd: the Lorde hath deuided myne enemyes asondre before me, as waters be deuyded asondre. And therfore, the name of the place was called: the playne of Perazim:
2Sam.5.21	And there they left their Images, Ꟶ Dauid Ꟶ his men toke them vp.
2Sam.5.22	And the Philistines cam yet agayne, and layd them selues in the valeye of Rephaim.
2Sam.5.23	And whan Dauid asked at the Lord: He answered: Thou shalt not go vp: but compasse them on the backsyde, Ꟶ come vpon them ouer agaynst the Peretrees.
2Sam.5.24	And when thou hearest the noyse of a thing going in the toppe of the Peretrees, then remoue. For then shall the Lord go out before the, to smyte the hoste of the Philistines.
2Sam.5.25	And Dauid did as the Lord had commaunded hym, Ꟶ smote the Philistines from Geba, vntyll thou come to Gazer.
2Sam.6.1	Againe: Dauid gathered together all the chosen men of Israel, euen thirtye thousand,
2Sam.6.2	Ꟶ arose, Ꟶ went withall the folke that were with hym of the men of Iuda, to fett awaye from thence, the Arck of God: whose name is called the name of the Lorde of hostes that dwellyth vpon it, betwene the cherubyns.
2Sam.6.3	And they put the Arck of God vpon a new cart, and brought it out of the house of Abinadab that was at Gibea. And Uza and Ahio the sonnes of Abinadab draue the new carte.
2Sam.6.4	And when they brought it out of the house of Abinadab that was at Gibea, with the Arck of God, Ahio went before the Arck.
2Sam.6.5	And Dauid and all the house of Israel playde before the Lorde in sondrye instrumentes made of Cedre wodd, with harpes, psalteries, timberelles, fedylles, and symbals.
2Sam.6.6	And when they cam to Nachons thresshyng floure, Uza put his hand to the arck of God, and held it, for the oxen stombled.
2Sam.6.7	And the Lorde was wroth wyth Uza, and God smote him in the same place for his fault, and there he dyed before the Arcke of God.
2Sam.6.8	And Dauid was displeased, because the Lord had smytten Uza. And the name of the place was called Perez. The renting of Uza, vntyll thys daye.
2Sam.6.9	And Dauid was then afrayed of the Lorde, and sayde: how shall the Arcke of the Lorde come to me?
2Sam.6.10	And so Dauid wolde not bryng the Arcke of the Lorde vnto him into the citye of Dauid. But Dauid caried it into the house of Obeth Edom a Gethite.
2Sam.6.11	And the Arcke of the Lord continued in the house of Obeth Edom the Gethite, thre monethes, and the Lorde blessed Obeth Edom, and all hys housholde.
2Sam.6.12	And one tolde kynge Dauid, how that the Lorde had blessed the house of Obeth Edom, and all that pertayned vnto hym, because of the Arcke of God. And Dauid went and brought the Arck of God from the house of Obeth Edom, into the citye of Dauid wyth gladnes.
2Sam.6.13	And when they that bare the Arcke of the Lorde, had gone syxe spaces, he offered an oxe and a fat shepe.
2Sam.6.14	And Dauid daunsed before the Lorde withall his myght, and was gyrded with a lynnen Ephod.
2Sam.6.15	So Dauid and all the house of Israel brought the arck of the Lorde, wyth showtyng and trompet blowyng.
2Sam.6.16	And it fortuned, that as the arcke of the Lorde cam into the citye of Dauid, Michol Sauls daughter loked thorow a window, and saw kynge Dauid spryng, and daunce before the Lorde, and she dyspysed hym in her hert.
2Sam.6.17	And when they brought in the Arck of the Lorde, they set it in his place, euen in the myddes of the tabernacle that Dauid had pitched for it. And Dauid offered burnt offeringes Ꟶ peace offeringes before the lord.
2Sam.6.18	And as sone as Dauid had made an ende of offeryng burnt offerynges Ꟶ peace offerynges, he blessed the people in the name of the Lord of Hostes,
2Sam.6.19	Ꟶ gaue among all the folke, euen amonge the hole multitude of Israel, as well to the wemen as men, to euerye one a Cake of breed, Ꟶ a pece of fleshe, Ꟶ a flasket of drincke. And so all the people departed euery one to his house.
2Sam.6.20	Then Dauid returned to blesse hys housholde: and Michol the daughter of Saul came out to mete Dauid, Ꟶ sayd: O how glorious was the king of Israel this daye, which was vncouered to daye, in the eyes of the maydens of his seruauntes, as yf it had bene a lyght brayned felow vncouered?
2Sam.6.21	And Dauid sayd vnto Michol. I thought to daunce before the Lord, which chose me rather then thy father, Ꟶ all his kynne, and commaundyd me to be ruler ouer all the people of the Lord euen ouer Israel.
2Sam.6.22	And therfore will I playe before the Lorde. And wilbe yet more vyle then so, Ꟶ wilbe meke in myne awne syght: Ꟶ of the very same maydeseruauntes which thou hast spoken of: shal I be had in honoure
2Sam.6.23	Therfore Michol the daughter of Saul had no chylde, vnto the daye of her deeth.
2Sam.7.1	It fortuned, that as the kyng satt in his house (after that the Lord had geuen hym rest rounde about from all his enemyes)
2Sam.7.2	he sayde vnto Nathan the prophet: behold, I dwell now in an house of Cedar trees, but the Arcke of God dwelleth within the curtayne.
2Sam.7.3	And Nathan sayd vnto the kyng: go Ꟶ do all that is in thine hert for the Lord is with the.
2Sam.7.4	And it fortuned the same nyght that the woord of the lord came vnto Nathan sayeng:
2Sam.7.5	go and tell my seruaunt Dauid, thus sayth the Lorde: shalt thou bylde me an house to dwelle in?
2Sam.7.6	For I haue not dwelt in any house, sence the tyme that I brought the children of Israel out of Egipt, vnto this daye:
2Sam.7.7	but haue walked, in a tent and tabernacle. In all the places where in I haue walked with al the children of Israel, spake I one word wt any of the tribes of Israel (sens I commaunded the iudges to fede my people Israel) sayeng: why bylde ye not me an house of Cedar trees?
2Sam.7.8	Now therfore, so saye vnto my seruaunt Dauid: thus sayth the Lorde of Hostes. I toke the from the shepe cote (as thou wast folowyng shepe) that thou myghtest be ruler ouer my people Israel.
2Sam.7.9	And I was with the in all that thou wentest to, Ꟶ haue destroyed all thyne enemyes out of thy syght, and haue made the a great name, lyke vnto the name of the great men that are in the worlde.
2Sam.7.10	And therfore, I will appoynt a place for my people Israel, and wyll plant it, that they maye dwell in a place of their awne, and moue no moare, nether shall wyckyd people trouble them any more, as they did at the beginnyng:
2Sam.7.11	sence the tyme that I sett Iudges ouer my people Israel. And I will geue the rest from all thine enemyes. And the Lord telleth the, that he wyll make the an howse.
2Sam.7.12	And when thy dayes he fulfilled, thou shalt slepe wyth thy fathers, and I wyll set vp thy seede after the, which shall procead out of thy bodye, Ꟶ will stablyshe his kyngdome.
2Sam.7.13	He shall bylde an house for my name, Ꟶ I wyll stablyshe the seate of his kyngdome for euer.
2Sam.7.14	I wylbe his father, and he shalbe my sonne: yf he synne, I wyll chasten hym wyth soche a rodde as men be chastened wt, Ꟶ wt soche plages as the children of men be plaged wt.
2Sam.7.15	But my mercie shal not depart awaye from him, as I toke it from Saul, whom I put downe before the.
2Sam.7.16	And thyne house and thy kyngdome shall endure wt out ende after the, and thy seate shalbe stablyshed foreuer.
2Sam.7.17	According to all these wordes and accordyng to all thys visyon, dyd Nathan speake vnto Dauid.
2Sam.7.18	Then went Dauid in, and set hym downe before the Lord, and sayde: what am I, O Lord God? and what is my house? that thou shuldest haue brought me this farre forth?
2Sam.7.19	And this was yet a small thing in thy sight, O Lord God, but thou hast spoken also of thy seruauntes house for a great while to come: For this is the vse of man, O lord God.
2Sam.7.20	And what can Dauid saye moare vnto the: for thou Lord God knowest thy seruaunt.
2Sam.7.21	Euen for thy wordes sake Ꟶ according to thine awne hert hast thou done all these greate thynges to make them knowen vnto thy seruaunt.
2Sam.7.22	Wherfore thou art great, O Lord God: for there is none lyke the nether is there any God saue thou, according to all that we haue heard wt oure eares.
2Sam.7.23	And what one people in the erth is lyke thy people Israel whose God, went Ꟶ delyuered them, that they myght be his people, Ꟶ that he myght make hym a name, Ꟶ to shewe great Ꟶ terrible things in the erthe, for thy people which thou redemedst to the out of Egipt, euen the people with their goddes.
2Sam.7.24	For thou hast ordeyned thy people Israel, to be thy people for euer. And thou Lorde art become theyr God.
2Sam.7.25	And now (Lord God) the worde that thou hast spoken concernyng thy seruaunt and his house: make it good for euer, and do as thou hast sayd.
2Sam.7.26	For so shall thy name be magnified for euer, of men that shall saye: the Lorde of Hostes is the God of Israell: and the house of thy seruaunt shall be stablyshed before the.
2Sam.7.27	For thou, O Lord of Hostes, God of Israell, hast tolde in the eare of thy seruaunt, sayeng: I wyll bylde the an house And therfore hath thy seruaunt found in his harte, to praye this prayer vnto the.
2Sam.7.28	Therfore now Lord God, thou art God, and thy wordes must be true, thou that hast tolde this goodnesse vnto thy seruaunt.
2Sam.7.29	And now go to, and blesse the housse of thy seruaunt, that it maye contynew for euer before the. for thou. Lord God hast spoken it, and with thy blessyng shall the house of thy seruaunt be blessed for euer.
2Sam.8.1	After this it fortuned that Dauid smote the Philistines, and subdued them, Ꟶ toke the brydell of bondage out of the hande of the Philistines.
2Sam.8.2	And he smote the Moabites Ꟶ measured them with a lyne, Ꟶ cast them downe to the grounde. Euen wyth two lynes measured he them whom he slue, and the length of one lyne saued he alyue. And so becam the Moabites Dauids seruauntes, Ꟶ payed trybute. Dauid smote also,
2Sam.8.3	Hadarezer the sonne of Rehob kynge of zoba as he went to recouer his border at the ryuer Pherat.
2Sam.8.4	And Dauid toke a thousand Ꟶ seuen hundred horsemen of his hoost, and twentye thousand fote men, and cut of the hofe of all his charette horses, reseruyng onely one hundred charettes.
2Sam.8.5	And whan the Sirians of Damascon came to succoure Hadarezer kynge of zoba, Dauid slue of the Sirians two and twentye thousande men,
2Sam.8.6	and put soudyours in Siria Damascon. And the Sirians became seruauntes, to Dauid, payeng tribute. And thus the Lord sarued Dauid, in all that he went vnto.
2Sam.8.7	And Dauid toke the shildes of gold that belonged to the seruauntes of Hadarezer, Ꟶ brought them to Ierusalem.
2Sam.8.8	And out of Beta Ꟶ Berothai (cities of Hadarezer) did Dauid bring exceding moch brasse.
2Sam.8.9	When Thoi kyng of Aamath heard how Dauid had smytten all the hoste of Hadarezer,
