Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.3.22	And the summe of them (after the nombre of all the males from a moneth olde and aboue) was .vii. thousande and fyue hundred.
Num.3.23	And the kynredes of the Gersonytes shall pitche behynde the habitacyon west warde.
Num.3.24	The captayne Ꟶ most auncient of the house of the Gersonites, was Eliasaph the sonne of Lael.
Num.3.25	And vnder the kepynge of the chyldren of Gerson in the tabernacle of witnesse was the habitacyon and the tente, the couerynge therof, and the hangynge of the dore of the tabernacle of wytnesse,
Num.3.26	and the hangynges of the courte, and the curtayne of the dore of the courte: which is rounde about the Tabernacle, and the alter, and the cordes of it for all the seruyce therof.
Num.3.27	And of Cahath came the kynred of the Amramites, and the kynred of the Iezeharites: the kynred of the Hebronites, and the kynred of the Ozielites:
Num.3.28	These are the kynredes of the Cahathites. And the nombre of all the males from a moneth olde and aboue, was .viij. thousande and syxe hundred: and these shall kepe the thynges that are to be kepte in the holy place.
Num.3.29	And the kynred of the chyldren of Cahath shall pytche on the southsyde of the Tabernacle.
Num.3.30	The captayne and most auncient of the house of the kynred of the Cahathites, was Elisaphan the sonne of Oziel,
Num.3.31	and vnder their kepynge was the arcke, the table, the candelstyck, and the alters, and all the vessels of the sanctuary that they mynistre in, and the vayle, and whatsoeuer belonged to the mynistracyon therof.
Num.3.32	And Eleazar the sonne of Aaron the Preaste, was captayne ouer all the captaynes of the Leuites, and had the ouersyghte of them that wayted vpon the sanctuary.
Num.3.33	And of Merari came the kynred of the Mahelites, and the kynred of the Musites: These are the kynredes of Merari.
Num.3.34	And the summe of them accordynge to the nombre of all the males, from a moneth olde and aboue was .vj. thousande and .ij. hundred.
Num.3.35	The captayne and the most auncient of their house that were of the kynred of Merari, was zuriel the sonne of Abihael: and these shall pitche on the north syde of the tabernacle.
Num.3.36	And vnder the custody of the sonnes of Merari shalbe the bordes of the dwellynge, and the barres, pyllers and sockettes therof, all the vessell therof, and all that serueth therto:
Num.3.37	Ꟶ the pyllers of the courte rounde aboute with their sockettes, their pynnes Ꟶ their cordes.
Num.3.38	But on the forefront of the habitacyon before the Tabernacle of wytnesse eastwarde, shall Moses Ꟶ Aaron and his sonnes pytche, and wayte to kepe the sanctuary, and to kepe the chyldren of Israel. And the straunger that commeth nye, shall be slayne.
Num.3.39	And the hole summe of the Leuites whych Moses and Aaron nombred, at the commaundement of the Lorde thorowe out their kynredes (euen all the males from a moneth olde and aboue) was .xxij. thousande.
Num.3.40	And the Lorde sayde vnto Moses: Nombre all the fyrst borne that are males amonge tbe chyldren of Israel (from a moneth olde and aboue) and take the nombre of their names.
Num.3.41	And thou shalt apoynte the Leuites to me (for I am the Lorde,) for all the fyrstborne of the chyldren of Israel, and the catell of the Leuites, for all the fyrst gendred of the catell of the chyldren of Israel.
Num.3.42	And Moses nombred as the Lorde commaunded hym, all the fyrst borne of the chyldren of Israel.
Num.3.43	And all the fyrst borne males rehearsed by their names, (from a moneth olde and aboue, accordynge to their nombre) were .xxij. thousande .ij. hundred and .lxxiij.
Num.3.44	And the Lorde spake vnto Moses sayinge:
Num.3.45	take the Leuites for all the fyrst borne of the chyldren of Israel, and the catell of the Leuites for their catell: and the Leuites shalbe myne. I am the Lorde.
Num.3.46	And for the redemynge of the two hundred and .lxxiij. (whych are moo then the Leuites in the fyrst borne of the chyldren of Israel,)
Num.3.47	take .v. sycles of euery heade, after the weyght of the Sanctuary the Sycle conteynynge twenty halfpens.
Num.3.48	And geue the money wher with the odde nombre of them is redemed, vnto Aaron and his sonnes.
Num.3.49	And Moses toke the redempcyon money, of the ouerplus that were moo then the Leuites:
Num.3.50	of the fyrst borne of the chyldren of Israel toke he thys money: euen a thousande .iij. hundred and .lxv. sycles, after the sycle of the Sanctuary.
Num.3.51	And Moses gaue the money of them that were redemed, vnto Aaron and his sonnes accordynge to the worde of the Lord, euen as the Lorde commaunded Moses.
Num.4.1	And the Lorde spake vnto Moses and Aaron sayinge:
Num.4.2	Take the summe of the chyldren of Cahath from amonge the sonnes of Leui, after theyr kynredes and houses of their fathers,
Num.4.3	(from .xxx. yere and aboue vntyll fyftie) all that are able to go furth to the warre, for to do the worke in the tabernacle of wytnesse.
Num.4.4	The offyce of the chyldren of kahath in the tabernacle of wytnesse, is moost holy.
Num.4.5	And when the hoste remoueth, Aaron Ꟶ hys sonnes shall come Ꟶ take doune the vayle, that hangeth betwene, Ꟶ wrappe the Arke of wytnesse in it:
Num.4.6	and shall put theron a couerynge of taxus skynnes, Ꟶ shall sprede vpon it a cloth that is altogether of yelow silke, and put in the barres therof.
Num.4.7	And vpon the shewe table, they shall sprede abrode a cloth of yelowe sylke, Ꟶ put theron the dysshes, spones, flatpeces, and pottes to powre wyth, and there shalbe breed theron continually:
Num.4.8	Ꟶ they shall spreade vpon them a couerynge of purple, and couer the same with a couerynge of taxus skynnes, and put in the barres therof.
Num.4.9	And they shall take a cloth of yelow silke, and couer the candelstycke of lyght, with his lampes, tonges, and snoffers, and all the oyle vessels which they occupye aboute it,
Num.4.10	Ꟶ they shall put both it, and all the vessell therof within a couerynge of taxus skynnes, Ꟶ put it vpon a barre.
Num.4.11	And vpon the golden alter they shall sprede a cloth of yelowe sylke, and couer it with a couerynge of taxus skynnes, Ꟶ put in the barres therof.
Num.4.12	And they shall take all the thynges (whych they occupye to mynistre with in the holy place) and put a cloth of yelowe sylke vpon them, and couer them wt a couerynge of taxus skynnes, and put them on a barre.
Num.4.13	And they shall take awaye the asshes from the alter, and sprede a purple cloth theron: and put vpon it all the vessels therof,
Num.4.14	that they mynistre wythall: euen the cole pannes, the fleshe hokes, the shouels, the basens and the other vessels of the alter, and they shall sprede vpon it a couerynge of taxus skynnes, and put in the barres of it.
Num.4.15	And when Aaron and hys sonnes haue made an ende of couerynge the holy thinges, and all the vessels of the sanctuarye (agaynst that the hoste remoue) then the sonnes of Cahath shall come in for to beare, but they shall not touche any holy thynge, least they dye. And thys is the charge of the sonnes of Cahath in the Tabernacle of wytnesse.
Num.4.16	And to the offyce of Eleazar the sonne of Aaron the Preaste pertayneth the oyle for the lyghte, the swete cens, the dayly meatoffrynge, Ꟶ the anoyntynge oyle, and the ouersyghte of all the tabernacle, and of all that therin is, both in the sanctuary and in all the vessels therof.
Num.4.17	And the Lorde spake vnto Moses and Aaron, sayinge:
Num.4.18	Ye shall not destroye the trybe of the kynred of the Cahathites, from amonge the Leuites.
Num.4.19	But thus do vnto them, that they maye lyue and not dye, when they go vnto the most holy thynges: Let Aaron and his sonnes go in, and take them downe, to euery one after hys seruyce, and after hys charge.
Num.4.20	But let them not go in, to se when the the holy thynges are folden vp, lest they dye.
Num.4.21	And the Lorde spake vnto Moses sayinge.
Num.4.22	Take also the summe of the chyldren of Gerson, thorowe out the houses of their fathers, and thorowe out their kynredes:
Num.4.23	from .xxx. yere and aboue, vntyll .l. shalt thou nombre them, all that are able to goo forth to the warre for to do seruyce in the tabernacle of wytnesse.
Num.4.24	And this is the seruyce of the kynred of the Gersonites, to serue and to beare.
Num.4.25	They shall beare the curtaynes of the dwellynge, and the rouffe of the Tabernacle of wytnesse, hys couerynge, Ꟶ the couerynge of taxus skynnes, that is an hye aboue vpon it, and the hangynge of the dore which is in the tabernacle of wytnesse:
Num.4.26	Ꟶ the hangynges of the courte, Ꟶ the hangynge that is in the entrynge in of the gate of the courte rounde about the dwellynge Ꟶ the altare, with the cordes, Ꟶ all the instrumentes that serue vnto them, and all that is made for to serue them.
Num.4.27	At the mouth of Aaron and hys sonnes, shall all the seruyce of the chyldren of the Gersonytes be done, in all their charges and in all their seruyce, and ye shall nombre vnto them all their burthens to kepe.
Num.4.28	And thys is the seruyce of the kynred of the chyldren of Gerson in the Tabernacle of wytnesse, Ꟶ their watche shalbe vnder the hande of Ithamar the sonne of Aaron the Preaste.
Num.4.29	And thou shalt nombre the sonnes of Merari after their kynredes, Ꟶ after the houses of their fathers:
Num.4.30	from .xxx. yeres Ꟶ aboue vnto .l. shalt thou nombre them, euery one that is able to go forth to the warre, to do the seruyce of the Tabernacle of wytnesse.
Num.4.31	And thys is the charge that they must wayte vpon, accordynge to all their seruyce in the tabernacle of wytnesse. The bordes of the dwellynge, with the barres, pyllers, Ꟶ sockettes therof,
Num.4.32	and the pyllers that are rounde aboute the courte, wt their sockettes, pynnes Ꟶ cordes, Ꟶ withall the instrumentes of it, for all their seruyce. And by name ye shall reken the thynges that they must wayte vpon to beare.
Num.4.33	This is the seruice of the kynredes of the sonnes of Merari accordynge to all their offyce in the Tabernacle of wytnesse vnder the hande of Ithamar the sonne of Aaron the Preaste.
Num.4.34	And Moses Ꟶ Aaron Ꟶ the prynces of the multitude nombred the sonnes of the Cahathites, after their kynredes and houses of their fathers
Num.4.35	from .xxx. yere Ꟶ aboue vnto fyftie, all that were able to go forth to the warre, to do seruyce in the tabernacle of wytnesse.
Num.4.36	And the nombres of them thorowe out their kynredes were two thousande, seuen hundred Ꟶ .l.
Num.4.37	This is the nombre of the kynredes of Cahath: namely, all that myght do seruyce in the tabernacle of wytnesse, which Moses and Aaron dyd nombre, accordynge to the commaundement of the Lorde by the hande of Moses.
Num.4.38	These are the nombres of the sonnes of Gerson thorowe out their kynredes Ꟶ houses of their fathers,
Num.4.39	from .xxx. yere vp vnto fyftie all that were able to go forth to the warre, for to do seruyce in the Tabernacle of witnesse.
Num.4.40	And the nombres of them thorowe out their kynredes: and houses of their fathers, were two thousande .vj. hundred Ꟶ .xxx.
Num.4.41	Thys is the nombre of the kynredes of the sonnes of Gerson, of all the dyd seruyce in the tabernacle of wytnesse, which Moses Ꟶ Aaron dyd nombre accordynge to the commaundement of the Lorde.
Num.4.42	And these are the nombres of the kynredes of the sonnes of Merari thorowe out their kynredes Ꟶ houses of their fathers,
Num.4.43	from .xxx. yere vp vnto fyftie: all that wente forth to the warre, Ꟶ seruyd in the tabernacle of wytnesse.
Num.4.44	And the nombres of them after their kynredes were, thre thousande Ꟶ two hundred.
Num.4.45	This is the summe of the kynredes of the sonnes of merari, whiche Moses Ꟶ Aaron nombred accordynge to the worde of the Lorde, by the hande of Moses.
Num.4.46	And so all the nombres of the Leuites which Moses, Aaron, and the Lordes of Israell nombred, after their kynredes and housholdes of their fathers,
Num.4.47	from .xxx. yere vp vnto .l. euery one that came to do hys offyce and seruyce and to beare hys burthen in the Tabernacle of wytnesse:
Num.4.48	were (whan they were nombred.) .viij. thousande, fyue hundred and .lxxx.
Num.4.49	Accordynge to the worde of the Lorde dyd (Aaron) nombre them by the hande of Moses, euery one accordynge to their seruyce and charge, and accordynge to their offyces: as the Lorde commaunded Moses.
Num.5.1	And the Lorde spake vnto Moses, sayinge:
Num.5.2	commaunde the children of Israel that they put out of the hoste, euery leper and euery one that hath an yssue, and whosoeuer is defyled vpon a soule.
Num.5.3	Both male Ꟶ female shall ye put out: euen out of the hoost shall ye put them, that they defyle not the tentes amonge which I dwell.
Num.5.4	And the chyldren of Israel dyd so, and put them out of the hoste, euen as the Lorde spake vnto Moses, so dyd the chyldren of Israel.
Num.5.5	And the Lorde spake vnto Moses, sayinge:
Num.5.6	speake vnto the chyldren of Israel: whether it be man or woman. Yf they haue commytted any synne that a man doeth, and haue trespaced agaynst the Lorde, that soule hath done amisse:
Num.5.7	Therfore they shall knowledge their synne, whyche they haue done, and let hym restore agayne the hurte that he hath done in the hole, and put the fyft parte of it moare thereto, Ꟶ geue it vnto hym whom he hath trespaced agenste.
Num.5.8	But and yf there be not a man to restore the hurte vnto, ner a kynsman of hys, let the trespace be made good vnto the Lorde, and it shalbe the Preastes, besyde the ram of the attonement wherby an attonement shalbe made for him.
Num.5.9	And euery heue offeringe that is made of the holy thynges of the chyldren of Israel whych they brynge vnto the Preaste, shall be hys:
Num.5.10	and euery mans halowed thinges shalbe his: and whatsoeuer any man geueth the Preaste, it shalbe hys.
Num.5.11	And the Lorde spake vnto Moses, sayinge:
Num.5.12	Speake vnto the chyldren of Israel, and saye vnto them: If any mans wyfe goo asyde, and trespace agaynst hym,
Num.5.13	so that another man lye wyth her fleshely, and it be hyd from the eyes of her husbande, and is not come to lyghte that she is defyled and ther is no wytnesse agaynst her, neyther she taken with the maner,
Num.5.14	and the sprete of gelousye commeth vpon hym, so that he is gelouse ouer hys wyfe whych is defyled: or yf the sprete of gelousye come vpon hym, so that he is gelouse ouer his wyfe whych is yet vndefyled:
Num.5.15	then let the man brynge his wyfe vnto the Preaste, and brynge wyth her an offerynge for her: the tenthe parte of an Epha of barlye meale, but let him powre none oyle vpon it, nor put frankencens theron: for it is an offerynge of gelousye, an offerynge for a remembrauce, causynge the synne to be thought vpon.
Num.5.16	And the Preaste shall brynge her and set her before the Lorde,
Num.5.17	and let him take holy water in an erthen vessell, Ꟶ of the dust that is in the floore of the habitacyon, and put it into the water.
Num.5.18	And let the Preaste set the woman before the Lorde, and vncouer the womans head, and put the memoryall of the offerynge in her handes whyche is the gelousye offerynge, and the Preaste shall haue bytter and cursyd water in hys hande, Ꟶ the prest shall charge her,
Num.5.19	and saye vnto the woman. If no man haue lyen wyth the, nether haste gone asyde to vnclennesse without thy husbande, then haue thou no arme of thys bytter, and cursyd waters.
Num.5.20	But and yf thou hast gone asyde behynde thyne husbande, and art defyled, and some other man hath lyen with the besyde thyne husbande.
Num.5.21	(Ꟶ the preaste shall charge the woman with an horible curse, Ꟶ the preste shall saye vnto the woman) the Lorde make the to be an abhominacyon and a curse amonge thy people: when the Lorde doth make thy thye rotte, and thy bely swell:
Num.5.22	These cursyd waters goo into the bowels of the that they maye make thy bely swell, Ꟶ thy thye rotte, and let the woman saye, Amen Amen.
Num.5.23	And let the Preaste wryte these curses: And whan they be clensed, let him cast them in to bytter waters,
Num.5.24	Ꟶ geue the woman those bytter Ꟶ cursed waters to drincke,
Num.5.25	that those cursed Ꟶ bytter waters maye entre into her, And then the Preaste shall take the gelousy offrynge out of the womans hande, Ꟶ waue it before the Lord, Ꟶ brynge it vnto the alter
Num.5.26	Ꟶ the preste shall take an handefull of the offerynge for a memoryall, Ꟶ burne it vpon the alter, Ꟶ then make the woman drynke the water:
Num.5.27	Ꟶ when he hath made the woman drinke the waters (yf she be defyled Ꟶ haue trespaced agaynst her husbande:) then shall the cursyd Ꟶ bytter waters goo into her, Ꟶ her bely shall swell, Ꟶ her thye shall rotte, Ꟶ the woman shalbe a curse amonge her people.
Num.5.28	And yf the woman be not defiled but is cleane, she shall haue no harme, but shall conceaue and beare.
Num.5.29	Thys is the lawe of gelousye, when a wyfe goeth a syde behynde hyr husbande, and is defyled,
Num.5.30	or when the spryte of gelousye commeth vpon a man, Ꟶ he beynge gelouse ouer hys wyfe, doth brynge her before the Lorde, And the preaste shall do accordynge vnto all this lawe:
Num.5.31	and the man shalbe gyltlesse, Ꟶ the woman shall beare her synne.
Num.6.1	And the Lorde spake vnto Moses, sayinge:
