Lev.0.0	¶ The thyrde boke of Moses called in the Hebrue Uariah: and in the Latyn. Leuiticus
Lev.2.14	And if thou offre a meateofferynge of thy fyrst rype frutes vnto the Lorde, thou shalt offre for the meateofferynge of thy fyrst frutes, eares of corne dryed by the fyre, and corne beaten as meale.
Lev.2.15	And thou shalt put oyle vpon it, and laye franckencens theron, that it maye be a meateofferynge.
Lev.2.16	And the preaste shall burne parte of the beaten corne Ꟶ parte of that oyle wyth all the franckencens, for a remembraunce. And it shalbe a sacrifyce vnto the Lorde.
Lev.3.1	And yf his sacrifyce be a peaceofferynge, and he take it from amonge the droues, (whether it be male or female) he shall brynge soch as is without blemyshe, before the Lorde:
Lev.3.2	Ꟶ put his hande vpon the heed of his offeringe, and kyll it at the dore of the tabernacle of witnesse. And Aarons sonnes the Preastes shall sprincle the bloude vpon the alter rounde aboute.
Lev.3.3	And he shall offre som what of the peaceofferynge to be a sacrifyce vnto the Lorde: euen the fatt that couereth the inwardes, and all the fatt that is aboute the inwardes:
Lev.3.4	and the two kydneys, Ꟶ the fatt that is on them and vpon the loynes: and the abundaunce that is on the lyuer shall he take awaye wyth the kydneyes.
Lev.3.5	And Aarons sonnes shal burne them on the alter vpon the burntsacrifyce whyche is vpon the wodd that is on the fyre to be a burnt sacrifyce for a swete sauoure vnto the Lorde.
Lev.3.6	If he brynge a peaceofferynge vnto the Lorde from of the flocke, let hym offre male or female: but without blemysh.
Lev.3.7	As yf he offre a shepe for hys sacrifyce, he shall brynge it before the Lorde,
Lev.3.8	and put hys hande vpon hys offerynges heed, and kyll it before the doore of the tabernacle of witnesse, and Aarons sonnes shall sprynkle the bloude therof rounde aboute the alter.
Lev.3.9	And of the peaceofferynge, let hym bryng a sacrifyce vnto the Lorde: the fatt therof, Ꟶ the rompe all together, whiche they shall take off, harde by the backe bone: and the fatt that couereth the inwardes, and all the fatt that is vpon the inwardes,
Lev.3.10	and the two kydneyes, and the fatt that is vpon them Ꟶ vpon the loynes, and the abundaunce that is vpon the lyuer shall he take awaye with the kydneyes.
Lev.3.11	And the preaste shall burne them vpon the alter, to be the foode of a sacryfyce vnto the Lorde.
Lev.3.12	If hys offerynge be a goate, he shall bringe it before the Lorde,
Lev.3.13	Ꟶ put his hande vpon the heade of it, and kyll it before the Tabernacle of the couenaunt, and the sonnes of Aaron shall sprinkle the bloude therof vpon the alter rounde about.
Lev.3.14	And he shall bryng therof, his offering, euen a sacrifyce vnto the Lorde: the fatt that couereth the in wardes, and all the fatt that is vpon the inwardes,
Lev.3.15	and the two kydneyes, Ꟶ the fatt that is vpon them and vpon the loynes, Ꟶ the abundaunce vpon the lyuer shall he take awaye with the kydneyes.
Lev.3.16	And the preaste shall burne them vpon the alter for the food of the sacrifyce:
Lev.3.17	that all the fat maye be a swete sauoure vnto the Lorde. Let it be a perpetuall statute for youre generacyons thorowe oute youre dwellynges, that ye eate nether fatt nor bloude.
Lev.4.1	And the Lorde spake vnto Moses sayinge:
Lev.4.2	speake vnto the chyldren of Israel, and saye: Yf a soule synne thorowe ignoraunce, and hath done any of those thynges whyche the Lorde hath forbydden in hys commaundementes to be done.
Lev.4.3	As yf the Preast that is anoynted do synne, (accordynge to the synne of the people) let hym brynge for hys synne whyche he hath synned a yonge oxe without blemyshe vnto the Lorde for a synneofferynge.
Lev.4.4	And he shall brynge the yonge oxe vnto the dore of the tabernacle of witnesse before the Lorde, and shall put hys hande vpon the yonge oxe heade, and kill the yonge oxe before the Lorde.
Lev.4.5	And the Preaste that is anoynted shall take of the yonge oxe bloude, and brynge it into the tabernacle of witnesse,
Lev.4.6	and the preaste shall dyppe hys fynger in the bloude and sprynkle therof seuen tymes before the Lorde: euen before the hangynge of the holy place.
Lev.4.7	And he shall put some of the bloude before the Lorde, vpon the hornes of the alter of swete cens, which is in the tabernacle of witnesse, and shall powre all the bloude of the yonge oxe vnto the botome of the alter of burntofferynge, whyche is at the dore of the tabernacle of witnesse.
Lev.4.8	And he shall take awaye all the fat of the oxe that is for synne, the fatt that couereth the inwardes, and all the fatt that is aboute the inwardes,
Lev.4.9	and the two kydneyes, and the fatt that is vpon them, and vpon the loynes, and the abundaunce of the lyuer shall he take awaye with the kydneyes:
Lev.4.10	as it was taken awaye in the oxe of the peaceofferynges, and let the preaste burne them vpon the altare of burntofferyng.
Lev.4.11	But the skyne of the yong oxe, and all hys fleshe, with hys heed, and hys legges, wyth hys in wardes, and hys donge,
Lev.4.12	shall he beare oute and carye the yong oxe altogether oute of the hoste vnto a clene place: euen where the asshes are powred out, and burne hym there on wodd in the fyre: euen by the place where the asshes are cast oute, shall he be brent.
Lev.4.13	If the hole congregacyon of Israel synne thorowe ignoraunce, and the thynge be hyd from theyr eyes, so that they haue committed any of those thynges which the Lorde hath forbydden to be done in hys commaundementes, and haue offended.
Lev.4.14	Whan the synne which they haue synned in, is knowne, the congregacyon shall brynge a yonge oxe for the synne, and brynge hym before the tabernacle of witnesse,
Lev.4.15	and the elders of the multytude shall put theyr handes vpon the heed of the yonge oxe before the Lorde. And the yonge oxe shalbe slayne before the Lorde.
Lev.4.16	And the Preast that is anoynted, shall bringe of hys bloude into the tabernacle of witnesse,
Lev.4.17	and the Preaste shall dyppe hys fynger in the bloude, and sprinkle it seuen tymes before the Lorde: euen before the vayle.
Lev.4.18	And shall put of the bloud vpon the hornes of the alter, whiche is before the Lord in the tabernacle of witnesse, and shall poure all the bloude vnto the botome of the alter of burntofferynge whyche is before the dore of the tabernacle of witnesse,
Lev.4.19	and shall take all hys fatt from hym, and burne it vpon the alter,
Lev.4.20	and shall do with thys yonge oxe, as he dyd with the yonge oxe for synne: euen so shall he do wt thys. And the Preaste shall make an attonement for them, and it shalbe forgeuen them.
Lev.4.21	And he shall bringe thys yonge oxe without the hoste, and burne hym as he burned the fyrst. For it is an oblacyon for the synne of the congregacyon.
Lev.4.22	When a Lorde synneth, and commytteth thorow ignoraunce any of these thinges (which the Lorde hys God hath forbydden to be done in hys commaundementes) and hath offended.
Lev.4.23	And yf his synne be shewed vnto him which he hath done, he shall brynge hys offerynge: euen an he goate without blemyshe,
Lev.4.24	and laye hys hande vpon the heed of the he goat, and kill it in the place where the burntofferinge is vsed to be kylled before the Lord
Lev.4.25	For it is a synne offering. And let the preaste take of the bloude of the offerynge with hys fynger, and put it vpon the hornes of the burntofferinge alter, and powre hys bloude vnto the botome of the burntofferyng alter,
Lev.4.26	Ꟶ burne all his fatt vpon the alter, as the fat of the peaceofferynges. And the Preast shall make an attonement for hym, as concernynge his synne, and it shalbe forgeuen hym.
Lev.4.27	If one of the comen people of the lande synne thorowe ignoraunce, and commytte any of the thynges whiche the Lorde hath forbydden in hys commaundementes to be done, and so hath trespaced:
Lev.4.28	Yf hys synne whyche he hath synned, come to his knowlege, he shall bring for his offering, a she goate from amonge the flockes, without blemyshe for hys synne which he hath synned,
Lev.4.29	and laye hys hande vpon the heed of the offeringe, and slee it in the place of burntofferynges.
Lev.4.30	And the preaste shall take of the bloude therof wt hys fynger, and put it vpon the hornes of the burntofferinge alter, and poure all the bloud vnto the botome of the alter,
Lev.4.31	and shall take awaye all hys fatt, as the fatt of the peace offerynges is taken awaye. And the preaste shall burne it vpon the alter, that it maye be a swete sauoure vnto the Lord, and the preaste shall make an attonement for hym, and it shalbe forgeuen hym.
Lev.4.32	And yf he brynge a shepe for a synne offeryng, he shall bringe a female without blemyshe,
Lev.4.33	and laye hys hande vpon the heed of the offerynge, and slee it for a synofferynge in the place where they kyll the burntofferyng.
Lev.4.34	And the preaste shall take of the bloude of the offerynge with hys fynger, and put it vpon the hornes of the burntofferinge alter, Ꟶ shall poure the bloude therof vnto the botome of the alter.
Lev.4.35	And he shall take a waye all the fatt therof, as the fat of the shepe of the peace offerynge is wont to be taken a waye. And the preaste shall burne it vpon the alter, that it maye be the Lordes burntsacrifyce, and the Preaste shall make an attonemente for hys synne, that he hath committed, and it shalbe forgeuen him.
Lev.5.1	Yf a soule synne and heare the voyce of swerynge, and is a witnesse: whether he hath sene or knowne of it, yf he haue not vttered it, he shall bere hys synne.
Lev.5.2	Ether yf a soule touche any vnclene thynge: whether it be the caryon of an vnclene beest, or of vnclene catell, or vnclene worme, and is not ware of it: beholde, he is vnclene and hath offended.
Lev.5.3	Ether yf he touche any vnclennesse of man (whatsoeuer vnclenesse it be that a man is wont to be defiled withall) and is not ware of it, and commeth to the knowledge of it, he hath trespased.
Lev.5.4	Ether yf a soule sweare and pronounceth with hys lyppes to do euell or to do good (whatsoeuer it be that a man vseth to pronounce with an othe) and the thynge be hyd from hym, and commeth to the knowledge of it, and hath offended in one of these.
Lev.5.5	And it shall come to passe that when he hath synned in one of these thynges. he shall confesse that he hath synned in that thynge.
Lev.5.6	Therfore shall he brynge hys trespace offerynge vnto the Lorde, for hys synne whiche he hath synned. A female from the flocke, a lambe or a she goate, for a synne offerynge. And the Preaste shall make an attonement for hym concernynge hys synne.
Lev.5.7	And yf he be not able to brynge soche a shepe, he shall brynge for hys trespace which he hath synned, two turtyll doues or two yonge pygeons vnto the Lord, one for a synne offerynge, and the other for a burntofferynge.
Lev.5.8	And he shall brynge them vnto the Preaste, whiche shall offer the synneoffering fyrst, and wringe the necke a sundre of it, but plucke it not clene of.
Lev.5.9	And he shall sprynkle of the bloude of the synne offerynge vpon the syde of the alter, and the reste of the bloude shall he powre by the botome of the alter: for it is a synneofferynge.
Lev.5.10	And he shall offer the seconde for a burntofferynge as the maner is: and so shall the Preaste make an attonement for hym (for the synne whiche he hath synned) and it shalbe forgeuen hym.
Lev.5.11	And yf he be not able to brynge two turtyll doues or two younge pygeons, then he that hath synned shall brynge for hys offerynge: the tenth parte of an Epha of fyne floure for a synofferynge, but put none oyle there to, nether put any franckencence theron, for it is a synneofferynge.
Lev.5.12	And let the preaste offre it, and the preaste shall take hys handfull of it, for a remembraunce therof, and burne it vpon the alter, to be a sacrifyce for the Lorde, it is a synneofferynge.
Lev.5.13	And the Preaste shall make an attonement for hym as touchynge his synne that he hath synned in one of these, Ꟶ it shalbe forgeuen. And the remnaunte shalbe the Preastes, as a meatofferynge.
Lev.5.14	And the Lord spake vnto Moses, saying:
Lev.5.15	Yf a soule trespace and synne thorowe ignoraunce in thynges that are consecrated vnto the Lorde, let hym brynge for hys trespace vnto the Lorde a ram without blemyshe out of the flockes, valued in money at two sycles after the sycle of the sanctuary, that it maye be for a trespaceofferinge.
Lev.5.16	And he shall make amendes for the harme that he hath done in the holy thing, and let him put the fyfte parte more therto, and geue it vnto the Preast. And the Preaste shall make an attonement for him with the ram that is for the trespace. and it shalbe forgeuen hym.
Lev.5.17	Yf a soule synne, and commyt any of these thynges whyche are forbydden to be done by the commaundementes of the Lorde: and wyst it not, and hath offended, he shall beare hys synne,
Lev.5.18	and shall brynge a ram withoute blemyshe out of the stocke that is estemed to be worthe a trespace offering, vnto the preaste. And the Preaste shall make an attonement for hym concernynge hys ignoraunce, wherin he erred and was not ware, and it shalbe forgeuen hym.
Lev.5.19	Thys is a trespaceofferinge, whyche he offred vnto the Lorde for the trespace.
Lev.6.1	And the Lorde spake vnto Moses saying:
Lev.6.2	yf a soule synne and trespace agaynst the Lorde, and denye vnto hys neyghboure that which was taken hym to kepe, or that was put into hys hande, or doth violent robbery or wronge vnto hys neyghboure,
Lev.6.3	or yf he haue founde that whych was loste, and denyeth it, and swereth falsely, vpon whatsoeuer thynge it be that a man doth, Ꟶ synneth therin:
Lev.6.4	Yf he haue so synned or trespaced, he shall restore agayne that he toke violently awaye, or the wronge whych he dyd, or that whych was delyuered him to kepe, or the lost thinge which he founde,
Lev.6.5	and all that, aboute whych he hath sworne falsely, he shall restore it agayne in the whole summe, and shall adde the fyfth parte moare thereto, and geue it vnto hym to whome it pertayneth the same daye that he offereth for his trespace,
Lev.6.6	and let hym brynge for hys trespace vnto the Lord, a Ram wythout blemishe out of the flocke (that is estemed worth a trespace offrynge) vnto the preaste.
Lev.6.7	And the preast shall make an attonement for hym, before the Lorde, Ꟶ it shall be forgeuen hym, whatsoeuer thynge it be that he hath done Ꟶ trespaced therin.
Lev.6.8	And the Lorde spake vnto Moses, sayinge:
Lev.6.9	Commaunde Aaron and hys sonnes sayinge: this is the lawe of the burntoffring. The burntoffrynge shall be vpon the harth of the alter all nyght vnto the mornynge, Ꟶ the fyre shall be kyndled on the alter.
Lev.6.10	And the Preaste shall put on hys lynen albe, and hys lynen breches vpon hys fleshe, and take awaye the asshes vpon the whych the fyre consumed the burnt sacrifyce in the alter, and he shall put them besyde the alter,
Lev.6.11	and put of his rayment, and put on other and carye the asshes out wythout the host vnto a clene place.
Lev.6.12	The fyre vpon the alter shall burne styll and neuer be put out. But the preaste shall laye wodd on it euery daye in the mornyng, Ꟶ put the burntsacrifice vpon it, and he shall burne theron the fatt of the peaceoffrynges.
Lev.6.13	The fyre shall euer burne vpon the alter, and neuer go out.
Lev.6.14	Thys is the lawe of the meatoffrynge: whych Aarons sonnes shall brynge before the Lorde, euen before the alter:
Lev.6.15	Ꟶ one of them shall take hys handfull of the floure of the meatoffrynge and of the oyle and all the franckencens whych is vpon the meatoffrynge, and shall burne it vnto a remembraunce vpon the alter for aswete sauoure, euen a memoriall of it vnto the Lord.
Lev.6.16	And of the rest therof, shall Aaron and hys sonnes eate: vnleuened shall it be eaten in the holy place: euen in the courte of the tabernacle of witnesse they shall eate it.
Lev.6.17	It shall not be baken wyth leuen. I haue geuen it vnto them for theyr porcion of my sacrifyces. It is most holye, as is the synne offrynge and trespaceoffrynge.
Lev.6.18	All the males amonge the chyldren of Aaron shall eate of it: It shalbe a statute for euer in youre generacyons concernynge the sacrifyces of the Lorde let euery one that toucheth it, be holy.
Lev.6.19	And the Lorde spake vnto Moses saying:
Lev.6.20	this is the offringe of Aaron and of hys sonnes which they shall offer vnto the Lorde in the daye when he is anoynted: the tenth parte of an Epha of floure, for a meatoffrynge perpetuall: halfe in the mornynge and halfe at nyghte:
Lev.6.21	In the fryenge pan it shalbe made wyth oyle. And when it is fryed, thou shalt brynge it in, and the baken offrynges of this oblacyon mynsed small, shalt thou offer for a swete sauoure vnto the Lorde.
Lev.6.22	And that Preast of his sonnes that is anoynted in hys steade, shall offer it: It is the Lordes dutye for euer: it shall be burnt all together.
Lev.6.23	For euery meateoffrynge that is made for the Preaste, shalbe burnt all together, and shall not be eaten.
Lev.6.24	And the Lorde spake vnto Moses, sayinge:
Lev.6.25	speake vnto Aaron, and vnto hys sonnes and saye: Thys is the lawe of the synne offring. In the place where the burntoffrynge is kylled, shall the synne offryng be kylled before the Lorde, for it is moost holy.
Lev.6.26	The Preast that offreth it, shall eate it: In the holy place shall it be eaten: euen in the courte of the tabernacle of wytnesse.
Lev.6.27	No man touche the fleshe therof, saue he that is halowed. And who so sprenkleth of the bloude therof vpon any garment thou shalt washe it in the holy place, there as it is sprenkled vpon.
Lev.6.28	But the erthen pot that it is soden in, shall be broken. And yf it be sodden in a brasen pot, it shalbe scowred, and rynsed in the water.
Lev.6.29	All the males amonge the Preastes shall eate therof, for it is most holy.
Lev.6.30	And no synneoffrynge, whose bloude is brought into the tabernacle of wytnesse to reconcyle wyth all in the holy place, shall be eaten: but shalbe burnt in the fyre.
Lev.7.1	Thys is the lawe of the trespaceoffrynge: it is most holy.
Lev.7.2	In the place where they kyll the burntoffringe, shall they kyll the trespaceoffring also: and hys bloude shall he sprynkle rounde aboute vpon the alter.
Lev.7.3	All the fat ther of shall they offer: the roumpe and the fat therof that couereth the inwardes,
Lev.7.4	and the .ii. kydneys, and the fatt that is on them and vpon the loynes: and the aboundaunce that is on the lyuer shalt thou take awaye wyth the kydneyes:
Lev.7.5	Ꟶ the Preast shall burne them vpon the altare, to be a sacrifyce vnto the Lorde: for it is a trespace offerynge.
Lev.7.6	All the males amonge the preastes shall eate therof in the holy place, for it is most holy.
Lev.7.7	As the synne offrynge is, so is the trespaceoffringe, one lawe serueth for both, and it shall be the Preastes that reconcyleth ther wt.
Lev.7.8	And the Preaste that offereth any mans burntoffringe, shall haue the skynne of the burntoffringe which he hath offred.
Lev.7.9	And all the meatoffrynge that is baken in the ouen, and that is dressed vpon the gredyren, Ꟶ in the fryenge pan, shalbe the Preastes that offreth it.
Lev.7.10	And euery meateofferinge that is myngled with oyle and that is drye, shall pertayne vnto all the sonnes of Aaron, and one shall haue as moche as another.
Lev.7.11	Thys is the lawe of the peaceoffringe, whan it is offred vnto the Lorde.
Lev.7.12	If he offer it to geue thanckes, he shall bringe vnto hys thanckoffrynge, swete kakes myngled wyth oyle, Ꟶ swete wafers anoynted wt oyle, and kakes myngled with oyle of fyne floure fryed.
Lev.7.13	He shall brynge hys offerynge vpon kakes of leuended bread for hys peaceoffringes to geue thankes:
Lev.7.14	and of all the sacrifice he shall offer one for an heue offringe vnto the Lorde, and it shall be the Preastes that sprynckled the bloude of the peaceoffringes.
Lev.7.15	And the fleshe of the thankoffrynge in hys peaceoffrynges shalbe eaten the same daye that it is offred. And let hym laye vp nothynge of it vntyll the morowe.
Lev.7.16	But yf he offre hys sacrifyce by reason of a vowe, or of hys awne frewyll, it shall be eaten the same daye that he offreth hys sacrifyce. And yf ought remayne vntyll the morowe, it maye be eaten:
Lev.7.17	but as moche of the offered fleshe as remayneth vnto the thyrde daye, shalbe burnt wyth fyre.
Lev.7.18	And yf any of the fleshe of hys peaceoffrynges be eaten in the thyrde daye, then shall he that offreth it, obtayne no fauoure nether shall it be rekened vnto hym: but shalbe an abhomynacyon. Therfore the soule that eateth of it, shall beare hys synne.
Lev.7.19	And the flesh that toucheth any vncleane thynge shall not be eaten, but burnt wyth fyre: and all that be cleane, shall eate the flesh.
Lev.7.20	But yf any soule eate of the flesh of the peaceoffrynge that pertayneth vnto the Lorde hauynge hys vnclennesse vpon hym: the same soule shall peryshe from amonge hys people.
Lev.7.21	Moreouer, the soule that doth touche any vnclene thynge, that is of the vnclennesse of man or of any vnclene beast or any abhomynacyon that is vnclene: and then eate of the flesh of the peaceoffrynge whych pertayneth vnto the Lorde, that soule shall perysh from hys people.
Lev.7.22	And the Lorde spake vnto Moses, saying:
Lev.7.23	speake vnto the chyldren of Israel and saye. Ye shall eate no maner fatt of oxen of shepe and of goates:
Lev.7.24	neuerthelater the fatt of the beaste that dyeth alone, and the fatt of that whych is torne wyth wylde beastes, shall be occupied in any maner of vse, but ye shall in no wise eate of it.
Lev.7.25	For whosoeuer eateth the fatt of the beaste of whych men vse to brynge an offrynge vnto the Lorde, that soule that eateth it, shall perysh from his people.
Lev.7.26	Moreouer, ye shall eate no maner of bloude, whether it be of foule or of beast.
Lev.7.27	Whatsouer soule it be that eateth any maner of bloude, the same soule shall perishe from hys people.
Lev.7.28	And the Lorde talked wt Moses, sayinge:
Lev.7.29	speake vnto the chyldren of Israel and saye: he that bryngeth hys peaceoffringe vnto the Lorde, let hym brynge hys gyfte vnto the Lorde of hys peaceoffrynge:
Lev.7.30	let his awne handes brynge the offrynges of the Lorde: euen the fatt wyth the brest shall he brynge: that the brest maye be waued for a waue offringe before the Lorde.
Lev.7.31	And the Preast shall burne the fatt vpon the alter, and the brest shalbe Aarons Ꟶ hys sonnes.
Lev.7.32	And the ryght shoulder shall ye geue vnto the Preaste, for an heueoffrynge, of youre peaceoffrynges.
Lev.7.33	The same that offreth the bloude of the peaceoffringes and the fatt, amonge the sonnes of Aaron, shall haue the ryght shoulder for his parte,
Lev.7.34	for the wauebrest and the heueshoulder haue I taken of the chyldren of Israel, euen of their peaceoffringes, and haue geuen it vnto Aaron Ꟶ vnto hys sonnes: by a statute for euer of the chyldren of Israel.
Lev.7.35	Thys is the anoyntynge of Aaron and the anoyntynge of his sonnes in the sacrifices of the Lorde, in the daye when he offered them to be Preastes vnto the Lorde.
Lev.7.36	And these be the sacrifyces which the Lord commaunded to be geuen them (in the daye of theyr anoyntynge) of the chyldren of Israel, by a statute for euer in theyr generacyons.
Lev.7.37	Thys is the lawe of the burntoffrynge and of the meatoffrynge, and of the sacrifyce for synne and trespace, for consecracyon Ꟶ for the peaceoffrynge:
Lev.7.38	which the Lorde commaunded Moses in the mount of Synai, when he commaunded the chyldren of Israel to offer their sacrifyces vnto the Lorde in the wyldernesse of Synai.
Lev.8.1	And the Lorde spake vnto Moses sayinge:
Lev.8.2	take Aaron Ꟶ hys sonnes with him, and the vestures Ꟶ the anoyntynge oyle, and a yonge oxe for synne, Ꟶ two rammes, and a basket wyth swete breed:
Lev.8.3	and gether thou all the congregacyon together vnto the dore of the tabernacle of wytnesse.
Lev.8.4	And Moses dyd as the Lorde commaunded hym, and the people were gathered together vnto the dore of the tabernacle of wytnesse.
Lev.8.5	And Moses sayde vnto the congregacyon: this is the thynge which the Lorde commaunded to be done.
Lev.8.6	And Moses brought Aaron Ꟶ hys sonnes, and wasshed them with water,
Lev.8.7	and put vpon hym the albe, Ꟶ gyrded him wt a girdle, Ꟶ put vpon hym the tunycle, and put the Ephod theron, which he gyrded wyth the broderd gyrdell that was in the Ephod, and bounde it vnto hym therwyth.
Lev.8.8	And he put the brestlappe theron, and put in the brestlappe Urim Ꟶ thumim.
Lev.8.9	And he put the myter vpon hys heed, and put vpon the myter (euen vpon the forefront of hys face) the golden plate or the holy croune, as the Lorde commaunded Moses.
Lev.8.10	And Moses toke the anoyntynge oyle, and anoynted the Tabernacle, and all that was therin, and sanctified them,
Lev.8.11	and sprynkled therof vpon the alter seuen tymes, and anoynted the alter, and all hys vessels, the lauer Ꟶ his fote, to sanctifye them.
Lev.8.12	And he powred of the anoyntynge oyle vpon Aarons heed, and anoynted hym, to sanctifye hym.
Lev.8.13	And Moses brought Aarons sonnes, Ꟶ put albes vpon them, and gyrded them with gyrdels, Ꟶ put bonettes vpon their heedes: as the Lorde commaunded Moses.
Lev.8.14	And he brought the yonge oxe for synne, And Aaron and hys sonnes put theyr handes vpon the heed of the yonge oxe that was for synne.
Lev.8.15	And Moses slewe hym, Ꟶ toke of the bloude, which he put vpon the hornes of the alter rounde about wt hys fynger, Ꟶ purifyed it, and powred the bloude vnto the botome of the alter, Ꟶ sanctifyed it, and reconcyled it.
Lev.8.16	And he toke all the fatt that was vpon the inwardes, and the abundaunce of the lyuer and the two kydneyes, and theyr fatt, Ꟶ Moses burned it vpon the alter.
Lev.8.17	But the yonge oxe and hys hyde, his flesh and his donge, he burnt wyth fyre without the hoste, as the Lorde commaunded Moses.
Lev.8.18	And he brought the ram for the burntoffrynge, and Aaron and hys sonnes put theyr handes vpon the heed of the ram,
Lev.8.19	which Moses kylled, and sprynkled the bloude vpon the alter rounde about,
Lev.8.20	and Moses cut the ram in peces and burnt the heed, the peces and the fatte,
Lev.8.21	and wasshed the inwardes Ꟶ the legges in water, and Moses burnt the ram euery whyt vpon the alter, for a burntsacrifyce, that it myght be a swete sauoure, and an offrynge vnto the Lorde, as the Lorde commaunded Moses.
Lev.8.22	And he brought the other ram, namely the ram of consecracyon Ꟶ Aaron and his sonnes put theyr handes vpon the heed of the ram:
Lev.8.23	which Moses slewe, and toke of the bloude of it, and put it vpon the typpe of Aarons ryghte eare, Ꟶ vpon the thombe of hys ryght hande, Ꟶ vpon the gret too of his ryght fote.
Lev.8.24	And Moses brought Aarons sonnes, Ꟶ put of the bloude on the typpe of the ryghte eare of them, Ꟶ vpon the thombes of theyr ryghte handes, and vpon the greate tooes of theyr righte fete, and Moses sprinkled the bloude vpon the alter rounde aboute.
