Job.0.0	¶ The boke of Iob.
Job.2.12	So when they lyfte vp theyr eyes a farre of, they knewe him not. Then they cryed, and wepte: Ꟶ euery one of them rente his clothes, and sprynckled dust vpon theyr heades in the ayre.
Job.2.13	They sat them downe by hym also vpon the grounde seuen dayes and seuen nyghtes. Nether was there any of them that spake one worde vnto hym: for they sawe, that hys payne was very greate.
Job.3.1	After this opened iob his mouth and cursed hys daye.
Job.3.2	And Iob answered, and sayde:
Job.3.3	lost be that daye, wherin I was borne, and the nyght, in the which it was sayde: there is a man chylde conceaued.
Job.3.4	The same daye be turned to darckenes, and not regarded of God from aboue, nether lett hym shyne vpon it with lyght,
Job.3.5	but let it be stayned with darcknesse, and the shadowe of death. Let the dymme cloude fall vpon it, and lett it be lapped in with sorowe on the daye tyme.
Job.3.6	Let the darcke storme ouercome that nyght, and lett it not be ioyned vnto the dayes of the yeare, ner counted in the monethes.
Job.3.7	Desolate be that night, and without gladnesse, lett them that curse the daye,
Job.3.8	and that be ready to rayse vp mournyng, geue it also their curse.
Job.3.9	Let the starres of that night be dymme thorow darcknesse of it. Let it loke for lyght, but lett it se none, nether the rysynge vp of the fayre mornynge:
Job.3.10	because it shut not vp the wombe that bare me. For then shulde these sorowes haue bene hyd from myne eyes.
Job.3.11	Alas, why dyed I not in the byrth? Why dyd not I perysh, as sone as I came oute of my mothers wombe?
Job.3.12	Why set they me vpon their knees? Why gaue they me suck with theyr brestes?
Job.3.13	Then shulde I now haue lyen styll, I shulde haue slepte, and bene at reste,
Job.3.14	lyke as the kynges and lordes of the earthe, which haue buylded them selues special places.
Job.3.15	Or as the prynces that haue had greate substaunce of golde, and theyr houses full of syluer.
Job.3.16	Or why was I not hyd, as a thynge borne out of tyme, ether as yonge chyldren, which neuer sawe the light?
Job.3.17	There must the wycked ceasse from theyr tyrannye, and ther soch as are ouerlaboured be at rest:
Job.3.18	ther are those lett out fre, which haue bene in preson, so that they heare nomore the voyce of the oppressoure.
Job.3.19	There are small Ꟶ great, and the seruaunt is fre from hys master.
Job.3.20	Wherfore is the lyght geuen to hym that is in mysery? and lyfe vnto them, that haue heuy hertes?
Job.3.21	Whych longe for death (and though it come not) wolde dygg it oute of hyd places
Job.3.22	which also wolde be excedyng glad and reioyce, yf they coulde fynde theyr graue any where.
Job.3.23	That shuld be ioye to that man whose waye is hyd, and God kepeth it backe from him.
Job.3.24	For my syghes come before I eate, and my roaringes fall out like the water.
Job.3.25	For the thynge that I feared, is come vpon me: and the thynge that I was afrayed of, is happened vnto me.
Job.3.26	Was I not happy? Had I not quyetnesse? Was I not in rest? And now commeth soch mysery vpon me
Job.4.1	And Eliphas the Themanyte answered, and sayde:
Job.4.2	Yf we begynne to commen with the, wylt thou be discontent? but who can withhold him selfe from speakinge?
Job.4.3	Behold, thou hast bene a chastener of many, and hast comforted the weery handes.
Job.4.4	Thy wordes haue set vp those that were fallen, thou hast refresshed the weake, knees.
Job.4.5	But now that the plage is come vpon the, thou art greued: now that it hath touched thy selfe, thou art faynt harted.
Job.4.6	Is not this thy feare, thy stedfastnesse, thy pacience, and the perfectnesse of thy wayes?
Job.4.7	Consydre (I praye the) whoeuer perysshed beynge an innocent? Or, when were the godly destroyed?
Job.4.8	For (as I haue proued by experience) they that plowe iniquytie, Ꟶ sowe wretchednesse, reape the same.
Job.4.9	With the blast of God they perish, and with the breth of hys nastrels are they consumed awaye.
Job.4.10	The roaryng of the lyon, and the voyce of the lyon, Ꟶ the teeth of the lyons whelpes are pulled out.
Job.4.11	The lyon perissheth for lacke of praye, and the lyons whelpes are scatered abrode.
Job.4.12	And vnto me came the worde secretly, Ꟶ myne eare hath receaueth a lytell therof.
Job.4.13	In the thoughtes and visyons of the night (when slepe commeth on men)
Job.4.14	feare came vpon me, and drede, which made all my bones to shake.
Job.4.15	The wynde passed by, before my presence, and made the heares of my flesh to stande vp.
Job.4.16	He stode there, and I knew not hys face, an ymage ther was before myne eyes, and in the stylnesse hearde I a voyce.
Job.4.17	Shall man be more iust than God? Or shall a man be purer than hys maker?
Job.4.18	Beholde, He founde no treuth in hys seruauntes, and in hys aungels ther was foly.
Job.4.19	How moch more in them that dwell in houses of claye, and whose foundacyon is but dust: which shalbe consumed as it were with a Moth?
Job.4.20	They shalbe smitten from the mornynge vnto the euenyng: yee, they shall perysh for euer, when no man thincketh theron.
Job.4.21	It is not their royaltye gone awaye with them: they shal dye trulye, and not in wysdome.
Job.5.1	Crye (I praye the) yf happlye there be any that wyll answere the, and loke thou vpon eny of the holy men.
Job.5.2	As for the foolysh man, displeasure kylleth hym, and anger slayeth the ignoraunt
Job.5.3	I haue sene my selfe, when the folysh was depe roted, and sodenly. I cursed hys habitacyon.
Job.5.4	Hys chyldren were without prosperite, and they were slayne in the gate, and there was no man to delyuer them.
Job.5.5	Hys haruest was eaten vp of the hungry, Ꟶ the weapened man spoyled it, and the thurstye droncke vp theyr laboure. It is not the earth that bryngeth forth iniquyte,
Job.5.6	nether commeth sorowe out of the ground:
Job.5.7	but man is borne vnto laboure, lyke as the sparkes flye vp out of the hote coles.
Job.5.8	But I wyll aske councell at the Lorde, Ꟶ wyll talke with God:
Job.5.9	which doth thynges, that are vnsearcheable, and maruels without nombre.
Job.5.10	He geueth rayne vpon the erth, and poureth water vpon the stretes,
Job.5.11	to set vp them that be of lowe degre, and that those which are in heuynesse may come to prosperite.
Job.5.12	He destroyeth the deuyces of the sotyll, so that their handes are not able to performe any stedfast thing.
Job.5.13	He compaseth the wyse in their awne craftynes, and ouerthroweth the councell of the wycked.
Job.5.14	In somoche that they runne into darcknes by fayre daye, and grope aboute them at the none daye, lyke as in the nyght.
Job.5.15	He shall delyuer the pore from the sweard, and from the threatenynges of the vngodly, and from the violence of the myghty.
Job.5.16	He is the hope of the poore, and the mouth of the wicked shalbe stopped.
Job.5.17	Beholde, happye is the man, whom God punissheth: therfore, refuse not thou the chastenynge of the almyghtye.
Job.5.18	For though he make a wounde, he geueth a playster: though he smyte, hys hande maketh whole agayne.
Job.5.19	He shall delyuer the in syxe troubles, and in the seuenth there shall no euell come to the.
Job.5.20	In honger he shall saue the from death: and when it is warre, from the power of the swearde.
Job.5.21	Thou shalt be kept from the euell tonge, and when trouble commeth, thou shalt not nede to feare.
Job.5.22	In destruccion and derth thou shalt be mery, and shalt not be afrayed of beastes of the earth.
Job.5.23	For the stones of the lande shalbe confederate with the, Ꟶ the beastes of the felde shall geue the peace.
Job.5.24	And thou shalt knowe that thy dwellyng place shalbe in rest: and thou shalt go and beholde thy habytacyon, and shalt not synne.
Job.5.25	Thou shalt se also, that thy sede shall encreace, and that thy posteryte shalbe as the grasse vpon the earth.
Job.5.26	Thou shalt come also to thy graue in a fayre age, lyke as when they take vp a corne shefe in due season.
Job.5.27	Lo, thys we oure selues haue proued by experience, and euen thus it is. Herken thou to it also, that thou mayest take hede to thy selfe.
Job.6.1	Iob answered also, Ꟶ sayde:
Job.6.2	O that the displeasure which I haue were truly weyed, and my punishment layed in the balaunces togeather:
Job.6.3	for now is it heuyer then the sande of the see. And thys is the cause, that my wordes are so sorowfull.
Job.6.4	For the arowes of the almighty are round about me, whose indygnacyon hath droncke vp my sprete, and the terrible feares of God are sett agaynst me.
Job.6.5	Doth the wylde asse roare when he hath grasse? Or cryeth the oxe, when he hath foder ynough?
Job.6.6	That which is vnsauery, shalt it be eaten without salte, or is there any taste in the whyte of an egge?
Job.6.7	The thynges that some tyme I myght not awaye withall, are now my meate for very sorowe.
Job.6.8	O that I myght haue my desyre: and that God wolde graunte me the thynge that I longe for.
Job.6.9	O that God wold begynne and smyte me: that he wolde let hys hande go, and take me cleane awaye.
Job.6.10	Then shulde I haue some comforte: yee, I wolde desyre hym in my payne, that he shulde not spare, for I wyll not be agaynst the wordes of the holy one.
Job.6.11	For what power haue I to endure? And what is myne ende, that my soule myght be pacient?
Job.6.12	Is my strength the strength of stones? Or, is my flesh made of brasse?
Job.6.13	Is it not so that there is in me no helpe: and that my substaunce is taken from me.
Job.6.14	He that is in tribulacyon ought to be comforted of hys neyghbour: but the feare of the Lord is cleane awaye.
Job.6.15	Myne awne brethren passe ouer by me as the water brooke, and as the ryuer of water, do hastely go awaye.
Job.6.16	But they that feare the hore frost, the snowe shall fall vpon them.
Job.6.17	When theyr tyme commeth, they shalbe destroyed and peryshe: when they be sett on fyre, they shalbe remoued out of theyr place,
Job.6.18	for the pathes that they go in, are croked: they haste after vayne thynges, and shall perysh.
Job.6.19	They turne them to the pathes of Theman, and to the wayes of Saba, wherin they haue put their trust.
Job.6.20	Confounded are they that put eny confydence in them. For whan they come to obtayne the thynges that they loke for, they are brought to confusion.
Job.6.21	Euen so are ye also come vnto me: but now that ye se my misery, ye are afrayed.
Job.6.22	Dyd I desyre you, to bryng vnto me, or to geue me eny of youre substaunce?
Job.6.23	To delyuer me from the enemyes hande, or to saue me from the hande of tyrauntes?
Job.6.24	Teache me, and I wyll holde my tonge: and whan I do erre, shewe me wherin.
Job.6.25	How stedfast are the wordes of treuth?
Job.6.26	And which of you can rebuke and reproue them? Do ye take deliberacyon to check mens sayinges, and iudge a pore worde spoken in vayne?
Job.6.27	Ye fall vpon the fatherles and go about to ouerthrowe your awne frende.
Job.6.28	And therfore be content, and loke now vpon me, and I wyll not lye before youre face.
Job.6.29	Turne (I praye you) be indifferent iudges, turne agayne, and ye shall se myne vngyltinesse:
Job.6.30	whether there be eny vnrighteousnesse in my tong, or vayne wordes in my mouth.
Job.7.1	Hath man any certayn tyme vpon earthe? Are not hys dayes also lyke the dayes of an hyred seruaunt?
Job.7.2	For lyke as a bonde seruaunt desyreth the shadowe, and as an hyrelynge wolde fayne haue an ende of hys worcke.
Job.7.3	Euen so haue I laboured whole monethes longe (but in vayne) and many a carefull night haue I tolde.
Job.7.4	When I laye me downe to slepe, I saye: O when shall I rise? Agayne, I longed sore for the nyght. And in the meane tyme am I full of sorowes vntyll the twylyght.
Job.7.5	My flesh is clothed with wormes and dust of the earth: my skynne is withered, and become horryble,
Job.7.6	my dayes passe ouer more spedely, then a weeuer can weeue out his webbe: and are gone or I am aware.
Job.7.7	O remembre, that my lyfe is but a mynde, and that myne eye shall nomore se pleasures therof,
Job.7.8	yee, Ꟶ that none other mens eye shall se me eny more. For yf thou fasten thyne eye vpon me, I come to naught.
Job.7.9	The cloude is consumed and vanysshed awaye, euen so he that goeth downe to the graue, shall come nomore vp,
Job.7.10	ner turne agayne into hys house nether shall hys place knowe hym eny more.
Job.7.11	Therfore, I will not spare my mouth, but wyll speake in the trouble of my sprete, and muse in the bytternesse of my mynde.
Job.7.12	Am I a see or a whalfysh, that thou kepest me so in preson?
Job.7.13	When I saye: my bedd shall comforte me. I shall haue some refresshynge by talcking to my selfe vpon my couche.
Job.7.14	Then troublest thou me with dreames, and makest me so afrayed thorow visions,
Job.7.15	that my soule wissheth rather to perish and dye, then my bones to remayne.
Job.7.16	I can se no remedy, I shall lyue nomore: O spare me then, for my dayes are but vayne.
Job.7.17	What is man, that thou hast hym in soch reputacyon, Ꟶ settest somoch by hym?
Job.7.18	Thou visytest hym early, and euery daye, sodenly doest thou trye hym.
Job.7.19	Why goest thou not fro me, ner lettest me alone, so longe tyll I maye swalow downe my spetle?
Job.7.20	I haue offended, and what shall I do vnto the, O thou preseruer of men? Why hast thou made me to stande in thy waye, and am so heuy a burden vnto my self?
Job.7.21	Why doest thou not forgeue me my synne? Wherfore takest thou not awaye my wyckednes? Beholde, now must I slepe in the dust, and yf thou sekest me to morow in the mornyng, I shalbe gone.
Job.8.1	Then answered Baldad the Suhite, and sayde:
Job.8.2	How longe wilt thou talke of soch thynges? how longe shall thy mouth speake so proude wordes?
Job.8.3	Doth God peruerte the thynge that is laufull? Or doth the almyghtye destroye the thynge that is ryght?
Job.8.4	For seyng that thy sonnes synned agaynst hym, dyd not he punysh them for theyr wyckednesse?
Job.8.5	If thou woldest now resort vnto God by tymes, and make thyne humble prayer to the almyghty:
Job.8.6	yf thou woldest lyue a pure and a godly lyfe: shulde he not awake vp vnto the immediatly, and geue the, the bewtye of ryghtewesnesse agayne?
Job.8.7	In so moche, that where in so euer thou haddest lytle afore, thou shuldest now haue greate aboundaunce.
Job.8.8	Enquere (I praye the) of them that haue bene before the, and search diligently amonge theyr fathers.
Job.8.9	For we are but of yesterdaye, and consydre not, that oure dayes vpon earth are but a very shadowe.
Job.8.10	Shall not they shewe the, and tell the, yee, and gladly confesse the same?
Job.8.11	Maye a rysshe be grene without moystnesse? Or maye the grasse growe without water?
Job.8.12	No: but (or euer it be shot forth, Ꟶ or euer it be gathered) it withered, before eny other herbe.
Job.8.13	Euen so goeth it with all them, that forget God: and euen thus also shall the ypocrites hope come to naught.
Job.8.14	Hys confydence shalbe destroyed, and hys trust shalbe a spiders webbe.
Job.8.15	He shall leane vpon his house, but it shall not stande: he shall holde hym fast by it, yet shall it not endure.
Job.8.16	It is euen as a grene tree before the sonne, Ꟶ shoteth forth the braunches in hys garden.
Job.8.17	It taketh many rotes by a well syde, in so moch that it is lyke an house of stones.
Job.8.18	But yf it be taken out of hys place, euery man denyeth it, sayenge: I knowe the not.
Job.8.19	Lo, thus is it with him, that reioyseth in his awne doynges: and as for other, they growe out of the earth.
Job.8.20	Behold, God will not cast awaye a vertuous man, nether wyll he helpe the vngodly.
Job.8.21	Thy mouth shall he fyll with laughing, and thy lyppes with gladnesse.
Job.8.22	They also that hate the, shalbe confounded, and the dwellinge of the vngodly shall come to naught.
Job.9.1	Iob answered, Ꟶ sayde:
Job.9.2	I know it is so of a treuthe: For how maye a man (compared vnto God) be iustifyed?
Job.9.3	If he will argue with him, he shall not be able to answere hym vnto one amonge a thousande.
Job.9.4	Concernynge soch as be wyse of herte, or myghtye in strength, who euer prospered, that toke part against hym?
Job.9.5	He translateth the mountaynes, or euer they be aware. It is he that ouerthroweth them in hys wrath.
Job.9.6	He remoueth the earthe oute of her place, that the pylers therof shake with all.
Job.9.7	He commaundeth the sonne, and it riseth not: he closeth vp the starres, as it were vnder a sygnett.
Job.9.8	He him self alone spredeth out the heauens, and goeth vpon the waues of the see.
Job.9.9	He maketh the waynes of heauen the Orion the seuen starres, and the secrete places of the south.
Job.9.10	He doth greate thynges, soch as are vnsearcheable, yee, and wonders withoute nombre.
Job.9.11	Lo, whan he goeth ouer by me, I shall not se hym. And whan he departeth, by me, I shall not loke vpon hym. I shall not perceaue hym.
Job.9.12	If he be hasty to take eny thynge awaye, who wyll make him restore it agayne? Or who wyll saye vnto hym what doest thou?
Job.9.13	He is God, whose wrath no man maye withstande: but the proudest of all must stoupe vnder hym.
Job.9.14	How shulde I then answere hym? Or what wordes shulde I fynde oute agaynst hym?
Job.9.15	Yee, though I were ryghteous, yet myght I not geue hym one worde agayne, but mekely submytte my self to hym as my iudge.
Job.9.16	Yf I had called vpon hym, and he had answered me: yet wold I not beleue, that he herd my voyce:
Job.9.17	he troubleth me so with the tempest, and woundeth me out of measure without a cause.
Job.9.18	He wyll not lett my sprete be in rest, but fylleth me wt bytternesse.
Job.9.19	If men wyll speake of strength, lo, he is stronge: yf men wyll speake of ryghteousnes, who darre be my recorde.
Job.9.20	If I wyll iustifye my selfe, my awne mouth shall condempne me: yf I wyll put forth my selfe for a perfecte man, he shall proue me a wycked doer.
Job.9.21	For though I be an innocent, and my conscience cleare, yet am I weery of my lyfe
Job.9.22	One thyng it is and therfore I sayed. He destroyeth both the righteous and vngodly.
Job.9.23	And though he staye sodenly with the scourge, yet wyll he laugh at the punyshement of the innocent.
Job.9.24	As for the worlde, it is geuen ouer into the hand of the wicked, and he shal couer the faces of the iudges therof. Is it not so? where is there eny, but he is soch one?
Job.9.25	My dayes are more swyfte then a runner: they are gone Ꟶ haue sene no good thing.
Job.9.26	They are passed awaye, as the shyppes that be good vnder sayle, and as the aegle that flieth to the praye.
Job.9.27	When I am purposed to forget my complayning, to leaue of fro my wrath, and to comforte my selfe,
Job.9.28	then am I afrayed of all my sorowes, for I knowe, that thou wylt not iudge me innocent.
Job.9.29	If I be then a wicked doer, why laboure I in vayne?
Job.9.30	If I washe my selfe with snowe water, and make myne handes neuer so cleane, at the wel,
Job.9.31	yet shalt thou dyppe me in the myer: and myne awne clothes shall defyle me.
Job.9.32	For he that I must geue answere vnto, and with whom I go to lawe, is not a man as I am.
Job.9.33	Nether is there eny dayesman to laye hys hande betwene vs.
Job.9.34	Lett hym take hys rod awaye fro me, yee, lett him make me nomore afrayed of him,
Job.9.35	and then shall I answere him without eny feare. For as longe as it is thus, I can make no answere.
Job.10.1	It greueth my soule to lyue. I wyl make my complaynte, and wyll speake out of the very heuynesse of my soule.
Job.10.2	I wyll saye vnto God: O do not condempne me, but shewe me the cause, wherfore thou contendest so with me?
Job.10.3	Thinckest thou it well done, to oppresse me, to cast me of (beynge the worckes of thy handes) and to mainteyne the councel of the vngodly?
Job.10.4	Hast thou fleshy eyes: or doest thou loke as a man loketh?
Job.10.5	Or are thy dayes as the dayes of man, and thy yeares as mans yeares?
Job.10.6	that thou makest soch inquisicyon for my wickednes, Ꟶ searchest out my synne?
Job.10.7	where as (not withstandinge) thou knowest that I am no wycked person, and that there is no man able to delyuer me out of thyne hande.
Job.10.8	Thy handes haue made me, and fasshioned me all together rounde aboute, wilt thou then destroye me sodenly?
Job.10.9	O remembre (I beseke the) how that thou madest me of the moulde of the erth, Ꟶ shalt bringe me into dust agayne.
Job.10.10	Hast thou not turned me, as it were mylck, and turned me to cruddes lyke chese?
Job.10.11	Thou hast couered me with skynne and fleshe, and ioyned me together with bones and synnewes.
Job.10.12	Thou hast graunted my life, and done me good: and the diligent hede that thou tokest vpon me, hath preserued my sprete.
Job.10.13	Thou hast hyd these thynges in thyne hert. I am sure, that thou remembrest thys thynge.
Job.10.14	If I dyd synne, thou haddest an eye vnto me, and shalt not declare me innocent because of myne offence.
Job.10.15	Yf I haue done wickedly, wo is me therfore. Yf I haue done righteously, yet darre I not lift vp my hede: so full am I of confusion, and se myne awne misery.
Job.10.16	Thou huntest me out (being in heuynes) as it were a lyon, Ꟶ troublest me out of measure.
Job.10.17	Thou bryngest fresh wytnesse agaynst me, and thy wrath increasest thou vpon me, very many are the plages that I am in.
Job.10.18	Wherfore hast thou brought me oute of my mothers wombe? O that I had perisshed, and that no eye had sene me.
Job.10.19	Yf they had caryed me to my graue assone as I was borne, then shuld I be now, as though I had neuer bene
Job.10.20	Are not my dayes feawe? Lett hym then leaue of fro me and let me alone, that I may ease my selfe a lytle
Job.10.21	afore I go thyther, from whence I shall not turne agayne: euen to the lande of darcknesse and shadowe of death:
Job.10.22	yee, into that darck clowdy land and deadly shadowe, where as is no ordre, but terrible feare as in the darcknesse.
Job.11.1	Then answered Sophar the Naamathite, and sayde:
Job.11.2	Shulde not he that maketh many wordes, be answered? Shuld he that bableth moch, be commended therin?
Job.11.3	Shulde men geue eare vnto the onely? Thou wilt laugh other men to scorne, and shal no body mock the againe?
Job.11.4	Wylt thou saye vnto God. The thyng that I take in hande is perfecte, and I am cleane in thy syght?
Job.11.5	O that God wolde speake, and open his lyppes agaynst the,
Job.11.6	that he myght shewe the (out of his secrete wysdome) why he rewardeth the double as he was appoynted to do: then shuldest thou knowe, that God had forgotten the because of thy synne.
Job.11.7	Art thou able to fynde out the secretes of God? Or wylt thou attayne to the perfectnesse of the almyghtye?
Job.11.8	He is hyer then heauen, what arte thou able to do? Deper then the hell, how wilt thou then know him?
Job.11.9	His length exceadeth the length of the earth, and hys bredth the bredth of the see.
Job.11.10	Though he turne all thinges vp syde downe, close them in, gather them togeather, who wyll turne hym from his purpose?
Job.11.11	For it is he that knoweth the vanite of men: he seyth theyr wyckednesse also, shulde he not then considre it?
Job.11.12	A vayne body exalteth hym selfe, and man new borne is lyke a wylde asses colte.
Job.11.13	If thou haddest nowe a ryght hert, and lyftedst vp thyne handes towarde hym:
Job.11.14	yf thou woldest put awaye the wickednes which thou hast in hande, so that no vngodlynesse dwell in thy house.
Job.11.15	Then myghtest thou lyft vp thy face without shame, and then shuldest thou be sure, and haue no nede to feare.
Job.11.16	Then shuldest thou forget thy miserye, Ꟶ thyncke nomore vpon it then vpon the waters that runne by.
Job.11.17	Then shuld the residue of thy lyfe be as cleare as the noone daye, and sprynge forth as the mornyng.
Job.11.18	Then mightest thou haue comforte, in the hope that thou hast: and slepe quyetly, when thou art buried.
Job.11.19	Then shuldest thou take thy rest, Ꟶ no man to make the afrayed, yee, many one shuld set moch by the.
Job.11.20	As for the eyes of the vngodly, they shalbe consumed, and not escape: theyr hope shalbe misery and sorow of mynde.
Job.12.1	So Iob answered, and sayd:
Job.12.2	Then (no doute) ye are the men alone, Ꟶ wysdome shall perysh with you.
Job.12.3	But I haue vnderstandyng as wel as ye, and am no lesse then ye. Yee, who knoweth not these thynges?
Job.12.4	Thus he that calleth vpon God, and whom God heareth, is mocked of hys neyghboure: the godly and innocent man is laughed to scorne.
Job.12.5	Godlynes is a lyght despysed in the hertes of the ryche, and is set for them to stomble vpon.
Job.12.6	The houses of robers are in wealth Ꟶ prosperite: and they that malyciously medle agaynst God, dwell without care, in those thynges that God hath geuen rychely with hys hande.
Job.12.7	Aske the catell, and they shall infourme the: the foules of the ayre, and they shall tell the.
Job.12.8	Or the increace of the earth, and it shall shewe the. Or the fysshers of the see, and they shall certifye the.
Job.12.9	What is he, but he knoweth that the hande of the Lorde made all these?
Job.12.10	In whose hande is the soule of euery liuyng thynge, and the breth of the flesh of all men.
Job.12.11	Haue not the eares pleasure in hering, and and the mouth in tastynge the thynge that it eateth?
Job.12.12	Amonge olde personnes there is wisdome, and in age is vnderstandyng.
Job.12.13	Yee, with God is wysdome and strength, it is he that hath councell and forknowledge.
Job.12.14	Beholde, If he breake downe a thyng, who can set it vp agayne? If he shut a thynge, who will open it?
Job.12.15	Behold, yf he witholde the waters, they drye vp. If he let them go, they destroye the erth.
Job.12.16	With him is strength Ꟶ wysdome: he knoweth both the disceauer Ꟶ hym that is disceaued.
Job.12.17	He carieth awaye the wyse men, as it were a spoyle, and bryngeth the iudges oute of theyr wittes.
Job.12.18	He taketh awaye the subieccion of the people from their kinges, and gyrdeth theyr loynes with a bonde.
Job.12.19	He ledeth awaye the greate men into captiuyte, and turneth the mightye vpsyde downe.
Job.12.20	He taketh the veryte from out of the mouth, and disapointeth the aged of theyr reason.
Job.12.21	He poureth the confusion vpon prynces, and comforteth them that haue bene oppressed.
Job.12.22	Loke what lyeth hyd in darcknes, he declareth it openly: and the very shadowe of death bryngeth he to lyght.
Job.12.23	He both increaseth the people, and destroyeth them. He maketh them to multyplye, and dryueth them awaye.
Job.12.24	He chaungeth the herte of them that rule the people of the earthe, and disapoynteth them: so that they go wandrynge out of the waye,
Job.12.25	and grope in the darcke without lyght: he maketh them also to stacker to and fro lyke droncken men.
Job.13.1	Lo, all thys haue I sene with myne eye, heard with myne eare, and vnderstande it.
Job.13.2	Loke what ye knowe, that same do I knowe also, nether am I inferior vnto you.
Job.13.3	Neuerthelesse, I talke with the almyghtye, and my desire is to comen with God.
Job.13.4	As for you, yeare worckmasters of lyes, and vnprofytable Phisicyans all together.
Job.13.5	Wold God ye kepte your tonge, for then myght ye be taken for wyse men.
