Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.1.22	Aboue, ouer the heades of the beastes there was a fyrmament, which was fashyoned as it had bene of the most pure Christall, and that was spred oute aboue vpon theyr heades:
Ezek.1.23	vnder the same fyrmament were theyr wynges layed abrode, one towarde another and two wynges couered the body of euery beaste.
Ezek.1.24	And when they wente forth, I hearde the noyse of theyr wynges, lyke the noyse of greate waters, as it had bene the voyce of the greate God, and a russhynge together as it were of an hoost of men. And when they stode styll, they let downe theyr wynges.
Ezek.1.25	Nowe when they stode styll, and had letten downe theyr wynges, it thondred in the fyrmament that was aboue theyr heades.
Ezek.1.26	Aboue the fyrmament that was ouer theyr heades, there was the fashyon of a seate, as it had bene made of Saphyr. Upon the seate there satt one lyke a man.
Ezek.1.27	I behelde hym, and he was lyke an angell, as it had bene all of fyre within from his loynes vpwarde. And beneth, when I loked vpon him vnder the loynes, me thought he was lyke a shynynge fyre, that geueth lyght on euery syde. Yee, the shyne and glystre that lyghtened rounde about,
Ezek.1.28	was lyke a raynbowe, which in a raynye daye appeareth in the cloudes. Euen so was the similytude, wherin the glorye of the Lorde appeared. When I sawe it, I fell vpon my face, and herkened vnto the voyce of hym that spake:
Ezek.2.1	And then sayd he vnto me: Stande vp vpon thy fete (O thou sonne of man) and I wyll talke with the.
Ezek.2.2	And as he was comoninge wt me, the sprete came into me, and sett me vp vpon my fete: so that I marcked the thynge, that he sayde vnto me.
Ezek.2.3	And he sayde Behold, thou sonne of man: I wyll sende the to the chyldren of Israel, to those runnagates and obstinate people: for they haue taken parte agaynst me, and are runne a waye fro me: both they and theyr fore fathers vnto thys daye.
Ezek.2.4	Yee, I wyll sende the vnto a people that haue rough visages and stiffe stomakes: vnto whom thou shalt saye on thys maner: Thys the Lorde God hym selfe hath spoken,
Ezek.2.5	that whether they be obedient or no (for it is a frowarde housholde) they maye knowe yet that there hath bene a Prophete amonge them.
Ezek.2.6	Therfore (thou sonne of man) feare them not, nether be afrayed of theyr wordes: for prouokers and thornes are with the. Yee, thou doest dwell amonge scorpions. but feare not theyr wordes, be not abashed at theyr lookes, for it is a frowarde housholde.
Ezek.2.7	Se that thou speake my wordes vnto them, whether they be obedient or not, for they are obstynate.
Ezek.2.8	Therfore, thou sonne of man, obey thou all thynges that I saye vnto the, Ꟶ be not thou styfnecked, lyke as they are a styfnecked houshold. Open thy mouth, and eate that I geue the.
Ezek.2.9	So as I was lokynge vp, beholde, there was sent vnto me an hande, wherin was closed a booke:
Ezek.2.10	and the hande opened it before me, and it was wrytten within and without full of carefull mournynges: alas, and woo
Ezek.3.1	After thys, sayde he vnto me: Thou sonne of man, eate that, whatsoeuer it be: yee eate that booke, and go thy waye, and speake vnto the chyldren of Israel:
Ezek.3.2	So I opened my mouth, and he gaue me the booke for to eate,
Ezek.3.3	and sayde vnto me. Thou sonne of man, thy bely shall eate, and thy bowels shalbe fylled with the booke, that I geue the. Then dyd I eate the boke, and it was in my mouth sweter then hony.
Ezek.3.4	And he sayde vnto me: thou sonne of man, get the soone vnto the house of Israel, and shewe them the wordes, that I commaunde th
Ezek.3.5	for I sende the not to the people that hath a straunge, vnknowne, or hard speache, but vnto the house of Israel.
Ezek.3.6	Not to many nacyons, which haue dyuerse speaches and harde languages, whose wordes thou vnderstandest not Neuerthelesse, yf I sent the to those people, they wolde folowe the.
Ezek.3.7	But the house of Israel wyll not folowe the, for they wyll not folowe me: yee, all the house of Israel haue stiffe forheades Ꟶ harde hertes.
Ezek.3.8	Beholde therfore, I will make thy face preuayle agaynst their faces, and harden thy foreheade agaynst their foreheades:
Ezek.3.9	so that thy foreheade shalbe harder then an Adamant or flynt stone: that thou mayest feare them the lesse, and be lesse afrayed of them, for they are a frowarde housholde.
Ezek.3.10	He sayde moreouer vnto me: thou sonne of man, take diligent hede with thyne eares, to the wordes that I speake vnto the fasten them in thyne herte:
Ezek.3.11	and go to the presoners of thy people, speake vnto them, and saye on thys maner: Thus the Lorde God hath spoken: whether ye heare, or heare not.
Ezek.3.12	With that the sprete toke me vp. And I hearde the noyse of a greate russhynge and remouynge of the most blessed glory of the Lorde out of hys place.
Ezek.3.13	I hearde also the noyse of the wynges of the beastes, that russhed one agaynst another, yee, and the ratlyng of the wheles, that were by them, whych rushynge and noyse was very greate.
Ezek.3.14	Nowe when the sprete toke me vp, and caryed me awaye, I wente wyth an heuy Ꟶ a sorowfull mynde, but the hande of the Lorde comforted me ryght soone.
Ezek.3.15	And so in the begynnynge of the moneth Abib. I came to the presoners, that dwelt by the water of Cobar, Ꟶ remayned in that place, where they were: And so contynued I amonge them seuen dayes, beynge very sory.
Ezek.3.16	And when the seuen dayes were expired, the Lorde sayde vnto me:
Ezek.3.17	Thou sonne of man, I haue made the a watchman vnto the house of Israell: therfore take good hede to the wordes of my mouthe, Ꟶ geue them warnynge at my commaundement.
Ezek.3.18	If I saye vnto the, concernynge the vngodly man, that (wythout doute) he must dye, and thou geuest hym not warnynge, ner speakest vnto hym, that he may turne from hys euell waye, and so to lyue: Then shall the same vngodly man dye in his awne vnryghteousnes: but hys bloude wyll I requyre of thyne hand.
Ezek.3.19	Neuertheles, yf thou geue warnynge vnto the wycked, and he yet forsake not his vngodlynesse: then shall he dye in his awne wyckednesse, but thou hast discharged thy soule.
Ezek.3.20	Nowe yf a ryghteous man go from his ryghteousnesse, and do the thynge that is euell: I will laye a stomblynge blocke before him, and he shall dye because thou hast not geuen hym warnyng: yee, dye shall he in hys awne synne, so that the vertue, whych he dyd before, shall not be thought vpon: but his bloude wyll I requyre of thyne hande.
Ezek.3.21	Neuerthelesse, yf thou exhortest the ryghteous, that he synne not, Ꟶ so the ryghteous do not synne: then shall he lyue, because he hath receaued thy warnynge, and thou hast discharged thy soule.
Ezek.3.22	And there came the hande of the Lorde vpon me, and he sayd vnto me: Stande vp, and go into the felde, that I may there talke wyth the.
Ezek.3.23	So when I had rysen vp, and gone forth into the felde: Beholde, the glory of the Lord stode there, lyke as I sawe it afore, by the water of Cobar. Then fell I downe vpon my face,
Ezek.3.24	Ꟶ the sprete came in to me, whych set me vp vpon my fete, Ꟶ sayd thus vnto me: Go thy waye, and sparre thy self in thyne house.
Ezek.3.25	Beholde, (O thou sonne of man) there shall chaynes be brought for the, to bynde the wythall, so that thou shalt not escape out of them.
Ezek.3.26	And I wyll make thy tunge cleue so to the rofe of thy mouth, that thou shalt be domme, Ꟶ not be as a chyder wyth them: for it is an obstinate housholde.
Ezek.3.27	But when I speake vnto the, then open thy mouth, and saye: Thus sayeth the Lorde God: who so heareth, let hym heare: who so wyll not let him leaue, for it is an obstynate housholde.
Ezek.4.1	Thou sonne of man: take a tyle stone, Ꟶ laye it before the, and descrybe vpon it the cytie of Ierusalem,
Ezek.4.2	howe it is beseged, howe bulwarkes and stronge dyches are grauen on euery syde of it: descrybe also tentes, and an hoost of men rounde aboute it. wyth engynes of warre.
Ezek.4.3	Moreouer, take an yron panne, and set it betwixte the and the cyte, in steade of an yron wall. Then set thy face toward it, besege it, and laye ordinaunce agaynst it, to wynne it. Thys shalbe a token vnto the house of Israel.
Ezek.4.4	But thou shalt slepe vpon thy left syde, and laye the synne of the house of Israel vpon the. Certayne dayes appoynted, thou shalt slepe vpon that syde, and beare their synnes.
Ezek.4.5	Neuerthelesse, I will appoynte the a tyme (to put of theyr synnes) Ꟶ the nombre of the dayes: Thre hundreth and .xc. dayes must thou beare the wyckednesse of the house of Israell.
Ezek.4.6	When thou hast fulfylled these dayes lye downe agayne, and slepe vpon thy ryght syde .xl. dayes, and beare the synnes of the house of Iuda. A daye for a yeare, a daye (I saye) for a yeare, wyll I euer laye vpon the.
Ezek.4.7	Therfore set nowe thy face agaynst that beseged Ierusalem, and discouer thyne arme, that thou mayest prophecye agaynst it.
Ezek.4.8	Beholde, I wyll laye chaynes vpon the, that thou shalt not turne the from one syde to another, tyll thou hast ended the dayes of thy sege.
Ezek.4.9	Wherfore, take vnto the wheate, barly beanes, growell sede, Milium and fytches: and put these together in a vessel, and make the loaues of bread therof, accordynge to the nombre of the dayes that thou must lye vpon thy syde: that thou mayest haue bread to eate, for thre hundreth and .xx. dayes.
Ezek.4.10	And the meate that thou eatest, shall haue a certayne wayght appoynted: namely twentye sycles euery daye. Thys apoynted meate shalt thou eate daylye, from the begynnynge to the ende.
Ezek.4.11	Thou shalt dryncke also a certayne measure of water: Namely, the syxt parte of an Hin shalt thou dryncke dayly from the begynnyng vnto the ende.
Ezek.4.12	Barly cakes shalt thou eate, yet shalt thou fyrst tost them at a fyre made with mans donge, that they maye se it.
Ezek.4.13	And with that sayde the Lorde: Euen thus shall the chyldren of Israel eate their defyled bread in the myddest of the Gentiles, amonge whom I wyll scatre them.
Ezek.4.14	Then sayde I: Oh Lorde God. Beholde my soule was yet neuer stayned: for fro my youth vp vnto this houre, I dyd neuer eate of a deed carcase, or of that which was slayne of wylde beastes, nether came there euer eny vncleane fleshe in my mouth.
Ezek.4.15	Wher vnto he answered me, and sayde: well than, I wyll graunte the to take cowes donge for the donge of a man, and to toste the bread wyth all before them.
Ezek.4.16	And he sayde vnto me: Beholde thou sonne of man, I wyll mynishe all the prouision of bread in Ierusalem, so that they shall weye their bred: and eate it with scarcenesse. But as for water, they shall haue a very lytle measure therof, to drincke.
Ezek.4.17	And when they haue nomore bread ner water, one shall be destroyed with another, and famysh awaye for theyr wyckednesse.
Ezek.5.1	O thou sonne of man, take the then a sharpe knyfe, namely, a rasoure. Take that, and shaue the heare of thy head and beerd: Then take the skales and the wayght, Ꟶ deuyde the hearre a sunder.
Ezek.5.2	And after thou hast accomplished the dayes of the syege: burne the thyrde parte therof in the fyre in the myddest of the cytie, Ꟶ cut the other thyrde parte in peces wyth a knyfe. As for the thirde parte that remayneth, cast it in the wynde and I wyll drawe out the swerde after them.
Ezek.5.3	Yet afterwarde, take a lytle of the same, and bynde it in thy cote lappe.
Ezek.5.4	Then take a curtesy of it, and cast it in the myddest of the fyre: Ꟶ burne it in the fyre. Out of the same fyre shall there goo a flame, vpon the whole house of Israel.
Ezek.5.5	Moreouer, thus sayde the Lorde God: Thys same is Ierusalem. I sett her in the myddest of the Heathen Ꟶ nacions that are rounde aboute her,
Ezek.5.6	but she hath despysed my iudgementes more then the Gentiles them selues, and broken my commaundementes more then the nacyons, that lye rounde aboute her: For they haue cast out myne ordinaunces, and not walcked in my lawes.
Ezek.5.7	Therfore, thus sayeth the Lord God: For so moch as ye haue bene more augmented in nombre of people then the Heathen, that dwell rounde aboute you: and ye haue not walcked in my lawes, nether haue ye kepte myne ordinaunces, and ye haue not lyued so ryghtwislye as the Hethen that ar rounde about youe:
Ezek.5.8	Therfore thus sayeth the Lord God: I wyll also come vpon the, I my selfe I saye, for in the myddest of the wyll I syt in iudgment, in the syght of the Heathen,
Ezek.5.9	Ꟶ wyll handle the of soch a fashyon, as I neuer dyd before, and as I neuer wyll do from that tyme forth, and that because of all thyne abhominacions.
Ezek.5.10	For in the, fathers shall be fayne to eate their awne sonnes, and the sonnes their awne fathers. Soch a courte will I kepe in the, and the whole remnaunt of the wyll I scatre in to all the wyndes.
Ezek.5.11	Wherfore, as truly as I lyue (sayeth the Lord God) seyng thou hast defyled my Sanctuary, with all maner of abhominacyons Ꟶ wt all thy shamefull offences: For thys cause wyll I also destroye the. Myne eye shall not ouerse the, nether wyll I spare the.
Ezek.5.12	One thyrde parte wythin the, shall dye of the pestilence Ꟶ of honger: Another thirde parte shall be slayne downe rounde aboute the with the swerde: The other thyrde parte that remayneth, wyll I scatre abroade towarde all the wyndes, and drawe out the swearde after them.
Ezek.5.13	Thus I wyll perfourme my indignacion, Ꟶ set my wrath agaynst them, and ease my selfe. So that when I haue fulfylled myne anger agaynst them, they shall knowe that I am the Lorde, which wyth a feruent gelousy haue spoken it.
Ezek.5.14	Moreouer, I wyll make the waste and abhorred, before all the Heathen that dwell aboute the, Ꟶ in the sight of all them, that go by the:
Ezek.5.15	so that when I punish the in my wrath, in myne anger, Ꟶ with the plage of my whole displeasure: thou shalt be a very abhominacion, shame, a gasynge Ꟶ wondrynge stocke, amonge the Heathen that lye aboute the. Euen I the Lorde haue spoken it, and it shall come to passe,
Ezek.5.16	when I shute amonge them the perlous dartes of honger, which shalbe but death: Yee, therfore shall I shute them, because I will destroye you: I wyll encrease hunger, and mynish all the prouision of bread amonge you.
Ezek.5.17	Plages Ꟶ misery wyll I sende you, yee, Ꟶ wylde beastes also to destroye you. Pestilence and bloudshedinge shall come vpon you, Ꟶ the swearde wyll I bringe ouer you. Euen I the Lorde, haue sayde it.
Ezek.6.1	And the worde of the Lord came vnto me, sayinge:
Ezek.6.2	Thou sonne of man, turne thy face to the mountaynes of Israel, that thou mayest prophecie vnto them,
Ezek.6.3	and saye: Heare the worde of the Lord God, O ye mountaynes of Israel: Thus hath the Lorde God spoken to the mountaynes, hylles, valleys and dales. Beholde I, I my selfe I saye, wyll brynge a swearde ouer you, and destroye youre hye places:
Ezek.6.4	I wyll cast downe youre aulters, and breake downe youre ymages. Youre slayne men wyll I laye before youre goddes,
Ezek.6.5	and the deed carcases of the chyldren of Israel wyll I cast before theyr Idoles, youre bones wyll I destroye rounde aboute youre aulters,
Ezek.6.6	and dwellyng places. The cyties shalbe desolate, the hyllchapels layed waste: youre aulters destroyed, Ꟶ broken: youre goddes cast downe, and taken awaye, your temples layde eauen wyth the grounde, your awne worckes cleane roted oute.
Ezek.6.7	Youre slayne men shall lye amonge you, that ye maye learne to knowe, howe that I am the Lorde.
Ezek.6.8	Those that be amonge you Ꟶ haue escaped the swearde, wyll I leaue amonge the Gentiles, for I wyll scatre you amonge the nacyons.
Ezek.6.9	And they that escape of you, shall thincke vpon me amonge the Heathen, where they shalbe in captiuitye. As for that whorysh and vnfaythfull herte of theyrs, wherewyth they runne awaye fro me, I wyll breake it: yee, Ꟶ put oute those eyes of theirs, that commytte fornicacyon with theyr Idols. Then shall they be ashamed, and displeased wyth their selues, for the wyckednesses and abhominacyons, which they haue done:
Ezek.6.10	and shall learne to knowe, that I am the Lorde howe that it is not in vayne, that I the Lorde spake, to brynge soch misery vpon them.
Ezek.6.11	The Lord sayde moreouer vnto me: Smyte thyne handes together, and stampe wyth thy fete, and saye: Wo worth all the abhominacions and wyckednesses of the house of Israel, for because of them, they shall perysh wt the swearde, wyth honger and with pestilence.
Ezek.6.12	Who so is farre of, shall dye of the pestilence: he that is nye at hande, shall perysh wyth the swearde: and the other that remayne Ꟶ that are beseged, shall dye of honger. Thus wyll I satisfye my wrothfull displeasure vpon them.
Ezek.6.13	And so shall ye learne to knowe, that I am the Lorde, when youre slayne men lye amonge youre Idols, and aboute youre aulters: vpon all hye hylles and toppes of mountaynes, amonge all grene trees, amonge all thycke okes: euen in the places, where they dyd sacrifyce to all theyr Idols.
Ezek.6.14	I wyll stretch myne hande oute vpon them, and wyll make the lande waste: So that it shall lye desolate and voyde, from the wyldernesse of Deblothah forth, thorowe all their habitacions: to learne them for to knowe, that I am the Lorde.
Ezek.7.1	The worde of the Lorde came vnto me on thys maner:
Ezek.7.2	The I call, O thou sonne of man. Thus sayeth the Lorde God vnto the lande of Israel: The ende commeth, vpon the lande of Israel yee, verely the ende commeth vpon all the foure corners of the lande.
Ezek.7.3	But nowe shall the ende come vpon the for I wyll sende my wrath vpon the, Ꟶ will punyshe the: accordynge to thy wayes, Ꟶ rewarde the after all thyne abhominacions.
Ezek.7.4	Myne eye shall not ouerse the, nether will I spare the: but rewarde the, accordyng to thy wayes, and declare thyne abhominacyons. Then shall ye knowe, that I am the Lorde.
Ezek.7.5	Thus sayeth the Lord God: Beholde, one misery and plage shall come after another.
Ezek.7.6	the ende is here. The ende (I saye) is come, it watched for the, beholde it is come all ready,
Ezek.7.7	thy destructyon is erlye come agaynst the, that dwellest in the lande. The tyme is at hande, the daye of sedicion is harde by, Ꟶ the crye shall not be as the soundinge agayne of the mountaynes.
Ezek.7.8	Therfore, I wyll shortly pour out my sore displeasure ouer the, and fulfyll my wrath vpon the. I wyll iudge the after thy wayes, and recompence the all thy abhominacyons.
Ezek.7.9	Myne eye shall not ouerse the, nether wyll I spare the: but rewarde the after thy wayes, Ꟶ thyne abhominacions shall be punished in the middes of the, to learne you for to knowe, howe that I am the Lord that smyteth.
Ezek.7.10	Beholde, the daye is here the daye is come, the houre is runne out, the rodde florisheth, pryde waxeth grene,
Ezek.7.11	malicyous violence is growne vp, and the vngodly waxen to a staf. None of them shal remayne ouer, none of their riches, not one of ther seede, and no lamentacion shall be made for them.
Ezek.7.12	The tyme commeth, the daye draweth nye: Who so byeth, lett him not reioyce: he that selleth, let hym not be sory: for why. Trouble shall come in the myddest of them all:
Ezek.7.13	so that the seller shall not come agayne to the thinge he solde, all though theyr lyfe be yet with the lyuinge. For when the prophecye was preached vnto all the people, none returned from ther synne, and noman toke strengthe to him agenst his wyckednesse, to saue his awne lyfe.
Ezek.7.14	The trompettes shall ye blowe, Ꟶ make you all ready, but no man shall goo to the battell, for I am wroth with all the whole multitude.
Ezek.7.15	The swearde shalbe without, pestilence and honger wythin: so that whoso is in the felde, shalbe slayne with the swearde: and he that is in the cytie shall perysh with honger and pestilence.
Ezek.7.16	And soch as escape and fle from amonge them, shall be vpon the hylles, lyke as the doues in the felde: euery one shalbe afrayed, because of his awne wyckednesse.
Ezek.7.17	All handes shalbe let downe, Ꟶ all knees shalbe weake as the water:
Ezek.7.18	they shall gyrde them selues wyth sackcloth, feare shall fall vpon them. Theyr faces shalbe confounded, and theyr heades balde:
Ezek.7.19	theyr syluer shall they cast forthe in the stretes, Ꟶ their golde shalbe despysed: Yee, theyr syluer Ꟶ golde maye not delyuer them, in the daye of the fearfull wrath of the Lorde. They shall not satisfye their hongry soules, nether fyll their emptye bellyes therwt: For it is become their awne decaye thorow their wickednes:
Ezek.7.20	And ther bewtyfull costlye ornamente that God had ordeyned to be their great glorye, in it they haue sett vp abhominacyons vnto ther Idols. For this cause wyll I make them and it to be abhorred.
Ezek.7.21	Moreouer, I wyll geue it into the handes of the straungers to be spoyled: and to the wycked, for to be robbed, and they shall destroye it.
Ezek.7.22	My face wyll I turne from them, my treasury shalbe defiled: for the theues shall go into it, and suspende it.
Ezek.7.23	Make a cheyne, for the lande is whole defyled wyth vnryghteous iudgement of innocent bloude, and the cytie is full of violent oppressyon.
Ezek.7.24	Wherfore, I wyll bringe the most cruell tyrauntes from amonge the Heathen, to take theyr houses in possessyon. I wyll make the pompe of the proude to ceasse, and ther sanctuary shall be defyled.
Ezek.7.25	When thys trouble commeth, they shall seke peace, but they shall haue none.
Ezek.7.26	One myschefe and sorowe shall folowe another, and one rumoure shall come after another: Then shall they seke visyons in vayne at their Prophetes. The lawe shall be gone from the prestes, and wysdome from the elders.
Ezek.7.27	The kynge shall mourne, the Prynces shalbe clothed with heuynesse, and the handes of the people in the lande shall tremble for feare. I wyll do vnto them after theyr awne wayes, accordynge to their awne iudgementes wyll I iudge them: to learne them for to knowe, that I am the Lorde.
Ezek.8.1	It happened, that in the syxte yeare the fyfth daye of the syxte moneth. I sat in my house, and the Lordes of the councell of Iuda with me: and the hande of the Lorde God fell euen there vpon me.
Ezek.8.2	And as I loked vp, I sawe as it were a licknesse of fyre from hys loynes downe warde and from hys loynes vpwarde it shyned maruelous cleare Ꟶ lyke an angell to loke vpon.
Ezek.8.3	This symilitude stretched out an hande, and toke me by the hearrye lockes of my head, and the sprete lyft me vp betwyxte heauen and earth: and brought me in a visyon to Ierusalem, into the entrie of the inner porte that lyeth towarde the north: there stode an ymage, with whom he that hath all thynges in hys power, was very wroth.
Ezek.8.4	And beholde, the glory of the God of Israel was in the same place: euen as I had sene it afore in the felde.
Ezek.8.5	And he sayde vnto me: Thou sonne of man, O lyft vp thyne eyes, and loke towarde the north. Then lyft I vp myne eyes towarde the north, Ꟶ beholde: besyde the porte northwarde, there was an aulter made vnto the ymage of prouocacyon in the very entryng in.
Ezek.8.6	And he sayde furthermore vnto me: Thou sonne of man, seest thou what these do? Seest thou the greate abhominacyons that the house of Israel commytte in thys place? to dryue me from my sanctuary? But turne the aboute, and thou shalt se yet greater abhominacyons.
Ezek.8.7	And wyth that brought he me to the courte gate: Ꟶ when I loked, beholde, there was an hole in the wall.
Ezek.8.8	Then sayde he vnto me: Thou sonne of man, dygge thorow the wall. And when I dygged thorow the wall, beholde, there was a dore.
Ezek.8.9	And he sayde vnto me: Go thy waye in, and loke what wycked abhominacyons they do here.
Ezek.8.10	So I wente in, and sawe: and beholde, there were all maner ymages of wormes Ꟶ beastes, all Idoles and abhominacyons of the house of Israel paynted euery one rounde about the wall.
Ezek.8.11	Ther stode also before the ymages .lxx. Lordes of the councell of the house of Israel: and in the myddest of them stode Iaazanih the sonne of Saphan: And euery one of them had a censoure in hys hande, and out of the incense, there went a smoke, as it had bene a cloude.
Ezek.8.12	Then sayde he vnto me. Thou sonne of man, hast thou sene what the Senatoures of the house of Israel do secretly, euery one in hys chambre? For they saye: Tush, the Lorde seeth vs not, the Lorde regardeth not the worlde.
Ezek.8.13	And he sayd vnto me: Turne the yet agayne, and thou shalt se yet greater abhominacyons that they do.
Ezek.8.14	And wyth that he brought me to the dore of the porte of the Lordes house, towarde the north. And beholde, there sat women mournynge for Thamus.
Ezek.8.15	Then sayde he vnto me: hast thou sene thys, thou sonne of man? Turne the aboute, and thou shalt se yet greater abhominacyons then thes are.
Ezek.8.16	And so he brought me into the inwarde court of the Lordes house: and beholde at the porte of the Lordes house, betwyxte the fore entrye and the aulter, there were fyue and twenty men, that turned their backes vpon the temple of the Lorde, and theyr faces towarde the easte, and these worshypped the sonne.
Ezek.8.17	And he sayde vnto me: hast thou sene this, thou sonne of man? Thynketh the house of Iuda, that it is but a trifle, to do these abhominacyons here? Shulde they fyll the lande full of wyckednesse, and vndertake to prouoke me vnto anger? Yee, and purposely to cast vp theyr noses vpon me?
Ezek.8.18	Therfore will I also do some thynge in my wrathfull dyspleasure, so that myne eye shall not ouerse them, nether wyll I spare them. Yee, and though they crye in myne eares wyth loude voyce, yet wyll I not heare them.
Ezek.9.1	He cryed also with a loude voyce in myne eares, sayinge: Come, here ye rulers of the cyte, euery man wyth his weapened hande to the slaughter.
Ezek.9.2	Then came there syxe men out of the strete of the vpper porte towarde the north, and euery man a weapen in hys hande to the slaughter. There was one amongest them, that had on hym a lynen rayment, Ꟶ a wryters ynckhorne by hys syde. These wente in, Ꟶ stode besyde the brasen aulter:
Ezek.9.3	for the glory of the Lorde was gone awaye from the Cherub whych was vpon him, Ꟶ was come downe to the thresholde of the house, and he called the man that had the lynen rayment vpon hym, and the wryters ynckhorne by his syde,
Ezek.9.4	and the Lorde sayde vnto hym: Go thy waye thorowe the cyte of Ierusalem, and set a marcke vpon the foreheades of them, that mourne and are sory for all the abhominacions, that be done therin.
Ezek.9.5	And to the other, he sayde that I myght heare: Go ye after hym thorowe the cytie, slaye, ouerse none, spare none:
Ezek.9.6	kyll and destroye both olde men and yonge, maydens, chyldren, and wyues. But as for those, that haue the marcke vpon them: se that ye touch them not, and begynne at my Sanctuary. Then they beganne at the elders, whych were in the temple,
Ezek.9.7	for he had sayde vnto them: When ye haue defyled the temple, and fylled the courte wyth the slayne, then go your waye forth. So they wente out, Ꟶ slewe downe thorowe the citie.
Ezek.9.8	Nowe when they had done the slaughter, Ꟶ I yet escaped: I fell downe vpon my face, Ꟶ cryed, sayinge: O Lorde, wylt thou then destroye all the resydue of Israel, in thy sore displeasure, that thou hast poured vpon Ierusalem?
Ezek.9.9	Then sayde he vnto me: The wyckednesse of the house of Israel and Iuda is very greate: so that the lande is full of bloude, and the citie full of vnfaithfulnesse: For they saye: Tush the Lorde regardeth not the earth, he seeth vs not.
Ezek.9.10	Therfore wyll I vpon them, myne eye shall not ouerse them, nether wyll I spare them, but wyll recompense theyr wyckednesse vpon theyr heades.
Ezek.9.11	And beholde, the man that had the lynen rayment vpon hym, and the wryters ynckhorne by hys syde: tolde all the matter howe it happened, and sayde: Lorde as thou hast commaunded me, so haue I done.
Ezek.10.1	And as I loked, beholde, in the firmament that was aboue the Cherubins there appeared the symilitude of a stole of Saphyr vpon them:
Ezek.10.2	Then sayde he that sat therin, to him that had the lynen rayment vpon hym: Crepe in betwene the wheles that are vnder the Cherubyns, and take thyne hande full of hoate coales out from betwene the Cherubyns, and cast them ouer the cytie. And he crepte in, that I myght se.
Ezek.10.3	Now the Cherubyns stode vpon the ryght syde of the house, when the man wente in, Ꟶ the cloude fylled the inner courte.
Ezek.10.4	But the glory of the Lorde remoued from the Cherubyns, and came vpon the thresholde of the house: so that the temple was full of cloudes, and the courte was full of the shyne of the Lordes glory.
Ezek.10.5	Yee, and the sounde of the Cherubyns wynges was hearde into the fore courte, lyke as it had bene the voyce of the almyghtye God, when he speaketh.
Ezek.10.6	Nowe when he had byden the man that was clothed in lynen, to go and take the hoate coales from the myddest of the wheles, whych were vnder the Cherubyns: he wente Ꟶ stode besyde the wheles.
