Acts.0.0	¶ The Actes of the Apostles.
Acts.3.18	But God (which before had shewed, by the mouth of all hys Prophetes, howe that Chryst shuld suffre) hath thus wyse fulfylled.
Acts.3.19	Let it repente you therfore, and conuerte, that youre synnes maye be done awaye when the tyme of refresshynge commeth, which we shall haue of the presence of the Lorde,
Acts.3.20	and when God shal sende him, which before was preached vnto you, that is to with Iesus Christ,
Acts.3.21	which must receaue heauen vntyll the tyme that all thynges, which God hath spoken by the mouth of all hys holy Prophetes sence the worlde began, be restored agayne.
Acts.3.22	Moses trulye sayde vnto the fathers: a Prophet shall the Lorde youre God rayse vp vnto you, euen of youre brethren lyke vnto me: him shall ye heare, in all thynges whatsoeuer he shall saye vnto you.
Acts.3.23	For the tyme wyll come, that euery soule which wyll not heare that same Prophet, shalbe destroyed from amonge the people.
Acts.3.24	All the Prophetes also from Samuel and thence forth (as many as haue spoken) haue in lyke wyse tolde of these dayes.
Acts.3.25	Ye are the chyldren of the Prophetes, and of the couenaunt, which God made vnto oure fathers, sayinge to Abraham: Euen in thy seede shal all the kynredes of the earth be blessed.
Acts.3.26	Fyrst whan God had raysed vp hys sonne Iesus vnto you, he sent him to blesse you, that euery one of you shulde turne from his wyckednes.
Acts.4.1	As they spake vnto the people, the prestes and the rulars of the temple, and the Saduces, came vpon them,
Acts.4.2	takyng it greuously, that they taught the people, and preached in Iesus the resurreccyon from deeth.
Acts.4.3	And they layde handes on them, and put them in holde vntyll the nexte daye: for it was now euentyde.
Acts.4.4	Howbeit many of them which hearde the wordes beleued, and the nombre of the men was aboute fyue thousande.
Acts.4.5	And it chaunsed on the morow, that their rulars and elders and Scribes,
Acts.4.6	(and Annas the chefe Prest, and Cayphas, and Iohn, and Alexander, Ꟶ as many as were of the kynred of the hye Prestes) gathered together at Ierusalem.
Acts.4.7	And whan they had set them before them they asked by what power, or in what name haue ye done this?
Acts.4.8	Then Peter full of the holy goost sayde vnto them ye rulars of the people, and elders of Israel,
Acts.4.9	yf we this daye be examined of the good dede that we haue done to the sycke man by what meanes he is made whoale:
Acts.4.10	be it knowen vnto you all, and to all the people of Israel, that by the name of Iesus Chryst of Nazareth, whom ye crucyfyed, whom God raysed agayne from deeth: euen by him doth this man stande here present before you whoale.
Acts.4.11	This is the stone which was cast asyde of you buylders, which is become the chefe of the corner.
Acts.4.12	Nether is there saluacyon in eny other. For amonge men vnder heauen there is geuen none other name, wherin we must be saued.
Acts.4.13	When they sawe the boldnes of Peter and Iohn, and vnderstode that they were vnlerned and laye men, they marueyled, and they knewe them, that they had bene with Iesu:
Acts.4.14	and beholdynge also the man (which was healed) standynge with them, they coulde not saye agaynst it:
Acts.4.15	but commaunded them to go asyde out of the counsell, and counceled amonge them selues,
Acts.4.16	sayinge: what shall we do to these men? For a manifest sygne is done by them, and is openly knowen to all them that dwell in Ierusalem, and we cannot denye it.
Acts.4.17	But that it be noysed no farther amonge the people, let vs threaten and charge them, that they speake hence forth to no man in thys name.
Acts.4.18	And they called them, and commaunded them, that in no wyse they shulde speake ner teach in the name of Iesu.
Acts.4.19	But Peter Ꟶ Iohn answered and sayde vnto them: whether it be ryght in the sight of God, to herken vnto you more then to God, iudge ye.
Acts.4.20	For we cannot but speake, that which we haue sene Ꟶ heard.
Acts.4.21	So threatened they them, and let them go, and founde nothynge howe to punysshe them, because of the people. For all men praysed God because of that which was done:
Acts.4.22	for the man was aboue fourty yeare olde, on whom thys myracle of healynge was shewed.
Acts.4.23	Assone as they were let go, they came to theyr felowes, and shewed all that the hye Prestes and elders had sayde.
Acts.4.24	And when they hearde that, they lyfte vp their voyces to God with one accorde, and sayde: Lorde, thou art God, which hast made heauen and erth, the see, Ꟶ all that in them is,
Acts.4.25	which by the mouth of thy seruaunt Dauid hast sayd: Why dyd the hethen rage, and the people ymagen vayne thynges?
Acts.4.26	The kynges of the erth stode vp, and the rulars came together, agaynst the Lorde and agaynst hys anoynted.
Acts.4.27	For of a trueth, agaynst thy holy chylde Iesus (whom thou hast anoynted) both Herode and also Poncius Pylate, which the Gentyls and the people of Israel, gathered them selues together
Acts.4.28	for to do whatsoeuer thy hande and thy counsell determyned before to be done.
Acts.4.29	And now Lorde, beholde their threatenynges, and graunte vnto thy seruauntes, that with all confydence they maye speake thy worde.
Acts.4.30	So that thou stretche forth thyne hande, that healynge and sygnes and wonders be done by the name of thy holy chylde Iesus.
Acts.4.31	And assone as they had prayed the place moued where they were assembled together and they were all fylled with the holy Goost, and they spake the worde of God boldely.
Acts.4.32	And the multitude of them that beleued, were of one hert, Ꟶ of one soule. Neyther sayde anye of them, that ought of the thynges which he possessed, was hys awne: but they had all thinges commen.
Acts.4.33	And with greate power gaue the Apostles wytnes of the resurrecyon of the Lord Iesu. And great grace was with them all.
Acts.4.34	Nether was ther eny among them, that lacked. For as many as were possessers of landes or houses, solde them, and brought the pryce of the thinges that were solde,
Acts.4.35	and layed it downe at the Apostles fete: And distribucion was made vnto euery man accordynge as he had nede.
Acts.4.36	And Ioses, which was also called of the Apostles, Barnabas (that is to saye, the sonne of consolacyon) beynge a Leuite, and of the countre of Cypers
Acts.4.37	whan he had lande, solde it, and layde the pryce downe at the Apostles fete.
Acts.5.1	A certayne man named Ananias with Saphyra his wyfe solde a possession,
Acts.5.2	and kepte awaye parte of the pryce (hys wyfe also beynge of counsell) and brought a certayne parte, and layde it downe at the Apostles fete.
Acts.5.3	But Peter sayde: Ananias, how is it, that Sathan hath fylled thyne hert, that thou shuldest lye vnto the holy goost, and kepe awaye parte of the pryce of the lande?
Acts.5.4	Pertayned it not vnto the onely? Ꟶ after it was solde, was it not in thyne awne power? Why hast thou conceaued this thinge in thyne herte? Thou hast not lyed vnto men, but vnto God.
Acts.5.5	When Ananias herde these wordes, he fell downe, and gaue vp the goost. And great feare came on all them that hearde these thinges.
Acts.5.6	And the yonge men rose vp, and put hym a parte, and caryed hym out, and buried hym.
Acts.5.7	And it fortuned, that (as it were aboute the space of thre houres after) his wyfe came in, ignoraunt of that which was done.
Acts.5.8	And Peter sayde vnto her: Tell me, Solde ye not the lande for so moch? And she sayd: yee, for so moch.
Acts.5.9	Then Peter sayde vnto her: why haue ye agreed together, to tempt the sprete of the Lorde? Beholde, the fete of them which haue buried thy husband, are at the dore, and shall cary the out.
Acts.5.10	Then fell she downe strayght waye at his fete, and yelded vp the goost. And the yonge men came in, and founde her deed, Ꟶ caryed her out, Ꟶ buryed her by her husbande.
Acts.5.11	And great feare came on all the congregacyon, and on as many as hearde it.
Acts.5.12	By the handes of the Apostles were many sygnes and wondres shewed among the people. And they were all together with one accorde in Salomons porche.
Acts.5.13	And of other durst no man ioyne him self to them: neuertheles the people magnified them.
Acts.5.14	The nombred of them that beleued in the Lorde both of men and wemen, grewe more Ꟶ moare:
Acts.5.15	in so moch that they brought the sycke into the stretes, and layde them on beddes and couches, that at the least waye the shadowe of Peter when he came by, myght shadowe some of them,
Acts.5.16	There came also a multitude out of the cyties rounde aboute, vnto Ierusalem, bryngynge sycke folkes, and them which were vexed with vnclene spretes. And they were healed euery one.
Acts.5.17	Then the chefe Preste rose vp, and all they that were with him (which is the secte of the Saduces) and were full of indignacion,
Acts.5.18	and layde handes on the Apostles, and put them in the commen preson.
Acts.5.19	But the angell of the Lorde by nyght opened the preson dores, and brought them forth, and sayde:
Acts.5.20	go, and stande, and speake in the temple to the people all the wordes of this lyfe.
Acts.5.21	When they hearde that, they entred into the temple early in the mornynge: and taught. But the chefe preste came and they that were with him, and called a counsell together, and all the elders of the chyldren of Israel, and sent men to the preson, to fet them.
Acts.5.22	When the mynysters came, and founde them not in the preson, they returned and tolde,
Acts.5.23	sayinge: the preson truly founde we shut with all diligence, and the kepers standynge without before the dores. But when we had opened, we founde no man with in.
Acts.5.24	When the chefe Prest and the ruler of the temple, and the hye Prestes hearde these thynges, they douted of them, wher vnto thys wolde growe.
Acts.5.25	Then came one and shewed them: beholde, the men that ye put in preson, stande in the temple, and teach the people:
Acts.5.26	Then went the ruler of the temple, with ministres, and brought them without vyolence. For they feared the people, lest they shulde haue bene stoned.
Acts.5.27	And when they had brought them, they set them before the counsell. And the chefe Preste asked them,
Acts.5.28	sayinge: dyd not we straytely commaunde you: that ye shuld not teach in this name? And behold, ye haue fylled Ierusalem with youre doctryne, and intende to brynge this mans bloud vpon vs.
Acts.5.29	Peter and the other Apostles answered, Ꟶ sayde: We ought more to obey God then men.
Acts.5.30	The God of oure fathers raysed vp Iesus, whom ye slewe, and hanged on tre.
Acts.5.31	Hym hath God lyft vp with his ryght hand, to be a ruler and a sauiour, for to geue repentaunce to Israel, and forgeuenes of synnes.
Acts.5.32	And we are recordes of these thinges which we saye, and so is also the holy goost, whom God hath geuen to them that obey him.
Acts.5.33	When they hearde that, they claue asunder, and sought meanes to slee them.
Acts.5.34	Then stode ther vp one in the counsell, a Pharysey, named Gamaliel, a doctoure of lawe (had in reputacyon among all the people) and commaunded the Apostles to go asyde a lytell space,
Acts.5.35	and sayd vnto them: ye men of Israel, take hede to youre selues, what ye entende to do, as touchynge these men.
Acts.5.36	For before these dayes rose vp one Thudas, boastynge hym selfe, to whom resorted a nombre of men, about a foure hondred, which was slayn: and they all which beleued hym. were scatred abrode, and brought to nough
Acts.5.37	After this man, was ther one Iudas of Galile in the dayes of the tribute, and drewe awaye moche people after hym. He also perisshed and all, euen (as many as harkened to him) were scatered abrode.
Acts.5.38	And now I saye vnto you: refraine your selues from these men, and lett them alone. For yf this councel or this worke be of men, it wyll come to naught.
Acts.5.39	But and yf it be of God, ye cannot destroye it, lest haply ye be founde to stryue agaynst God.
Acts.5.40	And to hym agreed the other: and whan they had called the apostles, they bet them, and commaunded that they shulde not speake in the name of Iesu, and let them go.
Acts.5.41	And they departed from the counsell, I reioysinge, that they were counted worthy, to suffre rebuke for his name.
Acts.5.42	And dayly in the temple and in euery house they ceased not, to teach and preach Iesus Christ.
Acts.6.1	In those dayes (whan the nomber of the discyples grewe) there arose a grudge amonge the Grekes against the Hebrues, because their weddowes were despysed in the dayly ministracyon.
Acts.6.2	Then the twelue called the multitude of the disciples together and sayde, it is not mete, that we shuld leaue the worde of God: and serue tables.
Acts.6.3	Wherfore brethren, loke ye out amonge you seuen men of honeste report, and full of the holy ghost and wisdom, to whom we maye committe this busynes.
Acts.6.4	But we wyll geue oure selues continually to prayer, and to the ministracyon of the worde.
Acts.6.5	And the sayinge pleased the whole multitude. And they chose Steuen a man full of faith and of the holy ghost, and Philip, and Procorus, and Nichanor, and Timon, and Permenas, and Nicolas a conuert of Antioche.
Acts.6.6	These they set before the apostles: and when they had prayed, they layde theyr handes on them.
Acts.6.7	And the word of God encreased, and the nomber of the disciples multiplyed in Ierusalem greatly, and a greate companye of the prestes were obedient to the fayth.
Acts.6.8	And Steuen, full of fayth and power, dyd great wondres and miracles amonge the people.
Acts.6.9	Then ther arose certen of the Synagoges, which is called the Synagoge of the Libertynes and Sirenytes, and of Alexandria, and of Celicia, and of Asia, disputynge with Steuen.
Acts.6.10	And they coulde not resyste the wisdome, Ꟶ the sprete, which spake.
Acts.6.11	Then sent they in men, which sayde: we haue hearde hym speake blasphemous wordes against Moses, and agaynst God.
Acts.6.12	And they moued the people and the elders and the scribes: and came vpon him and caught hym,
Acts.6.13	and brought him to the councell, and brought forth false witnesse, which sayde: Thys man ceaseth not to speake blasphemous wordes against this holy place and the lawe:
Acts.6.14	for we heard him saye: this Iesus of Nazareth shal destroye this place, and shal chaunge the ordinaunces, which Moses gaue vs.
Acts.6.15	And all that sate in the counsell, loked stedfastly on him, and sawe his face as it had bene the face of an aungell.
Acts.7.1	Then sayd the chefe preste: is it euen so?
Acts.7.2	And he sayd: ye men, brethren and fathers, hearken. The God of glory appeared vnto our father Abraham, whan he was in Mesopotamia, before he dwelt in Charran,
Acts.7.3	and sayd vnto hym: Get the out of thy countre, and from thy kynred, and come into the land, which I shall shewe the.
Acts.7.4	Then came he out of the lande of Chalde, and dwelt in Charran. And from thence, whan hys father was deed, he brought him into this lande in which ye now dwel,
Acts.7.5	and he gaue hym none inheritaunce in it, no not the bredeth of a fote: and promysed that he wold geue it to him to possesse Ꟶ to his seed after hym, when as yet he had no chylde.
Acts.7.6	God verely spake on thys wise that his seade shulde sogeourne in a straunge lande, Ꟶ that they shulde kepe them in bondage, and entreate them euell .iiij.C. yeares.
Acts.7.7	And the nacyon (to whom they shalbe in bondage) will I iudge, sayd God. And after that shal they come forth and serue me in thys place.
Acts.7.8	And he gaue him the couenaunt of circuncisyon. And he begat Isaac, and circumcised him the eight daye, and Isaac begat Iacob, and Iacob begat the twelue patriarckes.
Acts.7.9	And the patriarkes hauing indygnacyon solde Ioseph into Egypte. And God was with hym,
Acts.7.10	and delyuered hym out of al his aduersities, and gaue him fauour Ꟶ wysdome in the syght of Pharao kynge of Egypte. And he made hym gouernoure ouer Egypte, and ouer all hys housholde.
Acts.7.11	But ther came a derth ouer all the land of Egypt and Canaan, and great afflyccion that our fathers founde no sustenaunce.
Acts.7.12	But when Iacob hearde that there was corne in Egypt he sent our fathers first.
Acts.7.13	And at the second tyme, Ioseph was knowen of his brethren, Ꟶ Iosephs kynred was made knowne vnto Pharao.
Acts.7.14	Then sent Ioseph a message, and caused hys father to be brought, and all his kynne .lxxv. soules.
Acts.7.15	And Iacob descended into Egypte and dyed both he and oure fathers,
Acts.7.16	and were caryed ouer into Sichem, and layde in the sepulchre, that Abraham bought for money of the sonnes of Emor, the sonne of Sichem.
Acts.7.17	But when the tyme of the promesse drue nye (which God had sworne to Abraham) the people grewe Ꟶ multiplyed in Egipt,
Acts.7.18	tyll another kyng arose which knewe not of Ioseph.
Acts.7.19	The same dealt suttely with oure kinred, and euyll intreated our fathers, and made them cast out their yonge chyldren, that they shulde not remayne alyue.
Acts.7.20	The same tyme was Moses borne, and was acceptable vnto God, and nourysshed vp in hys fathers house thre monethes.
Acts.7.21	When he was cast out, Pharoes daughter toke him vp, Ꟶ nourysshed hym vp for her awne sonne.
Acts.7.22	And Moses was learned in all maner wysdome of the Egypcians, and was mighty in dedes and in wordes.
Acts.7.23	And whan he was full fourty yere old, it came into his hert, to vyset hys brethren the chyldren of Israell.
Acts.7.24	And when he sawe one of them suffre wrong, he defended him, Ꟶ auenged hys quarell that had the harme done to him, and smote the Egypcian.
Acts.7.25	For he supposed hys brethren wolde haue vnderstande, how that God by hys hande shulde delyuer them. But they vnderstode not.
Acts.7.26	And the next daye he shewed him self vnto them as they stroue, and wolde haue sett them at one agayne, sayinge: Syrs, ye are brethren, why hurte ye one another?
Acts.7.27	But he that dyd hys neyghboure wronge, thrust hym awaye, sayinge: who made the a ruler and a iudge ouer vs?
Acts.7.28	wilt thou kyll me, as thou dydest the Egypcian yesterdaye?
Acts.7.29	Then fleed Moses at that saying, and was a straunger in the land of Madian, where he begat two sonnes.
Acts.7.30	And whan fourty yeares were expired, there appeared to hym in the wildernesse of mount Sina an angell of the Lord in a flamme of fyre in a busshe.
Acts.7.31	When Moses sawe it, he wondred at the syght. And as he drue neare to beholde, the voyce of the Lord came vnto hym.
Acts.7.32	I am the God of thy fathers, the God of Abraham, the God of Isaac, and the God of Iacob. Moses trembled, and durst not beholde.
Acts.7.33	Then sayd the Lorde to him: Put of thy shoes from thy fete, for the place where thou standest, is holy grounde.
Acts.7.34	I haue perfectlye sene the affliccyon of my people, which is in Egypte, and I haue heard theyr gronyng, and am come downe to delyuer them. And nowe come, and I wyll sende the into Egypte.
Acts.7.35	This Moses whom they forsoke (saying: who made the a ruler and a iudge?) the same dyd God sende to be a ruler and a delyuerer, by the handes of the aungell which appeared to hym in the busshe.
Acts.7.36	And the same brought them out, shewynge wondres and signes in Egypt, and in the red see, and in the wyldernes fourty yeres.
Acts.7.37	Thys is that Moses, which sayde vnto the children of Israel: A prophete shall the Lord your God rayse vp vnto you of your brethren, like vnto me, him shall ye heare.
Acts.7.38	This is he that was in the congregacion, in the wildernes with the angel (which spake to hym in the mount Sina) and with our fathers. This man receaued the word of life to geue vnto vs,
Acts.7.39	to whom our fathers wold not obey, but cast it from them, and in theyr hertes turned backe agayne into Egypt,
Acts.7.40	sayinge vnto Aaron: make vs goddes to go before vs. For as for thys Moses that brought vs out of the lande of Egypte, we wote not what is become of hym.
Acts.7.41	And they made a calfe in those dayes, and offered sacrifyce vnto the ymage, and reioysed ouer the workes of theyr awne handes.
Acts.7.42	Then God turned hym selfe, and gaue them vp, that they shulde worshyp the hoost of the skye, as it is written in the booke of the prophetes. O ye of the house of Israel, gaue ye to me sacrifyces and meate offerynges by the space of fourty yeares in the wyldernes?
Acts.7.43	And ye toke vnto you the tabernacle of Moloch, and the starre of youre God Rempham, fygures which ye made to worshyp them. And I will translate you beyonde Babylon.
Acts.7.44	Oure fathers had the tabernacle of witnes in the wyldernesse, as he had appoynted them speakyng vnto Moses: that he shulde make it, according to the fassyon that he had sene.
Acts.7.45	Which tabernacle also oure fathers that cam after, brought in with Iosue into the possession of the Gentyls, whom God draue out before the face of oure fathers, vnto the tyme of Dauid:
Acts.7.46	which founde fauoure before God, and wold fayne haue founde a tabernacle for the God of Iacob.
Acts.7.47	But Salomon bylt him an house.
Acts.7.48	Howbeit he that is hyest of al, dwelleth not in temples made with handes, as sayth the prophete:
Acts.7.49	heauen is my seate, and earth is my fote stole. What house wyll ye bylde for me, sayth the Lorde? or which is the place of my rest:
