1Cor.0.0	¶ The fyrst Epistle of Saynct Paul the Apostle tot the Corynthians.
1Cor.2.5	that your fayth shuld not stande in the wysdome of men, but in the power of God.
1Cor.2.6	We speake of wysdome amonge them that are perfecte: not the wysdome of this world, nether of the rulars of this worlde (whych go to nought)
1Cor.2.7	but we speake the wysdome of God, whych is in secrete Ꟶ lyeth hyd, which God ordeyned before the worlde, vnto oure glory:
1Cor.2.8	which wysdome none of the rulars of this worlde knewe. For had they had knowlege, they wold not haue crucifyed the Lorde of glory.
1Cor.2.9	But as it is written. The eye hath not sene, and the eare hath not heard, nether haue entred into the hert of man, the thynges which God hath prepared for them that loue hym.
1Cor.2.10	But God hath opened them vnto vs by his sprete. For the sprete searcheth all thinges, ye the botome of Goddes secretes.
1Cor.2.11	For what man knoweth the thinges of a man: saue the sprete of man which is wt in him? Euen so the thynges of God knoweth no man, but the sprete of God.
1Cor.2.12	And we haue not receaued the sprete of the worlde: but the sprete which commeth of God, for to knowe the thynges that are geuen to vs of God:
1Cor.2.13	which thynges also we speake (not wt wordes that mannes wysdome teacheth, but wt wordes whych the holy ghost doth teache) makyng spirituall comparisons of spretuall thinges.
1Cor.2.14	The naturall man perceaueth not the thinges that belonge to the sprete of God. For they are but folyshnes vnto him. Nether can he perceaue them, because they are spretually examined.
1Cor.2.15	But he that is spretual, discusseth all thynges: yet he him selfe is iudged of no man.
1Cor.2.16	For who hath knowen the mynde of the Lord, other who shall informe hym? But we vnderstande the mynde of Chryst.
1Cor.3.1	And I coulde not speake (vnto you brethren) as vnto spretuall: but as vnto carnall, euen as vnto babes in Christ.
1Cor.3.2	I gaue you mylke to drynke, and not meate. For ye then were not stronge, nether are ye as yet. For ye are yet carnall.
1Cor.3.3	As longe verely as ther is amonge you enuyinge, Ꟶ strife Ꟶ sectes: are ye not carnall, Ꟶ walke after the maner of men?
1Cor.3.4	For whyle one sayth: I holde of Paul, Ꟶ another: I am of Apollo, are ye not carnall?
1Cor.3.5	What is Paul? What thynge is Apollo? Onely ministers are they by whom ye beleued, euen as the Lorde gaue euery man grace.
1Cor.3.6	I haue planted, Apollo watred: but God gaue the encreace.
1Cor.3.7	So then, nether is he that planteth eny thyng, nether he that watreth, but God that geueth the encreace.
1Cor.3.8	He that planteth and he that watreth, are one. Euery man yet shall receaue hys rewarde, accordynge to his laboure.
1Cor.3.9	For we are Goddes labourers, ye are Goddes husbandrye, ye are Goddes buyldyng:
1Cor.3.10	Accordynge to the grace of God geuen vnto me, as a wyse buylder haue I layde the foundacyon. And another bylt theron. But let euery man take hede, how he byldeth vpon.
1Cor.3.11	For another foundacyon can no man laye, then it that is layde, whych is Iesus Christ.
1Cor.3.12	If eny man buylde on this foundacyon, golde, syluer, precyous stones, tymber, haye or stoble:
1Cor.3.13	euery mannes worcke shall appeare. For the daye shall declare, whych shalbe shewed in fyre. And the fyre shall trye euery mannes worcke, what it is.
1Cor.3.14	If eny mannes worcke that he hath bylt vpon, byde, he shall receaue a rewarde.
1Cor.3.15	If eny mannes worcke burne, he shall suffre losse, but he shalbe safe hym selfe: neuertheles, yet as it were thorowe fyre.
1Cor.3.16	Knowe ye not, that ye are the temple of God, Ꟶ how that the sprete of God dwelleth in you?
1Cor.3.17	If eny man defyle the temple of God, hym shall God destroye. For the temple of God, is holy, whych temple ye are.
1Cor.3.18	Let no man deceaue him selfe. If eny man seme wyse to hym selfe amonge you, let hym become a foole in this worlde, that he maye be wyse.
1Cor.3.19	For the wysdom of thys worlde is folyshnes with God. For it is wrytten: he compaseth the wyse in theyr craftynes.
1Cor.3.20	And agayne: God knoweth the thoughtes of the wyse, that they be vayne.
1Cor.3.21	Therfore, let no man reioyce in men. For all thynges are youres,
1Cor.3.22	whether it be Paul, ether Apollo, ether Cephas: whether it be the worlde, ether lyfe, ether deeth, whether they be present thynges, or thynges to come: all are youres:
1Cor.3.23	and ye are Chrystes, and Christ is Goddes.
1Cor.4.1	Let a man this wyse esteme vs, euen as the minysters of Christ, and stewards of the secretes of God.
1Cor.4.2	Furthermore it is required of the stewardes, that a man be founde faythfull.
1Cor.4.3	Wyth me is it but a very small thynge, that I shuld be iudged of you, ether of mans iudgement. No I iudge not myne awne selfe.
1Cor.4.4	For I knowe nought by my selfe: yet am I not therby iustifyed. It is the Lorde that iudgeth me.
1Cor.4.5	Therfore iudge nothinge before the tyme vntyll the Lorde come, whych wyll lyghten thinges that are hyd in darcknes, and open the counsels of the hertes. And then shall euery man haue prayse of God.
1Cor.4.6	These thynges (brethren) I haue for an ensample described in myne awne person, Ꟶ in Apollos, for youre sakes, that ye myght learne by vs, that noman counte of hym selfe beyonde that which is aboue wrytten: that one swell not agaynst another for eny mans cause.
1Cor.4.7	For who preferreth the? What hast thou, that thou hast not receaued? If thou haue receaued it, why reioysest thou, as though thou haddest not receaued it?
1Cor.4.8	Nowe ye are full: nowe ye are made ryche: ye raygne as kinges without vs: and I wolde to God ye dyd raygne, that we myght raygne with you.
1Cor.4.9	For me thynketh, that God hath set forth vs (which are the last Apostles) as it were men appoynted to deeth. For we are a gasynge stocke vnto the worlde, and to the Angels, and to men.
1Cor.4.10	We are fooles for Christes sake, but ye are wyse thorowe Chryst. We weake, but ye are stronge. Ye are honorable, but we are despysed.
1Cor.4.11	Euen vnto this tyme we honger and thyrst, and are naked, and are boffeted with fystes, and haue no certayne dwellynge place,
1Cor.4.12	Ꟶ laboure, worckynge wt oure awne handes. We are reuyled, and yet we blesse. We are persecuted, and suffer it.
1Cor.4.13	We are euyll spoken of, Ꟶ we praye. We are made as it were the fylthines of the worlde, the ofscowrynge of all thynges, euen vnto thys daye.
1Cor.4.14	I wryte not these thynges, to shame you: but as my beloued sonnes I warne you.
1Cor.4.15	For though ye haue ten thousande instructours in Chryst: yet haue ye not many fathers. In Chryst Iesu I haue begotten you thorow the Gospell.
1Cor.4.16	Wherfore, I desyre you to folowe me.
1Cor.4.17	For thys cause haue I sent vnto you Tymotheus, which is my deare sonne, and faythfull in the Lorde, whych shall put you in remembraunce of my wayes, that I haue in Chryst, euen as I teach euery where in all congregacions.
1Cor.4.18	Some swell, as though I wold come nomore at you.
1Cor.4.19	But I wyll come to you shortely yf God wyll: Ꟶ will know, not the wordes of them which swell but the power:
1Cor.4.20	for the Kyngdome of God is not in wordes, but in power.
1Cor.4.21	What wyll ye? Shall I come vnto you with a rodde, or els in loue and in the sprete of softnesse?
1Cor.5.1	There goeth a commen sayinge that ther is fornicacion amonge you, and soch fornicacyon, as is not named amonge the gentyls: that one shuld haue hys fathers wyfe.
1Cor.5.2	And ye swell, and haue not rather sorowed, that he which hath done thys dede, myght be put from amonge you.
1Cor.5.3	For I verely as absent in body, but present in sprete, haue determined allready (as though I were present) concernynge hym that hath done this dede,
1Cor.5.4	in the name of oure Lord Iesu Christ, when ye are gathered together, and my sprete wt you, with the power of the Lorde Iesus Chryst
1Cor.5.5	to delyuer hym vnto Satan, for the destruccyon of the flesshe, that the sprete maye be saued in the daye of the Lorde Iesus.
1Cor.5.6	Youre reioysynge is not good: knowe ye not, that a lytle leuen sowreth the whole lompe of dowe?
1Cor.5.7	Pourge therfore the olde leuen that ye maye be newe dowe, as ye are swete breed. For Christ oure passeouer is offered vp for vs.
1Cor.5.8	Therfore, let vs kepe holy daye, not with olde leuen, nether with the leuen of malicyousnes Ꟶ wickednes: but with the swete breed of purenes and trueth.
1Cor.5.9	I wrote vnto you in a pistle, that ye shuld not company wyth fornicatours.
1Cor.5.10	And I meant not at all of the fornicatours of this world, ether of the coueteous, or extorsyoners, ether the ydolaters: for then must ye nedes haue gone out of the world.
1Cor.5.11	But now I dyd write vnto you, that ye company not together, yf eny that is called a brother, be a fornicator, or coueteous, or a worshypper of ymages, ether a raylar, ether a dronckard, or an extorcionar: wyth hym that is soche, se that ye eate not.
1Cor.5.12	For what haue I to do, to iudge them which are without. Do ye not iudge them that are within?
1Cor.5.13	Them that are without, God iudgeth. Put awaye the euell from amonge you.
1Cor.6.1	Darre one of you hauynge busynes wyth another, go to lawe vnder the wycked, Ꟶ not rather vnder the saynctes?
1Cor.6.2	Do ye not knowe, that the saynctes shall iudge the worlde? If the worlde shalbe iudged by you: are ye not good inough to iudge small trifles?
1Cor.6.3	knowe ye not, howe that we shall iudge the angels? Howe moche more, maye we iudge thinges that pertayne to the lyfe?
1Cor.6.4	If ye haue iudgementes of worldely matters, take then whych are despysed in the congregacyon, and make them iudges.
1Cor.6.5	This I saye to youre shame. Is ther vtterly no wyse man amonge you? What not one at all, that can iudge betwene brother and brother,
1Cor.6.6	but one brother goeth to lawe wt another: and that vnder the vnbeleuers?
1Cor.6.7	Nowe therfore, there is vtterly a faute amonge you, because ye go to lawe one wyth another. Why rather suffer ye not wronge? why rather suffre ye not your selues to haue harme?
1Cor.6.8	naye, ye youre selues do wronge, and robbe: Ꟶ that the brethren.
1Cor.6.9	Do ye not knowe, how that the vnryghteous shall not inheret the kyngdome of God? Be not deceaued. For nether fornicatours, nether worshyppers of ymages, nether aduoutrers, nether weaklynges, nether abusers of them selues wyth mankynde,
1Cor.6.10	nether theues, nether couetouse, nether dronkardes, nether cursed speakers, nether pyllers, shall inheret the kyngdome of God.
1Cor.6.11	And soch were some of you, but ye are wasshed: but ye are sanctifyed: but ye are iustifyed by the name of the Lorde Iesus, Ꟶ by the sprete of oure God.
1Cor.6.12	I maye do all thynges, but all thynges are not profytable. I maye do all thynges: but I will be brought vnder no mans power.
1Cor.6.13	Meates are ordeyned for the belly, Ꟶ the belly for meates: but God shall destroye both it and them. Let not the body be applyed vnto fornicacyon, but vnto the Lorde, and the Lorde vnto the body.
1Cor.6.14	God hath raysed vp the Lorde, and shall rayse vs vp by hys power.
1Cor.6.15	Ether knowe ye not, that youre bodyes are the membres of Christ? shall I nowe take the members of Christ, and make them the members of an harlot? God forbyd.
1Cor.6.16	Do ye not knowe, that he whych coupleth hym selfe wt an harlot, is become one body. For two (sayth he) shalbe one flesshe.
1Cor.6.17	But he that is ioyned vnto the Lorde is one sprete.
1Cor.6.18	Fle fornicacion. Euery synne that a man doth, is without the body. But he that is a fornicator, synneth against his awne body.
1Cor.6.19	Ether knowe ye not, how that youre bodyes are the temple of the holy ghost, which dwelleth in you, whom ye haue of God, and how that ye are not youre awne?
1Cor.6.20	For ye are dearly bought. Therfore glorifye God in youre bodyes, and in youre spretes, which are Goddes.
1Cor.7.1	As concernynge the thynges wherof ye wrote vnto me: it is good for a man, not to touche a woman.
1Cor.7.2	Neuerthelesse, to a voyde whordome let euery man haue hys wyfe: and let euery woman haue her husbande.
1Cor.7.3	Let the husbande geue vnto the wyfe due beneuolence. Lykewyse also the wyfe vnto the husbande.
1Cor.7.4	The wyfe hath not power of her awne body: but the husbande. And lykewyse the husbande hath not power of his awne body: but the wyfe.
1Cor.7.5	Wythdrawe not youre selues one from another, except it be with consent for a tyme, for to geue youre selues to fastynge and prayer. And afterwarde come together agayne, lest Satan tempte you for youre incontinencie.
1Cor.7.6	This I saye of fauoure, and not of commaundement.
1Cor.7.7	For I wolde that all men were as I my selfe am: but euery man hath his proper gyfte of God, one after this manner, another after that.
1Cor.7.8	I saye vnto them that be vnmaryed and wyddowes: it is good for them, yf they abyde euen as I do.
1Cor.7.9	But and yf they cannot abstayne, let them mary. For it is better to mary, then to burne.
1Cor.7.10	Unto the maryed commaunde, not I, but the Lord: Let not the wyfe be separated from the husband.
1Cor.7.11	If she separate her selfe, let her remayne vnmaryed, or be reconciled vnto her husbande agayne. And let not the husbande put awaye his wyfe from him.
1Cor.7.12	To the remnaunt speake I, not the Lorde If eny brother haue a wyfe that beleueth not, yf she be content to dwell with him, let hym not put her awaye.
1Cor.7.13	And the woman whych hath to her husbande an infidell, Ꟶ consent to dwell wyth her, let her not put hym awaye.
1Cor.7.14	For the vnbeleuynge husbande is sanctified by the wyfe, Ꟶ the vnbeleuinge wyfe is sanctifyed by the husbande. Or els were your chyldren vncleane: but nowe are they holye.
1Cor.7.15	But Ꟶ yf the vnbeleuynge departe, let him departe. A brother or a syster is not in subieccyon to soche. But God hath called vs in peace.
1Cor.7.16	For how knowest thou (o woman) whether thou shalt saue thy husbande or no? Other howe knowest thou (o man) whether thou shalt saue thy wyfe or no?
1Cor.7.17	but euen as God hath distributed to euery man. As the Lorde hath called euery man, so let hym walke: and so ordeyn I in all congregacyons.
1Cor.7.18	If eny man be called beynge circumcised, let him not adde vncircumcisyon. If eny be called vncircumcised, let hym not be circumcised.
1Cor.7.19	Circumcisyon is nothynge, and vncircumcisyon is nothinge: but the kepynge of the commaundementes of God.
1Cor.7.20	Let euery man abyde in the same callinge, wherin he was called.
1Cor.7.21	Art thou called a seruaunt? care not for it. Neuerthelesse yf thou mayst be fre, vse it rather.
1Cor.7.22	For he that is called in the Lorde, beynge a seruaunt, is the Lordes freman. Lykewyse he that is called beynge fre, is Christes seruaunt.
1Cor.7.23	Ye are dearly bought, be not ye the seruauntes of men.
1Cor.7.24	Brethren, let euery man wherin he is called, therin abyde wyth God.
1Cor.7.25	As concernynge virgins, I haue no commaundement of the Lorde: yet geue I counsell, as one that hath obtayned mercye of the Lord, to be faythfull.
1Cor.7.26	I suppose therfore that it is good for the present necessite. For it is good for a man so to be.
1Cor.7.27	Art thou bounde vnto a wyfe? seke not to be losed. Art thou loosed from a wyfe? seke not a wyfe.
1Cor.7.28	But and yf thou marye a wyfe, thou hast not synned. Lykewyse, yf a virgyn mary, she hath not synned. Neuerthelesse soche shall haue trouble in their flesshe: but I fauoure you.
1Cor.7.29	This saye I brethren, the tyme is shorte. It remayneth, that they whych haue wyues, be as though they had none:
1Cor.7.30	and they that wepe, be as though they wept not: and they that reioyce, be as though they reioyced not: Ꟶ they that bye, be as though they possessed not:
1Cor.7.31	and they that vse this worlde, be as though they vsed it not. For the fassyon of thys worlde goeth awaye.
1Cor.7.32	I wolde haue you without care. He that is vnmaryed, careth for the thynges that belong to the Lord, howe he maye please the Lord.
1Cor.7.33	But he the hath maryed a wyfe careth for the thinges that are of the worlde, howe he maye please his wyfe.
1Cor.7.34	There is difference betwene a virgin Ꟶ a wife. The syngle woman careth for the thinges that are of the Lorde, that she maye be holy both in bodye Ꟶ also in sprete. Agayne: she that is maryed, careth for the thinges that pertayne to the worlde, how she maye please her husbande.
1Cor.7.35	This speake I for youre profet, not to tangle you in a snare: but that ye maye folowe it which is honest Ꟶ comly, Ꟶ that ye maye cleaue vnto the Lorde without separacion.
1Cor.7.36	If eny man thynke that it is vncomly for his virgin, yf she passe the tyme of maryage, and yf so nede require, let him do what he lysteth, he synneth not: let them be coupled in mariage.
1Cor.7.37	Neuerthelesse, he that purposeth surely in his herte, hauynge no nede: but hath power ouer his awne will: Ꟶ hath so decreed in his hert, that he will kepe his virgin, doth well. So then, he that ioyneth his virgin in mariage doth well.
1Cor.7.38	But he that ioyneth not his virgin in mariage, doth better.
1Cor.7.39	The wyfe is bounde to the mariage, as longe as her husband lyueth. If her husband dye, she is at libertie to mary with whom she will, onely in the Lorde.
1Cor.7.40	But she is happier, yf she so abyde, after my iudgement. And I thinke verely, that I haue the sprete of God.
1Cor.8.1	As touchyng thinges offred vnto ymages, we are sure that we all haue knowledge. Knowledge maketh a man swell: but loue edifyeth.
1Cor.8.2	If eny man thynke that he knoweth eny thing, he knoweth nothyng yet as he ought to knowe.
1Cor.8.3	But yf eny man loue God, the same is knowen of him.
1Cor.8.4	As concernyng the eatyng of those thynges that are offred vnto ydols, we are sure, that the ymage is nothing in the worlde and that ther is none other God, but one.
1Cor.8.5	And though ther be that are called Goddes, whether in heauen other in erth (as ther be Goddes many, and Lordes many)
1Cor.8.6	yet vnto vs is there but one God, which is the father, of whom are all thinges, Ꟶ we for him Ꟶ one Lord Iesus Christ, by whom are all thinges, and we by him.
1Cor.8.7	But euery man hath not knowledge. Some hauing conscience because of the ymage, vntill thys houre, eate as a thinge offered vnto ymages: Ꟶ so their conscience beinge weake is defyled.
1Cor.8.8	But meate maketh vs not acceptable to God. Nether yf we eate, are we the better. Nether yf we eate not, are we the worsse.
1Cor.8.9	But take hede, lest by any meanes this libertie of yours be an occasion of falling to them that are weake.
1Cor.8.10	For yf some man se the which hast knowledge, syt Ꟶ eate of meate offred vnto ymages, shall not the conscience of him which is weake, be boldened to eate those thynges, which are offered to ymages.
1Cor.8.11	And so thorow thy knowledge shall the weake brother perysshe, for whom Christ dyed.
1Cor.8.12	When ye synne so agaynst the brethren, Ꟶ wounde their weake conscience, ye synne agaynst Christ.
1Cor.8.13	Wherfore yf meate hurt my brother, I will neuer eate flesshe lest I shulde offende my brother.
1Cor.9.1	Am I not an Apostle? am I not fre? haue I not sene Iesus Christ oure Lorde?
1Cor.9.2	Are ye not my worke in the Lorde? If I be not an Apostle vnto other, yet am I vnto you. For the seale of myne Apostleshyppe are ye in the Lord.
1Cor.9.3	Myne answer to them that aske me, is this.
1Cor.9.4	Haue we not power to eate and to dryncke?
1Cor.9.5	Haue we not power to leade about a woman a syster, as well as other Apostles, and as the brethren of the Lorde, and Cephas?
1Cor.9.6	Ether onely I and Barnabas haue not power thys to do?
1Cor.9.7	Who goeth a warfare eny tyme at hys awne cost? who planteth a vineyarde, and eateth not of the frute therof? Or who fedeth a flocke and eateth not of the mylcke of the flocke?
1Cor.9.8	Saye I these thynges after the maner of men? Sayth not the lawe the same also?
1Cor.9.9	For it is wrytten in the lawe of Moses. Thou shalt not mosell the mouth of the oxe that treadeth oute the corne. Doth God take thought for oxen?
1Cor.9.10	Sayth he it not alltogether for oure sakes? For oure sakes no doute this is written: that he whych eareth shulde eare in hope Ꟶ that he whych throssheth in hope, shulde be partaker of hys hope.
1Cor.9.11	If we sowe vnto you spirituall thynges, is it a great thynge yf we reape youre bodely thynges?
1Cor.9.12	If other be partakers of thys power ouer you, wherfore are not we rather? Neuerthelesse we haue not vsed this power: but suffre all thinges, lest we shulde hinder the Gospell of Chryst.
1Cor.9.13	Do ye not knowe, howe that they which minister aboute holy thinges lyue of the sacrifyce? They which wayte of the temple, are partakers of the temple.
1Cor.9.14	Euen so also dyd the Lord ordayne: that they whych preach the Gospell, shulde lyue of the Gospell.
1Cor.9.15	But I haue vsed none of these thinges. Neuertheles I wrote not these thinges, that it shuld be so done vnto me. For it were better for me to dye, then that eny man shuld take this reioysinge from me.
1Cor.9.16	For yf I preach the Gospell, I haue nothynge to reioyce of. For necessyte is put vnto me. But wo is it vnto me, yf I preach not the Gospell.
1Cor.9.17	If I do it wt a good will, I haue a reward. But yf I do it against my will, an office is committed vnto me.
1Cor.9.18	What is my reward then? Uerely that when I preach the Gospell, I make the Gospell of Christ fre, that I misuse not myne auctorite in the Gospell.
1Cor.9.19	For though I be fre from all men, yet haue I made my selfe seruaunt vnto all men, that I myght wynne the moo.
1Cor.9.20	Unto the Iewes, I became as a Iewe, to wynne the Iewes. To them that were vnder the lawe, was I made as though I had bene vnder the lawe, to wynne them that were vnder the lawe.
1Cor.9.21	To them that were wythout lawe, became I as though I had bene wythout lawe (when I was not without lawe as perteyning to God, but vnder the lawe of Chryst) to wynne them that were wythout lawe.
1Cor.9.22	To the weake became I as weake, to wynne the weake: In all thinges I fasshyoned my selfe to all men, to saue at the least waye some.
1Cor.9.23	And this I do for the gospels sake, that I myght haue my parte therof.
1Cor.9.24	Perceaue ye not, howe that they which runne in a course, runne all, but one receaueth the rewarde? So runne, that ye maye obtayne.
1Cor.9.25	Euery man that proueth masteries, abstayneth from all thynges. And they do it to obtayne a crowne that shall perysshe: but we to obtayne an euerlasting crowne.
1Cor.9.26	I therfore so runne, not as at an vncertayne thyng. So fyght I, not as one that beateth the ayer:
1Cor.9.27	but I tame my body, Ꟶ brynge it into subieccyon, lest by anye meanes it come to passe, that whan I haue preached to other, I my selfe shulde be a cast awaye.
1Cor.10.1	Brethren, I wolde not that ye shulde be ignoraunt, howe that our fathers were all vnder the cloude, and all passed thorowe the see,
1Cor.10.2	and were all baptysed vnder Moses in the cloude and in the see:
1Cor.10.3	and dyd all eate of one spirituall meate
1Cor.10.4	and dyd all dryncke of one maner of spirituall dryncke. And they drancke of that spirituall rocke that folowed them, whych rocke was Chryst.
1Cor.10.5	But in many of them had God no delyte: For they were ouerthrowen in the wyldernes.
1Cor.10.6	These weare ensamples to vs that we shuld not lust after euyll thynges, as they lusted.
1Cor.10.7	And that ye shuld not be worshyppers of ymages, as were some of them, accordynge as it is wrytten: The people sate downe to eate Ꟶ drincke, Ꟶ rose vp to playe.
1Cor.10.8	Nether let vs be defyled wt fornicacyon, as some of them were defyled wyth fornicacyon, Ꟶ fell in one daye .xxiij. thousand.
1Cor.10.9	Nether let vs tempte Christ, as some of them tempted, Ꟶ were destroyed of serpentes.
1Cor.10.10	Nether murmure ye, as some of them murmured, Ꟶ were destroyed of the destroyer.
1Cor.10.11	All these thynges happened vnto them for ensamples, but are wrytten to put vs in remembraunce, whom the endes of the worlde are come vpon.
1Cor.10.12	Wherfore, let him that thynketh he stondeth, take hede, lest he fall.
1Cor.10.13	Ther hath none other temptacyon taken you, but soche as foloweth the nature of man. But God is faythfull whych shall not suffer you to be tempted aboue youre strength: but shall in the myddes of the temptacyon make awaye, that ye maye be able to beare it.
1Cor.10.14	Wherfore my deare beloued, fly from worshyppynge of ymages.
1Cor.10.15	I speake as vnto them whych haue discrecyon, iudge ye what I saye.
1Cor.10.16	Is not the cupp of blessynge which we blesse, partakynge of the bloude of Christ?
1Cor.10.17	is not the breed whych we breake, partetakynge of the body of Chryst? because that we (though we be many) yet are one breed Ꟶ one bodye, in as moche as we all are partakers of one bred.
1Cor.10.18	Behold Israel after the flessh. Are not they which eate of the sacrifyce, partakers of the temple?
1Cor.10.19	What saye I then? that the ymage is eny thynge? or that it whych is offered to ymages, is eny thynge?
1Cor.10.20	Nay, but thys I saye: that the thynges whych the gentyls offer, they offer to deuyls, and not to God. I wolde not that ye shulde haue felloshyppe wyth the deuyls.
1Cor.10.21	Ye can not dryncke of the cup of the Lorde, and of the cup of deuyls. Ye cannot be the partakers of the Lordes table, and of the table of deuelles.
1Cor.10.22	Ether do we prouoke the Lord? Are we stronger then he? I maye do all thynges, but all thynges are not expedient.
1Cor.10.23	I maye do all thynges, but all thynges edifye not.
1Cor.10.24	Let no man seke that whych is hys awne: but let euery man seke that whych belongeth to another:
1Cor.10.25	Whatsoeuer is solde in the flesshe market, that eate, and aske no questyon for conscyence sake.
1Cor.10.26	For the erth is the Lordes, and all that therin is.
1Cor.10.27	If eny of them whych beleue not, byd you to a feast, and ye be disposed to go, whatsoeuer is sett before you, eate, askynge no questyon for conscience sake.
1Cor.10.28	But and yf eny man saye vnto you: thys is offred vnto ymages, eate not of it for hys sake that shewed it, and for conscience sake. The erth is the Lordes and all that therin is.
1Cor.10.29	Conscience I saye, not thyne, but of the other. For why is my liberte, iudged of another mannes conscience?
1Cor.10.30	For yf I take my parte with thankes, why am I euyll spoken of, for that thynge wherfore I geue thankes?
1Cor.10.31	Whether therfore ye eate or dryncke, or whatsoeuer ye do, do all to the prayse of God.
1Cor.10.32	Se that ye geue none occasyon of euyll, nether to the Iewes, nor yet to the gentyls, nether to the congregacyon of God:
1Cor.10.33	euen as I please all men in all thynges, not sekynge myne awne profet, but the profet of many, that they myght be saued.
1Cor.11.1	Be ye the folowers of me, as I am the folower of Christ.
1Cor.11.2	I commende you brethren, that ye remember me in all thynges, and kepe the ordinaunces, euen as I delyuered them to you.
1Cor.11.3	But I wolde haue you to knowe, that Christ is the heed of euery man. And the man is the womans heed. And God is Christes heed.
1Cor.11.4	Euery man prayinge or prophesyinge hauing eny thynge on his heed, shameth his heed.
1Cor.11.5	Euery woman that prayeth or prophesyeth bare headed, dishonesteth hyr head. For that is euen all one, as yf she were shauen.
1Cor.11.6	If the woman be not couered, let her also be shoren. If it be shame for a woman to be shorne or shauen, let her couer her heed.
1Cor.11.7	A man ought not to couer his heed, for as moch as he is the ymage and glory of God. But the woman is the glory of the man.
