1John.0.0	¶ The fyrst Epistle of Saynct Iohn the Apostle.
1John.2.21	I haue not writen vnto you, as though ye knewe not the trueth: but as though ye knewe it (Ꟶ knowe also) that no lye commeth of trueth.
1John.2.22	Who is a lyar, but he that denyeth that Iesus is Christ? the same is Antichrist, that denieth the father Ꟶ the sonne.
1John.2.23	Whosoeuer denyeth the sonne, the same hath not the father.
1John.2.24	Let therfore abyde in you that same which ye hearde from the beginninge. If that which ye hearde from the beginnynge shal remayne in you, ye also shall contynew in the sonne, and in the father.
1John.2.25	And thys is the promes that he hath promysed vs, euen eternall lyfe.
1John.2.26	These thinges haue I writen vnto you, concernynge them that disceaue you.
1John.2.27	And the anoyntinge which ye haue receaued of him dwelleth in you. And ye nede not, that eny man teach you: but as the anoyntinge teacheth you of all thinges, and is true, and no lye, and as it hath taught you, euen so byde therin.
1John.2.28	And now babes abyde in hym: that when he shall appeare, we maye be bolde, Ꟶ not be made ashamed of hym at hys commynge.
1John.2.29	If ye knowe that he his righteous, knowe also that euery one which doth rightewesnes, is borne of hym.
1John.3.1	Beholde, what loue the father hath shewed on vs, that we shuld be called the the sonnes of God. For this cause the worlde knoweth you not, because it knoweth not hym.
1John.3.2	Dearely beloued, now are we the sonnes of God Ꟶ yet it doth not appeare, what we shalbe. But we knowe, that when it shall appeare, we shalbe lyke him. For we shall se hym as he is.
1John.3.3	And euery man that hath this hope in him, pourgeth him selfe, euen as he also is pure.
1John.3.4	Whosoeuer commytteth synne, committeth vnryghteousnes also, and synne is vnryghteousnes.
1John.3.5	And ye knowe, that he appeared, to take awaye oure synnes, and in him is no synne.
1John.3.6	As many as byde in hym, synne not: whosoeuer synneth, hath not sene hym, nether knowne hym.
1John.3.7	Babes, let no man deceaue you. He that doeth ryghteousnes, is ryghteous, euen as he is ryghteous.
1John.3.8	He that committeth synne, is of the deuyll: for the deuyll synneth sence the beginnynge. For this purpose appeared the sonne of God, to lowse the worckes of the deuyl.
1John.3.9	Whosoeuer is borne of God, synneth not: for his seed remayneth in him, and he cannot synne, because he is borne of God.
1John.3.10	In thys are the chyldren of God knowen, and the chyldren of the deuyll. Whosoeuer doeth not ryghteousnes, is not of God, nether he that loueth not hys brother.
1John.3.11	For this is the tidinges, that ye hearde from the beginninge, that ye shuld loue one another,
1John.3.12	not as Cayn which was of that wicked, and slewe his brother. And wherfore slewe he hym? Because his awne workes were euyll, and hys brothers good.
1John.3.13	Maruayle not my brethren though the world hate you.
1John.3.14	We knowe, that we are translated from deeth vnto lyfe, because we loue the brethren. He that loueth not hys brother, abydeth in deeth.
1John.3.15	Whosoeuer hateth his brother, is a man slear. And ye knowe, that no man slear, hath eternall lyfe abydynge in hym.
1John.3.16	Herby perceaue we loue: because he gaue his lyfe for vs: Ꟶ we ought to geue oure liues for the brethren.
1John.3.17	But whoso hath thys worldes good and seyth hys brother haue neade: and shutteth vp his compassion from him: how dwelleth the loue of God in hym?
1John.3.18	My babes, let vs not loue in worde, nether in tonge: but in dede Ꟶ in veritie.
1John.3.19	Herby we knowe, that we are of the veritie Ꟶ can quyet oure hertes before hym.
1John.3.20	For yf oure herte condempne vs, God is gretter then oure herte, and knoweth all thinges.
1John.3.21	Dearly beloued, yf oure herte condempne vs not, then haue we trust to God warde:
1John.3.22	Ꟶ what soeuer we aske we receaue of hym, because we kepe his commaundementes, Ꟶ do those thinges which are pleasinge in his syght.
1John.3.23	And this is hys commaundement, that we beleue on the name of his sonne Iesus Christ, and loue one another, as he gaue commaundement.
1John.3.24	And he that kepeth hys commaundementes, dwelleth in him, Ꟶ he in him, and herby we knowe that he abydeth in vs, euen by the sprete which he hath geuen vs.
1John.4.1	Dearly beloued beleue not euery sprete: but proue the spretes, whether they are of god or not, for many false prophetes are gone out into the worlde.
1John.4.2	Herby shall ye knowe the sprete of God. Euery sprete that confesseth that Iesu Christ is come in the fleshe is of God.
1John.4.3	And euery sprete which confesseth not that Iesus Christ is come in the flesshe, is not of God. And this is that sprete of Antichrist, of whom ye haue hearde, howe that he shulde come: and euen now alredy is he in the worlde.
1John.4.4	Lyttell chyldren, ye are of God, and haue ouercome them: for greater is he that is in you, then he that is in the worlde.
1John.4.5	They are of the worlde, therfore speake they of the worlde, and the worlde heareth them.
1John.4.6	We are of God. He that knoweth God, heareth vs: he that is not of God, heareth vs not. Herby knowe we the sprete of veritie, and the sprete of erroure.
1John.4.7	Dearly beloued let vs loue one another: for loue commeth of God. And euery one that loueth, is borne of God, and knoweth God.
1John.4.8	He that loueth not, knoweth not God: for God is loue.
1John.4.9	In this appeared the loue of God to vs ward, because that God sent hys onely begotten sonne into the worlde, that we might liue thorow him.
1John.4.10	Herin is loue, not that we loued God, but that he loued vs, Ꟶ sent hys sonne to be the agrement for oure synnes.
1John.4.11	Dearly beloued, yf God so loued vs, we ought also to loue one another.
1John.4.12	No man hath sene God at eny tyme. If we loue one another, God dwelleth in vs, Ꟶ hys loue is parfect in vs.
1John.4.13	Herby knowe we that we dwell in hym, and he in vs: because he hath geuen vs of hys sprete.
1John.4.14	And we haue sene, Ꟶ do testifye, that the father sent the sonne to be the sauyour of the worlde.
1John.4.15	Whosoeuer confesseth, that Iesus is the sonne God, in him dwelleth God, Ꟶ he in God.
1John.4.16	And we haue knowen and beleued the loue that God hath to vs. God is loue, Ꟶ he that dwelleth in loue, dwelleth in God, and God in him.
1John.4.17	Here in is the loue perfect in vs, that we shuld haue trust in the daye of iudgement: For as he is, euen so are we in this worlde.
1John.4.18	Ther is no feare in loue, but parfect loue casteth out feare, for feare hath paynfulnes. He that feareth, is not parfect in lone.
1John.4.19	We loue him, for he loued vs fyrst.
1John.4.20	If a man say, I loue God, and yet hate his brother, he is a liar. For how can he that loued not hys brother whom he hath sene, loue God whom he hath not sene?
1John.4.21	And this commaundement haue we of hym: that he which loueth God, shuld loue his brother also.
1John.5.1	Whosoeuer beleueth that Iesus is Christ, is borne of God. And euery one that loueth hym which begat, loueth him also which was begotten of him.
1John.5.2	By this we knowe, that we loue the chyldren of God, when we loue God, and kepe his commaundementes.
1John.5.3	For this is the loue of God, that We kepe his commaundementes, and his commaundementes are not greuous.
1John.5.4	For all that is borne of God, ouercommeth the worlde. And this is the victory that ouer commeth the worlde, euen oure fayth.
1John.5.5	Who is it that ouercommeth the worlde: but he which beleueth, that Iesus is the sonne of God?
1John.5.6	This Iesus Christ is he that cam by water Ꟶ bloud, not by water onely: but by water and bloud. And it is the sprete that beareth wytnes, because the sprete is trueth.
1John.5.7	(For ther are thre which beare recorde in heauen the father the worde Ꟶ the wholy goost. And these thre are one.)
1John.5.8	And ther are thre which beare recorde (in earth) the sprete Ꟶ water, and bloud: Ꟶ these thre are one.
1John.5.9	If we receaue the wytnes of men, the witnes of God is greater. For this is the witnes of God (that is greater) which he testifyed of his sonne.
1John.5.10	He that beleueth on the sonne of God, hath the witnes in hym selfe. He that be beleueth not God, hath made him a liar
1John.5.11	because he beleued not the recorde that God gaue of hys sonne. And this is that recorde, how that God hath geuen vnto vs eternall lyfe, Ꟶ this lyfe is in hys sonne.
1John.5.12	He that hath the sonne hath lyfe: Ꟶ he that hath not the sonne of God, hath not lyfe.
1John.5.13	These thynges haue I wrytten vnto you that beleue on the name of the sonne of God, that ye maye knowe, how that ye haue eternall lyfe, Ꟶ that ye maye beleue on the name of the sonne of God.
1John.5.14	And thys is the trust that we haue in hym: that yf we aske eny thynge accordynge to hys wyll, he heareth vs.
1John.5.15	And yf we knowe that he heare vs whatsoeuer we aske, we knowe, that we haue the peticyons, that we desyre of hym.
1John.5.16	If eny man se hys brother synne a synne not vnto deeth, let him aske, Ꟶ he shall geue him lyfe for them that synne not vnto deeth. Ther is a synne vnto deeth, for which saye I not that a man shuld praye.
1John.5.17	All vnryghtewesnes is synne, Ꟶ ther is synne not vnto deeth
1John.5.18	We knowe, that whosoeuer is borne of God, synneth not: but he that is begotten of God, kepeth hym selfe, Ꟶ that wycked toucheth hym not.
1John.5.19	We knowe, that we are of God, and the worlde is all together set on wyckednes.
1John.5.20	We knowe, that the sonne of God is come, and hath geuen vs a mynde to knowe hym which is true: Ꟶ we are in hym that is true, through is sonne Iesu Christ. This same is very God, and eternall lyfe.
1John.5.21	Babes kepes youre selues from ymages. Amen.
