Judg.0.0	¶ The boke of Iudges, called in the Hebrue Sophtim and in the Latin Iudicum.
Judg.3.22	and the haft went in after the blade. And the fatte, closed the haft, so that he myght not drawe the dagger out of hys belye, but the dyrt came out.
Judg.3.23	Ahud gat him out at a posterne dore, and shut the dores of the parler about him, and locked them.
Judg.3.24	When he was gone out, hys seruauntes came, and whan they sawe that the dores of the parler were locked, they sayde: peraduenture he couereth hys fete in hys somer chamber.
Judg.3.25	And they taried tyll they were ashamed, and beholde: seyng he opened not the dores of the parler: they toke a keye, and opened them. And beholde, their Lord was fallen downe dead on the erthe.
Judg.3.26	And Ahud eskaped (whyle they taryed) and was gone beyonde, to the place of the grauen ymages, and eskaped into Seirath.
Judg.3.27	And when he was come he blewe a trompette in mount Ephraim. And the chyldren of Israel went downe wyth hym from the hyll and he went before them.
Judg.3.28	And he sayde vnto them, folowe me: for the Lord hath delyuered youre enemyes, the Moabytes into youre hande. And they descended after him, and toke the passages of Iordan, towarde Moab, and soffered not a man to passe ouer.
Judg.3.29	And they slew of the Moabites the same tyme vpon a ten thousande men, which were all fatte Ꟶ men of warre, Ꟶ there skaped not a man,
Judg.3.30	so Moab was subdued that daye, vnder the hande of Israel: and the land had rest .lxxx. yeres.
Judg.3.31	After hym was Samgar the sonne of Anath, whych slewe of the Philistines .vi. hundred men with an oxe goade, and delyuered Israel also.
Judg.4.1	And the chyldren of Israel beganne agayne to do wickedly in the syght of the Lord, when Ahud was dead.
Judg.4.2	And the Lord solde them into the hande of Iabin kyng of Canaan, that raygned in Hazor, whose captayne of warre was called Sisara, which dwelt in Haroseth of the gentiles.
Judg.4.3	And the children of Israel cryed vnto the Lorde: for he had nyne hundred charrettes of yron, Ꟶ twentie yeres he troubled the children of Israel very sore.
Judg.4.4	And Debora a Prophetysse, the wyfe of Lapidoth Iudged Israel the same tyme,
Judg.4.5	Ꟶ the same Debora dwelt vnder a paulme tree betwene Ramath and Bethell, in mounte Ephraim. And the children of Israel came vp to her for iudgement.
Judg.4.6	And she sent Ꟶ called Barak the sonne of Abinoam, out of Kedes Nephthalim, and sayde vnto him. Hath not the Lord God of Israel commaunded the, to leade wt faire wordes men to mounte Thabor, and take with the ten thousande men, of the children of Nephthalim Ꟶ of the children of zabulon?
Judg.4.7	And I will bryng vnto the to the ryuer kyson, Sisara, the Captayne of warre vnto Iabin, wt his charettes, Ꟶ his people, and will delyuer him into thyne handes.
Judg.4.8	And Barak sayde vnto her: yf thou wylt go wt me, I will go: But Ꟶ yf thou wilt not come with me, I will not goo:
Judg.4.9	She sayde: I will suerlye go with the, but this iourney that thou takest, shall not be for thyne honoure, for the Lord shall sell Sisara into the hande of a woman. Debora went with Barak to kedes.
Judg.4.10	And Barak called zabulon Ꟶ Nephthalim to kedes, Ꟶ led after hym ten thousande men: and Debora went vp with him.
Judg.4.11	But Haber the kenite (which was of the chyldren of Hobab the father in lawe of Moses) remoued from the other kenytes, Ꟶ pytched hys tente vntyll the playne of zaanaim, whych is by kedes.
Judg.4.12	And they shewed Sisara, that Barak the sonne of Abinoam was gone vp to mount Thabor.
Judg.4.13	And Sisara gathered together all his charettes, euen .ix. hundred charettes of yron, Ꟶ all the people that were wt him from of Haroseth of the gentyles, vnto the ryuer of kyson.
Judg.4.14	And Debora sayde vnto Barak: vp, for this is the daye in which the Lorde hath delyuered Sisara into thyne hande: Is not the Lorde gone out before the? And so Barak went downe from mount Thabor, Ꟶ ten thousande men after him.
Judg.4.15	But the Lorde destroyed Sisara and all his charettes, Ꟶ all his hoste with the edge of the swerde, before Barak: so that Sisara lyghted downe of his charett, Ꟶ fled awaye on hys fete.
Judg.4.16	But Barak folowed after the charettes and after the hoste, euen vnto Haroseth of the gentyles. And all the hoste of Sisara fell vpon the edge of the swerde, and there was not a man leafte.
Judg.4.17	How be it Sisara fled awaye on his fete to the tent of Iael the wyfe of Haber the kenite: for there was peace betwene Iabin the kyng of Hazor, Ꟶ the housholde of Haber the kenite.
Judg.4.18	And Iael went out to mete Sisara, and sayde vnto him: turne in my lord, turne into me, feare not. And whan he had turned in vnto her into her tent, she couered hym with a mantell.
Judg.4.19	And he sayd vnto her, geue me a lyttel water to drynk, for I am thirstye. And she opened a bottell of mylke, Ꟶ gaue hym drynck, Ꟶ couered him.
Judg.4.20	And agayne he sayde vnto her: stande in the dore of the tente, and whan any man doth come and enquere of the, whether there be any man here, thou shalt saye: naye.
Judg.4.21	Then Iael Habers wyfe toke a nayle of the tente, Ꟶ an hammer in her hand, Ꟶ went softlye vnto hym, and smote the nayle into the temples of his head, and fastened it into the ground, for he slombered sore, and was weery: And so he dyed.
Judg.4.22	And Beholde, as Barak folowed after Sisara, Iael came out to mete him, Ꟶ sayde vnto him: come, Ꟶ I wyll shew the the man, whom thou sekest. And when he came into her tente: Beholde, Sisara laye deed, Ꟶ the nayle was in his temples.
Judg.4.23	And so God brought Iaben the kyng of Canaan into subieccyon that daye before the chyldren of Israel.
Judg.4.24	And the hande of the children of Israel prospered, Ꟶ preuayled agaynst Iaben the kyng of Canaan, vntill they had brought him to naught.
Judg.5.1	Then Debora Ꟶ Barak the sonne of Abinoam sange the same daye, sayeng:
Judg.5.2	Prayse ye the Lord, for the auengyng of Israel, and for the people that became so wylling.
Judg.5.3	Heare O ye kynges, herken o ye prynces: I, euen I, will syng vnto the Lord, I wyl prayse the Lorde God of Israel.
Judg.5.4	Lord, whan thou wentest out of Seir, whan thou departedst out of the felde of Edom, the erth trembled, Ꟶ the heauens rayned: the cloudes also dropped water.
Judg.5.5	The mountaynes melted before the lord, euen as dyd Sinai, before the lorde God of Israel.
Judg.5.6	In the dayes of Samgar the sonne of Anath, in the dayes of Iael the hye wayes were vnoccupied: And the ronners of the pathes walked thorow by wayes.
Judg.5.7	The inhabiters of the townes were gone, they were gone in Israel, vntyll I Debora came vp, which came vp a mother in Israel.
Judg.5.8	They chose new goddes, and then had they (the enemye) in the gates, though there were shilde and speare. There was not a child or spere sene amonge fourtye thousande of Israel.
Judg.5.9	My hart loueth the gouerners of Israel, and them that are willing amonge the people. O prayse ye the Lorde.
Judg.5.10	Speake ye that ryde on fayre asses, Ꟶ that sitt vppermost in iudgement, Ꟶ walke by the wayes
Judg.5.11	At the cryeng of the archers amonge the drawers of water, there shall they speake of the righteousnes of the Lorde, his righteousnesse in the vnfenced places of Israel: then shall the people of the Lord go downe to the gates.
Judg.5.12	Up Debora vp, get the vp, and syng a songe: Aryse Barac, and leade the captiuyte captyue, thou sonne of Abinoam.
Judg.5.13	Then shall they that remayne, haue domynion of the proudest of the people (of Iabin:) The Lorde shall for my sake haue domynion ouer the myghtie.
Judg.5.14	Out of Ephraim was there a rote of them agaynst Amaleck, and after the, Beniamin amonge thy people. Out of Machir came rulers, Ꟶ out of zabulon they that gouerne the penne of the wryter.
Judg.5.15	And of Isachar, there were prynces with Debora, Isachar also and Barac were sent on their fete into the valley, whan in the departing awaye of Ruben there were greate men, and wyse of hert?
Judg.5.16	Why abodest thou among the shepe foldes, to heare the bleatinges of the flockes, Ꟶ to separate thy selfe awaye wt greate men and wyse of hert?
Judg.5.17	Gilead also abode beyonde Iordane: and why doth Dan remayne in shippes? Aser contynued on the see shore, and taried in hys decayed places.
Judg.5.18	But the people of zabulon haue ieoperde their lyues euen vnto the dethe, lyke as did Nephthalim in the hye places of the felde.
Judg.5.19	The kynges came Ꟶ fought, then fought the kynges of Canaan in Thamnah, by the waters of Negiddo, and wanne no money.
Judg.5.20	They fought from heauen, euen the starres in their courses fought agaynst Sisera.
Judg.5.21	The ryuer of Cyson remoued them, that auncient ryuer, the ryuer Cyson: My soule shall treade (hym) downe mightely.
Judg.5.22	Then were the horse hoffes smytten asunder by the meames of the praunsinges that their mightye men made.
Judg.5.23	Curse ye the cite of Meros (sayd the angell of the Lord) cursse the inhabitours therof, because they came not to helpe the Lorde, to helpe the Lorde with the myghtie.
Judg.5.24	Iael the wife of Haber the kenyte shalbe blessed aboue other wemen, blessed shall she be aboue other wemen in the tent.
Judg.5.25	He asked water, Ꟶ she gaue him mylck, she brought furth butter in a lordly disshe.
Judg.5.26	She put hir hande to the nayle, and hir right hande to the smythes hammer: wt the hammer smote she Sisera, and smote hys heade, wounded him, Ꟶ pearsed his temples.
Judg.5.27	He bowed hym downe at hir fete, he fell downe Ꟶ laye still: At hir fete he bowed him downe, Ꟶ fell. And when he had soncke downe, he laye still desolate.
Judg.5.28	The mother of Sisera loked out at a wyndowe, Ꟶ cried thorow the lattesse? Why is his charret so long a commyng? Why tarye the wheles of his cartes?
Judg.5.29	All the wyse ladyes answered her, ye and her awne wordes answered hir selfe.
Judg.5.30	Surely they haue founde, they deuyde the spoyles: euery man hath a damsell or two: Sisera hath a praye of diuerse couloured garmentes, euen a praye of rayment dyed wt sondrye coloures, Ꟶ that are made of nedle worke: rayment of diuerses coloures Ꟶ of nedle worke which is mete for him that is chefe in distributinge of the spoyles.
Judg.5.31	So perishe all thine enemyes: O Lord: but they that loue him, let them be as the sonne whan he ryseth in his might. And the lande had rest fourtye yeres.
Judg.6.1	And the chyldren of Israell committed wyckednes in the sight of the Lord. And the Lord delyuered them into the handes of Madian seuen yeres.
Judg.6.2	And the hande of Madian preuayled agaynst Israel, Ꟶ because of the Madianites, the chyldren of Israel made them dennes in the mountaynes Ꟶ caues and stronge holdes.
Judg.6.3	And when Israel had sowen, the Madianites, the Amalechites Ꟶ they of the east contreye came vp together against them: Ꟶ pytched their tentes against them,
Judg.6.4	Ꟶ destroyed the encrease of the erthe, euen till thou come vnto Azah: Ꟶ lefte no sustistinaunce for Israell, nether shepe, oxe or asse:
Judg.6.5	for they went vp, they and their cattell, Ꟶ came wt their tentes as a multitude of greshopers: so that bothe they Ꟶ also their camels were wt out nombre. And they entred into the lande to destroye it.
Judg.6.6	And so was Israel excedingly impouereshed in the sight of the Madianites, Ꟶ cryed vnto the Lord.
Judg.6.7	And when the children of Israel cryed vnto the Lord because of the Madianites,
Judg.6.8	the Lord sent vnto them a prophet, which sayd vnto them: Thus sayth the lord god of Israel: I fette you from Egypt Ꟶ brought you oute of the house of bondage,
Judg.6.9	Ꟶ I rydd you out of the hande of the Egypcians, Ꟶ out of the hand of all that oppressed you Ꟶ cast them out before you, Ꟶ gaue you their land.
Judg.6.10	And I sayd vnto you: I am the Lorde youre God, feare not the goddes of the Amorytes in whose lande you dwell. But you haue not obeyed my voyce.
Judg.6.11	And the Angell of the Lorde came, Ꟶ sate vnder an Oke which was in Ephrah, that pertayned vnto Ioas the father of the Eserites. And his sonne Gedeon pressed out whete out of the eares in a presse, to hyde it from the Madianites:
Judg.6.12	Ꟶ the angell of the Lord apeared vnto hym, Ꟶ sayde: the Lord is wyth the, thou mightie man of warre.
Judg.6.13	And Gedeon answered him: Oh my Lord, yf the Lord be wyth vs, why is all this come vpon vs? ye Ꟶ where be all hys myracles which oure fathers tolde vs of, and sayde? Did not the lord bring vs out of Egypte? But now the Lorde hath forsaken vs, Ꟶ delyuered vs into the handes of the Madianites.
Judg.6.14	And the Lord loked vpon him, Ꟶ sayd: Go hence in this thy might, and thou shalt delyuer Israel out of the handes of the Madianites: Haue not I sent the?
Judg.6.15	And he answered him: Oh lord, wherwith shall I saue Israel? Beholde, my kinred is poore in Manasses, and I am lytle in my fathers house.
Judg.6.16	The Lord sayde vnto him: I will be with the: and thou shalt smyte the Madianites, as they were but one man.
Judg.6.17	And he answered him: Oh: yf I haue founde grace in thy syght, then shewe me a sygne, that it is thou that talkest wt me.
Judg.6.18	Departe not hence, vntill I come agayne vnto the, and till I bring myne offryng, Ꟶ haue sett it before the. And he sayde: I wyll tarye vntyll thou come agayne.
Judg.6.19	And Gedeon went in, Ꟶ made redye a kydd, and swete kakes of an Epha of flowre, Ꟶ put it wt the fleshe in a basket, Ꟶ put the broth in a potte, Ꟶ brought it out vnto hym vnder the Oke, Ꟶ presented it.
Judg.6.20	And the angell of God sayd vnto him: take the flesh Ꟶ the swete kakes, Ꟶ laye them vpon this rocke, Ꟶ powre out the broth. And he dyd so.
Judg.6.21	Then the angell of the Lord put forth the ende of the staffe that he helde in his hande, Ꟶ touched the fleshe and the swete kakes. And there arose vp fyre out of the rocke, Ꟶ consumed the flesh Ꟶ the swete kakes. But the angell of the Lord vanished out of his syght.
Judg.6.22	And when Gedeon perceaued that it was an angell of the Lord, he sayd: Alas, O Lord God, haue I therfore sene an angell of the lord face to face, that I shulde dye?
Judg.6.23	And the Lord sayde vnto him: peace be vnto the, feare not, thou shalt not dye.
Judg.6.24	Then Gedeon made an aultare there vnto the Lord, Ꟶ called it: The Lorde of peace. And vnto thys daye it is yet in Ephrath, that pertayneth vnto the father of the Eserites.
Judg.6.25	And it fortuned that the same nyght the Lord sayde vnto him: take a yong bullock out of thy fathers droue, Ꟶ another of .vii. yeres olde, Ꟶ destroye the aultare of Baal that thy father hath, Ꟶ cutte downe the groue that is by it,
Judg.6.26	Ꟶ make an aultare vnto the Lord thy God vpon the toppe of this rocke in a conuenient place. And take the seconde bullock, Ꟶ offer burnt sacrifice vpon the wodd of the groue, which thou shalt cut downe.
Judg.6.27	Then Gedeon toke ten men of his seruauntes, Ꟶ dyd as the Lord bad him. But because he durst not do it by daye for feare of his fathers houshold Ꟶ of the men of the cytie, he dyd it by nyght.
Judg.6.28	And when the men of the cytie were vp erlye in the morning: Beholde, the aultare of Baal was broken, Ꟶ the groue cut downe that was by it, Ꟶ the seconde bullock offered vpon the aulter that was made.
Judg.6.29	And they sayde one to another: who hath done this thing Ꟶ whan they enquered Ꟶ asked, they sayde: Gedeon the sonne of Ioas hath done this thing.
Judg.6.30	Then the men of the cytie sayde vnto Ioas: bringe out thy sonne, that he maye dye? because he hath destroyed the aulter of Baal, Ꟶ cut downe the groue that was by it.
Judg.6.31	And Ioas sayde vnto all that stode by him: will ye leade Baals cause? or will ye be his defenders? he that hath medled agaynst him, let him dye or the mornynge. If he be a God, let him be auenged of him, that cast downe hys aulter.
Judg.6.32	And from that daye was Gedeon called: Ierobaal, because his father had sayde: Let Baal be auenged of hym, that hath broken downe his aulter.
Judg.6.33	All the Madianites therfore, Ꟶ the Amalekites Ꟶ they of the east, were geathered togeather, Ꟶ went, Ꟶ pitched in the valeye of Iesrael:
Judg.6.34	but the sprete of the Lord came vpon Gedeon. And he blewe a trompette, Ꟶ called Abiezer to folow him,
Judg.6.35	Ꟶ sent messengers thorow out all Manasses, Ꟶ called them, which also dyd folowe him. And he sent messengers vnto Aser, zabulon and Nephthalim, and they came to mete hym.
Judg.6.36	And Gedeon sayd vnto God: wilt thou saue Israel in my hande, as thou hast sayde:
Judg.6.37	Beholde, I wyll put a flece of wolle in the threasshyng place. And yf the dewe come on the flece onlye, Ꟶ it be drye vpon all the erth besyde, then shall I be sure, that thou wilt saue Israel by my hande, as thou saydest.
Judg.6.38	And it came so to passe. For he rose vp erlye on the morowe, and thrust the flece togeather, and wronge the dewe therout, Ꟶ fylled a bowle of water:
Judg.6.39	Ꟶ Gedeon sayd agayne vnto God: be not angrye wt me, that I speake once moare. For I wyll proue once agayne by the flece. Let it be drye onlye vpon the flece, and dewe vpon all the grounde.
Judg.6.40	And God did so that same nyght: For it was drye vpon the flece onely, Ꟶ there was dew on all the grounde.
Judg.7.1	Then Ierobaall (otherwyse called Gedeon) and all the people that were wyth hym, rose vp early, and pytched besyde the well of Harad, so that the hoste of the Madianites were on the northsyde of the rock that boweth towarde the valley.
Judg.7.2	And the Lorde sayde vnto Gedeon: the people that are with the, are to many for me to geue the Madianites into their handes, lest Israel make their vaunte agaynst me and saye: myne awne hande hathe saued me.
Judg.7.3	Now therfore make a proclamacyon in the eares of the people, Ꟶ saye: yf any man dreade or be aferde, let him returne. And the people arose erlye. And there departed Ꟶ returned of the people which weare at mount Gilead .xxii. thousand, and there abode ten thousande.
Judg.7.4	And the Lord sayde vnto Gedeon: the people are yet to many, bryng them downe vnto the water, and I wyll trye them vnto the there. And of whom I saye vnto the, thys shall go with the, the same shall go with the. And of whomsoeuer I saye vnto the, this shall not go wyth the, the same shall not go.
Judg.7.5	So he brought downe the people vnto the water, and the Lord sayde vnto Gedeon: as many as lappe the water wyth theyr tonges, as a dogge doth, them put by them selues, Ꟶ so do them that knele downe vpon their knees to drincke.
Judg.7.6	And the nombre of them that put there handes to their mouthes and lapped, were .iii. hundred men. But all the remnaunt of the people kneled downe vpon their knees to dryncke water.
Judg.7.7	And the Lorde sayde vnto Gedeon: By these thre hundred men that lapped water, wyll I saue you: and delyuer the Madianites into thyne hande. And let all the other people go euery man vnto his place.
Judg.7.8	They therfore of the people toke vitailes with them, Ꟶ their trompettes. And he sent all the rest of Israel, euery man vnto his tent, and conforted those thre hundred with him. And the host of Madian was benethe hym in a valeye.
