Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.1.26	And God sayde: let vs make man in oure ymage after oure lycknes, and let them haue rule of the fysh of the see: and foule of the ayre and catell, and all the earth, and of euery crepyng thyng that crepeth vpon the erth.
Gen.1.27	And so God created man in his awne ymage: in the ymage of God created he hym, male and female created he them.
Gen.1.28	And God blessed them, and God sayd vnto them: Growe and increace and replenyshe the erth, and subdue it: and haue dominion of the fish of the see, and foule of the aire: and of euery lyuing thyng that moueth vpon the earth.
Gen.1.29	And God sayde: Beholde, I haue geuen you euery herbe sowynge seed, which is in the vpper face of all the earth: and euery tre in the which is the frute of tree, and that soweth seed, that they maye be meate vnto you.
Gen.1.30	To euery beast of the earth also, and to euery byrde of the ayre, and to euery suche thinge as crepeth vpon the earth (wherin is a lyuing soule) I haue geuen all grenenes of herbe to be meat. And it came so to passe.
Gen.1.31	And God sawe euery thyng that he had made, and beholde, it was exceading good. The euenyng also and the mornynge was made the syxth daye.
Gen.2.1	The heauens also and the erth were fynished, and all the hoost of them.
Gen.2.2	And in the seuenth daye God ended his worcke which he had made. In the seuenth daye also, he rested from all hys worke which he had made.
Gen.2.3	And God blessed the seuenth daye, and sanctifyed it, because that in it he had rested from all his worke, which God ordeyned to make.
Gen.2.4	These are the generacions of the heauens and of the earth when they were created, in the daye, when the Lorde God made the earth and the heauens
Gen.2.5	and euery plant of the felde, before it was in the earth: and euery herbe of the felde, before it grewe. For the Lord God had not caused it to raygne vpon the earth, nether was there a man to tyll the grounde.
Gen.2.6	And there went vp a myste from of the earth, and watred the whole face of the grounde.
Gen.2.7	The Lorde God also shope man, euen dust from of the grounde, and brethed into his nastrels the breth of lyfe: and Adam was made a lyuing soule.
Gen.2.8	And the Lorde God planted a garden eastwarde from Eden, and there he put man whom he had made.
Gen.2.9	Moreouer, out of the grounde made the Lorde God to growe, euery tre that was pleasaunt to the sight, and commodious for meate. The tre of lyfe also and the tre of knowledge of good and of euyll was in the myddes of the garden.
Gen.2.10	And out of Eden, there went forth a riuer to water the garden. And from thence it was deuyded, and became into foure heades.
Gen.2.11	The name of one is Pison. The same is it that compasseth the whole lande of Hauilah,
Gen.2.12	where there is golde. And the golde of that lande is good. There is also Bdelliun, and the onix stone.
Gen.2.13	The name of the second ryuer is, Gihon: the same is it that compasseth the whole lande of Ethiopia.
Gen.2.14	The name of the third ryuer is Hidekel, Ꟶ it goth towarde the eastsyde of Assiria. And the fourth ryuer is Euphrates.
Gen.2.15	The Lord God also toke Adam, and put him into the garden of Eden, that he myght dresse and kepe it.
Gen.2.16	And the Lorde God commaunded Adam, saying: Eating, thou shalt eate of euery tre of the garden.
Gen.2.17	But as touchynge the tre of knowledge of good and euell, thou shalt not eate of it. Els, in what daye soeuer thou eatest therof, thou shalt dye the death.
Gen.2.18	And agayne, the Lord God sayd: It is not good that Adam shulde be alone I will make him an helpe, which maye be present wt him.
Gen.2.19	And so out of the grounde shope the Lorde God euery beast of the felde, and euery foule of the ayre, and brought it vnto man, that he myght se howe he wolde call it. For likewyse as man hym selfe named euery liuyng thyng, euen so was the name therof.
Gen.2.20	Man him selfe therfore named the names vnto all catell, and foule of the ayre, and to euery beast of the felde. And for man founde he not an helpe that myght be present with him.
Gen.2.21	The Lorde God also caused a slomber to fall vpon Adam, and he slept. And he toke one of hys ribbes, Ꟶ closed vp the flesh in stead therof.
Gen.2.22	And the rybbe which the Lorde God had taken from man, made he a woman, and brought her vnto man.
Gen.2.23	And man sayde: This is nowe bone of my bones, and fleshe of my fleshe. She shalbe called woman, because she was taken out of man.
Gen.2.24	For this cause shall a man leaue hys father and hys mother, Ꟶ shalbe ioyned with hys wyfe, and they shall become one flesh:
Gen.2.25	and they were both naked, the man and his wife, and were not ashamed.
Gen.3.1	But the serpent was sotyller then euery beast of the felde, which the Lorde God made. And he sayde vnto the woman: yee, hath the Lorde God sayde: ye shall not eat of euery tre of the garden?
Gen.3.2	And the woman sayde vnto the serpent: we eate of the frute of the tre of the garden:
Gen.3.3	but as for the frute of the tre which is in the middes of the garden, God hath sayde: ye shall not eate of it, nether shal ye touche it, lest happly ye dye.
Gen.3.4	And the serpent sayde vnto the woman: ye shall not dye the death:
Gen.3.5	but God doth knowe, that the same daye that ye eat therof, your eyes shalbe opened, Ꟶ ye shalbe euen as goddes, knowing good and euyll.
Gen.3.6	And so the woman (seyng that the same tre was good to eate, and lusty to the eyes, Ꟶ that the same tre was pleasaunt to get wisdome) toke of the frute therof, and dyd eate: and gaue vnto her husband beynge with her, which dyd eate also.
Gen.3.7	And the eyes of them both were opened: and they knewe that they were naked, Ꟶ they sowed fygge leaues together, and made them selues aperns.
Gen.3.8	And they heard the voyce of the Lord God walkynge in the garden in the coole of the daye. And Adam Ꟶ his wyfe hyd them selues from the presence of the Lorde God among the trees of the garden.
Gen.3.9	And the Lorde God called Adam, and sayd vnto hym: where art thou?
Gen.3.10	which sayde: I hearde thy voyce in the garden, Ꟶ was afrayed, because I was naked, Ꟶ hyd my selfe.
Gen.3.11	And he sayde: Who tolde the, that thou wast naked? hast thou not eaten of the same tre, concernynge the which I commaunded the, that thou shuldest not eate of it?
Gen.3.12	And Adam sayd: The woman, whom thou gauest to be wyth me, she gaue me of the tree, and I dyd eate.
Gen.3.13	And the Lorde God sayde vnto the woman: Why hast thou done this? And the woman sayde: yonder serpent begyled me, and I dyd eate.
Gen.3.14	And the Lorde God sayde vnto the serpent: because thou hast done this, thou art curssed aboue all catell, and aboue euery beast of the felde. Upon thy belly shalt thou go, Ꟶ dust shalt thou eate all the dayes, of thy lyfe.
Gen.3.15	I will also put enemytie betwene the Ꟶ the woman, betwene thy sede and hyr sede: The same shall treade downe thy head, and thou shalt treade vpon hys hele.
Gen.3.16	But vnto the woman he sayde: In multiplienge wyll I multiplye thy sorowe Ꟶ thy conceyuynge: In sorowe shalt thou brynge furth chyldren, Ꟶ thy lust shall pertayne to thy husbande, Ꟶ he shall haue the rule of the.
Gen.3.17	Unto Adam he sayde: Because thou hast herkened vnto the voyce of thy wyfe, Ꟶ hast eaten of the tree (concernynge the which I commaunded the, sayinge: Thou shalt not eate of it) cursed is the ground for thy sake. In sorowe shalt thou eate of it all the dayes of thy lyfe.
Gen.3.18	Thorne also Ꟶ thystle shall it cause to growe vnto the, Ꟶ thou shalt eate the herbe of the felde.
Gen.3.19	In the sweat of thy face shalt thou eate bread, tyll thou be turned agayne into the grounde, for out of it was thou taken, in asmuch as thou art dust, Ꟶ into dust shalt thou be turned agayne.
Gen.3.20	And Adam called his wyues name Heua, because she was the mother of all lyuinge.
Gen.3.21	Unto the same Adam also Ꟶ to hys wyfe dyd the Lorde God make lethren garmentes, Ꟶ clothed them.
Gen.3.22	And the Lorde God sayde: Beholde, yonder man hath bene euen as one of vs, that he myght knowe good and euell. And nowe lest happly he put furth hys hande, and take also of the tree of lyfe, and eate, Ꟶ lyue for euer.
Gen.3.23	And the Lorde God sent them furth from the garden of Eden, to dresse the grounde that he was taken out of.
Gen.3.24	And so he droue out man, Ꟶ at the east syde of the garden of Eden, he set Cherubins, Ꟶ the glysterynge flame of a shakynge swerde, to kepe the waye of the tre of lyfe.
Gen.4.1	Adam knewe Heua his wife: Who conceauynge, bare Cain, sayinge: I haue gotten a man of the Lorde.
Gen.4.2	And she proceadynge furth, brought furth hys brother Habel, and Habel was a keper of shepe. But Cain was a tyller of the grounde.
Gen.4.3	And in processe of dayes it came to passe, that Cain brought of the frute of the grounde an oblacyon vnto the Lorde.
Gen.4.4	Habel also brought of the fyrstlynges of hys shepe, and of the fat therof. And the Lorde had respecte vnto Habel, Ꟶ to hys oblacyon.
Gen.4.5	But vnto Cain and to hys offrynge he had no respecte. For the whych cause Cain was exceadyng wrothe, and hys countenaunce abated.
Gen.4.6	And the Lorde sayde vnto Cain: Why art thou wrothe, Ꟶ why is thy countenaunce abated? yf thou do well, shall there not be a promocion.
Gen.4.7	And yf thou dost not well, lyeth not thy synne in the dores? Unto the also pertayneth the lust therof, and thou shalt haue dominion ouer it.
Gen.4.8	And Cain spake vnto Habel hys brother. And it fortuned whan they were in the felde, Cain rose vp agaynst Habel hys brother, and slue him.
Gen.4.9	And the Lorde sayde vnto Cain: Where is Habel thy brother? Whych sayd: I wote not. Am I my brothers keper?
Gen.4.10	And he sayde: What hast thou done? The voyce of thy brothers bloude crieth vnto me out of the grounde.
Gen.4.11	And nowe art thou curssed from of the erth, whych hath opened hyr mouth, to receaue thy brothers bloude from thy hande.
Gen.4.12	If thou tyll the grounde, she shall not proceade to yelde vnto the hyr strength. Fugityue, and vagabounde shalt thou be in the erth.
Gen.4.13	And Cain sayde vnto the Lorde: Myne iniquite is more, then that it maye be forgeuen.
Gen.4.14	Beholde, thou hast cast me out this daye from the vpper face of the erth, and from thy face shall I be hyd: Fugityue also and a vagabounde shall I be in the erth. And it shall come to passe: euery one that fyndeth me, shall slaye me.
Gen.4.15	And the Lorde sayde vnto him: yee, but whosoeuer slayeth Cain, it shalbe auenged seuen folde. And the Lorde set a marke vpon Cain, lest any man fyndynge him, shulde kyll hym.
Gen.4.16	And Cain wente out from the presence of the Lorde, Ꟶ dwelt in the londe of Nod eastward from Eden.
Gen.4.17	Cain also knewe his wife, whych conceaued Ꟶ bare Henoch: Ꟶ buyldinge a cyte, he called the name of the same cyte after the name of hys sonne Henoch.
Gen.4.18	Unto the same Henoch was borne Irad. Irad bedat Mehuiael, Ꟶ Mehuiael begat Methuschael. Methuschael begat Lamech.
Gen.4.19	And Lamech toke vnto hym two wyues: The name of the one was Ada, Ꟶ the name of the other was zilla.
Gen.4.20	And Ada begat Iabal, whych was the father of such as dwell in tentes, Ꟶ of suche as haue catell.
Gen.4.21	His brothers name was Thubal, whych was the father of such as handle harpe Ꟶ organe.
Gen.4.22	And zilla also begat Thubal Cain, which wrought connyngly euery craft of brasse Ꟶ of yron. The syster of Thubal Cain, was Naema.
Gen.4.23	And Lamech sayde vnto his wyues Ada and zilla: Heare my voyce ye wyues of Lamech, herken vnto my speche: I haue not slayne a man to the woundynge of my selfe, Ꟶ a yonge man to myne owne punyshment.
Gen.4.24	If Cain shalbe auenged seuenfolde, truly Lamech seuentye tymes and seuen tymes.
Gen.4.25	Adam knewe his wife agayne, Ꟶ she bare a sonne, and called his name Seth: For God (sayde she) hath appoynted me another sede in steade of Habel, whom Cain slew.
Gen.4.26	And vnto the same Seth also there was borne a sonne, Ꟶ he called his name Enos. Then began they to make inuocacyon in the name of the Lorde.
Gen.5.1	This is the boke of the generacyons of Adam. In the daye that God created man, in the lyknesse of God made he him.
Gen.5.2	Male and female created he them, Ꟶ blessed them, and called theyr name Adam in the daye of theyr creacyon.
Gen.5.3	And Adam lyued an hundreth Ꟶ thyrtye yeres, Ꟶ begat (a sonne) in hys owne lyknesse after his ymage, Ꟶ called his name Seth.
Gen.5.4	All the dayes of Adam (after he had begotten Seth) were eyght hundreth yeres, Ꟶ he begat sonnes and daughters.
Gen.5.5	And all the dayes that Adam lyued, were nyne hundreth and thyrtye yeares, and he dyed.
Gen.5.6	Seth lyued an hundred Ꟶ fyue yeares, and begat Enos.
Gen.5.7	And Seth lyued (after he begat Enos) eyght hundreth yeares Ꟶ seuen yeres, Ꟶ begat sonnes Ꟶ daughters.
Gen.5.8	And all the dayes of Seth were, nyne hundreth Ꟶ twelue yeares. And he dyed.
Gen.5.9	Enos lyued nyntye yeares Ꟶ begat kenan.
Gen.5.10	And Enos lyued (after he begat kenan) eight hundreth, and fyftene yeares, Ꟶ begat sonnes Ꟶ daughters.
Gen.5.11	And all the dayes of Enos were nyne hundreth Ꟶ fyue yeres. And he dyed.
Gen.5.12	Kenan lyued seuentye yeres, Ꟶ begat Mahelael.
Gen.5.13	And kenan lyued (after he begat Mahelael) eyght hundreth yeares and fortye yeres, and begat sonnes Ꟶ daughters.
Gen.5.14	And all the dayes of kenan were nyne hundreth yeares and ten yeares, and he dyed.
Gen.5.15	Mahelael lyued syxtye yeares Ꟶ fyue yeares,
Gen.5.16	Ꟶ begat Iared. And agayne, Mahelael lyued (after he begat Iared) eyght hundreth Ꟶ thirtye yeres, Ꟶ begat sonnes Ꟶ daughters.
Gen.5.17	And all the dayes of Mahelael were eyght hundreth nynetye Ꟶ fyue yeares. And he dyed.
Gen.5.18	Iared lyued an hundred Ꟶ syxtye and two yeares, Ꟶ begat Henoch.
Gen.5.19	And Iared lyued (after he begat Henoch) eyght hundreth yeares, Ꟶ begat sonnes and daughters.
Gen.5.20	And all the dayes of Iared were nyne hundreth and syxtye and two yeares. And he dyed.
Gen.5.21	Henoch lyued syxtie Ꟶ fyue yeares, Ꟶ begat Methuselah.
Gen.5.22	And Henoch walked wyth God after he begat Methuselah, thre hundreth yeres, Ꟶ begat sonnes Ꟶ daughters.
Gen.5.23	And all the dayes of Henoch were thre hundreth syxtie Ꟶ fyue yeres.
Gen.5.24	And Henoch walked with God, Ꟶ he (was no more sene,) for God toke hym awaye.
Gen.5.25	Methuselah also lyued an hundreth yeares, Ꟶ eyghtye Ꟶ seuen yeres, Ꟶ begat Lamech.
Gen.5.26	And agayne Methuselah lyued (after he begat Lamech,) seuen hundreth yeares, and eyghtye, Ꟶ two yeres, and begat sonnes and daughters.
Gen.5.27	And all the dayes of Methuselah were nyne hundreth yeares and syxtye Ꟶ nyne yeares. And he dyed.
Gen.5.28	Lamech lyued an hundreth yeres Ꟶ eyghtye Ꟶ two yeres, Ꟶ begat a sonne,
Gen.5.29	Ꟶ called his name Noah, sayenge: This same shall comforte vs as concernynge oure worke Ꟶ sorowe of oure handes, from of the erth, which God curssed.
Gen.5.30	And Lamech lyued (after he begat Noah) fyue hundreth yeres Ꟶ nynety Ꟶ fyue yeares, Ꟶ begat sonnes Ꟶ daughters.
Gen.5.31	And all the dayes of Lamech were seuen hundreth yeares, and seuentye and seuen yeares, and he dyed.
Gen.5.32	Noah was fyue hundreth yeare olde. And Noah begat Sem, Ham, and Iapheth.
Gen.6.1	And it came to passe, that man beganne to be multiplied in the vpper face of the erth, and there were daughters borne vnto them.
Gen.6.2	The sonnes of God also sawe the daughters of men that they were fayre, and they toke them wyues from amonge all that they had chosen.
Gen.6.3	And the Lorde sayde: My sprete shall not allwaye, stryue in man, because he is flesh, and hys dayes shalbe an hundreth Ꟶ twentye yeares.
Gen.6.4	But there were gyauntes in the erth in those dayes: yee and after that the sonnes of God came vnto the daughters of men, and they had gendred vnto them, the same became myghtye men of the worlde, and men of renowne.
Gen.6.5	But God sawe that the malyce of man was greate in the erth, and all the ymaginacyon of the thoughtes of hys hert was onely euell euery daye.
Gen.6.6	And it repented the Lorde, that he had made man in the erth, Ꟶ he was touched with sorow in his harte.
Gen.6.7	And the Lorde sayde: I wyll (from the vpper face of the earth) destroye man, whom I haue created: both man, catel, worme, Ꟶ foule of the ayre, for it repenteth me that I haue made them.
Gen.6.8	But Noah founde grace in the eyes of the Lorde:
Gen.6.9	These are the generacyons of Noah Noah was iust Ꟶ perfect in his generacions, and walked wt God.
Gen.6.10	Noah begat thre sonnes: Sem, Ham, Ꟶ Iapheth.
Gen.6.11	The earth also was corrupte before God, Ꟶ the same earthe was fylled wt crueltye.
Gen.6.12	And God loked vpon the erth, and beholde it was corrupt: For al fleshe had corrupt his waye vpon earth.
Gen.6.13	And God sayde vnto Noah: The ende of all fleshe is come before me, for the earthe is fylled with crueltye from the face of them. And beholde, I wyll destroy them with the erth,
Gen.6.14	Make the an Arke of pyne trees. Habitacyons shalt thou make in the Arke, and shalt pytch it within Ꟶ without with pytch.
Gen.6.15	And of this fasshyon shalt thou make it. The lengthe of the Arke shalbe thre hundreth cubytes: The bredth of it, fyftye cubites, Ꟶ the heygth of it thyrtye cubytes.
Gen.6.16	A wyndowe shalt thou make in the Arke, and in a cubite shalt thou fynyshe it aboue, but the dore of the Arke shalte thou set in the syde therof. With thre loftes one aboue an other shalte thou make it.
Gen.6.17	And behode, I, euen I, do bring a floude of waters vpon the earthe, that I maye destroye al flesshe wherin is the breth of lyfe vnder heauen: And euery thynge that is in the earth, shall dye.
Gen.6.18	With the also wyll I make my couenaunt, Ꟶ thou shalte come into the Arke: thou Ꟶ thy sonnes, thy wife Ꟶ thy sonnes wyues wt the.
Gen.6.19	And euery lyuing thinge, and of all flesshe, a payre of euery one shalt thou brynge into the Arke, to kepe them alyue wt the. They shalbe male Ꟶ female.
Gen.6.20	Of fethered foules also after theyr kynde, Ꟶ of catell after theyr kynde, of euery worme of the earth after his kynde: two of euery one shall come vnto the, that thou mayst kepe them alyue.
Gen.6.21	And take thou with the of all meate that is eaten, and thou shalt laye it vp with the, that it maye be meate for the Ꟶ them.
Gen.6.22	Noah therfore dyd accordyng vnto all that God commaunded hym: euen so dyd he.
Gen.7.1	And the lord sayd vnto Noah: Come thou and al thy house into the Arke for the haue I sene ryghtuous before me in thys generacyon.
Gen.7.2	Of euery cleane beaste thou shalte take with the seuen and seuen: The male and hys female: But of vncleane catell, two, the male and his female.
Gen.7.3	Of foules also of the ayre, seuen and seuen, the male Ꟶ the female, to kepe sede aliue vpon the face of al the whole erth.
Gen.7.4	For yet after seuen dayes I wyl rayne vpon the erth fortye dayes Ꟶ fortye nyghtes. And all substaunce that I haue made, wyll I destroye from of the vpper face of the earth.
Gen.7.5	Noah therfore dyd accordynge vnto all that God commaunded hym.
Gen.7.6	And Noah was syxe hundreth yeres, Ꟶ the floude of waters was vpon the earth.
Gen.7.7	And Noah came (and his sonnes, Ꟶ his wyfe, Ꟶ his sonnes wiues with hym) vnto the Arke, because of the waters of the floude.
Gen.7.8	Of cleane catell, Ꟶ of vncleane catell, Ꟶ of flyenge foules, and of euery suche as crepeth vpon the erth,
Gen.7.9	there came two and two vnto Noah into the Arke, the male and the female, as God had commaunded Noah.
Gen.7.10	It fortuned also after seuen dayes, and the waters of the floude were vpon the earth.
Gen.7.11	In the syxe hundrethe yere of Noes lyfe in the seconde Moneth, the seuenth daye of the moneth. In the same daye were all the fountaynes of the greate depe broken vp, and the wyndowes of heauen were opened.
Gen.7.12	And the rayne was vpon the earthe fortye dayes and fortye nyghtes.
Gen.7.13	In the selfe same daye entred Noah, Sem, Ham, Ꟶ Iapheth, the sonnes of Noah, Ꟶ Noahs wyfe, and the thre wiues of his sonnes with them into the Arke:
Gen.7.14	They, Ꟶ euery beast after hys kynde, and all catell after theyr kynde, yee Ꟶ euery worme that crepeth vpon the earthe after his kynde, and euery byrde after his kynde, and euery flieng Ꟶ fethered foule.
Gen.7.15	And they came vnto Noah into the Arke two and two, of all flesh wherin is the breth of lyfe.
Gen.7.16	And they entryng in, came male and female of all fleshe, as God had commaunded hym. And God shut hym in rounde aboute.
Gen.7.17	And the floude came fortye dayes vpon the earth, Ꟶ the waters were increaced, and bare vp the Arke, whiche was lyfte vp aboue the erth.
Gen.7.18	The waters also preuayled, Ꟶ were increased exceadyngly vpon the earthe, and the Arke went on the vpper face of the waters.
Gen.7.19	And the waters preuailed exceadingly vpon the earth, Ꟶ al the hye hylles that are vnder the whole heauen, were couered.
Gen.7.20	Fiftene cubytes vpwarde dyd the waters preuayle, so that the mountaynes were couered.
Gen.7.21	And all fleshe dyed that moued vpon the earth, in foule, in catel, in beast, and in euery worme that crepeth vpon the earth: yee and euery man also.
Gen.7.22	What soeuer was (in whose nostrels the breth of lyfe dyd brethe, all these in the drye lande dyed.)
Gen.7.23	And euery thyng was destroyed, that remayned, Ꟶ that was in the vpper parte of the grounde (both man and catell, and worme, and foule of the ayre) they were euen destroyed from of the earth. And Noah onely remayned alyue, and they that were with hym in the Arke.
Gen.7.24	But the waters preuayled vpon the earth an hundreth and fyftye dayes.
Gen.8.1	And God remembred Noah, and euery beaste, and all the catell that was with him in the Arke. And god made a wind to passe vpon the earth, and the waters ceassed.
Gen.8.2	The fountaynes also of the depe and the windowes of heauen were stopped,
Gen.8.3	and the rayne from heauen was restrayned. And the waters from the erth were returned, goyng and commynge agayne. And after the ende of the hundreth and fyftieth daye, the waters were abated.
Gen.8.4	And in the seuenth moneth in the seuententh daye of the moneth, the Arke rested vpon the mountaines of Armenia.
Gen.8.5	And the waters truely were goynge and decreacyng vntyl the tenth moneth: For in the tenth moneth, Ꟶ in the fyrst daie of the same moneth were the toppes of the mountaynes sene.
Gen.8.6	And after the ende of the fortieth daye, it happened that Noah opened the wyndowe of the Arke which he had made.
Gen.8.7	And he sent forth a rauen, whiche went out goyng forth and returnynge agayne, vntyll the waters were dryed vp vpon the earth.
Gen.8.8	And agayne he sent forth a doue from hym, that he myghte se yf the waters were abated from the vpper face of the grounde.
Gen.8.9	And the doue founde no rest for the sole of her fote, Ꟶ she returned vnto hym agayne into the Arke: for the waters were in the vpper face of the whole erth. And he, whan he had put forth his hande, toke her, and pulled her into hym into the Arke.
Gen.8.10	And he abode yet other seuen dayes, and proceadynge further, he sent forthe the doue out of the Arke.
Gen.8.11	And the doue came to hym in the euen tyde, and lo, in her mouthe was an oliue leaf that she had pluct, wherby Noah did knowe, that the waters were abated vpon the earth.
Gen.8.12	And he abode yet other seuen daies and sent forthe the doue, whiche proceaded not to returne vnto hym any more.
Gen.8.13	And it came to passe in the syxe hundreth Ꟶ one yere, in the fyrst moneth, Ꟶ in the fyrst daye of the moneth, the waters were dryed vp from the earthe. And Noah remoued the coueryng of the Arke, Ꟶ loked, Ꟶ beholde, the vpper face of the grounde was dryed vp.
Gen.8.14	And in the seconde moneth, in the seuen Ꟶ twentye daye of the moneth, was the earth dryed.
Gen.8.15	And God spake vnto Noah sayeng:
Gen.8.16	Go forth of the Arke, thou Ꟶ thy wyfe, thy sonnes, Ꟶ thy sonnes wyues wt the.
Gen.8.17	And brynge forth with the, euery beaste that is with the: of all flesshe (both foule Ꟶ catel, Ꟶ euery worme that crepeth vpon the earthe) that they maye gendre in the earth, Ꟶ bryng forth frute, and increase vpon erth.
Gen.8.18	And so Noah came forth and hys sonnes, hys wyfe, Ꟶ hys sonnes wyues with hym.
Gen.8.19	Euery beast also and euery worme, euery foule, and whatsoeuer crepeth vpon the earth (after theyr kyndes) went out of the Arke.
Gen.8.20	And Noah buylded an altare vnto the lorde, and toke of euery cleane beast, and of euery cleane foule, Ꟶ offred sacrifyces in the altare.
Gen.8.21	And the Lorde smelled a swete (or quyete) sauoure. And the Lorde sayde in his herte: I wyll not proceade to curse the grounde any more for mannes sake, for the ymagynacyon of mans hert is euel euen from hys youth. Neyther wyl I adde to smite any more euery thynge liuynge, as I haue done,
Gen.8.22	yet therfore shall not sowyng tyme, Ꟶ haruest, colde and heate, Sommer Ꟶ wynter, daye Ꟶ nyght, ceasse, all the dayes of the earth.
Gen.9.1	And God blessed Noah Ꟶ his sonnes, and sayde vnto them: brynge ye forth frute and multiplye, and replenyshe the earth.
Gen.9.2	The feare of you and the drede of you shalbe vpon euery beast of the erth, and vpon euery foule of the ayre, in all such as the earth bryngeth forth, and in all the fyshes of the see. Into your hande are they delyuered.
Gen.9.3	Euery thynge that moueth it selfe, and that lyueth, shalbe meate for you: Euen as the grene herbe haue I geuen you all thinges.
Gen.9.4	But flesshe in the lyfe therof, and in the bloude therof shall ye not eate.
Gen.9.5	Els your bloude of your lyues wyll I requyre. From the hande of euery beaste wyll I requyre it, and from the hande of man: From the hande of mans brother wyll I requyre the lyfe of man.
Gen.9.6	Who so sheddeth mannes bloude, by man shall hys bloude be shedde: For in the ymage of God, dyd God make man.
Gen.9.7	But brynge you forth frute, and multiplye: Gendre ye in the earth, and increase therin.
Gen.9.8	God spake also vnto Noah Ꟶ to his sonnes with hym sayeng:
Gen.9.9	Beholde I set vp my couenaunt with you, Ꟶ with your sede after you,
Gen.9.10	and with euery liuing creature that is with you, both in foule and in catell, and in euery beast of the earth which is with you of all that go oute of the Arke, according vnto euery liuyng thing of the earth.
Gen.9.11	But my couenaunt wyl I make wt you that from henceforth euery flesshe be not roted out with the waters of a floude, neyther shall there be a floude to destroye the earth any more.
Gen.9.12	And God sayde: This is the token of the couenaunt which I geue betwene me Ꟶ you, and euery lyuynge creature that is with you in to perpetuall generacyons.
Gen.9.13	I haue set my bowe in the cloude, and it shalbe for a token betwene me Ꟶ the erth.
Gen.9.14	And it shall come to passe, that whan I brynge a cloude vpon the erth, the bowe also shall be sene in the same cloude.
Gen.9.15	And I wyll thynke vpon my couenaunt whych is betwene me Ꟶ you, Ꟶ euery lyuynge creature in all fleshe: Ꟶ it shall nomore come to passe, that waters make a floude to destroye all fleshe.
Gen.9.16	But the bowe shalbe in the same cloude, Ꟶ I wyll loke vpon it, that I maye thynke vpon the euerlastynge couenaunt betwene God and euery lyuinge creature, in all flesh that is vpon erth.
Gen.9.17	And God sayde vnto Noah. This is the token of the couenaunt which I haue made betwene me and all flesh that is vpon erthe.
Gen.9.18	The sonnes of Noah goynge furth of the Arke, were: Sem, Ham, and Iapheth. And Ham truly is the father of Chanaan.
Gen.9.19	These are the thre sonnes of Noah, Ꟶ of them was the whole erth ouerspred.
Gen.9.20	Noah also beganne to be an husbande man, and planted a vyneyarde.
