2Tim.3.15	and for as moch also as of a chylde thou hast knowen the holy scriptures which are able to make the lerned vnto saluacyon thorow the fayth which is in Christ Iesu.
2Tim.3.16	All scripture geuen by inspiracyon of God, is proffitable to teache, to improue, to amende and to instruct in ryghtewesnes,
2Tim.3.17	that the man of God maye be perfecte Ꟶ prepared vnto all good workes.
2Tim.4.1	I Testifye therfore before God, Ꟶ before the Lord Iesu Christ, which shall iudge the quicke and deed at hys apearinge in hys kyngdom,
2Tim.4.2	preache thou the worde, be feruent, in season Ꟶ oute of season. Improue, rebuke, exhorte wt all longe sufferynge and doctryne.
2Tim.4.3	For the tyme will come, when they shall not suffer wholsome doctryne: but after their awne lustes shall they (whose eares ytche) gett them an heepe of teachers,
2Tim.4.4	and shall withdrawe their eares from the trueth, and shalbe turned vnto fables.
2Tim.4.5	But watche thou in all thynges, suffre affliccyons, do the worke thorowlye of an Euangelist, fulfyll thyne offyce vnto the vtmost.
2Tim.4.6	For I am nowe ready to be offered, and the tyme of my departynge, is at hande.
2Tim.4.7	I haue fought a good fyght, I haue fulfylled my course, I haue kept the fayth.
2Tim.4.8	From hence forth ther is layde vp for me a crowne of ryghtewesnes, which the Lorde (that is a ryghteous iudge) shall geue me at that daye: not to me onely, but vnto all them also that loue his comminge.
2Tim.4.9	Do thy dyligence that thou mayest come shortly vnto me.
2Tim.4.10	For Demas hath forsaken me, and loueth thys present worlde, and is departed vnto Thessalonica. Crescens is gone to Galacia, Tytus vnto Dalmacia.
2Tim.4.11	Onely Lucas is with me. Take Marke, and bringe him with the, for he is proffitable vnto me for the minystracyon.
2Tim.4.12	And Tychycus haue I sent to Ephesus.
2Tim.4.13	The cloke that I lefte at Troada with Carpus, (when thou commest) bringe with the, and the bokes, but specially the partchement.
2Tim.4.14	Alexander the coppersmyth dyd me moch euyll: the Lorde rewarde hym accordynge to hys dedes,
2Tim.4.15	of whom be thou ware also. For he hath greatly wythstande oure wordes.
2Tim.4.16	At my fyrst answerynge, no man assisted me, but all forsoke me. I praye God, that it maye not be layde to their charges:
2Tim.4.17	Not wythstandynge the Lorde, assysted me, and strengthed me, that by me the preachynge shulde be fulfylled to the vtmost, and that all the Gentyls shulde heare. And I was delyuered out of the mouth of the lyon.
2Tim.4.18	And the Lorde shall delyuer me from all euyll doynge, and shall kepe me vnto hys heuenly kyngdom. To whom be prayse for euer and euer. Amen.
2Tim.4.19	Salute Prisea and Aquila Ꟶ the housholde of Onesiphorus,
2Tim.4.20	Erastus abode at Corinthum. Trophunus haue I lefte at Myletum sycke.
2Tim.4.21	Do thy diligence, that thou mayest come before winter. Eubolus gretith the, and so doth Pudens, and Lynus, Claudia, and all the brethren.
2Tim.4.22	The Lorde Iesus Christ be with thy sprete. Grace be with you: Amen.
2Tim.0.0	¶ The seconde Epistle vnto Tymothe, was wryten from Rome, when Paul was presented the seconde tyme vnto the Emperoure Nero.
