2Pet.0.0	¶ The seco{n}de Epistle of Saynct Peter.
2Pet.2.10	but chefely them that walcke after the flesshe in the lust of vnclennes, and despyse auctoryte. Presumpteous are they, and stubborne, whych feare not to speake euyll of them that excell in worshippe.
2Pet.2.11	When the angels which are greater both in power Ꟶ might, receaue not of the Lord rayling iudgment agaynst them selues.
2Pet.2.12	But these as brute beastes, naturally brought forth to be taken and destroyed, speake euyll of the thinges that they vnderstande not, Ꟶ shall perisshe in their awne destruccion,
2Pet.2.13	Ꟶ receaue the rewarde of vnryghtwesnes. They count it pleasure to lyue delyciously for a season. Spottes they are Ꟶ fylthynes: which lyue at pleasure in their owne disceauable wayes, feastinge Ꟶ scorninge you:
2Pet.2.14	hauinge eyes full of aduoutrie, and the cannot cease from synne: begyling vnstable soules. Hertes they haue excercysed with robrie. They are cursed chyldren
2Pet.2.15	which haue forsaken the ryght waye, and are gone astraye folowynge the waye of Balaam the sonne of Bosor, which loued the rewarde of vnryghtewesnes:
2Pet.2.16	but was rebuked of hys iniquitie. The tame and domme beast, speakynge with mannes voyce, forbade the madnesse of the Prophete.
2Pet.2.17	These are welles without water: cloudes that are, caried with a tempest, to whom the myst of darcknes is reserued for euer.
2Pet.2.18	For when they haue spoken the greate swelling wordes of vanytie, they entyse thorow lustes in the volupteousnes of the flesh, them that were cleane escaped: euen them that now lyue in erroure:
2Pet.2.19	while they promes them libertie, where as they them selues are the bonde seruauntes of corruption. For of whom a man is ouer come, vnto the same is he brought in bondage.
2Pet.2.20	For yf they (after they haue escaped from the fylthynes of the worlde thorow the knowledge of the Lord and the sauyour Iesu Christ) are yet tangled againe therin, and ouercome then is the latter ende worse wyth them then the begynninge.
2Pet.2.21	For it had bene better for them, not to haue knowne the waye of ryghteousnes, then after they haue knowen it, to turne from the holy commaundement that was geuen vnto them:
2Pet.2.22	But the same is happened vnto them that is vsed to be spoken by the true prouerbe. The dogge is turned to his awne vomet agayne and the sow that was wasshed is turned agayne to her walowynge in the myer.
2Pet.3.1	This is the seconde epistle that I now write vnto you dearly beloued, wherwith I stere vp your syncere mynde, by putting you in remembraunce,
2Pet.3.2	that ye maye be myndefull of the wordes (whych were tolde before of the holy Prophetes) and also the commaundement of vs whych be Apostles of the Lorde and sauyour
2Pet.3.3	This fyrst vnderstande, that ther shall come in the last dayes, mockers whych wyll walke after their awne lustes,
2Pet.3.4	Ꟶ saye: Where is the promes of hys commyng? For sence the fathers dyed, all thynges continue in the same estate wherin they were at the beginninge.
2Pet.3.5	For this they knowe not (and that wylfully) how that the heauens a great whyle ago were, Ꟶ the erth out of the water appeared vp thorow the water, by the word of God:
2Pet.3.6	by the whych thynges the world that then was, peryshed beynge ouerrunne wyth water.
2Pet.3.7	But the heauens and erth whych are now, be kept by hys worde in store, and reserued vnto fyre, agaynst the daye of iudgement Ꟶ perdicion of vngodly men.
2Pet.3.8	Dearly beloued, be not ignoraunt of this one thinge, howe that one daye is with the Lorde as a thousande yeare, Ꟶ a thousande yeare as one daye.
2Pet.3.9	The Lord that hath promised, is not slacke, as some men count slacknes: but is pacyent to vs warde: for asmoch as he wolde haue no man lost, but wyll receaue all men to repentaunce.
2Pet.3.10	Neuerthelesse the daye of the Lord wyll come as a thefe in the nyghte, in the which daye, the heauens shall passe awaye in maner of a tempest, and the elementes shal melt with heat: the erth also Ꟶ the workes that are therin, shall burne.
2Pet.3.11	Seyng then that all these thinges shal perishe, what maner persons ought ye to be in holy conuersacyon, and godlynes:
2Pet.3.12	lokyng for, and hastinge vnto the commynge of the daye of God, by whom the heauens shall perisshe with fyre, Ꟶ the elementes shall melt with heate?
2Pet.3.13	Neuerthelesse, we (according to his promes) loke for a new heauen and a new earth, wherin dwelleth ryghtewesnes.
2Pet.3.14	Wherfore dearly beloued, seynge that ye loke for such thinges, be diligent that ye maye be founde of hym in peace, wythout spotte and vndefyled.
2Pet.3.15	And suppose that the longe sufferinge of the Lord is saluacyon, euen as oure derely beloued brother Paule also (accordinge to the wysdome geuen vnto him) hath wrytten vnto you,
2Pet.3.16	ye, almoost in euery epistle, speakynge of such thinges: amonge which are many thinges harde to be vnderstande, which they that are vnlearned Ꟶ vnstable, peruert, as they do also the other scriptures vnto their awne destruccion.
2Pet.3.17	Ye therfore beloued, (seynge ye be warned afore hand) beware, lest ye, wyth other men be also plucked awaye thorow the erroure of the wycked, and fall from your awne stedfastnes:
2Pet.3.18	but growe in grace, Ꟶ in the knowledge of oure Lorde and sauyoure Iesus Christ. To whom be glory both now and for euer. Amen.
