1Sam.0.0	¶ The fyrst booke of Samuel called the fyrst booke of the Kynges.
1Sam.1.23	Elkana her husband answered her: do what semith the best: tarye at home, vntill thou hast wened him, Ꟶ I besech the Lord, to make good his sayeng. And so the woman abode, Ꟶ gaue her sonne sucke, vntill she wened him.
1Sam.1.24	And when she had wened him she toke hym with her, with thre bullockes Ꟶ an Epha of floure, Ꟶ a bottel of wyne, and brought him vnto the house of the Lord in Silo, Ꟶ the child was yet but tender of age.
1Sam.1.25	And they slue a bullocke, Ꟶ brought in the ladd to Eli,
1Sam.1.26	and she sayd: Oh my Lord: as truly as thy soule lyueth my Lord, I am the woman that stode before the here, prayeng vnto the Lorde.
1Sam.1.27	For this ladde I prayed, and the Lorde hath geuen me my desire, whych I asked of him:
1Sam.1.28	and therfore I haue geuen hym vnto the Lord, as long as he is mete for the lorde. And they worshipped the Lorde there.
1Sam.2.1	And Hanna prayed and sayde: myne herte reioyseth in the Lord, and myne horne is exalted in the Lorde. My mouth is wyde open ouer myne enemyes, for I reioyse in thy saluacyon.
1Sam.2.2	There is none so holye as the Lord, for without the, is nothing. Nether is there any of strength as is oure God.
1Sam.2.3	Talke not to moche proudlye let olde thynges depart out of your mouthes, for the lorde is a God of knowledge, and his purposes come to passe.
1Sam.2.4	The bowe with the mightye men are broken: and they that were weake, haue girded them selues wt strength.
1Sam.2.5	They that were full, haue hired out them selues for breed, Ꟶ they that were hongrye, ceasse so to be, tyll the baren hath borne seuen: Ꟶ she that had many chyldren, is waxed feble.
1Sam.2.6	The Lord kylleth, and maketh alyue: bryngeth downe to the graue and fetcheth vp agayne.
1Sam.2.7	The Lorde maketh poore, Ꟶ maketh ryche: bringeth lowe, and heueth vp on hye.
1Sam.2.8	He reyseth vp the poore out of the dust, and lyfteth vp the begger from the dong hyll: to sett them amonge princes, and to enherett them with the seate of glorye. For the pillers of the erth are the lordes, and he hath sett the rounde worlde vpon them.
1Sam.2.9	He wyll kepe the fete of hys sayntes, and the wycked shall kepe sylence in darcknesse, Ꟶ in his awne myght shall no man be stronge.
1Sam.2.10	The lordes aduersaries shall be destroyed of hym: and out of heauen shall he thunder vpon euery one of them. The lorde shall iudge the endes of the worlde, Ꟶ shall gyue myght vnto his kynge, and exalte the horne of his anoynted.
1Sam.2.11	And Elkana went to Ramath to his house, Ꟶ the ladd dyd mynistre vnto the lorde before Eli the preaste.
1Sam.2.12	But the sonnes of Eli were chyldren of Belial, and knewe not the lord.
1Sam.2.13	And the Preastes made a lawe for the people, that whensoeuer any man offered any offerynge, the Preastes ladd came, while the fleshe was in sething, Ꟶ a fleshoke wyth thre tethe in his hand,
1Sam.2.14	and thrust it into the panne: ketle, caldren, or potte. And all that the fleshe hoke brought vp, that the Preaste toke awaye. And so they did vnto all the Israelites, that came thyther to Silo.
1Sam.2.15	Yee Ꟶ therto, before they burnt the fatte, the Preastes ladd came and sayd to the man that offered: geue flesh that I maye dresse it for the Preaste, for he wyll not haue sodden fleshe of the, but rawe.
1Sam.2.16	And yf any man sayde vnto hym: let them burne the fatt according to the daye, Ꟶ then take as moche as thine herte desyreth. The ladd wold answere him, yee, thou shalt geue it me now: and yf thou wylt not, I wyll take it with violence.
1Sam.2.17	And the synne of the youngmen was very great before the Lorde. For men abhorred the offeryng of the Lorde.
1Sam.2.18	But the child Samuel ministred before the Lorde, girded about wyth a lynen Ephod.
1Sam.2.19	Moreouer, hys mother made him a lytle coate, Ꟶ brought it to him from yere to yere, when she came vp with her husbande to offer the offeringe in the solempne feastes:
1Sam.2.20	and Eli blessed Elkana Ꟶ his wyfe, and sayde: the Lorde geue the seede of thys woman, for the peticyon that she asked of the lorde. And they went vnto their awne home.
1Sam.2.21	And the lorde visited Hanna, so that she conceaued Ꟶ bare thre sonnes Ꟶ two daughters. And the chylde Samuel grewe before the lorde.
1Sam.2.22	Eli was very olde, Ꟶ herde all that his sonnes dyd vnto all Israel, and how they laye with the wemen that wayted at the dore of the Tabernacle of wytnesse,
1Sam.2.23	Ꟶ he sayde vnto them: why do ye soche thynges? For of all these people I heare euell reportes of you.
1Sam.2.24	Oh, naye my sonnes: for it is no good reporte that I heare, how that ye make the lordes people to trespasse.
1Sam.2.25	If one man synne agaynst another, daysemen maye be iudges: but yf a man synne agaynst the lorde who will be his dayseman? Notwythstandyng, they herkened not vnto the voyce of their father, because the lorde wolde slaye them.
1Sam.2.26	The chylde Samuel profyted and grew, and was in fauoure both with the lorde, and also with men.
1Sam.2.27	And there cam a man of God vnto Eli, Ꟶ sayd vnto him: thus sayeth the lorde: dyd not I apeare vnto the house of thy father, when they were in Egipte subiect vnto Pharaos house?
1Sam.2.28	And I chose thy father out of all the trybes of Israel to be my Preaste, for to offer vpon myne aultare, Ꟶ to burne incense, and to weare an Ephod before me. And I gaue vnto the house of thy father all the burnt offrynges of the chyldren of Israell.
1Sam.2.29	Wherfore treade ye downe my sacrifice and myne offeryng, which I commaunded to be made in the Tabernacle, Ꟶ honorest thy chyldren aboue me, to make youre selues fatt of the first frutes of all the offerynges of Israel my people?
1Sam.2.30	Wherfore the lorde God of Israell sayeth: I sayde, that thy house and the house of thy father shuld walke before me for euer. But now the lorde sayeth: that be farre from me: for them that worshipe me, I will worshipe, Ꟶ they that despyse me, shall come to shame.
1Sam.2.31	Beholde, the dayes come, that I will cut of thyne arme, Ꟶ the arme of thy fathers house, that there shal not be an elder in thine house.
1Sam.2.32	And thou shalt se thyne enemye in the tabernacle of the lorde, Ꟶ in all that welthe which God shal giue Israell, Ꟶ there shall not be an elder in thyne house for euer.
1Sam.2.33	Neuerthelesse, I wyll not destroye all the males that come of the fro myne aultare. But to make thyne eyes dase, Ꟶ to make thyne hert melte. And all they that be multiplyed in thyne house, shall dye, yf they be men.
1Sam.2.34	And this shalbe a signe vnto the, that shall come vpon thy two sonnes Hophny Ꟶ Phinehes: euen in one daye they shall dye both.
1Sam.2.35	And I wyll stere me vp a faythfull preste, that shall do accordynge to my herte and mynde: And I will buylde him a sure house. And he shall walke before myne anoynted for euer.
1Sam.2.36	And they that are left in thyne house, shall come, and crouch to him for a lytle pece of syluer Ꟶ a cake of bread, Ꟶ shall saye: put me (I praye the) in one offyce or other amonge the prestes, that I maye eate a morsell of bread.
1Sam.3.1	And the chylde Samuel mynistred vnto the Lorde before Eli: Ꟶ the worde of the Lorde was precious in those dayes, nether was there any open visyon.
1Sam.3.2	And it chaunsed at that tyme, that Eli laye in his place, and hys eyes beganne to waxe dymme that he coulde not se.
1Sam.3.3	And yer the lampe of God went out, Samuel layde hym downe to slepe in the temple of the Lord, where the arcke of God was.
1Sam.3.4	And the Lorde called Samuel, Ꟶ he sayde, here am I,
1Sam.3.5	and he ran vnto Eli, Ꟶ sayd: here am I, for thou calledst me. And he sayd: I called the not: go agayne, Ꟶ slepe. And he went, and layde him downe to slepe.
1Sam.3.6	And the Lorde called once agayne: Samuel, Ꟶ Samuel arose Ꟶ went to Ely, Ꟶ sayd, I am here, for thou dyddest call me. And he answered: I called the not, my sonne. Go agayne, and take thy rest:
1Sam.3.7	Samuell knewe not yet the Lord, nether was the worde of the Lord yet opened vnto hym.
1Sam.3.8	And the Lorde went to, Ꟶ called Samuel the thyrd tyme. And he arose, Ꟶ went to Eli, Ꟶ sayde: I am here, for thou hast called me. And Eli perceaued that the Lorde had called the chylde.
1Sam.3.9	Therfore, Eli sayde vnto Samuel: go, Ꟶ lye downe: Ꟶ yf he call the agayne, then saye, speake on Lorde, for thy seruaunt heareth. So Samuel went, Ꟶ layed hym downe in hys place.
1Sam.3.10	And the Lord came, Ꟶ stode, Ꟶ called as before, Samuel Samuel. Samuel answered: speake on: for thy seruaunt heareth.
1Sam.3.11	And the Lord sayde to Samuel: beholde, I will do a thinge in Israel, that both the eares of as many as heareth it, shall tyngle.
1Sam.3.12	In that daye I wyll rayse vp agaynst Eli, all thynges whych I haue spoken concernynge his house: from the begynnyng to the endyng.
1Sam.3.13	I haue tolde him, that I wyll iudge hys house for euer. For the wickednes which he knoweth. For when the people cursed hys sonnes for the same wickednes, he hath not corrected them.
1Sam.3.14	And therfore, I haue sworne vnto the house of Eli, that the wyckednesse of Elies house, shall not be purged wt sacrifyce nor offering for euer.
1Sam.3.15	Samuel laye tyll the mornynge, and opened the dores of the house of the Lorde. And Samuel feared to shewe Eli the visyon.
1Sam.3.16	Then Eli called Samuel, Ꟶ sayde: Samuel my sonne. And he answered: here I am.
1Sam.3.17	He sayde: what is that the Lorde hath sayde vnto the? I praye the, se thou hyde it not from me. God do so, Ꟶ so to the, yf thou hyde any thyng from me, of all that he sayde vnto the.
1Sam.3.18	And Samuel tolde hym euery whytte, and hydd nothynge from hym. And he sayd: it is the Lorde, let him do what semeth hym best,
1Sam.3.19	And Samuel grewe, Ꟶ the Lorde was wyth him, Ꟶ left none of hys wordes vnperformed.
1Sam.3.20	And all Israel from Dan to Bersabe wyst that faythfull Samuel was made the Lordes prophete.
1Sam.3.21	And the Lord appered agayne in Silo: for the Lorde opened hym selfe to Samuel in Silo, thorow the worde of the Lorde.
1Sam.4.1	And Samuel spake vnto all Israel. And Israel went out against the Philistynes to battayle, and pytched besyde the helpe stone. And the Philistynes pytched in Aphek.
1Sam.4.2	And put them selues in araye against Israel. And when they ioyned the battell, Israel was put to the worse before the Philistines. And the Philistynes slue in araye alonge by the feldes, about a foure thousande men.
1Sam.4.3	And when the people were come into their tentes, the elders of Israel sayde: wherfore hath the Lorde cast vs downe this daye before the Philistines? let vs fetch the arcke of the appoyntment of the Lorde oute of Silo vnto vs, that when it commeth amonge vs, it maye saue vs, oute of the hande of oure enemy.
1Sam.4.4	And so the people sent to Silo, Ꟶ fet from thens the arcke of the appoyntment of the Lord of Hoostes, which dwelleth betwene the cherubins. And there were the two sonnes of Eli, Hophni, Ꟶ Phinehes with the arcke of the appoyntment of God.
1Sam.4.5	And it fortuned, that when the arcke of the appoyntment of the Lorde came into the hoost, all Israel showted a myghtie showte, so that the erthe rangge agayne.
1Sam.4.6	And whan the Philistines herde the noyse of the showte, they sayd: what meaneth the sounde of this mighty showt in the host of the Ebrues? And they vnderstode, howe that the arcke of the Lorde was come into the hoost:
1Sam.4.7	And the Philistines were afrayed, and sayde: God is come into the hoost. And they sayd agayne: Wo vnto vs, for it was neuer so before this:
1Sam.4.8	Wo vnto vs, who shall delyuer vs out of the hande of these mighty Goddes? these are the Goddes that smote the Egypcians with so many plages in the wyldernes.
1Sam.4.9	Be stronge and quite youre selues lyke men, O ye Philistynes, that ye be no seruauntes vnto the Ebrues, as they haue bene to you. Be of a manly corage therfore Ꟶ fyght.
1Sam.4.10	And the Philistines fought, Ꟶ Israel was put to the worse Ꟶ fledd euery man into his tente. And ther was an exceading great slaughter, for there were ouerthrowen of Israel .xxx.M. fotemen.
1Sam.4.11	And the arcke of God was taken, Ꟶ the two sonnes of Eli, Hophni, Ꟶ Phinehes were deed.
1Sam.4.12	And there ran a man of BenIamin out of the araye, and came to Silo the same daye with his clothes rent Ꟶ earth vpon hys heed.
1Sam.4.13	And when he came, Eli sate vpon a stole, and loked toward the waye: for his hert feared for the arcke of God. And when the man came into the cytie, and tolde it, all the cytie cryed.
1Sam.4.14	And when Eli herde the noyse of the cryeng he sayd: What meaneth this noyse of the rumor? And the man came in hastely, Ꟶ tolde Eli.
1Sam.4.15	Eli was .xcviij. yeare olde, and hys syght fayled him that he could not se.
1Sam.4.16	And the man sayd vnto Eli: I am he that came out of the araye, Ꟶ fled this daye out of the hoost. And he sayde: what thing is fortuned my sonne?
1Sam.4.17	The messenger answered Ꟶ sayd. Israel is fled before the Philistines, Ꟶ there is a greate slaughter chaunsed amonge the people, Ꟶ thy two sonnes, Hophni Ꟶ Phinehes are deed, Ꟶ the arcke of God is taken.
1Sam.4.18	And it fortuned that whan he made mencion of the arcke of God, Eli fell from of hys stole backwarde vpon the thresholde of the gate, and hys necke brake, and he dyed: for he was an olde man and heuye, and iudged Israel fourtye yeares.
1Sam.4.19	And his daughter in lawe Phinehes wife was wt childe Ꟶ nye the byrthe. And when she hearde the tydinges that the arcke of God was taken, Ꟶ that her father in lawe, Ꟶ her husbande were deed, she bowed her self, and traueled, for her paynes came vpon her.
1Sam.4.20	And about the tyme of her deeth, the wemen that stode aboute her, sayd vnto her: feare not, for thou hast borne a sonne: but she answered not, nor regarded it.
1Sam.4.21	And she named the childe Ichabod, sayinge: The glory is departed from Israel. Because the arcke of God was taken, Ꟶ because of her father in lawe and her husbande.
1Sam.4.22	And she sayde agayne: The glory is gone from Israel, for the arcke of God is taken.
1Sam.5.1	And the Philistynes toke the arcke of God, and caryed it from the helpe stone vnto Asdod,
1Sam.5.2	agayne the Philystynes toke the arcke of God, Ꟶ brought it into the house of Dagon, and sett it by Dagon.
1Sam.5.3	And when they of Asdod were vp in the nexte daye in the mornynge, beholde, Dagon laye vpon the erth before the arcke of the Lorde. And they toke Dagon, Ꟶ set him in hys place agayne.
1Sam.5.4	And when they were vp erly in the nexte mornyng, beholde, Dagon laye vpon the grounde before the arcke of the Lorde, and his heed, Ꟶ his two handes cut of vpon the thresholde, that only the shape of a fyrst was left on hym.
1Sam.5.5	And therfore is it, that the prestes of Dagon (nether any man that commeth into Dagons house) treade not on the thresholde of Dagon in Asdod, vnto thys daye.
1Sam.5.6	But the hande of the Lorde was heuy vpon them of Asdod, Ꟶ he destroyed them, Ꟶ smote them wt emerodes, bothe Asdod Ꟶ in all the coastes therof.
1Sam.5.7	And when the men of Asdod sawe that it was so, they sayde: the arcke of the God of Israel shall not abyde here with vs, for hys hande is sore vpon vs Ꟶ vpon Dagon oure God.
1Sam.5.8	They sent therfore Ꟶ gathered all the lordes of the Philistines vnto them Ꟶ sayde: what shall we do wt the arcke of the God of Israel? They answered: let the arcke of the God of Israel be caryed aboute vnto Gath.
1Sam.5.9	And they caryed the arcke of the God of Israel about. And it fortuned, that when they had caryed it about, there was by the hande of the Lorde a myghtye greate noyse in the cytie, Ꟶ he smote the men of the cytie both small and greate: Ꟶ they had secrete diseases,
1Sam.5.10	Therfore they sent the arcke of God to Akaron. And assone as the arcke of God, came to Akaron, the Akaronites cryed out saying: they haue brought the arcke of the God of Israel to vs, to slee vs and oure people:
1Sam.5.11	And so they sent, and gathered together all the lordes of the Philistines Ꟶ sayde: send awaye the arcke of the God of Israel, to go agayne to his awne place, that it slee vs not and oure people. For there was greate lamentacyon ouer the deade thorowout all the cytie, Ꟶ the hande of God was exceadynge sore there.
1Sam.5.12	And the men that dyed not, were smytten wyth the Emerodes: and the crye of the cytie went vp to heauen.
1Sam.6.1	The arcke of the Lord was in the countrey of the Philistines seuen monethes:
1Sam.6.2	and the Philistynes called for the prestes Ꟶ the soth sayers, sayinge: what shall we do wyth the arcke of the Lorde? tell vs, where with we shall sende it home agayne?
1Sam.6.3	They sayde: Yf you sende the arcke of the God of Israel home agayne, sende it not emptye. But rewarde it wt a trespasse offerynge: and then ye shalbe whole, and it shalbe knowen to you, why hys hande departeth not from you.
1Sam.6.4	Then sayde they: And what shalbe the trespasse offeringe, whych we shall rewarde hym wt? They answered: fyue golden arsses and .v. golden myce, according to the nombre of the lordes of the Philistines. For it is one maner of plage on you all, Ꟶ on your lordes.
1Sam.6.5	Wherfore ye shal make ymages like to your arsses, and ymages lyke to your myce that corrupt the lande, and ye shall geue glory vnto the God of Israel: that he maye take his hand from of you, and from of your goddes, and from of youre lande.
1Sam.6.6	Wherfore do ye harden your hertes as the Egipcians and Pharao hardened their hertes? which when he toke on agaynst them, dyd they not let the people go, Ꟶ they departed?
1Sam.6.7	Now therfore, make a newe carte, and take two melche kyne: on whose necke there hath come no yock. And tye the kyne to the carte, and bring the calues home from them.
1Sam.6.8	And take the arck of the Lord, and laye it vpon the carte, and put the iewels of golde (which ye rewarde him with for a synoffering) in a cofre by the side therof: and send it awaye, that it maye go.
1Sam.6.9	And yf ye se that he go vp by the waye of his awne coaste to Bethsames: then it is he that dyd vs this great euyll. Yf no, we shall knowe then, that it is not his hande that smote vs: but it was a chaunce that happened vs.
1Sam.6.10	And the men dyd euen so: and toke two kyne that gaue mylke, and tyed them to the carte, and kept the calues at home,
1Sam.6.11	and they layde the arck of the Lorde vpon the carte and the cofer wt the myce of gold, and wt the ymages of their arsses.
1Sam.6.12	And the kyne toke the streyght waye to Bethsames, Ꟶ went on the streyght waye: Ꟶ as they went, lowed, Ꟶ turned nether to the right hande ner to the left. And the lordes of the Philistines went after them, vntyll the borders of Bethsames.
1Sam.6.13	And they of Bethsames were reapynge their wheate heruest in the valey. And they lift vp their eyes, and spied the arck. And reioysed when they sawe it.
1Sam.6.14	And the carte came into the felde of one Iehosua a Bethsamite, and stode still there. There was also a great stone. And they claue the wod of the carte Ꟶ offred the kyne a burntoffring vnto the Lord.
1Sam.6.15	And the Leuites toke downe the arck of the Lorde Ꟶ the coffer that was with it, wherin the iewels of golde were: and put them on the great stone. And the men of Bethsames sacrificed burntsacrifice, and offered offeringes that same daye vnto the Lorde.
1Sam.6.16	And when the fyue lordes of the Philistines had sene it, they returned to Akaron the same daye.
1Sam.6.17	And these are the golden arsses which the Philistines gaue to amendes for a trespace offring, to the Lorde: for Asdod one: for Gaza one: for Askalon one: for Gath one: and for Akaron one.
1Sam.6.18	And golden myce, accordyng to the nombre of all the cityes of the Philistines, euen accordynge to the fyue lordes, both of walled townes and of townes vnwalled: euen vnto the greate stone of lamentacyon, wheron they set downe the arcke of the Lord: which stone remaineth vnto this daye in the felde of Iehosua the Bethsamite.
1Sam.6.19	And he plaged the men of Bethsames, because they had sene the arcke of the Lorde. And he slue amonge the people fiftye thousande and thre score and ten men. And the other people lamented, because the Lorde had slayne the people with so great a slaughter.
1Sam.6.20	Wherfore the men of Bethsames sayde: who is able to stande before the Lord so holy a God: and to whom shall he go from vs?
1Sam.6.21	And they sent messengers to the enhabiters of Kariath Iarim, saying: The Philistines haue brought agayne the arke of the Lorde: come ye downe therfore, and fet it vp to you.
1Sam.7.1	And so the men of Kariathiarim came, and fet vp the arck of the Lord: and brought it into the house of Aminadab in Gibea, Ꟶ sanctifyed Eleazar his sonne, to kepe the arck of the Lorde:
1Sam.7.2	and whyle the arcke abode in Kariathiarim, the dayes multiyplied, and ther passed ouer .xx. yeres, and the house of Israel lamented after the Lorde.
1Sam.7.3	And Samuel spake vnto all the house of Israel, saying: yf ye be come agayne vnto the Lorde with all your hertes, then put awaye the straunge goddes and Astharoth from amonge you: and prepare your hertes vnto the Lorde, and serue hym only: for he shall ryd you out of the hande of the Philistines.
1Sam.7.4	Then the chyldren of Israel dyd put awaye Baalim and Astaroth, and serued the Lorde onely.
1Sam.7.5	And Samuel sayde: gather all Israel to Mizpa, and I wyll praye for you vnto the Lorde.
1Sam.7.6	And they gathred together to Mizpa, and drewe water: and powred it out before the Lorde, Ꟶ fasted the same daye and sayde there: we haue synned against the Lorde. And Samuel iudged the chyldren of Israel in Mizpa.
1Sam.7.7	When the Philistines heard that the chyldren of Israel were gathered together to Mizpa, the lordes of the Philistines went vp against Israel. And when the children of Israel heard that they were afrayed of the Philistines,
1Sam.7.8	Ꟶ the children of Israel saide to Samuel: ceasse not to crye vnto the Lorde oure God for vs, that he maye saue vs out of the hand of the Philistines.
1Sam.7.9	And Samuel toke a suckyng lambe, and offered it all together for a burntoffrynge vnto the Lorde: Ꟶ cryed vnto the Lorde for Israel, Ꟶ the Lord heard him.
1Sam.7.10	And as Samuel offred the burntoffring, the Philistines came to fyght agenst Israel. But the Lorde thondered a great thonder that same daye amonge the Philistines, and scatered them, that they fell before Israel.
1Sam.7.11	And the men of Israel went out of Mizpa, and pursued the Philistines, Ꟶ folowed vpon them, vntyll the place that is vnder Bethcar.
1Sam.7.12	And then Samuel toke a stone, and pitched it betwene Mizpa and the mark of the rock, and called the name therof, the stone of helpe, saying: Hitherto hath the Lord helped vs.
1Sam.7.13	And so the Philistines were brought vnder, Ꟶ they came nomore into the coastes of Israel: Ꟶ the hand of the Lord was agaynst the Philistines all the dayes of Samuel.
1Sam.7.14	Therto, the cities which the the Philistines had taken from Israel, were restored agayne to Israel, euen from Acaron to Gath, wt the coastes of the same, Ꟶ Israel plucked them out of the handes of the Philistines. And there was peace betwene Israel Ꟶ the Amorites.
1Sam.7.15	Samuel iudged Israel all the dayes of his lyfe,
1Sam.7.16	and went about yere by yere to Bethel, Gilgal, and Mizpa, Ꟶ iudged Israel in all those places,
1Sam.7.17	Ꟶ came agayne to Rama: for there was his house, Ꟶ ther he iudged Israel also, Ꟶ there he buylt an aulter vnto the Lorde.
1Sam.8.1	When Samuel was olde, he made his sonnes iudges ouer Israel.
1Sam.8.2	The name of his eldest sonne was Ioel, and the name of the second Abia: Ꟶ they were iudges in Beerseba.
1Sam.8.3	And his sonnes walked not in his wayes: but turned asyde after lucre, and toke rewarde, and peruerted the ryght.
1Sam.8.4	Then all the elders of Israel gathered them together, and came to Samuel vnto Rama,
1Sam.8.5	Ꟶ sayd vnto him: behold, thou art olde, and thy sonnes walke not in thy wayes. Now therfore make vs a kinge to iudge vs, as all other nacions haue.
1Sam.8.6	But the thyng displeased Samuel, when they sayde: geue vs a king to iudge vs. And Samuel prayed vnto the Lorde.
1Sam.8.7	And the Lorde sayde vnto Samuel: heare the voyce of the people in all that they saye vnto the. For they haue not cast the awaye, but me: that I shulde not raygne ouer them.
1Sam.8.8	And as they haue euer done (sence I brought them out of Egypte vnto thys daye, and haue forsaken me, and serued other goddes) euen so do they vnto the.
1Sam.8.9	Nowe therfore herken vnto their voyce: howbeit, yet testifye vnto them and shewe them the aucthorite of the king that shall raygne ouer them.
1Sam.8.10	And Samuel told all the wordes of the Lorde vnto the people, that asked a kyng of him, and he sayde:
1Sam.8.11	thys shalbe the aucthorite of the kyng that shal raygne ouer you: he wyll take your sonnes and put them to hys charettes, and make hys horsemen of them, to runne before his charet:
1Sam.8.12	and will make him of them, captaynes ouer thousandes and ouer fiftyes, and wyll set them to eare his grounde, and to gather in his heruest, and to make instrumentes of warre, and apparell for his charettes.
1Sam.8.13	And he wyll take your daughters, Ꟶ make them apoticaries, cookes and bakers.
1Sam.8.14	And he shall take the best of youre feldes, and of youre vyneyardes, and of your olyue trees, and geue them to hys seruauntes.
1Sam.8.15	And he shall take the tenth of your seed, and of your vyneyardes, and geue it to hys chamberlaynes, and to hys seruauntes.
1Sam.8.16	And he shall take the best of your menseruauntes and maydseruauntes and yong men, and of your asses, and put them to his worke.
1Sam.8.17	And he shall take the tenth of youre shepe, and ye shalbe his seruauntes.
1Sam.8.18	And ye shall crie out at that tyme vpon your kynge, which ye shall haue chosen you, Ꟶ the Lorde will not heare you at that daye.
1Sam.8.19	Neuertheles, the people wolde not heare the voyce of Samuel, but dyd say: naye, not so. But there shalbe a king ouer vs,
1Sam.8.20	that we maye be lyke other nacyons, and that oure kyng maye iudge vs, and go out before vs, and fyght our battaylles.
1Sam.8.21	Therfore, when Samuel hearde all the wordes of the people, he rehearsed them in the eares of the Lorde.
1Sam.8.22	And the Lord sayde to Samuel: herken vnto theyr voyce, and make them a king: And Samuel sayde vnto the men of Israel: go euery man vnto his citye.
1Sam.9.1	Ther was a man of BenIamin named Cis the sonne of Abiel, the sonne of zeror, the sonne of Bechorath, the sonne of Aphiah, the sonne of a man that was a Ieminite, a man of strength and might:
1Sam.9.2	and the same had a sonne called Saul, a goodly yong man and a fayre: so that amonge the chyldren of Israel there was none goodlyer then he. For from the shoulders vpwarde, he was hyer then all the other people.
1Sam.9.3	And the asses of thys Cis Sauls father were lost: and Cis sayde to Saul his sonne: take one of the laddes wt the and go vp Ꟶ seke the asses.
1Sam.9.4	And he went thorow mount Ephraim, Ꟶ thorowe the lande of Salisa: but they founde them not. Then they went thorowe the lande of Salim, and there they were not. When they went also thorowe the lande of Iemini, they founde them not.
1Sam.9.5	At the last, when they were come to the land of zuph, Saul saide to his lad that was wt him: come, let vs returne, lest my father leaue caring for the asses, Ꟶ take thought for vs.
1Sam.9.6	He sayd vnto him: behold, there is in this citye a man of God, Ꟶ he is a worshipfull man: all that he sayth, cometh suerly to passe. Nowe then let vs go thyther: peraduenture he shal shewe vs what waye we maye go.
1Sam.9.7	Then sayd Saul to his lad: yf we will go, what shall we bring the man? For our bread is all spent out of oure vessels, Ꟶ there is no nother present to bring the man of God: what haue we?
1Sam.9.8	And the lad answered Saul agayne, and sayde: I haue founde about me the fourth parte of a sycle, that will I geue the man of God, to tell vs oure waye.
1Sam.9.9	Before tyme in Israel when a man went to seke an answere of God, thus wise he spake, come, and let vs go to the sear. For he that is now called a prophet, was in the olde tyme called a sear.
