1Tim.5.1	Rebuke not an elder, rygorously but exhorte him as a father: the yonger men, as brethren:
1Tim.5.2	the elder wemen, as mothers: the yonger as systers, wt all purenes.
1Tim.5.3	Honoure wyddowes, which are true wyddowes.
1Tim.5.4	If eny wyddow haue chyldren or nevews, let them learne fyrst to rule their awne houses godly Ꟶ to recompense their elders. For that is good Ꟶ acceptable before God.
1Tim.5.5	She that is a true wyddowe Ꟶ frendelesse, putteth her trust in God, Ꟶ contynueth in supplicacyons and prayers nyght Ꟶ daye.
1Tim.5.6	But she that lyueth in pleasure, is deed, euen yet alyue.
1Tim.5.7	And these thynges commaunde that they maye be without rebuke.
1Tim.5.8	But yf eny prouide not for her awne (Ꟶ specially for them of her housholde) the same hath denyed the fayth, and is worsse then an infydell.
1Tim.5.9	Let no wyddowe be chosen vnder threscore yere olde, Ꟶ soch a one as was the wyfe of one man,
1Tim.5.10	and well reported of men in good workes: yf she haue brought vp chyldren, yf she haue lodged strangers, yf she haue wesshed the saynctes fete, yf she haue mynistred vnto them whych were in aduersytie, yf she haue bene contynually geuen vnto all maner of good worckes.
1Tim.5.11	The yonger wyddowes refuse. For when they haue begonne to were wanton agaynst Christ, they wyll mary,
1Tim.5.12	hauynge damnacyon, because they haue cast awaye their fyrst fayth.
1Tim.5.13	And also they learne to goo from house to house ydle: yee not ydle onely, but also tatlers and besybodyes, speakynge thynges which are not comly.
1Tim.5.14	I wyll therfore that the yonger wemen mary, to beare chyldren, to guyde the house, and geue none occasyon to the aduersary to speake euyll.
1Tim.5.15	For many of them are all ready turned backe, and are gone after Satan.
1Tim.5.16	And yf eny man or woman that beleueth haue wyddowes, let them mynyster vnto them, Ꟶ let not the congregacyon be charged: that there maye be sufficyent for them that are wyddowes in dede.
1Tim.5.17	The elders that rule well, are worthy of double honoure, most specially they whych laboure in the worde Ꟶ teachynge.
1Tim.5.18	For the scripture sayth: thou shalt not moosel the mouth of the oxe that treadeth out the corne. And the labourer is worthy of his reward.
1Tim.5.19	Agaynst an elder, receaue none accusacyon: but vnder two or thre witnesses.
1Tim.5.20	Then that synne, rebuke openly, that other also maye feare.
1Tim.5.21	I testifye before God and the Lord Iesus Christ Ꟶ the electe angels, that thou obserue these thynges without hastynesse of iudgement, Ꟶ do nothinge parcially.
1Tim.5.22	Laye handes sodenly on no man, nether be partaker of other mens synnes: kepe thy selfe pure.
1Tim.5.23	Dryncke no lenger water, but vse a lytell wyne for thy stommakes sake and thyne often dyseases.
1Tim.5.24	Some mennes synnes are open before hande, and go before vnto iudgement: Ꟶ some mennes synnes folowe after.
1Tim.5.25	Lykewyse also good workes are manifest before hande, and they that are other wyse, cannot be hyd.
1Tim.6.1	Let as many seruauntes as are vnder the yoke, counte theyr masters worthy of all honour, that the name of God Ꟶ hys doctryne be not euyll spoken of.
1Tim.6.2	Se that they whych haue beleuynge masters, despyse them not because they are brethren: but rather do seruyce, for as moch as they are beleuynge and beloued, Ꟶ partakers of the benefyte.
1Tim.6.3	These thynges teach Ꟶ exhorte. If eny man folowe other doctrine, and enclyne not vnto the wholsome wordes of oure Lorde Iesu Christ, and to the doctrine which is accordynge to Godlynes,
1Tim.6.4	he is pufte vp, and knoweth nothynge: but wasteth hys braynes about questions and stryfe, of wordes, wherof sprynge enuye, stryfe, raylynges, euyll surmisynges,
1Tim.6.5	vayne disputacyon of men that haue corrupte myndes, Ꟶ that are robbed of the trueth: which thynke, that lucre is godlynes. From them that are soch separate thy selfe.
1Tim.6.6	Godlynes is greate ryches If a man be content with that he hath.
1Tim.6.7	For we brought nothynge into the worlde, nether maye we cary any thynge out.
1Tim.6.8	But when we haue fode and rayment we must ther with be content.
1Tim.6.9	They that wylbe ryche, fall into temptacyon and snares, Ꟶ into many folysshe Ꟶ noysome lustes, which droune men into perdicyon Ꟶ destruccyon.
1Tim.6.10	For coueteousnes of money is the rote of all euyll: whych whyll some lusted after, they erred from the fayth, Ꟶ tanglyd them selues with many sorowes.
1Tim.6.11	But thou man of God, flye soch thynges. Folowe ryghtewesnes, godlynes, fayth, loue, pacience, meaknes.
1Tim.6.12	Fyght the good fyght of fayth. Laye, hande on eternall lyfe, wher vnto thou art also called, and hast professed a good professyon before many witnesses.
1Tim.6.13	I geue the charge in the syght of God, which quickneth all thynges, Ꟶ before Iesu Chryst (which vnder Poncius Pylate wytnessed a good witnessyng)
1Tim.6.14	that thou kepe the commaundement, Ꟶ be without spotte and vnrebukeable, vntyll the appearynge of oure Lorde Iesus Christ,
1Tim.6.15	which appearyng (in hys tyme) he shall shewe, that is blessed Ꟶ myghty onely, kynge of kynges, Ꟶ Lorde of Lordes,
1Tim.6.16	whych onely hath immortalite, and dwelleth in the lyght that no man can attayne, whom no man hath sene, nether can se, vnto whom be honoure and rule euerlastynge. Amen.
1Tim.6.17	Charge them which are ryche in this world, that they be not hye mynded, ner trust in vncertayne ryches, but in the lyuinge God (which geueth vs aboundauntly all thynges to enioye them)
1Tim.6.18	that they do good: that they be riche in good workes: that they be redy to geue Ꟶ gladly to distribute,
1Tim.6.19	laying vp in store for them selues a good fundacion against the tyme to come, that they maye obtayne eternall lyfe.
1Tim.6.20	O Timothe, saue that which is geuen the to kepe, and avoyde vngostly vanyties of voyces and opposycyons of science falsly so called:
1Tim.6.21	whych science whyle some professed, they erred as concernynge the fayth. Grace be with the. Amen.
1Tim.0.0	¶ Sent from Laodicca, which is the chefest cytie of Phrigia. Pacaciana.
