2Chr.0.0	¶ The seco{n}de boke of the Chronycles which in the Hebrue is one with the fyrst.
2Chr.2.2	and Salomon tolde out thre skore and ten thousande men to beare burdens, and foure skore thousande men to hewe stones in the mountayne, and thre thousande and syxe hundred to ouer se them.
2Chr.2.3	And Salomon sent to Hiram the kynge of Tire sayinge. As thou dydest deale with Dauid my father and dydest send him Cedar wodde, to buylde him an house to dwelle in, euen so deale with me:
2Chr.2.4	For I am aboute to buylde an house for the name of the Lorde my God, to offre vnto him holy thinges, and to burne swete encense, and to sett shewbreed before him continuallye, to offre burnt sacrifyces of the mornynge and euenynge: on the Saboth dayes, in the fyrst daye of euery newe moone, Ꟶ in the solempne feastes of the Lorde oure God: for it is an ordinaunce to be continually kepte of Israel.
2Chr.2.5	And the house which I buylde shalbe great: for great is oure God aboue all Gods.
2Chr.2.6	But who is able to buylde him an house: when that heauen, and heauen aboue all heauens is not able to receaue him? what am I then that I shulde buylde hym an house? nay, but euen to burne sacrifice before him, shall this buyldinge be:
2Chr.2.7	sende me nowe therfore a connynge man, that can worcke in golde and syluer, in brasse and yron, in purple, cremosin and yelowe sylke, and that can skylle to graue, with the connynge men that are with me in Iuda and Ierusalem, whom Dauid my father dyd prepare.
2Chr.2.8	Send me also Cedar trees, pyne trees Ꟶ Algume trees out of Libanon. For I wote that thy seruauntes can skylle to hewe tymbre in Libanon. And beholde, my men shalbe wt thyne,
2Chr.2.9	that they maye prepare me tymbre ynough. For the house which I am determyned to builde, shalbe wonderfull greate.
2Chr.2.10	And beholde, for the vse of thy seruauntes the cutters and hewers of tymbre: I haue geuen .xx. thousande quarters of beaten wheate, and .xx. thousande quarters of barleye, and .xx. thousande bates of wyne, and .xx. thousande bates of oyle.
2Chr.2.11	And Hiram kynge of Tire answered in wrytinge, which he sent to Salomon. Because the Lorde hath loued his people, therfore hath he made the kynge ouer them.
2Chr.2.12	And Hiram sayde moreouer: blessed be the Lorde God of Israel which made heauen and erth, and that hath geuen Dauid the kynge a wyse sonne, and one that hath discrecion, prudence, and vnderstandynge, to buylde an house for the Lorde, Ꟶ a palace for him selfe.
2Chr.2.13	And nowe I haue sent a wyse man, and a man of vnderstandynge (whom my father Huram dyd vse)
2Chr.2.14	the sonne of a woman of the daughters of Dan, and his father was a man of Tire, and he can skylle to worke in gold and syluer, in brasse and yron, in stone and tymbre, in purple and yelowe sylke, in fyne whyte and cremosin: and can graue sondrie maner of grauinges, and to fynde out dyuerse maner of sotle worke that shalbe sett before him, with thy connynge men, Ꟶ with the connynge men of my Lorde Dauid thy father.
2Chr.2.15	Nowe therfore, the wheate, and barleye, oyle and wyne which my Lorde hath spoken of, let him sende vnto his seruauntes.
2Chr.2.16	And we will cut wood in Libano, as moch as thou shalt nede, and will bring it to the, in shippes by see to Iapho, from whence thou mayst carye them to Ierusalem.
2Chr.2.17	And Salomon nombred all the straungers that were in the lande of Israel, after the nombre of them whom his father Dauid had nombred. And they were founde an hundred and .liij. thousande and syxe hundred.
2Chr.2.18	And he set .lxx. thousande of them to beare burthens, and .lxxx. thousande to hewe stones in the mountayne, and thre thousande and syxe hundred officers, to set the people a worke.
2Chr.3.1	And Salomon beganne to buylde the house of the Lorde at Ierusalem in mount Moria where (the Lorde) appeared vnto Dauid his father: euen in the place that Dauid prepared in the thresshynge floure of Ornan the Iebusyte.
2Chr.3.2	And he began to buylde in the seconde daye of the seconde moneth the fourth yeare of his raygne.
2Chr.3.3	And these are the paternes wherby Salomon was instructe to buylde the house of God. The length was thre skore cubytes after the olde measure, and the bredthe .xx. cubytes.
2Chr.3.4	The porche, that was in bredth as large as the temple, had .xx. cubytes: and the heygth was an hundred Ꟶ .xx. cubytes. And he ouerlayed it on the ynner syde with pure golde.
2Chr.3.5	And the greater house he syled with fyrre tree, which he ouerlayde with the best gold, and graued therto palmetrees and cheynes.
2Chr.3.6	And he ouerlayed the house with precyouse stone bewtyfully. And the golde was golde of Paruaim.
2Chr.3.7	The house (I saye) the beames, postes, walles and dores therof, ouerlayed he with gold, and made grauen worke vpon the walles.
2Chr.3.8	And he made the house moost holye, whose length was .xx. cubytes lyke to the bredthe of the house, and the bredthe therof was also .xx. cubytes. And he ouerlayde it wyth good golde, euen with .vj. hundred talentes.
2Chr.3.9	And the waight of the nayles of gold was fyftie sycles. And he ouerlayde the vpper chambres with golde.
2Chr.3.10	And in the house most holy, he made two Cherubyns of ymage worke, lyke chyldren, and ouerlayde them with gold.
2Chr.3.11	And the wynges of the Cherubs were .xx. cubytes longe. The one wynge was fyue cubites, reaching to the wall of the house, and the other wynge was lykewyse fyue cubytes, reachynge to the wynge of the other Cherub.
2Chr.3.12	And euen so the one wynge of the other Cherub was fyue cubytes, reachynge to the wall of the house, and the other wynge was fyue cubites also, and reached to the wynge of the other Cherub.
2Chr.3.13	So that the wynges of the sayde Cherubs were stretched out .xx. cubytes. And they stode on their fete, and loked inwardes.
2Chr.3.14	And he made a fore hangyng of yelow sylke purple, cremosyne, and fyne white, and caused the pictures of Cherubs to be brodered theron.
2Chr.3.15	And he made before the house, two pyllers of .xxxv. cubytes hye. And the heed that was aboue on the toppe of euerye one of them was fyue cubytes.
2Chr.3.16	And he made chaynes of wrethen worke for the queere, and put them on the heedes of the pyllers, Ꟶ made an hundred pomegranates, and put them on the cheynes.
2Chr.3.17	And he reared vp the pyllers before the temple: one on the ryght hande, and the other on the lefte, and called the ryght Iachin, and the lefte Boaz.
2Chr.4.1	And he made an aulter of brasse .xx. cubytes longe, and .xx. cubytes broade, and ten cubytes hye.
2Chr.4.2	And he cast a brasen Lauatorye of ten cubytes from brym to brym, rounde in compase, and fyue cubytes hye: and a lyne of thyrtye cubytes dyd compase it rounde aboute.
2Chr.4.3	And vnder it was the fasshyon of oxen which dyd compase it rounde aboute: with ten cubytes dyd they compase the Lauatory rounde aboute, and there were, two rowes of oxen which were cast of lyke molten worke.
2Chr.4.4	And it stode also vpon twelue oxen: thre loked towarde the North, thre towarde the west, thre towarde the South, and thre towarde the Eest, and the Lauatory was set vpon them, and all their backes were towarde the Lauatory.
2Chr.4.5	And the thyckest of it was an handbreede, and the brym lyke the brym of a cuppe, with floures of lylyes. And it receaued and helde thre thousande bates.
2Chr.4.6	And he made ten lauers: and put fyue on the ryght hande, and fyue on the lefte, to washe and clense in them, soch thinges as they offred for a burntofferynge. But the great Lauatory was for the preastes to washe in.
2Chr.4.7	And he made ten candelstyckes of golde (accordinge to the paterne that was geuen of them) and put them in the temple: fyue on the ryght hande and fyue on the lefte.
2Chr.4.8	And he made also ten tables, and put them in the temple: fyue on the ryght syde, and fyue on the lefte. And he made an hundred basens of golde.
2Chr.4.9	And he made the courte of the preastes, Ꟶ the great courte and dores to it: and ouerlayde the dores of them with brasse.
2Chr.4.10	And he set the great Lauatorye on the ryght syde of the Eest ende, ouer agaynst the South.
2Chr.4.11	And Hiram made pottes, shouelles and basens, and fynesshed the worke that he was appoynted to make for kynge Salomon in the house of God.
2Chr.4.12	The two pyllers, the couerynges or two heedes on the toppes of the pyllers: Ꟶ the two wrethes to couer the two scalpes or heedes that were on the toppes of the pyllers:
2Chr.4.13	and foure hundred pomegranates on the two wrethes, two rowes of pomegranates on one wrethe, to couer the two toppes or heedes that were on the pyllers.
2Chr.4.14	And he made two bottomes, and lauers made he vpon the bottomes:
2Chr.4.15	the great Lauatory, and twelue oxen vnder it.
2Chr.4.16	Pottes also and shouelles, flesshe hokes, and all these vesselles dyd Hyram (hys father) make to kynge Salomon for the house of the Lorde, of bryght brasse.
2Chr.4.17	In the playne of Iordan dyd the kynge cast them, euen in the claye ground that is, betwene Socoth Ꟶ zaredatha.
2Chr.4.18	And Salomon made all these vesselles in greate aboundaunce, for the weight of brasse coulde not be rekened.
2Chr.4.19	And Salomon made all the vesselles that were for the house of God: the golden aulter also Ꟶ the tables to sett the shewbred vpon
2Chr.4.20	Moreouer, the candelstickes with their lampes (to burne after the maner before the quere) and that of precious golde:
2Chr.4.21	and the floures and the lampes, and the snoffers made he of golde, and that perfecte golde:
2Chr.4.22	and the dressynge knyues, basens, spones and censers of pure golde. And the dore of the temple, and the ynner dores within the place moost holye, and the ynner dores of the temple, were gylted. And so was all the worcke that Salomon made for the house of the Lorde fynisshed.
2Chr.5.1	And so all the worke that Salomon made in the house of the Lorde was fynisshed, and Salomon brought in all the thynges that Dauid his father had dedycated, with the syluer and golde and all the Iewelles, and put them amonge the treasures of the house of God.
2Chr.5.2	Then Salomon gathered the elders of Israel togeather and all the heedes of the trybes, and auncient fathers of the chyldren of Israel, vnto Ierusalem: to bringe the Arcke of the couenaunt of the Lorde out of the cycie of Dauid which is zion.
2Chr.5.3	Wherfore all the men of Israel resorted vnto the kynge in the feaste, euen in the seuenth moneth.
2Chr.5.4	And all the elders of Israel came, and the Leuites toke vp the Arcke.
2Chr.5.5	And the preastes and the Leuites brought a waye the Arcke and the tabernacle of wytnesse, and all the holy vesselles that were in the tabernacle, and they bare them.
2Chr.5.6	And kynge Salomon and all the congregacyon of Israel that were assembled vnto him before the Arcke, offered shepe and oxen, so manye, that they coulde not be tolde nor nombred for multitude.
2Chr.5.7	And the preastes brought the Arcke of the appoyntement of the Lorde vnto his place, euen into the quere of the temple within the place most holye, and set it vnder the wynges of the cherubs,
2Chr.5.8	that the Cherubs stretched out their wynges ouer the place of the Arcke, Ꟶ the Cherubs couered both the Arcke and her barres aboue on hye.
2Chr.5.9	And the barres of the Arcke, were so longe, that the heades of the barres were sene without the Arcke within the quere, but not without. And there the Arcke remayned vnto this daye.
2Chr.5.10	But there was nothynge in the Arcke, saue the two tables which Moses put therin at Horeb, when the Lorde made a couenaunt with the chyldren of Israel, after they were come out of Egypt.
2Chr.5.11	And it fortuned, that when the preastes were come out of the holy place the sanctuarye was fylled with smoke, for all the preastes that were present, were sanctifyed and dyd not then wayte by course,
2Chr.5.12	that both the Leuites and the syngers, vnder Asaph, Heman and Ieduthun, were appoynted to sondrye offyces with their chyldren and brethren Ꟶ were arayed in fyne whyte, hauynge Symbales, Psalteries, and Harpes, Ꟶ stode at the Eest end of the aulter and by them an hundred and .xx. preastes blowinge with trompettes.
2Chr.5.13	And the trompette blowers and the syngers so agreed, that it semed but one voyce in praysinge and thankynge the Lorde. And whan they lyfte vp their voyce with the trompettes, symbales and other instrumentes of musyck, and whan they praysed the Lorde, howe that he is good, and that his mercye lasteth euer, the house of God was fylled wt a cloude:
2Chr.5.14	so that the preastes coulde not endure to mynister by the reason of the cloude. For the maiesty of the Lorde had fylled the house of God.
2Chr.6.1	Then Salomon sayde: the Lorde hath spoken, howe that he wyll dwell in the cloude.
2Chr.6.2	And I haue buylt an habitacyon for the, and a place for thy dwellynge for euer.
2Chr.6.3	And the kynge turned his face, and blessed the hole congregacyon of Israel, and all the congregacyon of Israel stode.
2Chr.6.4	And he sayde: blessed be the Lorde God of Israel which hath with his handes, fulfylled it, that he spake with his mouth to my father Dauid, sayinge:
2Chr.6.5	sence the daye that I brought my people out of the lande of Egypt, I chose no cytie amonge all the trybes of Israel to buylde an house in, that my name myght be there, nether chose I any man to be a ruler ouer my people Israel:
2Chr.6.6	sauynge that I haue chosen Ierusalem, that my name myght be there, and haue chosen Dauid to be ouer my people Israel.
2Chr.6.7	And whan it was in the herte of Dauid my father to buylde an house for the name of the Lord God of Israel:
2Chr.6.8	the Lord sayd to Dauid my father: for as moch as it was in thyne herte to buylde an house for my name, thou dydest well that thou so thoughtest in thyne hert.
2Chr.6.9	Notwithstandynge, thou shalt not buylde the house, but thy sonne which is proceaded out of thy loynes, he shall builde an house for my name.
2Chr.6.10	The Lorde therfore, hath made good his sayinge that he hath spoken, and I am rysen vp in the rowme of Dauid my father, and am set on the seate of Israel, as the Lord promysed, and haue buylt an house for the name of the Lorde God of Israel.
2Chr.6.11	And in it haue I put the Arcke, wherin is the couenaunt of the Lorde that he made with the children of Israel.
2Chr.6.12	And the kynge stode before the aulter of the Lorde in the presence of all the congregacyon of Israel, and stretched out his handes.
2Chr.6.13	For nowe Salomon had made a brasen pulpyt of fyue cubytes longe Ꟶ fyue cubytes broad, and thre of heyght, Ꟶ had set it in the myddes of the great courte, Ꟶ vpon it, he stode and kneled downe, vpon his knees before all the congregacyon of Israel Ꟶ stretched out his handes towarde heauen,
2Chr.6.14	Ꟶ sayde: O Lorde God of Israel, there is no God lyke the in heauen and in erth, which kepest couenaunt and shewest mercye vnto thy seruauntes that walke before the with all their hertes.
2Chr.6.15	Thou which hast kept wt thy seruaunt Dauid my father the thynges that thou promisedest him: thou saydest it wt thy mouth, and hast fulfylled it with thyne handes, as it is to se this daye.
2Chr.6.16	And nowe Lorde God of Israel, kepe wt thy seruaunt Dauid my father, the thynges that thou promysedest him, sayinge: thou shalt in my syght not be without a man, that shall sytte vpon the seate of Israel: so that thy children take hede to their wayes, to walcke in my lawe, as thou hast walked before me.
2Chr.6.17	And nowe Lord God of Israel, lett thy sayinge be true which thou spakest vnto thy seruaunt Dauid.
2Chr.6.18	And wyll God in very dede, dwell with men on erthe? Beholde heauen and heauen aboue all heauens do not contayne the: howe moch lesse the house which I haue buylded?
2Chr.6.19	Let it be thy pleasure therfore to turne to the prayer of thy seruaunte and to his supplicacyon (O Lorde my God) to herken vnto the voyce and prayer which thy seruaunt prayeth before the:
2Chr.6.20	and let thyne eyes be open towarde this house daye and nyght, ouer this place, wherin thou hast sayde, that thou woldest put thy name: to herken vnto the prayer which thy seruaunte prayeth in this place:
2Chr.6.21	herken vnto the prayers of thy seruaunt Ꟶ of thy people Israel, which they praye in this place: heare thou (I saye) out of thy dwellinge place, euen out of heauen: heare and be mercyfull.
2Chr.6.22	If a man synne agaynst his neyboure, and take on ooth against him, and make him to sweare, Ꟶ they both come before thyne aulter in this house:
2Chr.6.23	then heare thou from heauen, and worcke, Ꟶ iudge thy seruauntes, that thou rewarde the vngodly, Ꟶ recompence him his waye vpon his heed, and iustefye the ryghteous, and geue him accordynge to his ryghtwesnesse.
2Chr.6.24	And yf thy people Israel be put to the worse before the enemye, because they haue synned agaynst the. Yet yf they turne Ꟶ geue thankes vnto thy name, and make intercessyon, and praye before the in this house:
2Chr.6.25	then heare thou from heauen, and be mercyfull vnto the synne of thy people Israel, and brynge them agayne vnto the lande, which thou gauest to them and to their fathers.
2Chr.6.26	Whan heauen is shutt vp, and there be no rayne, because they haue synned agaynst the: yet yf they praye in this place, and confesse thy name, and repent from their synne for the which thou chastenest them:
2Chr.6.27	then heare thou in heauen, Ꟶ be mercyfull vnto the synne of thy seruauntes and of thy people Israel, and guyde thou them into the good waye, to walke in, and sende rayne vpon thy lande, which thou hast geuen vnto thy people, for an enheritaunce.
2Chr.6.28	And yf there be dearth in the lande, or pestylence, corrupcyon, or blastinge of corne, grashoppers, or caterpyllers, or that theyr enemyes besege them in the cyties of theyr lande, or whatsoeuer plage or syckenesse it be.
2Chr.6.29	Then what supplicacyons and prayers soeuer shalbe made of any man, Ꟶ of all thy people Israel, whych shall knowe euery man his awne sore and his awne greffe, and shall stretche out their handes towarde this house,
2Chr.6.30	thou shalt heare from heauen, euen from thy dwellynge place, and shalt be mercyfull, and geue euery man accordynge vnto all his wayes, euen as thou doest knowe euery mannes herte: for thou onely knowest the hertes of the chyldren of men:
2Chr.6.31	that they maye feare the Ꟶ walke in thy wayes as longe as they lyue in the lande, which thou gauest vnto oure fathers.
2Chr.6.32	Moreouer, the straunger which is not of thy people Israel, yf he come from a farre lande for thy greate names sake, and thy myghtye hande, and thy stretched oute arme, Yf they come (I saye) Ꟶ praye in thy house:
2Chr.6.33	thou shalt heare from heauen, euen from thy dwellynge place, and shalt do accordynge to all that the straunger calleth to the for. That all people of the erth maye knowe thy name, and feare the, as doeth thy people Israel, and that they maye knowe, howe that in thys house which I haue buylt, thy name is called vpon.
2Chr.6.34	Yf thy people go out to warre agaynst their enemyes, by the waye that thou shalt sende them, and they praye to the, in the waye towarde this cytie which thou hast chosen, euen towarde the house which I haue buylt for thy name:
2Chr.6.35	then heare thou from heauen their supplicacyon and prayer, and helpe them in theyr ryght.
2Chr.6.36	If they synne agaynst the, as there is no man but he doth synne, and thou be angrye with them, and delyuer them ouer before their enemyes, and they take them and leade them awaye vnto a lande ferre or neare,
2Chr.6.37	yet yf they repent in their hert in the lande where they be in captyuite, and turne, and praye vnto the in the lande of their captiuite, sayinge: we haue synned, we haue done euell Ꟶ wyckedlye,
2Chr.6.38	and turne agayne to the, wyth all their herte and all their soule, in the lande of their captyuite, where they kepe them in bondage, and so praye towarde theyr lande which thou gauest vnto their fathers, euen towarde the cytie whych thou hast chosen, and towarde the house which I haue buylt for thy name.
2Chr.6.39	Then heare thou from heauen euen from thy dwellinge place, their supplicacion and their prayer, and iudge their cause, and be mercyfull vnto thy people, which haue synned agaynst the.
2Chr.6.40	Nowe my God, let thyne eyes be open, and thyne eares attent vnto the prayer that is made in this place.
2Chr.6.41	Nowe vp O Lorde God into thy restynge place: thou and the Arcke of thy strengthe. O Lorde God, let thy preastes be clothed with health, and let thy saynctes reioyse in goodnesse.
2Chr.6.42	O Lord God, turne not a waye the face of thyne anoynted. Remembre the mercyes, which thou hast promysed to Dauid thy seruaunte.
2Chr.7.1	And when Salomon had made an ende of prayinge, there came downe fyre from heauen, Ꟶ consumed the burnte offerynge and the sacrifyces. And the house was fylled with the glorie of the Lorde,
2Chr.7.2	Ꟶ the preaste coulde not go into the house of the Lorde, because the glorye of the Lorde had fylled the Lordes house.
2Chr.7.3	And whan all the chyldren of Israel sawe howe the fyre, and the glorye of the Lorde came downe vpon the house, they fell downe flat vpon their faces to the erth vpon the pauement, and worshypped and confessed vnto the Lord, that he is gracious, and that his mercye lasteth euer.
2Chr.7.4	And the kynge and all the people offered sacrifyces before the Lorde.
2Chr.7.5	And kynge Salomon offered a sacrifyce of .xxij. thousande oxen, and an hundred Ꟶ twentye thousande shepe. And so the kynge and all the people dedicated the house of God.
2Chr.7.6	And the preastes wayted on their offyces, and the Leuites had the instrumentes of musycke of the Lorde, which kynge Dauid had made to confesse vnto the Lorde, that his mercye lasteth euer, playenge a psalme of Dauid with their hande. And the preastes blewe with trompettes before them: and all they of Israel stode.
2Chr.7.7	Moreouer, Salomon halowed the myddle of the courte, that was before the Lorde: for there he offered burntofferinges and the fatt of the peaceofferynges, because the brasen aulter which Salomon had made, was not able to receaue the burntofferynges and the meateofferynges and the fatte.
2Chr.7.8	So at the same tyme Salomon kepte a feast of seuen dayes, and all they of Israel with him, an exceadynge great congregacyon, euen from the entringe in of Hamath, vnto the ryuer of Egypt.
2Chr.7.9	And in the eyght daye they made a gatheringe. For they kepte the dedicacyon of the aulter seuen dayes, and the feast seuen dayes.
2Chr.7.10	And the .xxiij. daye of the seuenth moneth, he let the people departe into their tentes glad and merye in hert, for the goodnesse that the Lorde had shewed to Dauid, and to Salomon, and to Israel his people.
2Chr.7.11	And so Salomon finisshed the house of the Lorde, and the kynges house: and all that came in his hert to make in the house of the Lorde, and in hys awne house, went prosperouslye forwarde.
2Chr.7.12	And the Lorde apered to Salomon by nyght, and sayde to him. I haue hearde thy peticyon, and haue chosen this place for my selfe, to be an house of sacrifyce.
2Chr.7.13	Yf I shut vp heauen, that there be no rayne: or yf I commaunde the locustes to deuoure the lande, or yf I sende pestilence amonge my people:
2Chr.7.14	and yf they that are of my people, amonge whom my name is called vpon, do humble them selues, and make intercessyon, and seke my presence, and turne from their wycked wayes, then will I heare from heauen, and be mercyfull to their synne, Ꟶ wyll heale their lande.
2Chr.7.15	And from hence forth myne eyes shalbe open, and myne eares attent vnto the prayer that is made in this place.
2Chr.7.16	And therfore nowe I haue chosen and sanctifyed this house, that my name maye be there for euer: and myne eyes and myne heart shalbe there perpetuallye.
2Chr.7.17	And yf thou wylt walke before me, as Dauid thy father walked, to do all that I haue commaunded the, and shalt obserue my statutes and my lawes:
2Chr.7.18	then wyll I stablyshe the seat of thy kyngedome, accordynge as I made the couenaunt with Dauid thy father sayinge: thou shalt not be without a man, to be ruler in Israel.
2Chr.7.19	But Ꟶ yf ye turne awaye, and forsake my statutes, and my commaundementes, which I haue set before you, and shall go Ꟶ serue other Gods, and worshyppe them:
2Chr.7.20	then wyll I plucke them vp by the rotes out of my lande which I haue geuen them, and this house, which I haue sanctifyed for my name, wyll I cast out of my syght, and will make it to be a prouerbe Ꟶ a least amonge all nacyons.
2Chr.7.21	And euery one that passeth by shalbe astonnyed at this house, which belonged to the most hye God, Ꟶ shall saye, why hath the Lorde dealte on this fassion wyth thys lande and wyth thys house?
2Chr.7.22	And they shal answere: because they forsoke the Lord God of their fathers, whyche brought them out of the lande of Egypte, and caught holde on other Gods, and worshypped them, and serued them: euen therfore hath he brought all thys euell vpon them.
2Chr.8.1	And it fortuned, that after .xx. yeare, when Salomon had buylt the house of the Lorde and hys awne house:
2Chr.8.2	he buylte the cyties that Hiram gaue him, and put of the chyldren of Israell in them.
2Chr.8.3	And Salomon went to Hamath zoba, and strengthed it.
2Chr.8.4	And he buylt Thadmor in the wyldernesse, and repayred all the store cyties which were in Hamath.
2Chr.8.5	And he buylt Bethhoron the vpper and Bethhoron the nether, stronge cyties, hauynge walles, gates and barres.
2Chr.8.6	And Baalah and all the stoare cyties that Salomon had, and al the charet cyties, and the cyties of the horsemen, and euery pleasaunt place, that Salomon had lust to buylde in Ierusalem and Libanon, and thorowe out all the lande of his dominion.
2Chr.8.7	And all the people that were lefte of the Hethites, Amorites, Pheresytes, Heuites Ꟶ Iebusites, which were not of the children of Israel:
2Chr.8.8	but were the children of them, which were lefte after them in the lande, and were not consumed of the children of Israel, them dyd Salomon make to paye trybute vnto this daye.
2Chr.8.9	But of the children of Israel dyd Salomon make no bondmen for his worke: but they were men of warre and rulers and great Lordes with hym, and captaynes ouer his charetes and horsemen.
2Chr.8.10	And kyng Salomons offycers that ouersawe and ruled the people, were two hundred and fyftye.
2Chr.8.11	And Salomon brought the daughter of Pharao out of the cytie of Dauid, into the house that he had buylded for her. For he sayd: my wyfe shall not dwel in the house of Dauid kyng of Israel, for it is holy, because that the Arcke of the Lorde is come vnto it.
2Chr.8.12	Then Salomon offered burnt offeringes vnto the Lorde, on the aulter of the Lorde which he had buylt before the porche,
2Chr.8.13	doyng euery thynge in his due tyme and offerynge accordynge to the commaundement of Moses, in the sabbothes, newmoones, and solempne feastes, thre tymes in the yeare, that is to saye, in the feast of swete bread, in the feast of weakes, and in the feast of tabernacles.
2Chr.8.14	And Salomon set the sortes of preastes to their offyces, as Dauid his father had ordered them, and the Leuites in theyr watches for to prayse Ꟶ ministre before the preastes daye by daye, and the porters by course at euery gate. For so had Dauid the man of God commaunded.
2Chr.8.15	And they omytted not the commaundement of the kynge vnto the preastes and the Leuytes, concernynge eny maner of thynge, and concernynge the treasures.
2Chr.8.16	For Salomon made prouision for the charges, from the fyrst daye that the foundacion of the house of the Lorde was layde: tyll it was fynished, that the house of the Lorde was perfecte.
2Chr.8.17	Then went kyng Salomon to Ezion Gaber, and to Eloth at the see syde in the lande of Edom.
2Chr.8.18	And Hiram sent him by the hande of his seruauntes, shyppes and seruauntes that had knowledge of the see: and they came with the seruauntes of Salomon to Ophir, and caryed thence foure hundred and fyftye talentes of golde, and brought it to kynge Salomon.
2Chr.9.1	And whan the quene of Saba hearde of the fame of Salomon, she came to proue hym in harde questions at Ierusalem, with a very great company, with camelles that bare spices Ꟶ plentye of golde and precyouse stones. And when she was come to Salomon, she commoned with hym of all that she had in her herte.
2Chr.9.2	And Salomon foyled her, all her questions, and there was not one worde hyd from Salomon, whych he tolde her not.
2Chr.9.3	And when the quene of Saba had sene the wysdome of Salomon and the house that he had buylte,
2Chr.9.4	and the meate of hys table, the syttynge of his seruauntes, and the standing of his wayters, theyr apparell, hys buttelars, theyr apparell, hys goynge vp, by the whych he went into the house of the Lorde, ther was nomore sprete in her.
2Chr.9.5	And she sayde to the kynge: the sayenge which I heard in myne awne lande, of thyne actes, and of thy wysdome, is true.
2Chr.9.6	I beleued not the wordes of them, vntyll I came, Ꟶ myne eyes had sene it. And beholde, the one halfe of thy wysdome was not tolde me: for thou exceadest the fame that I hearde.
2Chr.9.7	Happye are thy men, and happy are these thy seruauntes which stande before the alwaye, Ꟶ heare thy wysedome.
2Chr.9.8	Blessed be the Lorde thy God, which had lust to the, to set the kynge on his seat, that thou myghtest be kyng, ordeyned by the Lorde thy God. Because thy God loueth Israell, and hath delyte to make them contynue euer, therfore made he the kynge ouer them to do ryght and equyte.
2Chr.9.9	And she gaue the kyng an hundred Ꟶ .xx. talentes of golde, and of spyces exceadynge great abundaunce and preciouse stones, nether was there any more soche spyce, as the quene of Saba gaue kyng Salomon.
2Chr.9.10	And the seruauntes of Hiram and the seruauntes of Salomon which brought golde from Ophir, brought also Algume wood and preciouse stones.
2Chr.9.11	And the kyng made of the Algume wood, steyres in the house of the Lorde and in the kynges palace, and harpes and psalteries for syngers. And there was no soch wood sene before in the lande of Iuda.
