Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.3.8	and am come downe to delyuer them out of the hande of the Egyptians, and to brynge them out of that lande vnto a good lande and a large: and vnto a lande that floweth wyth mylcke and hony: euen vnto the place of the Cananites and Hethites, and Amorites, and Pherezites, and Heuites, and of the Iebusites.
Exod.3.9	Nowe therfore, the complaynt of the chyldren of Israel is come vnto me, and I haue also sene the oppressyon wherwith the Egyptians oppresse them.
Exod.3.10	Come thou therfore, and I wyll sende the vnto Pharao, that thou mayest brynge my people the chyldren of Israel out of Egypte.
Exod.3.11	And Moses sayde vnto God: what am I to goo vnto Pharao, and to brynge the chyldren of Israel out of Egypte?
Exod.3.12	And he answered: I wyll be wyth the. And thys shalbe a token vnto the that I haue sent the: after that thou hast brought the people out of Egypte, ye shall serue God vpon thys mountayne.
Exod.3.13	And Moses sayde vnto God: beholde, when I come vnto the chyldren of Israel, I shall saye vnto them: the God of youre fathers hath sent me vnto you, and yf they saye vnto me, what is hys name, what answere shall I geue them?
Exod.3.14	And God answered Moses: I am that I am: and he sayde: thys shalt thou saye vnto the chyldren of Israel. I am hath sent me vnto you.
Exod.3.15	And God spake further vnto Moses: thus shalt thou saye vnto the chyldren of Israel the Lorde God of youre fathers, the God of Abraham the God of Isahac, and the God of Iacob hath sent me vnto you: thys is my name for euer, and thys is my memoryall into generacyon and generacyon.
Exod.3.16	Goo and gather the elders of Israel to gether, and thou shalt saye vnto them: the Lorde God of youre fathers, the God of Abraham, the God of Isahac, and the God of Iacob apeared vnto me, and sayde: In visitynge haue I visited you, and knowe that which is done to you in Egypte
Exod.3.17	And I haue sayde, I wyll brynge you out of the tribulacyon of Egypte vnto the lande of the Canauytes, and Hethites, and Amorytes, and Pherezytes, and Heuytes, and Iebusytes: euen vnto a lande that floweth wyth mylcke and hony.
Exod.3.18	And whan they heare thy voyce then goo, both thou and the elders of Israel shall go vnto the kynge of Egypte, and saye vnto him: The Lorde God of the Hebrues hath met wyth vs: and nowe wyll we go therfore .iij. dayes iourney into the wyldernesse, and do sacrifyce vnto the Lorde oure God.
Exod.3.19	And I am sure, that the kynge of Egypte wyll not let you goo, no not in a myghtye hande:
Exod.3.20	and I wyll stretche out myne hande and smyte Egypte wyth all my wonders which I will do in the myddes therof. And after that he wyll let you goo.
Exod.3.21	And I wyll gett thys people fauoure in that syghte of the Egyptians: so that when ye goo, ye shall not goo emptie:
Exod.3.22	but a wyfe shall borow of hir neyghbouresse Ꟶ of her that soieorneth in hir house, iewels of syluer and of Gold and rayment. And ye shall put them on youre sonnes and daughters, Ꟶ shall robbe the Egyptians.
Exod.4.1	Moses answered and sayde: Se, they wyll not beleue me nor herken vnto my voyce: but will saye the Lorde hath not apeared vnto the.
Exod.4.2	And the Lorde sayde vnto him: what is that whych is in thyne hande? he answered a rodd.
Exod.4.3	And he sayde: cast it on the grounde. And he cast it on the grounde, and it became a serpent. And Moses fled from the syght of it.
Exod.4.4	And the Lorde sayde vnto Moses: put forth thyne hande and take it by the tayle. And therfore he put forth hys hande Ꟶ caught it, and it became a rodd in his hande.
Exod.4.5	For thys thinge (sayeth he) shall they beleue the, that the Lorde God of their fathers, the God of Abraham, the God of Isahac Ꟶ the God of Iacob hath apeared vnto the.
Exod.4.6	And the Lorde sayde forthermore vnto hym: thrust thyne hande in to thy bosome. And he thrust hys hande in to hys bosome. And whan he toke it out agayne, beholde, his hande was leperous euen as snowe.
Exod.4.7	And he sayde: put thyne hande in to thy bosome agayne. And he put hys hande into his bosome agayne, and plucked it out of hys bosome, Ꟶ beholde, it was turned agayne as hys other flesshe.
Exod.4.8	Therfore yf they wyll not beleue the nether heare the voyce of the fyrst token, yet wyll they beleue for the voyce of the seconde token.
Exod.4.9	But and yf they wyll not beleue the two signes, nether herken vnto thy voyce, thou shalt take of the water of the ryuer, Ꟶ powrest vpon the drye lande. And the water which thou takest out of the ryuer, shall turne to bloude vpon the drye lande.
Exod.4.10	Moses sayde vnto the Lorde: oh my Lorde, I am not eloquent from yester daye Ꟶ yeryesterdaye, Ꟶ namely sence thou hast spoken vnto thy seruaunte: but I am slowe mouthed and slowe tonged.
Exod.4.11	And the Lorde sayde vnto hym: who hath made mans mouth, or who hath made the domme or the deaff, the seynge or the blynde? haue not I the Lorde?
Exod.4.12	Therfore I will be with thy mouth, Ꟶ teache the what thou shalt saye.
Exod.4.13	He sayde: oh my Lorde, sende I praye the by the hande of him whom thou wilt sende.
Exod.4.14	And the Lorde was angrye with Moses, Ꟶ sayde: do not I knowe Aaron thy brother the leuyte, that he can speake? For lo, he commeth furth to mete the, Ꟶ when he seyth the, he wylbe glad in his herte.
Exod.4.15	Therfore thou shalt speake vnto hym, and put these wordes in hys mouth, and I wylbe with thy mouth and wyth hys mouth, and wyll teache you what ye ought to do.
Exod.4.16	And he shalbe thy spokesman vnto the people: he also shall be thy mouth Ꟶ thou shalt be hys God:
Exod.4.17	and thou shalt take this rodd in thy hande, wherwith thou shalt do myracles.
Exod.4.18	Therfore Moses went and returned to Iethro hys father in lawe agayne, Ꟶ sayde vnto him: I wyll go nowe, and turne agayne vnto my brethren whych are in Egypte, and se whether they be yet alyue. And Iethro sayde to Moses, goo in peace.
Exod.4.19	And the Lorde sayde vnto Moses in Midian: goo, and returne agayne in to Egypte for they are dead which went aboute to kyll the.
Exod.4.20	And Moses toke hys wyfe, and his sonnes, Ꟶ put them on an asse, and went agayne to Egypte, Ꟶ Moses toke the rodd of God in his hande.
Exod.4.21	And the Lorde sayde vnto Moses: when thou art entred Ꟶ come into Egypte agayne, se that thou doo all the wondres before Pharao which I haue put in thy hande: but I wyll holde hys herte, and he shall not let the people goo.
Exod.4.22	And thou shalt saye vnto Pharao, thus sayeth the Lorde: Israel is myne eldest sonne,
Exod.4.23	and I haue sayde vnto the that thou shuldest let my sonne goo, that he maye serue me. And thou woldest not let hym goo: beholde, I wyll slee thyne eldest sonne.
Exod.4.24	And it chaunced by the waye in the ynne that the Lorde mett hym, and wolde haue kylled him.
Exod.4.25	And zephora toke a stone, Ꟶ cut awaye the foreskyne of hyr sone, Ꟶ fell at his fete, Ꟶ sayde: a bloudyhusbande art thou vnto me.
Exod.4.26	Then he lett him goo. And she sayde a bloudy husbande, because of the circumcysion.
Exod.4.27	Then sayde the Lorde vnto Aaron: go mete Moses in the wildernesse. And he went and met hym in the mount of God, and kyssed him.
Exod.4.28	And Moses tolde Aaron all the wordes of the Lorde which had sent him, and all the tokens which he had charged him withall.
Exod.4.29	So went Moses Ꟶ Aaron and gathered all the elders of the chyldren of Israel.
Exod.4.30	And Aaron tolde all the wordes whych the Lorde had spoken vnto Moses, and dyd the myracles in the syght of the people,
Exod.4.31	and the people beleued. And when they herde that the Lorde had visited the chyldren of Israel and had loked vpon their tribulacyon, they bowed their head, and worshypped.
Exod.5.1	Moses Ꟶ Aaron went in after warde, and tolde Pharao, thus sayeth the Lorde God of Israel: Let my people goo, that they maye kepe holye daye vnto me in the wildernesse.
Exod.5.2	And Pharao sayde: who is the Lorde, that I shulde heare hys voyce, Ꟶ let Israell goo?
Exod.5.3	I knowe not the Lorde, nether will I let Israel goo. And they sayde: the God of the Hebrews hath mett with vs: and therfore wyll we go .iij. dayes iourney into the deserte, and sacrifyce vnto the Lorde oure God: lest there happen vnto vs ether pestylence or swerde.
Exod.5.4	Then sayde the kynge of Egypte vnto them: wherfore do ye, Moses and Aaron let the people from their worke, get you vnto your laboure.
Exod.5.5	And Pharao sayde furthermore: beholde, there is moche people nowe in the lande, and ye make them leaue their worke.
Exod.5.6	And Pharao commaunded the same daye vnto the taskemasters which were amonge the people, and vnto the offycers, sayinge:
Exod.5.7	ye shall geue the people no more strawe, to make brycke wyth all, (as ye dyd in tyme passed.) let them goo and gather them strawe them selues
Exod.5.8	and the nombre of brycke whyche they were wont to make in tyme passed, laye vnto their charges also, and mynysh nothynge therof. For they be ydell and therfore crye sayinge: we wyll goo Ꟶ do sacrifyce vnto oure God.
Exod.5.9	They must haue more worke layed vpon them, that they maye laboure therin, Ꟶ not regarde vayne wordes.
Exod.5.10	Than went the taskemasters of the people and the offycers out: and tolde the people Thus sayeth Pharao: I wyll geue you no moare strawe,
Exod.5.11	goo youre selues and gather you strawe where ye can fynde it, yet shall none of youre laboure be minyshed.
Exod.5.12	And so were the people scatered abrode thorowe out all the lande of Egypte for to gather stubbyll in stead of strawe.
Exod.5.13	And the taskemasters hasted them forwarde sayinge: fulfyll youre worke daye by daye, euen as yf ye had strawe.
Exod.5.14	And the offycers of the chyldren of Israel whych Pharaos taskemasters had sett ouer them, were beaten. And they sayde vnto them: wherfore haue ye not fulfylled youre taske in makinge brycke, both yesterdaye and to daye, as well as in tymes past?
Exod.5.15	The offycers also of the chyldren of Israel came Ꟶ complayned vnto Pharao, sayinge: wherfore dealest thou thus wyth thy seruauntes?
Exod.5.16	there is no strawe geuen vnto thy seruauntes, and they saye vnto vs: make brycke. And thy seruauntes are beaten, and thy people is foule intreated.
Exod.5.17	He sayde: ydell ar ye, ydell, and therfore ye saye: We wyll goo and do sacrifyce vnto the Lorde.
Exod.5.18	Goo therfore nowe and worke, and ther shall no strawe be geuen you, and yet shall ye delyuer the hole tale of brycke.
Exod.5.19	And the offycers of the chyldren of Israel dyd wyth heuynes loke on them that sayde: ye shall minyshe nothynge of youre daylye makynge of brycke.
Exod.5.20	And they mett Moses and Aaron, which stode in there waye as they came out from Pharao,
Exod.5.21	Ꟶ sayde vnto them: The Lorde loke vnto you and iudge you, whych hath made the sauoure of vs stincke in the eyes of Pharao Ꟶ in the eyes of his seruauntes, and haue put a swerde in their hande to slee vs.
Exod.5.22	Moses returned vnto the Lorde Ꟶ sayde: Lorde wherfore hast thou dealte cruelly wt this people: and wherfore hast thou sent me?
Exod.5.23	For sence I came to Pharao to speake in thy name, he hath fared foule wyth thys folke, and yet thou hast not delyuered thy people at all.
Exod.6.1	Then the Lorde sayde vnto Moses: Nowe shalt thou see, what I wyll doo vnto Pharao, for in a myghtye hande shall he let them goo, and in a myghtye hande shall he dryue them out of hys lande.
Exod.6.2	And God spake vnto Moses, and sayde vnto him: I am the Lorde,
Exod.6.3	I appeared vnto Abraham Isahac and Iacob as an allmyghtye God: and in my name Iehouah was I not knowne vnto them.
Exod.6.4	Moreouer I made an appoyntment with them to geue them the lande of Canaan: the lande of their pilgremage where in thy were straungers.
Exod.6.5	And I haue also herde the gronynge of the chyldren of Israel, whom the Egyptians kepe in bondage, and haue remembred my couenaunt.
Exod.6.6	Wherfore saye vnto the chyldren of Israel: I am the Lorde, I wyll brynge you out from the burdens of the Egyptians, and wyll rydd you out of their bondage, Ꟶ wyll delyuer you in a stretched out arme and in great iudgementes.
Exod.6.7	And I wyll take you for my people, Ꟶ wyll be to you a God. And ye shall knowe, that I am the Lorde youre God which brynge you out from the burdens of the Egyptians.
Exod.6.8	And I wyll brynge you vnto the lande concernynge the whych I dyd lyft vp my hande to geue it vnto Abraham, Isahac and Iacob, and wyll geue it vnto you for a possessyon: euen I the Lorde.
Exod.6.9	And Moses tolde the chyldren of Israel euen so: But they harkened not vnto Moses, for anguyshe of sprete and for cruel bondage.
Exod.6.10	The Lorde spake vnto Moses sayinge:
Exod.6.11	Goo in, Ꟶ speake vnto Pharao kynge of Egypte, that he let the chyldren of Israel goo out of hys lande.
Exod.6.12	And Moses spake before the Lorde sayinge: beholde, the chyldren of Israel herken not vnto me, howe than shall Pharao heare me? which am of vncircumcised lyppes?
Exod.6.13	And the Lorde spake vnto Moses and vnto Aaron, and gaue them a charge vnto the chyldren of Israel and vnto Pharao kynge of Egypte: to brynge the chyldren of Israel out of the lande of Egypte.
Exod.6.14	These be the heedes of theyr fathers houses. The chyldren of Ruben the eldest sonne of Israel are these: Hanoh, and Pallu, Hezron, and Charmi, these be the housholdes of Ruben
Exod.6.15	The chyldren of Simeon: Gemuel, and Iamin, Ohad, and Iachim, zohar, and Saul the sonne of a Cananytesh wyfe: these are the kynreddes of Simeon.
Exod.6.16	These also are the names of the chyldren of Leui in their generacyons: Gerson, and kahath and Merari. Leui lyued an hundred Ꟶ .xxxvij. yere.
Exod.6.17	The sonnes of Gerson: Libni and Semei by their kynreddes.
Exod.6.18	The chyldren of kahath: Amram, and Iesear, Hebron and Usiel. And kahath lyued an hundred and .xxxiij. yere.
Exod.6.19	The chyldren of Merari: Mahely and Musi: these are the kynreddes of Leui by their generations.
Exod.6.20	Amram toke Iochebed hys nece to wyfe and she bare hym Aaron and Moses. And Amram lyued an hundred and .xxvij. yere.
Exod.6.21	The chyldren of Iezear, Korah, Nepheg and Sichri:
Exod.6.22	The chyldren of Usiel: Misael, Elzaphan and Sithri.
Exod.6.23	And Aaron toke Elizaba daughter of Aminadab and syster of Nahason, to wyfe: whych bare hym Nadab, and Abihu, Eleazar and Ithamar.
Exod.6.24	The chyldren of Korah: Assir, and Elkana and Abiassaph: these are the kynreddes of the korahites.
Exod.6.25	Eleazar Aarons sonne toke him one of the daughters of Putuel to wife, which bare him Pinehas: and these be the pryncipall fathers of the Leuites thorowe out their kynreddes.
Exod.6.26	This is that Aaron and Moses to whom the Lorde sayde: carye the chyldren of Israel out of the lande of Egypte, accordynge to theyr armyes.
Exod.6.27	These are that Moses and Aaron which spake to Pharao kynge of Egypte, that they myghte brynge the chyldren of Israel out of Egypte.
Exod.6.28	And in the daye when the Lorde spake vnto Moses in the lande of Egypte,
Exod.6.29	he spake vnto hym, sayinge: I am the Lorde. speake thou vnto Pharao the kinge of Egypte all that I saye vnto the.
Exod.6.30	And Moses sayde before the Lorde: Beholde, I am of vncircumcised lyppes, and howe shall Pharao geue me audience?
Exod.7.1	And the Lorde sayde vnto Moses: beholde, I haue made the Pharaos God, and Aaron thy brother shall be thy prophete.
Exod.7.2	Thou shalt speake all that I commaunded the, and Aaron thy brother shall speake vnto Pharao, that he sende the chyldren of Israel out of hys lande.
Exod.7.3	And I wyll harden Pharaos hert, and multiplie my myracles and my wondres in the lande of Egypte.
Exod.7.4	But Pharao shall not herken vnto you, that I maye sett myne hand vpon Egypte, and brynge out myne armyes, and my people the chyldren of Israel out of the lande of Egypte, in great iudgementes,
Exod.7.5	and the Egyptians shall knowe, that I am the Lorde: when I stretche forth my hande vpon Egypte, and brynge out the chyldren of Israel from amonge them.
Exod.7.6	Moses and Aaron dyd as the Lorde commaunded them, euen so dyd they.
Exod.7.7	Moses was .lxxx. yere olde, and Aaron .lxxxiij. when they spake vnto Pharao.
Exod.7.8	And the Lorde spake vnto Moses and Aaron sayinge:
Exod.7.9	yf Pharao speake vnto you sayinge: shewe a wondre, thou shalt saye vnto Aaron: take thy rodd and cast it before Pharao, that it maye be a serpent.
Exod.7.10	Than went Moses and Aaron in vnto Pharao, and dyd euen as the Lorde had commaunded. And Aaron cast forth his rodd before Pharao and before his seruauntes and it turned to a serpente.
Exod.7.11	Than Pharao called for the wyse men and enchaunters, Ꟶ those wyse men of Egypte dyd in like maner wt there sorcery.
Exod.7.12	For they cast downe euery man hys rodd, and they turned to serpentes: but Aarons rodde dyd eate vp theyr roddes:
Exod.7.13	and he hardened Pharaos herte: that he herkened not vnto them, euen as the Lorde had sayde.
Exod.7.14	The Lorde also sayde vnto Moses. Pharaos herte is hardened, he refuseth to let the people goo.
Exod.7.15	Get the vnto Pharao in the mornynge, lo, he wyll come vnto the water, and thou shalt stonde vpon the ryuers brynke agaynst he come, and the rodd whyche turned to a serpente, shalt thou take in thyne hande.
Exod.7.16	And thou shalt saye vnto hym: the Lorde God of the Hebrues hath sente me vnto the, sayinge let my people goo, that they maye serue me in the wildernes: And beholde, hyther to thou woldest not heare.
Exod.7.17	Thus sayth the Lorde: In thys thou shalt knowe that I am the Lorde. Beholde, I wyll smyte (with the staffe that is in myne hande) the water that is in the ryuer, and it shall turne to bloude.
Exod.7.18	And the fyshe that is in the ryuer shall dye, and the ryuer shall stynke: and it shall greue the Egyptians to dryncke of the water of the ryuer.
Exod.7.19	And the Lorde spake vnto Moses, saye vnto Aaron: take thy staffe, and stretche out thyne hande ouer the waters of Egypte, ouer their streames, ouer their ryuers and pondes and all pooles of water, whych they haue, that they maye be bloude, and that there maye be bloud thorowe out all the lande of Egypte: both in vessels of wodd and also of stone.
Exod.7.20	And Moses and Aaron dyd euen as the Lorde commaunded. And he lyfte vp the staffe and smote the waters that were in the ryuer in the syghte of Pharao and in the syghte of hys seruauntes, and all the water that was in the ryuer, turned into bloud.
Exod.7.21	And the fyshe that was in the ryuer dyed and the ryuer stanke: and the Egyptians coulde not dryncke of the waters of the ryuer. And there was bloude thorowe out all the lande of Egypte.
Exod.7.22	And the enchaunters of Egypte dyd lykewyse wyth their sorceries, and he hardened Pharaos hert: neyther dyd he harken vnto them as the Lorde had sayde.
Exod.7.23	And Pharao turned hym selfe, and went agayne into hys housse, and let not hys herte there vnto.
Exod.7.24	And the Egyptians dygged rounde aboute the ryuer for water to drynke, for they coulde not drynke of the water of the ryuer.
Exod.7.25	And it continued a weke after that the Lorde had smyten the ryuer.
Exod.8.1	The Lorde spake vnto Moses: Goo vnto Pharao Ꟶ tell him; thus sayeth the Lorde: lett my people goo, that they maye serue me.
Exod.8.2	If thou wylt not let them goo: beholde, I wyll smyte all thy border wt frogges.
Exod.8.3	And the ryuer shall scrall wyth frogges, whych shall go vp and come into thyne house and in to thy preuy chambre where thou slepest, and vpon thy bedd, and into the house of thy seruauntes, Ꟶ vpon thy people, and into thyne ouens, and vpon thy meates.
Exod.8.4	And the frogges shall come vpon the and on thy people and vpon all thy seruauntes.
Exod.8.5	And the Lorde spake vnto Moses: saye vnto Aaron: stretche forth thyne hande with thy rodd ouer the stremes, ouer the ryuers, and ouer the pondes, that thou mayest brynge vp frogges vpon the lande of Egypte.
Exod.8.6	And Aaron stretched hys hande ouer the waters of Egypte, and the frogges came vp, Ꟶ couered the lande of Egypte.
Exod.8.7	And the sorcerers dyd lyke wyse wt theyre sorcery, and brought frogges vp vpon the lande of Egypte.
Exod.8.8	Then Pharao called for Moses Ꟶ Aaron and sayde praye ye vnto the Lorde, that he maye take awaye the frogges from me Ꟶ from my people, and I wyll let the people goo, that they maye do sacrifyce vnto the Lorde.
Exod.8.9	And Moses sayde vnto Pharao: reioysse thou ouer me, and appoynte when I shall praye for the and for thy seruauntes, and for thy people, to dryue awaye the frogges from the, and thy houses, and that they maye remayne but in the ryuer only.
Exod.8.10	He sayde: tomorowe. And he sayde: euen as thou hast sayde, that thou mayest knowe that there is none lyke vnto the Lorde oure God.
Exod.8.11	And so the frogges shall departe from the and from thy houses, from thy seruauntes and from thy people, and shall remayne in the ryuer only.
Exod.8.12	Moses and Aaron went out from Pharao, and Moses cryed vnto the Lorde vpon the apoyntment of frogges, which he had made vnto Pharao.
Exod.8.13	And the Lorde dyd accordynge to the sayinge of Moses. And the frogges dyed out of the houses, out of the courtes and feldes.
Exod.8.14	And they gathred them together vpon heapes, Ꟶ the lande stanke of them.
Exod.8.15	But when Pharao sawe that he had rest geuen him, he hardened hys herte and herkened not vnto them, as the Lorde had sayde.
Exod.8.16	And the Lord sayde vnto Moses: saye vnto Aaron: stretche out thy rodd and smyt the dust of the lande, that it maye turne to lyse thorowe out all the lande of Egypte.
Exod.8.17	And they dyd so. For Aaron stretched out his hande Ꟶ with his rodd he smote the dust of the erth, which turned to lyse in man and beest, so that all the dust of the lande turned to lyse, thorowe out all the lande of Egypte.
Exod.8.18	And the enchaunters assayde lykewyse with their enchauntmentes to brynge forth lyse, but they coulde not. And the lyse were both vpon men and beestes.
Exod.8.19	Then sayde the enchaunters vnto Pharao: it is the fyngre of God. And Pharaos hart remayned obstinate, and he harkened not vnto them, euen as the Lorde had sayde.
Exod.8.20	And the Lorde sayde vnto Moses: ryse vp early in the mornyng, and stande before Pharao, for he wyll come forth vnto the water: and thou shalt saye vnto him: thus saith the Lorde: Let my people go, that they maye serue me.
Exod.8.21	Els, yf thou wylt not let my people goo, beholde, I wyll sende all maner of flyes both vpon the and thy seruauntes, and thy people, and into the houses. And the houses of the Egipcians shalbe full of flyes, and the grounde wheron they are.
Exod.8.22	And the lande of Gosan where my people are, will I cause to be wonderfull in that daye: so that ther shall no flyes be there. Wherbye thou shalt knowe, that I am the Lorde in the myddes of the erth.
Exod.8.23	And I wil put a diuision betwene my people and thyne. And euen tomorowe shall this myracle be done.
Exod.8.24	The Lorde dyd euen so: and there came noysome flies into the house of Pharao, and into his seruauntes houses, and into all the lande of Egipt: and the lande was corrupte with these flyes.
Exod.8.25	And Pharao called for Moses and Aaron, and sayde: Go, and do sacrifice vnto youre God in the lande.
Exod.8.26	And Moses answered: it is not mete that we so do. For then we must offer vnto the Lorde our God, that which is an abhomination vnto the Egipcians. But and yf we sacrifice that, which is an abhomination vnto the Egipcians before their eyes, shulde they not stone us?
Exod.8.27	we will go thre dayes iorneye into the deserte, and sacrifice vnto the Lord our God as he hath commaunded vs.
Exod.8.28	And Pharao sayd: I will let you go, that ye maye sacrifice vnto the Lorde youre God in the wildernesse: but go not farre awaye, praye for me.
Exod.8.29	And Moses sayde: beholde, I will go out from the, Ꟶ praye vnto the Lorde, that the flyes maye departe from Pharao, Ꟶ from his seruauntes and from his people to morow. But let Pharao from hensforth deceaue nomore, that he will not let the people go to sacrifice vnto the Lorde:
Exod.8.30	And Moses went out from Pharao, and prayed vnto the Lorde.
