Hos.2.20	In fayth also wyll I mary the vnto my selfe, and thou shalt knowe the Lorde.
Hos.2.21	At the same tyme wyll I shewe my selfe frendly Ꟶ gracyous vnto the heuens, sayeth the Lord: and the heauens shall helpe the earth
Hos.2.22	and the earth shall helpe the corne, wyne and oyle, Ꟶ they shall helpe Iesrael.
Hos.2.23	I wyll sowe them vpon earth, for a sede to myne amne selfe, Ꟶ wyll haue mercy vpon her, that was wythout mercy. And to them whych were not my people, I wyll saye: thou art my people and he shall saye: thou art my God.
Hos.3.1	Then sayde the Lorde to me: Go yet thy waye Ꟶ wowe an aduouterous woman, whom thy neyghboure loueth, as the Lorde doth the chyldren of Israel: how be it they haue respecte to straunge goddes, Ꟶ loue the wyne kannes.
Hos.3.2	So I gat her for .xv. syluerlynges, and for an Homer Ꟶ an halfe of barlye,
Hos.3.3	Ꟶ sayde vnto her: Thou shalt byde with me a longe season, but se that thou playest not the harlot, Ꟶ loke thou medle wt none other man, Ꟶ then will I kepe my selfe for the.
Hos.3.4	Thus the chyldren of Israel shall syt a great while without kynge and prince, without offering and aulter, without preste Ꟶ reuelacyon.
Hos.3.5	But afterwarde shall the chyldren of Israel conuerte, and seke the Lorde theyr God, and Dauid theyr kynge: Ꟶ in the latter dayes they shall worshyppe the Lorde, Ꟶ hys louynge kyndnesse.
Hos.4.1	Heare the worde of the Lord, O ye chyldren of Israel. For the Lorde must punysh, them that dwell in the lande. And why? There is no trewthe, there is no mercie, there is no knowledge of God in the lande:
Hos.4.2	but swearyng, lyenge, manslaughter: theft Ꟶ aduoutry haue gotten the ouerhande, and one bloudgyltinesse foloweth another.
Hos.4.3	Therfore shall the land be in a miserable case, and all they that dwell therin, shall be roted out. The beastes in the felde, the foules in the ayre, Ꟶ the fyshes in the see shall dye.
Hos.4.4	Yet is there none, that wyll chasten nor reproue another. For thy people rebukethe the prestes, whych shulde refourme other men.
Hos.4.5	Therfore stomblest thou in the daye tyme Ꟶ the prophet wt the in the nyght. I wyll bring thy mother to sylence, and why?
Hos.4.6	my people perish, because they haue no knowledg. Seinge then that thou hast refused vnderstanding, therfore wyll I refuse the also: so that thou shalt nomore be my preste. And for so moche as thou hast forgotten the lawe of thy God, I wyll also forget thy chyldren.
Hos.4.7	The more they increased in the multitude, the more they synned agaynst me, therfore wyll I change theyr honoure into shame.
Hos.4.8	They eate vp the synnes of my people, and corage them in theyr wickednesse.
Hos.4.9	Thus the prest is become lyke the people. Wherfore I wyll punish them for their wicked wayes, and rewarde them accordynge to their awne ymaginacyons.
Hos.4.10	They shall eate, Ꟶ not haue ynough. They haue vsed whordome, therfore shall they not prospere: and why? they haue forsaken the Lorde and not regarded hym.
Hos.4.11	Whordome, wyne Ꟶ dronckenesse taketh the herte awaye.
Hos.4.12	My people aske councell at their stockes, their staffe must tell them. For an whoryshe mynde hath desceyued them so that they committe fornicacion agaynst theyr God.
Hos.4.13	They make sacrifyces vpon the hye mountaynes, Ꟶ burne their incense vpon the hilles, yee, among the okes, groues Ꟶ bushes, for there are good shadowes. Therfore, youre daughters are become harlottes, and youre spouses haue broken theyr wedlocke,
Hos.4.14	I wyll not punish youre daughters for beinge defyled, Ꟶ youre brydes that became whores: seynge the fathers them selues haue medled wt harlottes, Ꟶ offered wt vnthriftes: but the people that wyll not vnderstande must be punyshed.
Hos.4.15	Though thou Israel art disposed to playe the harlot, yet shuldest not thou haue offended, O Iuda: thou shuldest not haue runne to Gilgal ner haue gone vp to Bethauen, ner haue sworne, the Lord lyueth.
Hos.4.16	For Israel is gone backe lyke a wanton cowe. The Lorde therfore shall make her fede, as the lambe that goeth astraye.
Hos.4.17	And where as Ephraim is become partaker of Idols, wel, let him go.
Hos.4.18	Their dronckennes hath put them backe, Ꟶ brought them to whordome. Their rulers loue rewardes, bringe, (saye they) to their awne shame.
Hos.4.19	A wynde shall take holde of theyr fethers, and they shalbe confounded in theyr offrynges.
Hos.5.1	O ye prestes: heare this, take hede, O the housholde of Israel: gene care, O thou kyngly house, for it wer youre parte to se Iudgement done, but you are become a snare vnto Myzphah, and a spred net vnto the mount of Thabor.
Hos.5.2	They kyll sacrifyces by heapes, And turne farre from the Lord, Ꟶ I haue bene a rebuker of them all.
Hos.5.3	I know Ephraim well ynough, Ꟶ Israel is not hyd fro me: for Ephraim is become an harlot: Ꟶ Israel is defyled.
Hos.5.4	They are not mynded to turne vnto their God, for they haue an whorysh hert, so that they cannot knowe the Lord.
Hos.5.5	But the pryde of Israel will be rewarded him in hys face, yee, both Israell Ꟶ Ephraim shall fall for theyr wickednesse, and Iuda wt them also.
Hos.5.6	They shall come with their shepe and bullockes to seke the Lorde, but they shall not fynde him, for he is gone from them.
Hos.5.7	As for the Lorde, they haue refused him, and brought vp bastarde children: a moneth therfore shall deuoure them with their porcyons.
Hos.5.8	Blowe with the shawmes at Gibea, and wt the trompet in Ramah, crye out at Bethauen vpon the yonsyde of BenIamin.
Hos.5.9	In the tyme of the plage shall Ephraim he layed waste, therfore dyd I faythfully warne the trybes of Israel.
Hos.5.10	Yet are the princes of Iuda become lyke them that remoue the landemarckes, therfore wyll I poure out my wrath vpon them lyke water.
Hos.5.11	Ephraim is oppressed, Ꟶ can haue no right of the lawe: for why? they folowe the doctrynes of vngodly men.
Hos.5.12	Therfore will I be vnto Ephraim as a moth, and to the house of Iuda as a caterpyller.
Hos.5.13	When Ephraim sawe hys sycknesse, and Iuda hys dysease, Ephraim wente vnto Assur, and sent vnto kyng Iareb: yet coulde not he helpe you, ner ease you of your payne.
Hos.5.14	I am vnto Ephraim as a lyon, and as a lyons whelpe to the house of Iuda. Euen, I will spoyle them, Ꟶ go my waye. I wyll take them wyth me, and no man shall rescue them.
Hos.5.15	I will go, and returne to my place, tyll they knowledge that they haue synned and seke me.
Hos.6.1	In theyr aduersite they shall erlye seke me, Ꟶ saye: come, let vs turne agayne to the Lorde: for he hath smyten vs, and he shall heale vs:
Hos.6.2	He hath wounded vs, and he shall bynde vs vp agayne: after two dayes shall he quycken vs, in the thyrde daye he shall rayse vs vp, so that we shall lyue in hys syght.
Hos.6.3	Then shall we haue vnderstandynge, Ꟶ endeuoure oure selues to knowe the Lorde. He shall go forth as the spryng of the daye, Ꟶ come vnto vs as the euenynge and mornynge rayne vpon the earth.
Hos.6.4	O Ephraim, what shall I do vnto the? O Iuda, howe shall I intreate the? seyng your loue is lyke a mornyng cloude, Ꟶ lyke a dewe that goeth early awaye.
Hos.6.5	Therfore haue I cut downe the Prophetes, and let them be slayne for my wordes sake: so that thy punishment shall come to lyght.
Hos.6.6	For I haue pleasure in louyng kyndnesse and not in offringe: yee, in the knowledge of God, more then in burntsacrifyce.
Hos.6.7	But euen lyke as Adam dyd, so haue they broken my couenaunt, and set me at naught.
Hos.6.8	Gilead is a cite of wicked doers of malycyous people Ꟶ bloudshedders.
Hos.6.9	And as theues armed wayte for him that passeth by the waye: such is the councell of the prestes whych with one agreed counsell murther cruelye suche as kepe the waye: ye they dare do all vnspeakable myschefe.
Hos.6.10	Horryble thynges haue I sene in the house of Israel, there playeth Ephraim the harlot, Ꟶ Israel is defyled:
Hos.6.11	yee and thou Iuda hepest an haruest for thy selfe, when I returne the captyuitie of my people.
Hos.7.1	When I vndertake to make Israel whole, then the vngraciousnesse of Ephraim and the wyckednes of Samaria commeth to lyght: then go they aboute wt lyes: therfore the theafe robbeth within: Ꟶ wtout the spoyler destroyeth.
Hos.7.2	They considre not in their hertes that I remembre all their wickednes. Nowie ther awne inuentyons haue beset them whych, I se well ynough.
Hos.7.3	They make the kynge and the prynces, to haue pleasure in theyr wyckednes and lyes.
Hos.7.4	All these burne in aduoutry, as it were an ouen that the baker heateth, when he hath left kneadynge, tyll the dowe be leuended.
Hos.7.5	Euen so goeth it this daye with oure kynges and princes, for they begynne to be wodde droncken thorowe wyne: they vse familiarite with soch as disceaue them.
Hos.7.6	They with the ymaginacyon of their herte are lyke an ouen, their slepe is all the nyght lyke the slepe of a baker, in the mornynge is he as hote as the flame of fyre:
Hos.7.7	they are all together as hote as an ouen. They haue deuoured their awne iudges, all theyr kynges are fallen: yet is there none of them that calleth vpon me.
Hos.7.8	Therfore must Ephraim be myxte amonge the Heathen: Ephraim is become lyke a cake, the no man turneth,
Hos.7.9	straungers haue deuoured his strength, yet he regardeth it not: he waxeth full of gray heares, yet wyll he not knowe it
Hos.7.10	and the pryde of Israel is cast downe before theyr face, yet wyll they not turne to the Lord theyr God, ner seke hym for all thys.
Hos.7.11	Ephraim is lyke a doue, that is begyled, and hath no herte. Now call they vpon the Egypcyans, nowe go they to the Assyrians:
Hos.7.12	but whyle they be goynge here and there, I shall sprede my net ouer them, Ꟶ drawe them downe as the foules of the ayre: Ꟶ accordyng as they haue bene warned, so will I punishe them.
Hos.7.13	Wo be vnto them, for they haue forsaken me. They must be destroyed, for they haue set me at naught, I am he that haue redemed them, and yet they dissemble wyth me.
Hos.7.14	They call not vpon me with theyr hertes, but lye houlynge vpon theyr beddes. Where as they come together, it is but for meate Ꟶ dryncke, and me will they not obeye.
Hos.7.15	I haue taught them, and defended theyr arme, yet do they ymagin myschefe against me.
Hos.7.16	They turne them selues, but not to the most hyest, Ꟶ are become as a broken bowe. Their princes shalbe slayne with the swearde, for the malyce of theyr tunges, soche scornnes shall they haue in the lande of Egypt.
Hos.8.1	Set the horne to thy mouth, and blowe: swyftly (as an Aegle) shall the enemye come against the house of the Lorde: for they haue broken my couenaunt, Ꟶ transgressed my lawe.
Hos.8.2	Israel shulde haue sayde vnto me: thou art my God, we knowe the:
Hos.8.3	but he hath refused the thyng that is good, therfore shall the enemy folowe vpon hym.
Hos.8.4	They haue ordened kynges, but not thorow me: they haue made princes, Ꟶ I must not knowe of it. Of their syluer Ꟶ golde haue they made them Images, to brynge them selues to destruccyon.
Hos.8.5	Thy calf, O Samaria, shalbe taken awaye, for my wrothfull indignacyon is gone forth agaynst the. Howe longe will it be, or they can be clensed.
Hos.8.6	For the calfe came from Israel, the worke man made it, therfore can it be no God, but euen in peaces shall the calfe of Samaria be broken.
Hos.8.7	They haue sowne wynde, therfore shall they reape a storme. Their sede shall beare no corne, there shall no meale be made of theyr increase: though they reape, yet shall straungers deuoure it vp.
Hos.8.8	Israel shall perish, the Gentiles shall intreate him as a foule vessell.
Hos.8.9	Sence they went vp to the Assyrians, they are become lyke a wylde asse in the deserte. Ephraim geueth rewardes to get louer
Hos.8.10	and though they hyre them amonge the hethen yet nowe wyll I gather them vp. They shall begynne to be weeryed wyth the burthen of kynges and prynces.
Hos.8.11	Ephraim hath made many aulters to do wyckednes, hys aulters (I saye) he had to his sinne.
Hos.8.12	Though I shewe them my lawe neuer so moch, they counte it but straunge doctryne.
Hos.8.13	Where as they do sacrifyce, offerynge the flesshe and eatinge it: the Lorde wyll haue no pleasure therin: but wyll remembre theyr wickednes, Ꟶ punishe their synnes. Israel turneth agayne into Egipt,
Hos.8.14	they haue forgotten him that made them, they buylde fayre palaces, and Iuda maketh many stronge cyties: therfore will I sende a fyre into theyr cyties, and it shall consume their places.
Hos.9.1	Do not thou triumphe, O Israel, make no boastynge ouer ioyouse thynges as do the Heathen, for thou hast commytted aduoutry agaynst thy God: whoryshe rewardes hast thou loued, more then all the cornestores.
Hos.9.2	Therfore shall they nomore enioye the cornestores and wyne presses, and theyr swete wyne shall fayle them.
Hos.9.3	They will not dwell in the Lordes lande but Ephraim turneth agayne into Egypte, and eateth vncleane thynges amonge the Assyrians:
Hos.9.4	They poure out no wyne for a drinckoffring vnto the Lorde, nether geue they hym their slayne offrynges: but they be vnto them as mourners meates, wherin all they that eate them, are defyled. For the bread that they haue soch lust vnto, shall not come into the house of the Lorde.
Hos.9.5	What wyll ye do then in the solempne dayes, and in the feast of the Lorde?
Hos.9.6	Lo, they shall get them awaye for the destruccyon: Egypt shall receaue them, and Noph shall bury them. The nettles shall ouergrowe theyr pleasaunt goodes, and burres shalbe in their tabernacles.
Hos.9.7	Be ye sure (O Israel) the tyme of visitacyon is come, the dayes of recompensynge are at hande. And then shall Israell knowe that they were deceyued by a prophete folyshe mad, and in a fransey: for the multitude of thyne iniquitye God shall multiplye enemyes agaynst the.
Hos.9.8	Ephraim hath made him self a watchman of my God, a prophete that is become a snare to do hurte in euery strete, and abhominacyon in the house of his God.
Hos.9.9	They be gone to farre, Ꟶ haue destroyed them selues, lyke as they dyd afore tyme at Gabaa therfore theyr wyckednes shalbe remembred, and their synnes punyshed.
Hos.9.10	I founde Israell lyke grapes in the wyldernes, and sawe their fathers as the fyrst fygges in the toppe of the fygge tre. But they are gone to Baal Peor, Ꟶ runne a waye fro me to that shamefull Idoll Ꟶ are become as abhominable as their louers.
Hos.9.11	Ephraim flyeth lyke a byrde, so shall their glory also: In so moch, that they shall nether begette, conceaue ner beare chyldren.
Hos.9.12	And though they brynge vp eny, yet will I make them chyldeles amonge men. Yee, wo shall come to them, when I depart from them.
Hos.9.13	Ephraim (as me thyncke) is planted in welthynes, lyke as Tyrus, but nowe must she brynge her awne chyldren forth to the manslayer.
Hos.9.14	O Lorde thou shalt geue them: what shalt thou geue them? geue them an vnfrutefull wombe Ꟶ drye brestes.
Hos.9.15	All their wyckednes is done at Gilgall, there do I abhorre them. For the vngracyousnes of their awne inuencyons, I will dryue them out of my house. I will loue them nomore, for all their prynces are vnfaythfull.
Hos.9.16	Ephraim is hewen downe, their rote is dryed vp, so that they shall brynge no more frute, yee, and though they brynge forth eny, yet will I slaye euen the best beloued frute of their body.
Hos.9.17	My God shall cast them awaye, for they haue not bene obedient vnto him, therfore shall they go astraye amonge the Heathen.
Hos.10.1	Israel was a goodly vyne, but he hath brought forth vnprofytable frute: yee, the more frute he had, the mo aulters he made: the more good I dyd to their lande, the more frendshype shewed they to their ymages.
Hos.10.2	Theyr herte is deuyded, therfore wyll they be destroyed. The Lord shall breake downe their ymages, he shall destroye theyr aulters.
Hos.10.3	Then shall they saye: we haue no kynge, for why? we haue not feared the Lord. And what shall then the kynge do to vs?
Hos.10.4	They comen together, and sweare vayne othes: they be confederat together, therfore groweth their punishment, as the wedes in the sorowes of the lande.
Hos.10.5	They that dwell in Samaria haue worshypped the calfe of Bethauen: therfore shall the people mourne ouer them, yee, Ꟶ the prestes also, that in theyr welthynesse reioysed wyth them: and why? it shall passe awaye from them.
Hos.10.6	It shall be brought to the Assirian, for a present vnto kynge Iareb. Ephraim shall receaue full punyshment. Israell shalbe confounded for hys awne ymaginacyons,
Hos.10.7	Samaria wt his kynge shall vanyshe awaye as the scomme in the water.
Hos.10.8	The hye places of Auen where Israell do synne, shall be cast downe: thystles and thornes shall growe vpon theyr aulters. Then shall they saye to the mountaynes: couer vs, and to the hylles: fall vpon vs.
Hos.10.9	O Israell, thou hast synned as Gabaa dyd afore tyme, where they remayned: shuld not the batayll then come vpon the wycked chyldren, as well as vpon the Gabaonites?
Hos.10.10	I wyll chasten them, euen after myne awne desyre, the people shalbe gathered together ouer them, when I punyshe them for their great wyckednesse.
Hos.10.11	Ephraim was vnto me, as a cowe that is vsed to go to plowe, therfore I loued hym, and fell vpon his fayre necke. I droue Ephraim, Iuda plowed, and Iacob played the husbande man:
Hos.10.12	Sowe vnto ryghteousnes, and reape the frutes of weldoinge: plowe vp your freshe lande, for it is tyme to seake the Lorde tyll he come and rayne rightuousnesse vpon you.
Hos.10.13	But you haue plowed vngodlynes: ye haue reped iniquytie, you haue eaten the frute of lyes. Seynge thou puttest thy confydence in thyne awne wayes, and leauest to the multitude of thy worthyes:
Hos.10.14	there shall growe a sedicyon amonge thy people. All thy stronge cyties shalbe layed waste, euen as Salmana was destroyed with his famyliers, thorowe him that was auenged of Arbell, in the daye of batayll, where the mother peryshed with her chyldren.
Hos.10.15	Euen so shall it go with you (O Bethell) because of youre malicyous wickednesse. Lyke as the mornynge goeth awaye, so shall the kynge of Israel passe.
Hos.11.1	When Israell was younge, I loued him: Ꟶ called my sonne oute of the lande of Egypt.
Hos.11.2	But the more they were called, the more they went backe, offringe vnto Idols of Baal, Ꟶ censynge Images.
Hos.11.3	I lerned Ephraim to go, Ꟶ bare them in myne armes, but they regarded not me, that wolde haue helped them.
Hos.11.4	I led them with coardes of frendshyppe, and with bandes of loue. I was euen he, that layed the yocke vpon their neckes. I gaue their foder my self
Hos.11.5	that they shulde not go agayne into Egypt. And nowe is Assur theyr kynge. For they wolde not turne vnto me.
Hos.11.6	Therfore shall the swearde begynne in their cyties, the stoare that they haue layed vp, shalbe destroyed and eaten: and that because of their awne ymaginacyons.
Hos.11.7	And my people shall stonde in a doubte whether to torne them, for when the prophetes called them to the most hiest, not one yet wolde gyue him his glory.
Hos.11.8	What greate thynges haue I geuen the, O Ephraim? howe faythfully haue I defended the, O Israel? haue I dealt with the as with Adama? or haue I intreated the lyke Seboim? No, my hert is other wise mynded. Yee, my mercy is to feruent:
Hos.11.9	therfore haue I not turned me to destroye Ephraim in my wrothfull displeasure. For I am God and no man, I am euen that holy one in the middest of the, though I came not within the cytie.
Hos.11.10	The Lorde roareth lyke a lyon, that they maye folowe hym: yee, as a lyon roareth he, that they maye be afrayed lyke the chyldren of the see:
Hos.11.11	that they maye be scatred awaye from Egypt, as men scarre byrdes: Ꟶ frayed awaye (as doues vse to be) from the Assyrians lande: and that because I wolde haue them tary at home, sayeth the Lorde.
Hos.11.12	But Ephraim goeth aboute me with lyes, and the house of Israell dissembleth. Only Iuda holdeth hym with God, and with the true holy thynges.
Hos.12.1	Ephraim is fed with ayre, and foloweth after the east winde: he is euer increasynge lyes and destruccyon. They be confederate with the Assyrians, their oyle is caryed into Egypt.
Hos.12.2	The Lorde hath a courte to holde wt Iuda, and wyll punyshe Iacob. After their awne wayes and accordynge to theyr awne inuencyons, shall he recompense them.
Hos.12.3	He toke his brother by the hele, when he was yet in his mothers wombe: and in hys strength he wrestled with God.
Hos.12.4	He strowe with the angell, and gatt the victorye: so that he prayde Ꟶ desyred hym. He founde him at Bethell, and there he talketh with vs.
Hos.12.5	Yee, the Lorde God of Hoostes, euen the Lorde him selfe remembred him.
Hos.12.6	Then turne to thy God, kepe mercy and equite, Ꟶ hope styll in thy God.
Hos.12.7	But thou art lyke the marchaunt that hath a false weyght in his hande, he hath a pleasure to occupie extorcyon.
Hos.12.8	Ephraim thinketh thus: Tush, I am rich. I haue good ynough: In all my worckes shall not one fawte be founde that I haue offended.
Hos.12.9	Yet am I the Lord thy God, euen as when I brought the out of the lande of Egypte, and sett the in thy tentes, and as in the hye feaste dayes.
Hos.12.10	I haue spoken thorowe the prophetes, Ꟶ shewed diuerse visyons and declared my selfe by the ministracion of the prophetes.
Hos.12.11	But at Gilaad is the abhominacyon, they are fallen to vanyte. At Gilgal they haue slayne oxen: as many heapes of stones as they had in theyr lande forowes, so many aulters haue they made.
Hos.12.12	Iacob fled in to the lande of Siria, Ꟶ Israell serued for a wife, Ꟶ for a wife he kepte shepe.
Hos.12.13	By a prophete the Lorde brought them out of Egypt, and by a prophet he preserued them.
Hos.12.14	But Ephraim hath puoked him to displeasure thorowe his abhominacyons, therfore shall his bloude be poured vpon him selfe, and the Lorde hys God shall rewarde hym hys blasphemyes.
Hos.13.1	When Ephraim spake, the hethen trembled: and he was exalted amonge the Israelytes, but he is gone backe to Baal, therfore must he dye.
Hos.13.2	And nowe they synne more and more: of their syluer, they make them molten ymages, after the ymaginacyons of ther awne braynes that is, very ydols, and yet all is nothinge but the worke of the craftesman: Not witstandynge they preache of the same to such as there sacrificeth: who so will kysse the calues, offreth perfectlye.
Hos.13.3	Therfore, they shalbe as the morninge cloude, and as the dewe that early passeth awaye and lyke as dust that the whorle wynde taketh awaye, from the flore, and as smoke that goeth out of the chymney.
Hos.13.4	I am the Lorde God, which brought the out of the lande of Egypt: that thou shuldest knowe no God but me onely, and that thou shuldest haue no Sauioure but only me.
Hos.13.5	I toke diligent hede of the in the wyldernesse the drye lande.
Hos.13.6	But when they were well fedde and had ynough, they waxed proude, Ꟶ forgat me
Hos.13.7	therfore will I be vnto them as a lyon and as a leoparde in the waye to the Assyrians.
Hos.13.8	I will come vpon them as she beare, that is robbed of her whelpes, Ꟶ I will breake that stubburne herte of theirs. There will I deuoure them as a lyon: yee: that wylde beastes shall teare them.
Hos.13.9	O Israel, thine iniquite hath destroyed the but in me only is thy helpe.
Hos.13.10	Where are thy kynges nowe, that shulde helpe the in all thy cyties? Yee, and thy iudges, of whom thou saydest: geue me a kyng and princes?
Hos.13.11	well, I gaue the a kynge in my wrath, and in my displeasure will I take hym from the agayne.
Hos.13.12	The wyckednesse of Ephraim is bounde together, and hys synne lyeth hyd.
Hos.13.13	Therfore, shall sorowes come vpon hym, as vpon a woman that trauayleth. An vndiscrete sonne is he, for he consydreth not, that he shulde not haue bene able to haue endured in the tyme of hys byrth,
Hos.13.14	had not I defended hym from the graue, and delyuered hym from death. O death, I will be thy death: O hell, I wyll be thy kynge.
Hos.13.15	Yet can I se no comforte, for when he is nowe the goodlyest amonge the brethren, the east wynde (euen the wynde of the Lorde) shall come downe from the wildernes, and drye vp his conduytes, Ꟶ dryncke vp his welles: he shall spoyle the treasure of all pleasaunt vessels.
Hos.13.16	As for Samaria, they shalbe made waste, and why? they are dysobedient vnto theyr God. They shall peryshe with the swearde, theyr chyldren shalbe slayne, and their wemen great with chylde shalbe rypte vp:
Hos.14.1	O Israell, turne the nowe, vnto the Lorde thy God, for thou hast taken a greate fall thorowe thy wickednes.
Hos.14.2	Take these wordes with you, when ye turne to the Lorde, and saye vnto hym: O, forgeue vs all oure synnes, receaue vs graciously, Ꟶ then wyll we offre the bullockes of oure lyppes vnto the:
Hos.14.3	Assur shalbe nomore oure helper, nether will we ryde vpon horses eny more. As for the worckes of oure handes, we wyll nomore call vpon them: For it is thou that art oure God, thou shewest euer mercye vnto the fatherlesse.
Hos.14.4	O (yf they wolde do this) I shulde heale theyr sores: yee, with all my herte wolde I loue them: so that my wrath shulde cleane be turned awaye from them.
Hos.14.5	Yee, I wolde be vnto Israel as the dewe, and he shulde growe as the lylie, and hys rote shulde breake out as Libanus.
Hos.14.6	His braunches shulde sprede out abroade and be as fayre as the olyue tre and smell as Libanus.
Hos.14.7	They that dwell vnder hys shadowe, shulde come agayne, and growe vp as the corne, Ꟶ floryshe as the vyne he shulde haue as good a name, as the wyne of Libanus.
Hos.14.8	O Ephraim, what haue I to do wyth Idols eny more? I wyll graciously heare hym, and sede hym forth. I wyll be vnto the as a grene fyrre tre, vpon me shalt thou fynde thy frute.
Hos.14.9	Who so is wise, shall vnderstand thys: and he that is ryght enstructe, wyll regarde it. For the wayes of the Lorde are ryghteous, soch as be Godly wyll walke in them. As for the wycked, they wyll stomble therin.
Hos.0.0	¶ The ende of the prophecye of Oseas.
