Luke.0.0	¶ The Gospell of S. Luke.
Luke.2.44	but they supposyng him to haue bene in the company, came a dayes iorney Ꟶ sought him amonge their kynsfolke Ꟶ acquayntaunce.
Luke.2.45	And when they founde him not, they went backe agayne to Hierusalem, and sought him.
Luke.2.46	And it fortuned that after .iij. dayes, they founde him in the temple, syttynge in the middes of the doctours, hearyng them, Ꟶ posynge them
Luke.2.47	And all that hearde him, were astonnyed at his vnderstonding Ꟶ answers.
Luke.2.48	And when they sawe him, they marueyled. And his mother sayde vnto him: sonne, why hast thou thus dealt with vs? Beholde, thy father Ꟶ I haue sought the, sorowenge.
Luke.2.49	And he sayde vnto them: how is it that ye sought me? Wist ye not, that I must goo aboute my fathers busynes?
Luke.2.50	And they vnderstode not that sayinge which he spake vnto them.
Luke.2.51	And he went downe wt them, Ꟶ came to Nazareth, Ꟶ was obedient vnto them. But his mother kept all these sayenges together in her hert.
Luke.2.52	And Iesus prospered in wysdome Ꟶ age, and in fauoure, with God Ꟶ men.
Luke.3.1	In the fyfteneth yere of the raygne of Tyberius the Emperoure, Pontius Pylate beynge leftenaunt of Iewrie, and Herode beinge Tetrach of Galile, and his brother Philip Tetrach of Iturea Ꟶ of the region of the Traconites, Ꟶ Lysaniath the Tetrach of Abyline
Luke.3.2	(when Anna and Cayphas were the hye prestes) the worde of the Lorde came vnto Iohn the sonne of zacharias in the wyldernes.
Luke.3.3	And he came in to all the coastes aboute Iordan, preaching the baptyme of repentaunce for the remission of synnes,
Luke.3.4	as it is wrytten in the boke of the wordes of Esayas the prophet, sayenge: The voyce of a cryar in wyldernes: prepare ye the waye of the Lord, make his pathes strayght.
Luke.3.5	Euery valley shalbe fylled, Ꟶ euery mountayne Ꟶ hyll shalbe brought lowe. And thinges that be croked, shalbe made streyght: Ꟶ the rough wayes shalbe made playne:
Luke.3.6	Ꟶ all flesshe shall se the Saluacion of God.
Luke.3.7	Then sayde he to the people, that were come forth to be baptysed of him. O ye generacion of vypers, who hath taught you to flye from the wrath to come?
Luke.3.8	Brynge forth therfore due frutes of repentaunce, Ꟶ begyn not to saye wyth in youre selues: we haue Abraham to oure father. For I saye vnto you. God is able of these stones to reyse vp chyldren vnto Abraham.
Luke.3.9	Now also is the axe leyde vnto the rote of the trees: euery tree therfore which bryngeth not forth good frute, is hewen doune, Ꟶ cast into the fyre.
Luke.3.10	And the people asked him, sayinge: what shall we do then?
Luke.3.11	He answereth and sayeth, vnto them: He that hath two coates? lett him parte wyth hym that hath none, Ꟶ he that hath meate, let him do lyke wyse.
Luke.3.12	Then cam the publicans also to be baptised, Ꟶ sayde vnto him: Master, what shal we do?
Luke.3.13	And he sayde vnto them: requyre no more, then that which is appoynted vnto you.
Luke.3.14	The soudyoures lykewyse demaunded of him, sayinge: and what shall we do? And he sayde vnto them: hurt no man: nether trouble eny man wrongfully: and be content with youre wages.
Luke.3.15	As the people were in a doute, and all men musyd in their hertes of Iohn, whether he were very Christ,
Luke.3.16	Iohn answered Ꟶ sayde vn them all: I baptise you wyth water, but one stronger then I shall come after me, whose shoo latchet I am not worthy to vnlowse: he shall baptyse you with the holy goost, Ꟶ wt fyre:
Luke.3.17	which hath hys fanne in hys hande, Ꟶ wyll pourge his floore, and gather the corne into his barne: but the chaffe wyll he burne with fyre that neuer shalbe quenched.
Luke.3.18	And many other thinges in his exhortacion preached he vnto the people.
Luke.3.19	Then Herode the Tetrach when he was rebuked of hym for Herodias his brother Philippes wyfe, Ꟶ for all the euyls which Herode dyd:
Luke.3.20	added this aboue all, and layed Iohn in preson.
Luke.3.21	And it fortuned that whan all the people receaued baptime (Ꟶ when Iesus was baptised and dyd praye) the heauen was opened,
Luke.3.22	and the holy goost cam downe in a bodely shape lyke a doue vpon him, and a voyce came from heauen, which sayde: Thou arte my beloued sonne, in the do I delyte.
Luke.3.23	And Iesus him selfe beganne to be aboute thirty yere of age, so that he was supposed to be the sonne of Ioseph: whych was the sonne of Hely:
Luke.3.24	whych was the sonne of Mathat whych was the sonne of Leui: whych was the sonne of Melchi: whych was the sonne of Ianna: whych was the sonne of Ioseph:
Luke.3.25	whych was the sonne of Matatthias: which was the sonne of Amos: which was the sonne of Naum: whych was the sonne of Hesty: which was the sonne of Nagge.
Luke.3.26	which was the sonne of Maath: which was the sonne of Matathias: which was the sonne of Semei: which was the sonne of Ioseph: which was the sonne of Iuda:
Luke.3.27	which was the sonne of Ioanna: whych was the sonne of Rhesa: whych was the sonne of zorobabel: whych was the sonne of Salathiel: which was the sonne of Neri:
Luke.3.28	which was the sonne of Melchi: whych was the sonne of Addi: whych was the sonne of Coosam: which was the sonne of Helmadan: whych was the sonne of Her:
Luke.3.29	which was the sonne of Ieso: which was the sonne of Heliezer: which was the sonne of Iozam: which was the sonne of Mattha: which was the sonne of Leui:
Luke.3.30	which was the sonne of Simeon: which was the sonne of Iuda: which was the sonne of Ioseph: which was the sonne of Ionam: which was the sonne of Heliachim:
Luke.3.31	which was the sonne of Melcha: which was the sonne of Menan: which was the sonne of Mathatha: which was the sonne of Nathan: which was the sonne of Dauid:
Luke.3.32	which was the sonne of Iesse: which was the sonne of Obed: which was the sonne of Boos: which was the sonne of Salmon: which was the sonne of Naassan:
Luke.3.33	which was the sonne of Aminadab: which was the sonne of Aran: which was the sonne of Esron: which was the sonne of Phares: which was the sonne of Iuda:
Luke.3.34	which was the sonne of Iacob: which was the sonne of Isaac: which was the sonne of Abraham: which was the sonne of Tharra: which was the sonne of Nachor:
Luke.3.35	which was the sonne of Saruch: which was the sonne of Ragau: which was the sonne of Phalec: which was the sonne of Heber: which was the sonne of Sala:
Luke.3.36	which was the sonne of Cainam: which was the sonne of Arphaxat: which was the sonne of Sem: which was the sonne of Noe: which was the sonne of Lameth:
Luke.3.37	which was the sonne of Mathusala: which was the sonne of Enoch: which was the sonne of Iareth: which was the sonne of Malaleel: which was the sonne of Cainam:
Luke.3.38	which was the sonne of Enos. which was the sonne of Seth: which was the sonne of Adam: which was the sonne of God.
Luke.4.1	Iesus beynge full of the holy goost, returned from Iordan and was led by the sprete into wildernes,
Luke.4.2	and was .xl. dayes tempted of the deuyll. And in those dayes dyd he eate nothynge. And when they were ended, he afterwarde hongred.
Luke.4.3	And the deuyll sayde vnto him: yf thou be the sonne of God commaunde this stone that it be breed.
Luke.4.4	And Iesus answered hym, saying: It is written man shall not lyue by breed only, but by euery worde of God.
Luke.4.5	And the deuyll toke him into an hye mountayne, and shewed him all the kyngdoms of the worlde, euen in the twincklyng of an eye.
Luke.4.6	And the deuyll sayde vnto him: all this power will I geue the euery whit, Ꟶ the glory of them: for they are delyuered vnto me, and to whomsoeuer I wyll, I geue it.
Luke.4.7	If thou therfore wyll falt downe before me Ꟶ worshyp me, they shalbe all thyne.
Luke.4.8	Iesus answered and sayde vnto him: hence from me Satan. For it is wrytten Thou shalt worshyp the Lorde thy God, and him onely shalt thou serue.
Luke.4.9	And he caryed him to Ierusalem, and set him on a pynacle of the temple, and sayd vnto him: Yf thou be the sonne of God, cast thy selfe downe from hens.
Luke.4.10	For it is wrytten: he shall geue his Angels charge ouer the, to kepe the,
Luke.4.11	and in their handes they shall beare the vp, that thou dasshe not thy fote agaynst a stone.
Luke.4.12	And Iesus answered, and sayde vnto hym, it is sayd: thou shalt not tempte the Lorde thy God.
Luke.4.13	And as sone as all the tentacion was ended, the deuell departed from him for a season.
Luke.4.14	And Iesus returned by the power of the sprete, into Galile, and there went a fame of him thorow out all the region.
Luke.4.15	And he taught in theyr synagoges and was commended of all men.
Luke.4.16	And he came to Nazareth where he was noursed and (as hys custome was) he went into the synagoge on the Saboth daye, and stode vp for to reade.
Luke.4.17	And there was delyuered vnto hym the boke of the prophete Esayas. And when he had opened the boke, he founde the place, where it was wryten.
Luke.4.18	The sprete of the Lord vpon me, because he hath annoynted me: to preache the Gospell to the pore he hath sent me: to heale the broken harted, to preach delyueraunce to the captyue, Ꟶ syght to the blynde: frely to set at liberte them that are brosed,
Luke.4.19	and to preach the acceptable yeare of the Lorde.
Luke.4.20	And he closed the boke, and gaue it agayne to the minyster, and sate downe. And the eyes of all them that were in the synagoge, were fastened on him.
Luke.4.21	And he began to saye vnto them: Thys daye is thys scripture fulfylled in your eares.
Luke.4.22	And all bare hym wytnes and wondred at the gracious wordes, which proceaded out of of hys mouth, and they sayde: Is not thys Iosephs sonne?
Luke.4.23	And he sayd vnto them: Ye wyll vtterly saye vnto me this prouerbe: Phisicion, heale thy selfe. Whatsoeuer we haue heard done in Capernaum, do the same here lykewise in thyne awne countre.
Luke.4.24	And he sayde: Uerely I saye vnto you: No prophete is accepted in hys awne countre.
Luke.4.25	But I tell you of a treuth: many weddowes were in Israel in the daies of Helias when heauen was shut thre yeares and syxe monethes, when greate famyshment was throughout all the lande,
Luke.4.26	and vnto no one of them was Helias sent, saue into Sarepta besydes Sidon, vnto a woman that was a wedowe.
Luke.4.27	And many lepers were in Israell in the tyme of Helyseus the prophete: Ꟶ none of them was clensed, sauyng Naaman the Syrian.
Luke.4.28	And all they in the synagoge (when they herde these thinges) were filled with wrath:
Luke.4.29	and rose vp, and thrust him out of the cyte, Ꟶ ledd him euen vnto the edge of the hyll (where on theyr cytie was bylte) the they myght cast him downe headlyng.
Luke.4.30	But he departed, and went hys waye euen thorow the myddes of them.
Luke.4.31	And came downe to Capernaum, (a cytie of Galile) and there taught them on the saboth dayes.
Luke.4.32	And they were astonyed at his doctryne: for his preaching was with power.
Luke.4.33	And in the synagoge there was a man which had an vncleane sprete of a deuyll, and cryed with a loude voyce,
Luke.4.34	sayenge: let me alone, what hast thou to do with vs, thou Iesus of Nazareth? Art thou come to destroye vs? I knowe the what thou art, euen the holy of God.
Luke.4.35	And Iesus rebuked him, sayinge: holde thy peace, and come out of hym. And whan the deuyll had throwen hym in the myddes, he came out of him, and hurt him not.
Luke.4.36	And feare cam on them all, and they spake among them selues, sayinge: what maner a thing is thys? For with auctorite Ꟶ power he commaundeth the foules spretes, and they come oute?
Luke.4.37	And the fame of hym was spred abrode thorowe out euery place of the countre rounde aboute.
Luke.4.38	And whan he was rysen vp Ꟶ come out of the synagoge, he entred into Simons house. And Simons mother in lawe was taken with a great feuer, and they made intercession to hym for her.
Luke.4.39	And he stode ouer her, and rebuked the feuer, and the feuer left her. And immedyatly she arose, and mynistred vnto them.
Luke.4.40	When the sonne was downe, all they that had syck, taken with diuers diseases, brought them vnto hym: and he layde hys handes on euery one of them, and healed them.
Luke.4.41	And deuyls also came out of many, crying Ꟶ saieng: thou art Christ the sonne of God. And he rebuked them, and suffered them not to speake: for they knewe that he was Christ.
Luke.4.42	As sone as it was daye, he departed, and went into a desert place, Ꟶ the people sought him, and came to hym, and kept hym that he shulde not departe from them.
Luke.4.43	And he sayde vnto them: I must preach the kyngdome of God to other cyties also: for therfore am I sent.
Luke.4.44	And he preached in the synagoges of Galile
Luke.5.1	It came to passe that (whan the people preassed vpon him, to heare the word of God) he stode by the lake of Genezareth:
Luke.5.2	and sawe two shyppes stande by the lake syde, but the fishermen were gone oute of them, and were wasshyng their nettes
Luke.5.3	And he entred into one of the shyppes, (which perteyned to Simon) and prayed him that he wold thrust oute a lytell from the lande. And he sate downe, and taught the people out of the shyp.
Luke.5.4	When he had lefte speakynge, he sayde vnto Simon: Launche out into the depe, and let slyppe youre nettes to make a draught.
Luke.5.5	And Simon answered, and sayd vnto hym: Master, we haue laboured all night, and haue taken nothynge. Neuerthesse, at thy commaundement I wyll lose forth the net.
Luke.5.6	And when they had this done, they in closed a greate multitude of fysshes. But theyr net brake,
Luke.5.7	Ꟶ they beckened to theyr felowes (which were in the other shyp) that they shulde come, and helpe them. And they came: and fylled both the shyppes, that they soncke agayne.
Luke.5.8	When Simon Peter sawe thys, he fell downe at Iesus knees, saying: Lord, go from me, for I am a sinful man.
Luke.5.9	For he was astonnyed Ꟶ all that were with hym, at the draught of fysshes which they had taken:
Luke.5.10	and so was also Iames and Iohn the sonnes of zebede, which were parteners with Symon. And Iesus sayde vnto Symon: feare not, from hence forth thou shalt catche men.
Luke.5.11	And they brought the shyppes to lande, and forsoke all, and folowed hym.
Luke.5.12	And it fortuned that whan he was in a certen cytie: behold, ther was a man ful of leprosy, Ꟶ when he had spyed Iesus, he fell flat on hys face, and besought him, saieng: Lord, yf thou wylt, thou canst make me clene.
Luke.5.13	And he stretched forth his hand, and touched him saying: I will, be thou clene. And immediatly the leprosy departed from hym.
Luke.5.14	And he charged him, that he shuld tell no man: but go (saith he) and shewe thy selfe to the preste, Ꟶ offer for thy clensyng accordyng, as Moses commaunded, for a wytnes vnto them.
Luke.5.15	But so moch the more went there a fame abrode of hym, and moch people came together to heare, Ꟶ to be healed of hym from theyr infirmityes.
Luke.5.16	And he kepte hym oute of the waye in the wildernesses, and gaue him selfe to prayer.
Luke.5.17	And it happened on a certen daye: that he taught: and ther sate the Pharises and doctours of lawe, which were come out of all the townes of Galile and Iewrye, and Ierusalem. And the power of the Lord was present, to heale them.
Luke.5.18	And behold, men brought in a bed, a man which was taken with a palsie: and they sought meanes to bring him in, and to laye him before hym.
Luke.5.19	And when they coulde not fynde on what syde they myghte bring hym in (because of the prease) they went vp on the toppe of the house Ꟶ let him downe thorowe the tylyng, beed and all, euen in the myddes before Iesus.
Luke.5.20	When he sawe theyr fayth he sayd vnto him: man, thy synnes be forgeuen the,
Luke.5.21	And the scribes and the pharises began to thincke, saying: What felowe is this, which speaketh blasphemye? who can forgeue synnes but God only?
Luke.5.22	But when Iesus perceaued their thoughtes, he answered, and said vnto them: What thyncke ye in your hertes?
Luke.5.23	Whether is easier to saye thy synnes be forgeuen the, or to saye: ryse vp, and walke.
Luke.5.24	But that ye maye knowe that the sonne of man hath power to forgeue synne on earth, he sayd vnto the sycke of the palsye: I saye vnto the: aryse, take vp thy bed, and go vnto thy house.
Luke.5.25	And immediatly he rose vp before them, and toke vp hys bedd, (wher on he laye) and departed to hys awne house, praysing God.
Luke.5.26	And they were all amased, and they gaue the glory vnto God. And were fylled with feare, saying: We haue sene straunge thynges to daye.
Luke.5.27	And after this, he went forth, and sawe a publican named Leuy, syttynge at the receyte of custome, Ꟶ he sayd vnto him: folowe me.
Luke.5.28	And he left all, and rose vp, and folowed him:
Luke.5.29	And Leuy made hym a greate feaste in his awne house. And ther was a great companye of publicans and of other that sate at meate, with them.
Luke.5.30	And the scribes and pharises murmured against his disciples, saying: Why do ye eate and drincke with publicans and sinners?
Luke.5.31	And Iesus answered, and sayd vnto them: They that are whole, nede not the phisicion: but they that are sycke.
Luke.5.32	I came not to call the ryghtewes, but synners to repentaunce.
Luke.5.33	And they sayde vnto hym: Why do the disciples of Iohn fast often, and praye, Ꟶ the disciples of the pharises also: but thyne eate and dryncke?
Luke.5.34	He sayde vnto them: Can ye make the chyldren of the wedding fast, whyle the brydgrome is with them?
Luke.5.35	The dayes wyll come, when the brydgrome also shalbe taken awaye from them: then shall they fast in those dayes.
Luke.5.36	He spake also vnto them a similitude. No man putteth a pece of a newe garment, into an old vesture, for yf he do, then breaketh he the newe, and the pece that was taken out of the newe, agreeth not with the olde.
Luke.5.37	And no man powreth newe wyne into olde bottels. For yf he do, the newe wyne wyll burst the bottels, and runne out it self, and the bottels shall perysh.
Luke.5.38	But newe wyne must be put into newe bottels, and both are preserued.
Luke.5.39	No man also that dryncketh old wyne, straight waye can awaye with newe: for he sayeth the olde is better.
