1Pet.0.0	¶ The fyrst Epistle of saynct Peter the Apostle.
1Pet.3.12	For the eyes of the Lord are ouer the ryghteous, and hys eares are open vnto their prayers. Agayne: the face of the Lorde is ouer them that do euyll.
1Pet.3.13	Morouer, who is it that wyll harme you, yf ye folowe that whych is good?
1Pet.3.14	Yee, happy are ye, yf anye trouble happen vnto you for rightewesnesse sake. Be not ye afrayed for anye terroure of them, nether be ye troubled
1Pet.3.15	but sanctifye the Lorde God in youre hertes Be ready allwayes to geue an answere to euery man that asketh you a reason of the hope that is in you, and that with meaknes and feare:
1Pet.3.16	hauynge a good conscience that where as they backbyte you as euyll doars, they maye be ashamed, that falsely accuse your good conuersacion in Chryst.
1Pet.3.17	For it is better (yf the wyll of God be so) that ye suffre for well doynge, then for euyll doinge.
1Pet.3.18	For as moch as Christ hath once suffered for synnes, the iust for the vniust, to bring vs to God, and was kylled, as pertayninge to the flesshe: but was quyckened in the sprete.
1Pet.3.19	In whych sprete he also went Ꟶ preached vnto the spretes that were in preson,
1Pet.3.20	which some tyme had bene disobedyent, when the longe sufferynge of God was once loked for in the dayes of Noe whyll the arcke was a preparyng: wherin feaw, that is to saye .viij. soules, were saued by the water,
1Pet.3.21	like as baptyme also now saueth vs, not the puttynge awaye of the fylth of the flesshe, but in that a good conseyence consenteth to God, by the resurreccyon of Iesus Christ,
1Pet.3.22	whych is on the ryghte hande of God: and is gone into heauen, angels, powers, and myght subdued vnto hym.
1Pet.4.1	For as moch then as Christ hath suffred for vs in the flesshe, arme ye youre selues lykewyse with the same mynde: for he whych suffereth in the flesshe, ceaseth from synn
1Pet.4.2	that he hence forwarde shulde lyue (as moch tyme as remayneth in the flesshe) not after the lustes of men, but after the wyll of God.
1Pet.4.3	For it is sufficyent for vs, that we haue spent the tyme that is past of the lyfe, after the wyll of the Gentyls, walkynge in wantannes, lustes, in excesse of wynes, in excesse of eatynge, in excesse of drinkynge and in abomynable ydolatrie.
1Pet.4.4	And it semeth to them an inconuenient thynge, that ye runne not also with them vnto the same excesse of ryote, Ꟶ therfore speake they euyll of you,
1Pet.4.5	whych shall geue acomptes to him, that is ready to iudge quicke and deed.
1Pet.4.6	For vnto thys purpose verely was the Gospell preached also vnto the deed, that they shuld be iudged lyke other men in the flesshe, but shuld lyue before God in the sprete.
1Pet.4.7	The ende of al thinges is at hande. Be ye therfore sober, and watch vnto prayer.
1Pet.4.8	But aboue all thynges haue feruent loue among your selues. For loue shall couer the multitude of synnes.
1Pet.4.9	Be ye herberous one to another, wythout grudgynge.
1Pet.4.10	As euery man hath receaued the gyfte, euen so mynister the same one to another, as good mynisters of the manyfolde grace of God.
1Pet.4.11	If eny man speake, let him talke as the wordes of God. If eny man mynister, let him do it as of the abylite, whych God mynystreth vnto hym. That God in all thynges maye be glorifyed thorow Iesus Christ, to whom be prayse and dominion for euer and euer. Amen.
1Pet.4.12	Dearly beloued, maruayll not that ye are proued by fyre (whych thyng is to trye you) as though some straunge thing happened vnto you:
1Pet.4.13	but reioyce, in as moch as ye are partakers of Christes passyons: that when hys glory appeareth, ye maye be mery and glad.
1Pet.4.14	If ye be rayled vpon for the name of Christ, happie are ye. For the glory and the sprete of God resteth vpon you. On their parte he is euyll spoken of: but on youre parte he is glorifyed.
1Pet.4.15	Se that none of you be punysshed as a murtherer, or as a thefe, or an euyll doar, or as a busybody in other mens matters.
1Pet.4.16	If eny man suffre as a Christen man, let him not be ashamed: but let him glorifye God on this behalfe.
1Pet.4.17	For the tyme is come, that iudgement must begynne at the house of God. If it fyrst begynne at vs, what shall the ende be of them, whych beleue not the Gospell of God?
1Pet.4.18	And yf the ryghteous scarcely be saued: where shall the vngodly and the synner appeare?
1Pet.4.19	Wherfore, let them that are troubled accordyng to the wyll of God, commyt their soules to him with well doynge, as vnto a faythfull creator.
1Pet.5.1	The elders which are amonge you, I exhorte, which am also an elder, and a wytnes of the affliccyons of Christ, and also a partaker of the glory that shalbe opened:
1Pet.5.2	Fede ye Christes flocke, asmoch as lyeth in you, takynge the ouersyght of them, not as compelled therto, but wyllyngly: not for the desyre of fylthy lucre: but of a good mynde,
1Pet.5.3	not as though ye were lordes ouer the parisshes: but that ye be an ensample to the flock
1Pet.5.4	And when the chefe sheperd shall appeare; yee shal receaue, an incorruptibile crowne of glorie.
1Pet.5.5	Lykewyse ye yonger, submyt your selues vnto the elder: Submit youre selues euery man, one to another, knyt youre selues together in lowlynes of mynde. For God resisteth the proude, and geueth grace to the humbl
1Pet.5.6	Submyt youre selues therfore vnder the myghty hande of God, that he maye exalte you, when the tyme is come.
1Pet.5.7	Cast all your care vpon him: for he careth for you.
1Pet.5.8	Be sober and watch, for youre aduersary the deuyll as a roaring lyon walketh about, sekyng whom he maye deuoure:
1Pet.5.9	whom resyst stedfast in the fayth, knowing, that the same affliccyons are apoynted vnto your brethren, that are in the worlde.
1Pet.5.10	But the God of all grace whych hath called vs vnto hys eternall glory by Christ Iesus, shall hys awne selfe (after that ye haue suffred a lytell affliccyon) make you perfect: settle, strength and stablisshe you.
1Pet.5.11	To him be glory and dominyon for euer, and euer. Amen.
1Pet.5.12	By Syluanus a faythfull brother vnto you (as I suppose) haue I wrytten brefly, exhortynge and testifyinge, how that thys is the true grace of God, wherin ye stande.
1Pet.5.13	The congregacyon of them whych at Babylon are companyons of youre eleccyon, saluteth you, and so doth Marcus my sonne.
1Pet.5.14	Grete ye one another wyth the kysse of loue. Peace be wt you all, which are in Christ Iesu. Amen.
