Neh.0.0	{¶ The seconde boke of Esdras, otherwyse called the boke of Nehemia}
Neh.4.4	Heare (O thou oure God) for we are despised, turne their shame vpon their awne heade, Ꟶ geue them ouer into despisynge in the lande of their captiuite.
Neh.4.5	Couer not their wickednesse, Ꟶ let not their synne be put out in thy presence: for they haue prouoked the buylders.
Neh.4.6	And so buylded we the wall, Ꟶ it was ioyned whole together, vnto the half heygth therof. And the people were mynded to laboure.
Neh.4.7	And it fortuned, that when Sanabalat, and Tobiah, Ꟶ the Arabians, Ammonites, Ꟶ Asoodites heard, that the walles of Ierusalem were mad vp, and that the gappes beganne to be stopped, they were very wroth,
Neh.4.8	Ꟶ conspired all together to come, Ꟶ fyght against Ierusalem, and to make the people an hynderaunce therin.
Neh.4.9	Neuertheles, we made our prayer vnto our God, Ꟶ set watchmen by them, which buylded daye Ꟶ nyght ouer agaynst them.
Neh.4.10	And Iuda sayd: the strength of the bearers is to feble, Ꟶ there is yet moch more morter, Ꟶ we are not able to buyld on the wall.
Neh.4.11	And our aduersaries sayd: they shall not knowe nether se, tyll we come in the middes amonge them, and slaye them, and hinder the worcke.
Neh.4.12	But it fortuned that when the Iewes (which dwelt besyde them) came, they tolde vs as good as ten tymes, that in all places where ye go vnto, they are appointed to fal vpon vs.
Neh.4.13	Therfore set I the people after their kinredes wt their swerdes, speares Ꟶ bowes beneth in the lowe places behynd the wal,
Neh.4.14	Ꟶ I loked, Ꟶ gat me vp, Ꟶ sayd vnto the chefe men, to the rulers, Ꟶ to the other people, be not ye afrayed of them, but thincke rather vpon the greate Lord, whych ought to be feared, Ꟶ fight for your brethren, your sonnes, yor daughters, your wiues, Ꟶ your houses.
Neh.4.15	Neuertheles, it chaunced that when our enemies hearde, that we had gotten worde of it. God brought their councel to naught, Ꟶ we turned all againe to the wal, euery one vnto his labor.
Neh.4.16	And from that time forth it came to passe that the half parte of the yong men did the laboure, Ꟶ the other half parte of them helde the speares, shyldes, bowes, and brestplates: Ꟶ the rulers stode behynde all the house of Iuda,
Neh.4.17	which buylded on the wall, and bare burthens from those that laded them. With one hande dyd euery one worcke, Ꟶ wt the other helde he hys weapen.
Neh.4.18	And euery one that buylded, had his swerd, gyrde by hys thygh, and so buylded they. And the trompet blewe besyde me.
Neh.4.19	And I sayd vnto the principal men, to the rulers, and to the other people: the worke is great and large, Ꟶ we are separated vpon the wall one farre from another.
Neh.4.20	Loke in what place therfore ye heare the noyse of the trompet, resorte ye thyther vnto vs, Ꟶ our God shal fight for vs,
Neh.4.21	Ꟶ we will be labouryng in the worcke. And the halfe part of them helde the speares from the mornyng spryng, tyll the starres came forth.
Neh.4.22	And at the same tyme said I vnto the people: euery one abyde with hys seruaunt at Ierusalem, that in the night season we maye watch, and labour on the daye tyme.
Neh.4.23	As for me and my brethren, my seruauntes, and the men of the watch (which were behynde me) we put neuer of oure clothes, nomore then the other dyd theyr harnesse, saue onely because of the water.
Neh.5.1	And there arose a great complaynte of the people, and of theyr wyues agaynst their brethren the Iewes.
Neh.5.2	For there were some that sayd: our sonnes and daughters and we are to many, therfore wyll we take corne for them, that we maye eate, and lyue.
Neh.5.3	Some also there were that sayde: let vs sett our landes, vyneyardes and houses to pledge, and take vp corne in the darth.
Neh.5.4	But som there were that sayde: let vs borowe money for the kynges trybute Ꟶ that vpon our landes and vyneardes.
Neh.5.5	Behold, oure bodyes as the bodyes of oure brethren, and oure chyldren as theyr chyldren: elles shulde we subdue our sonnes and daughters vnto bondage, and some of oure daughters are subdued vnto bondage all ready, Ꟶ no strength is there in houre handes, and other men haue our landes and vyneyardes.
Neh.5.6	And when I heard their complaynte and soch wordes, it displeased me sore,
Neh.5.7	and I aduised so in my mynde, that I rebuked the councelers, and the rulers, and sayde vnto them: Euery one of you is to chargeable vnto hys brother. And I brought a greate congregacyon agaynst them,
Neh.5.8	and sayd vnto them we (after oure abilite) haue bought our brethren the Iewes, which were solde vnto the heathen. And wyll ye sell your brethren agayne vnto the heathen, after that they haue bene solde vnto vs? Then helde they theyr peace, and coulde fynde nothynge to answere.
Neh.5.9	And Nehemia sayde: It is not good that ye do. Ought ye not to walke in the feare of God, because of the rebuke of the heathen that are our enemyes?
Neh.5.10	I and my brethren, and my seruauntes do lend them money Ꟶ corne: but as for vsurye, let vs leaue it.
Neh.5.11	Therfore, thys same daye I pray you se that ye restore them theyr landes agayne, theyr vineyardes, oyle gardens, and their houses, and remytte the hundred part of the money, of the corne, wyne and oyle that ye haue wonne of them.
Neh.5.12	Then sayd they: we will restore them agayne, Ꟶ wyll requyre nothing of them, and will do as thou hast spoken. And I called the prestes, Ꟶ toke an oth of them, that they shuld do so.
Neh.5.13	And I shoke my lappe, Ꟶ sayde. God shake out euery man after the same maner from hys house Ꟶ laboure, that maynteyneth not this word: euen thus be he shaken oute, and voyde. And all the congregacyon sayde: Amen, and praysed the Lord. And the people dyd so.
Neh.5.14	And from the tyme forth that (the kyng) committed vnto me to be a captayne of them that were in the land of Iuda, euen from the .xx. yere vnto the .xxxij. yeare of kynge Arthaxerses (that is .xij. yere) I wt my brethren lyued not of soch sustenaunce as was geuen to a captayne.
Neh.5.15	For the olde captaynes that were before me, had bene chargeable vnto the people, and had taken of them bread and wyne, and .xl. sycles of syluer: yee, and their seruauntes had oppressed the people. But so dyd not I, and that because of the feare of God.
Neh.5.16	But I laboured also in the worcke vpon the wal, and bought no lande. And all my seruauntes came thyther together vnto the worke.
Neh.5.17	More ouer, there were at my table an .C. and .l. of the Iewes and rulers, which came vnto me from among the heathen, that are about vs.
Neh.5.18	And ther was prepared for me dayly an oxe and .vj. chosen shep, and byrdes, Ꟶ euer once in .x. dayes a greate summe of wyne. Yet requyred not I the lyuyinge of a captayne, for the bondage was greuous vnto the people.
Neh.5.19	Thincke vpon me my God vnto the best, according to all that I haue done for thys people.
Neh.6.1	And when Sanabalat, Tobiah, Ꟶ Gesem the Arabian, and the other of our enemyes heard that I had buylded the wall: and that ther were no mo gappes therin (howbeit at the same tyme had I not hanged the dores vpon the gates)
Neh.6.2	Sanabalat Ꟶ Gesem sent vnto me, sayenge: that we maye mete and take councell together in the villages that are in the playne of the cytie Ono. Neuerthelesse, they thought to do me euell.
Neh.6.3	And I sent messengers vnto them, sayenge: I haue a great busynes to do, and I cannot come downe. The worcke shulde stande stil, yf I were neclygent, and came downe to you.
Neh.6.4	Howbeit, they sent vnto me as good as foure times after the same maner. And I gaue them the same answere.
Neh.6.5	Then sent Sanabalat hys seruaunt agayne vnto me the fyfth tyme, wt an open letter in hys hand,
Neh.6.6	wherin was writen: it is tolde the heathen, and Gesem hath sayde it, that thou and the Iewes thincke to rebell: for the which cause thou buyldest the wall, that thou mayest be their kyng in these matters,
Neh.6.7	and hast ordeyned the prophetes to preach of the at Ierusalem, and to saye: He is kynge of Iuda. And now shall thys come to the kynges eares: come now therfore, and let vs take our councell together.
Neh.6.8	And I sent vnto hym, sayinge: there is no soch thynges done as thou sayst: for thou faynest them out of thyne awne herte.
Neh.6.9	For they were all mynded to make vs afrayed, sayinge: they shall withdrawe their handes from the worcke, that it shall not be fynisshed. Howbeit, I strengthed my hande the more.
Neh.6.10	And I came vnto the house of Semaia the sonne of Delaia the sonne of Mehetabeel, and he had shut hym self within, and sayde: let vs come together into the house of God, euen vnto the myddes of the temple, and shutte the dores of the temple: for they wyll come to slaye the, yee, euen in the nyght wyll they come to put the to death.
Neh.6.11	And I sayde: shulde any soch man as I flye? Who is that, beyng as I am, that wil go into the temple, to saue his lyfe? I wyll not go in.
Neh.6.12	And I perceaued, that God had not sent hym. Yet spake he prophecy vpon me, neuerthelesse, Tobiah and Sanabalat had hyred him for money.
Neh.6.13	Therfore toke he the money that through feare I shulde so do, and synne: that they might haue an euell reporte of me, to blaspheme me.
Neh.6.14	My God, thinke thou vpon Tobiah and Sanabalat accordynge vnto these theyr workes, and of the prophet Noadia, and of the other prophetes, that wolde haue put me in feare.
Neh.6.15	And the wall was fynysshed on the fyue and twentye daye of the moneth Elul, in two and fyfty dayes.
Neh.6.16	And when all our enemyes hearde therof, all the heathen that were about vs, were afrayed, and theyr courage fayled them. And they perceaued, that thys worcke came of our God.
Neh.6.17	And at the same tyme were ther many of the chefe of Iuda, whose letters wente vnto Tobiah, and agayne from Tobiah vnto them
Neh.6.18	(for there were many in Iuda, that were sworne vnto him: for he was the sonne in lawe of Sechania, the sonne of Arah, Ꟶ his sonne Iehonathan had the daughter of Mesullam, the sonne of Barachia,
Neh.6.19	and they spake good of hym before me, and tolde hym my wordes) and Tobiah sent letters, to put me in feare.
Neh.7.1	Now when the wall was buylded, I hanged on the dores also, and the porters, syngers Ꟶ leuites were appoynted.
Neh.7.2	And I commaunded my brother Hanani, and Hanania the ruler of the castel at Ierusalem: for he was a faithfull man, and feared God more then dyd many other,
Neh.7.3	and I sayde vnto them let not the gates of Ierusalem be opened, vntyll the sonne be whote. And whyle they were standinge in the watch, they shutt the dores and barred them. And we appoynted certayne cytesins of Ierusalem, appoynted to be watchmen, euery one to kepe hys watch, and euery one to be ouer against his house.
Neh.7.4	As for the cite, it was large of rowme, and great, but the people were fewe therin, and the houses were not buylded.
Neh.7.5	And my God gaue me in my hert, that I gathered togeather the principall men, Ꟶ the officiers, and the people, to nombre them, and I founde a register of the nombre of them which came vp before out of the captiuyte:
Neh.7.6	Ꟶ founde wryten therin: these are the sonnes of the land that wente vp from the captiuyte of the caryinge awaye (whom Nabuchodonosor the king of Babylon had brought awaye) Ꟶ came agayne to Ierusalem Ꟶ Iuda, euery one vnto his cytie.
Neh.7.7	They which came wt zorobabel are these: Iesua, Nehemia, Asariah, Raamia, Nahamani, Mardochee, Belsam, Mesperath, Beguai, Nahum and Baanah. This is the nombre of the men of the people of Israel.
Neh.7.8	The chyldren of Pharos were two thousand, an hundred Ꟶ two Ꟶ seuentye:
Neh.7.9	the chyldren of Saphatiah, thre hundred and two Ꟶ seuentye:
Neh.7.10	the children of Arah, syxe hundred and two and fyftye:
Neh.7.11	the chyldren of the captayne of Moab amonge the chyldren of Iesua Ꟶ Ioab, two thousande, eyght hundred, and eyghtene:
Neh.7.12	the chyldren of Elam, a thousande, two hundred and foure and fyftye:
Neh.7.13	the chyldren of zathua, eyght hundred and fyue Ꟶ fortye,
Neh.7.14	the chyldren of zachai seuen hundred and threskore:
Neh.7.15	the chyldren of Banui: sixe hundred Ꟶ eyght Ꟶ fortie:
Neh.7.16	the chyldren of Bebai, syxe hundred Ꟶ eyght Ꟶ twentye:
Neh.7.17	the chyldren of Asgad, two thousande, thre hundred and two and twentye:
Neh.7.18	the chyldren of Adonicam, syxe hundred thre skore and seuen:
Neh.7.19	the chyldren of Begoai, two thousande, thre skore Ꟶ seuen:
Neh.7.20	the chyldren of Adin, syxe hundred and fyue an fyftie:
Neh.7.21	the chyldren of Ater of Hezekia, eyght and nyentye.
Neh.7.22	The chyldren of Hasom, thre hundred and eyght Ꟶ twentye:
Neh.7.23	the chyldren of Bezai, thre hundred and foure and twentye:
Neh.7.24	the children af Hariph, an hundred Ꟶ twelue:
Neh.7.25	the chyldren of Gibeon, nynetye Ꟶ fyue:
Neh.7.26	the men of Bethlehem Ꟶ Nethophah, an hundred foure skore and eyght:
Neh.7.27	the men of Anathoth, an hundred Ꟶ eyght Ꟶ twentie:
Neh.7.28	the men of Beth Asmaneth, two and fourtye:
Neh.7.29	the men of Kariath Iarim, Cephirah Ꟶ Beeroth, seuen hundred Ꟶ thre Ꟶ fortye:
Neh.7.30	the men of Ramah and Geba, syxe hundred Ꟶ one Ꟶ twentye:
Neh.7.31	the men of Michmas, an hundred and two and twentye:
Neh.7.32	the men of Bethel and Ai, an hundred and thre and twentye:
Neh.7.33	the men of Nebo, an hundred and two and fyftie:
Neh.7.34	the chyldren of the other Elam, a thousande, two hundred and foure and fyftye:
Neh.7.35	the chyldren of Harim: thre hundred and twentye:
Neh.7.36	the chyldren of Iericho: thre hundred Ꟶ fyue and fortye:
Neh.7.37	the chyldren of Lodhadid Ꟶ Ono, seuen hundred and one and twentye:
Neh.7.38	the chyldren of Sanaa, thre thousande, nyne hundred and thyrtye.
Neh.7.39	The preastes. The chyldren of Iedaiah of the house of Iesua, nyne hundred and thre and seuentye:
Neh.7.40	the chyldren of Immer, a thousande and two Ꟶ fyftye:
Neh.7.41	the chyldren of Phashur, a thousand, two hundred Ꟶ seuen Ꟶ fortye:
Neh.7.42	the chyldren of Harim, a thousande Ꟶ seuentene.
Neh.7.43	The Leuytes. The chyldren of Iesua of Cadmiel and of the chyldren of Hoduah, foure Ꟶ seuentye.
Neh.7.44	The syngers. The chyldren of Asaph, an hundred and eyght and fortye.
Neh.7.45	The porters: The chyldren of Sallum, the chyldren of Ater, the chyldren of Talmon, the chyldren of Acub, the chyldren of Hatita, the chyldren of Sobai, all together an hundred and eyght and thyrtye.
Neh.7.46	The Nethinims. The chyldren of ziha, the chyldren of Hasupha, the chyldren of Tebahoth,
Neh.7.47	the chyldren of Ceros, the chyldren of Sia, the chyldren of Phadon,
Neh.7.48	the chyldren of Lebanah, the chyldren of Hagaba, the chyldren of Salmat,
Neh.7.49	the chyldren of Hanan, the chyldren of Gidel, the chyldren of Gaher,
Neh.7.50	the chyldren of Reaia, the chyldren of Rezin, the chyldren of Necoda,
Neh.7.51	the chyldren of Gasam, the chyldren of Usa the chyldren of Phaseah,
Neh.7.52	the children of Besai, the chyldren of Meunim, the chyldren of Nephussim,
Neh.7.53	the chyldren of Bachur, the chyldren of Hacupha, the chyldren of Harhur,
Neh.7.54	the chyldren of Bazlith, the chyldren of Mehida, the chyldren of Harsa,
Neh.7.55	the chyldren of Barcos, the chyldren of Sissera, the chyldren of Thamah,
Neh.7.56	the chyldren of Neziah, the chyldren of Hatipha.
Neh.7.57	The chyldren of Salomons seruauntes: the chyldren of Sotai, the chyldren of Sophereth, the chyldren of Pherida,
Neh.7.58	the chyldren of Iaala, the chyldren of Darcon, the chyldren of Giddel,
Neh.7.59	the chyldren of Saphatiah, the chyldren of Hatil, the chyldren of Pochereth of zabaini, the chyldren of Amon.
Neh.7.60	All these Nethinims and the children of Salomons seruauntes, were thre hundred Ꟶ nynetie and two.
Neh.7.61	And these wente vp also of Thel Mela, Thel Harsa, Cherub, Adon and Immer: but they coulde not shewe theyr fathers house nor theyr sede, and that they were of Israel.
Neh.7.62	The chyldren of Dalaiah, the chyldren of Tobia and the chyldren of Necoda, syxe hundred and two and fortye.
Neh.7.63	And of the preastes, the chyldren of Habaiah: the chyldren of Hacos, the chyldren of Bersilai, whych toke one of the daughters of Bersilai the Gileadite to wyfe, and was named after their name.
Neh.7.64	These soughte theyr writyng in the register of theyr generacion, but they were not founde, therfore they were put from the presthode.
Neh.7.65	And Hathirsata sayd vnto them, that they shulde not eate of the moost holy, tyll there came vp a Preaste whych shulde were Urim and Thumin.
Neh.7.66	And so the whole congregacyon together was two Ꟶ fortye thousande, thre hundred, Ꟶ thre skore:
Neh.7.67	besyde their seruauntes and maydens, of whom there were seuen thousande, thre hundred and seuen and thirtye. And they had two hundred and seuen and fortye syngynge men and wemen.
Neh.7.68	Their horses, seuen hundred and syxe Ꟶ thirtye, Ꟶ their Mules: two hundred Ꟶ fyue Ꟶ fortye.
Neh.7.69	The camels, foure hundred Ꟶ fyue Ꟶ thirtye: syxe thousande, seuen hundred and twentye Asses.
Neh.7.70	And certayne of the auncyent fathers gaue vnto the worcke. Hathirsatha gaue to the treasure a thousand peces of gold, fyftie basens, fyue hundred Ꟶ thirtye prestes garmentes.
Neh.7.71	And some of the chefe fathers gaue vnto the treasure of the worke, twentie thousande peces of gold Ꟶ two thousande Ꟶ two hundred pounde of syluer.
Neh.7.72	And the other people gaue twentye thousande peces of golde, and two thousande pounde of syluer and thre skore and seuen preastes garmentes.
Neh.7.73	And the preastes Ꟶ Leuites, the Porters, and the syngers, Ꟶ the other of the people, and the Nethinims, Ꟶ all Israel, dwelt in their cyties. And the seuenth moneth came, and the chyldren of Israel were in theyr cyties.
Neh.8.1	And all the people geathered them selues together as one man in the strete that was before the watergate, and they sayde vnto Esdras the scrybe, that he shulde fetch the boke of the lawe of Moses, whych the Lorde commaunded to Israel.
Neh.8.2	And Esdras the preast brought the lawe before the congregacion both of men and wemen, and all that coulde vnderstande dyd herken vnto it, vpon the fyrst daye of the seuenth moneth,
Neh.8.3	and he red therin in the strete that was before the watergate (from the mornynge vntyll the noone daye) before men and wemen that dyd herken to it: and the eares of all the people were inclyned vnto the booke of the lawe.
Neh.8.4	And Esdras the scrybe stode vpon an hye pulpit of wood, whych they had made for the preachinge, Ꟶ besyde hym stode Mathathia, Sema, Anania, Uriah, Helkia, and Maaseia, on hys ryghte hande: and on hys lefte hande stode Pedaia, Misael, Malchia, Hasum, Hasebadana, zachary, and Mesulam.
Neh.8.5	And Esdras opened the boke before all the people, for he stode aboue all the people. And when he opened it, all the people stode vp.
Neh.8.6	And Esdras praysed the Lorde the greate God. And all the people answered Amen, Amen, with their handes vp, Ꟶ bowed them selues, and worshypped the Lorde, fallynge downe vpon their faces to the grounde.
Neh.8.7	And Iesua, Baam, Serabiah, Iamin, Acub, Sebathai, Hadaia, Maasia, Celita, Azaria, Iozabad, Hanan, Pelaia: and the Leuites caused the people to geue hede vnto the lawe, Ꟶ the people stode in their place.
Neh.8.8	And they red in the boke of the lawe of God distinctly Ꟶ playnly, so that men vnderstode the thinge that was red.
Neh.8.9	And Nehemiah (which is Hathirsatha) Ꟶ Esdras the preast Ꟶ scrybe, and the Leuites that caused the people to take hede, sayd vnto all the people: thys daye is holy vnto the Lorde youre God: be not ye sory, and wepe not. For all the people wepte, when they herde the wordes of the lawe.
