Deut.0.0	¶ The fyfth boke of Moses called in the Hebrue: elle Haddebarim, Ꟶ in the Latin. Deuteronomium.
Deut.1.24	Whych departed, and went vp into the hye contrey, and came vnto the ryuer Escoll, and serched it out,
Deut.1.25	Ꟶ toke of the frute of the lande in theyr handes Ꟶ brought it vnto vs, and brought vs worde agayne, Ꟶ sayde: it is a good lande, whych the Lorde oure God doth geue vs.
Deut.1.26	Notwithstandynge ye wolde not consente to goo vp, but were disobedient vnto the mouth of the Lord youre God,
Deut.1.27	and murmured in youre tentes, Ꟶ sayde: because the Lorde hateth vs, therfore hath he brought vs out of the lande of Egypte, to delyuer vs into the hande of the Amorites, and to destroye vs.
Deut.1.28	Howe shal we goo vp? Oure brethren haue discoraged oure herte, sayinge: the people is greater Ꟶ taller then we, and haue cyties greate and walled euen vp to heauen, Ꟶ moreouer we haue sene the sonnes of the Enakims there.
Deut.1.29	And I sayde vnto you: dreade not, nor be afrayed of them.
Deut.1.30	The Lorde youre God which goeth before you, he shall fyghte for you, accordynge to all that he dyd vnto you in Egypte before youre eyes.
Deut.1.31	In the wyldernersse also thou hast sene howe that the Lorde thy God bare the, euen as a man doth beare hys sonne, in all the waye whyche ye haue gone by, vntyll ye came vnto thys place.
Deut.1.32	And yet in this thyng ye dyd not beleue the Lorde youre God.
Deut.1.33	He went in the waye before you, to serche you out a place to pytche youre tentes in, in fyre by nyght, that ye myghte se what waye to go, and in a cloude by daye.
Deut.1.34	And the Lorde hearde the voyce of youre wordes, and was wroth, Ꟶ sware, sayinge:
Deut.1.35	there shall not one of these men and of this frowarde generacyon se that good lande which I sware to geue vnto youre fathers,
Deut.1.36	saue Caleb the sonne of Iephune, he shall se it and to hym wyll I geue that lande that he hath trodden vpon, and to his chyldren, because he hath folowed the Lord
Deut.1.37	the Lorde was angrye wythe me lykewyse for youre sakes, saying: thou also shalt not go in thither.
Deut.1.38	But Iosua the sonne of Nun which standeth before the, he shall go in thither. Bolden hym therfore, for he shal cause Israel to inheret the lande.
Deut.1.39	Moreouer youre chyldren, which ye sayde shulde be a praye, and youre sonnes which in that daye had no knowlege betwene good and euell, they shall goo in thither, and vnto them will I geue it, and they shall enioye it.
Deut.1.40	But as for you, turne youre face, and take youre iourneye into the wildernesse: euen by the waye of the reade see.
Deut.1.41	Then ye answered Ꟶ sayde vnto me: We haue synned agaynst the Lorde: we wyll go vp and fyghte, accordynge to all that the Lord oure God commaunded vs. And when ye had gyrde on euery man his wepons of warre, beholde, ye were ready to goo vp into the hyll.
Deut.1.42	And the Lorde sayde vnto me: saye vnto them, that they go not vp, and that they fyghte not, for I am not among you: lest ye fall before youre enemyes
Deut.1.43	I tolde you therfore, and ye wolde not heare, but disobeyed the mouth of the Lorde, Ꟶ went presumptuously vp into the hyll.
Deut.1.44	And the Amorites whych dwelt in that hyll, came out agaynst you, and chased you (as bees vse to do) Ꟶ smote you in Seir, euen vnto Horma.
Deut.1.45	And ye came agayne, Ꟶ wepte before the Lorde: but the Lorde wolde not heare youre voyce, nor geue you audience.
Deut.1.46	And so ye abode in Cades a longe ceason, according vnto the tyme that ye remayned in other places.
Deut.2.1	Then we tourned oure face, Ꟶ toke oure iourney into the wyldernesse euen by the waye of the read see as the Lorde spake vnto me. And we compassed mount Seir a longe tyme.
Deut.2.2	And the Lord spake vnto me, sayinge:
Deut.2.3	Ye haue compassed thys mountayne longe ynough, tourne you northward.
Deut.2.4	And warne thou the people sayinge: Ye shall go thorowe the coast of youre brethren the chyldren of Esau whyche dwell in Seir, Ꟶ they shalbe afrayed of you: Take ye good hede vnto your selues therfore.
Deut.2.5	Ye shall not prouoke them, for I wyll not geue you of their lande, no not so moche as a fote bredth because I haue geuen mounte Seir vnto Esau to possess
Deut.2.6	ye shall bye meat of them for money to eate, and ye shall procure water of them for money to drynke.
Deut.2.7	For the Lord thy God hath blessed the in all the workes of thy hande. He knewe thy entrynge into this greate wyldernesse this .xl. yeres, and the Lorde thy God hath bene with the, so that thou hast lacked nothynge.
Deut.2.8	And when we were departed from oure brethren the chyldren of Esau whych dwelt in Seir, the playne waye from Elath Ꟶ from Ezion Gaber, we turned Ꟶ went by the waye of the wyldernesse of Moab.
Deut.2.9	And the Lorde sayde vnto me: Thou shalt not fyght agaynst the Moabites, nether prouoke them to battell, for I wyll not geue the of their lande to possesse:
Deut.2.10	because I haue geuen Ar vnto the children of Loth to possesse. The terrible people the Emims dwelt therin in tymes past, a people great, many Ꟶ tall, as the Enakims:
Deut.2.11	whych also were taken for giauntes as the Enakims: whom the Moabites call Emims.
Deut.2.12	The Horims dwelt in Seir before tyme, whose possessyon the chyldren of Esau occupyed, and destroyed them before them, Ꟶ dwelt in their stead: as Israel dyd vnto the lande of his possession, which the Lorde gaue them.
Deut.2.13	Nowe ryse vp (sayd I) Ꟶ get you ouer the ryuer zared: Ꟶ we went ouer the ryuer zared.
Deut.2.14	The space in whych we came from Cades barne vntyll we were come ouer the ryuer zared, was .xxxviii. yeres: vntyll all the generacyon of the men of warre were wasted out from amonge the host, as the Lorde sware vnto them.
Deut.2.15	For in dede the hande of the Lorde was agaynst them, to destroye them from amonge the host, tyll they were consumed.
Deut.2.16	And so it came to passe, that all the men of warre were consumed and deed from amonge the people.
Deut.2.17	And the Lorde spake vnto me, sayinge:
Deut.2.18	Thou shalt go thorow Ar the coast of Moab thys daye:
Deut.2.19	and whan thou commest nye vnto the chyldren of Ammon, thou shalt not laye sege vnto them, ner moue warre agaynst them. For I wyll not geue the of the lande of the chyldren of Ammon a possessyon,
Deut.2.20	but I haue geuen it vnto the chyldren of Loth to possesse. That also is taken for a land of giauntes, and giauntes dwelt therin in olde tyme, whom the Ammonites call zanzumims.
Deut.2.21	A people that was great, many, Ꟶ talle, as the Enakims. But the Lord destroyed them before them, Ꟶ they succeaded them in the inheritaunce Ꟶ dwelt in theyr steade:
Deut.2.22	as he dyd for the children of Esau, which dwell in Seir: whan he destroyed the Horyms before them they conquered theyr possessyon, and dwelt in theyr steade vnto this daye.
Deut.2.23	And the Auims which dwelt in Hazarim euen vnto Aza, the Caphthoryms which came out of Caphthor destroyed them, and dwelt in theyr steade.
Deut.2.24	Ryse ye vp therfore, and take youre iourney ouer the ryuer Arnon. Beholde, I haue geuen into thy hande Sehon the Amorite kyng of Hesbon, and his lande. Go to therfore and conquere, and prouoke hym to battell.
Deut.2.25	This daye wyll I begynne to sende the feare and dreade of the, vpon all nacions that are vnder all the heauen: so that they whych heare speake of the, shall tremble and quake before the.
Deut.2.26	And so I sent messengers out of the wyldernesse of kedemoth vnto Sehon kynge of Hesbon, with wordes of peace, sayinge:
Deut.2.27	I wyll go thorowe thy lande. I wyll go alonge by the hye waye: I wyll nether turne vnto the ryghte hande nor to the lefte.
Deut.2.28	Thou shalt sell me meate for money for to eate, and geue me drinke for money for to drinke. Onely graunt me, that I maye go thorowe on my fot
Deut.2.29	(as the chyldren of Esau which dwell in Seir, Ꟶ the Moabites whych dwell in Ar, dyd vnto me) vntyll I be come ouer Iordan, into the lande which the Lorde oure God geueth vs.
Deut.2.30	But Sehon the kynge of Hesbon wolde not let vs passe by him, for the Lord thy God hardened his sprete, Ꟶ made his herte tough, because he wolde delyuer him into thy hande, as it is come to passe thys daye.
Deut.2.31	And the Lorde sayde vnto me: beholde, I haue begonne to set Sehon and his lande before the: go to and conquere, and possesse his lande.
Deut.2.32	Then both Sehon Ꟶ all hys people came out agaynst vs to fyght at Iaza.
Deut.2.33	And the Lorde set him before vs, Ꟶ we smote him and hys sonnes and all hys people.
Deut.2.34	And we toke all his cyties the same ceason, and slue the men, wemen and chyldren of all the cyties, and let nothynge remayne,
Deut.2.35	saue the catell onely we caught vnto oure selues, and the spoyle of the cyties which we toke,
Deut.2.36	from Aroer which is by the brinke of the ryuer of Arnon, Ꟶ from the cytie that is in the ryuer, vnto Gilead: there was not one cytie to stronge for vs. The Lorde oure God delyuered all vnto vs:
Deut.2.37	onely vnto the lande of the children of Ammon thou camest not, nor vnto euery place of the ryuer Iabock, nor vnto the cyties in the mountaynes, nor vnto whatsoeuer the Lorde oure God forbade vs.
Deut.3.1	Then we turned Ꟶ went vp the waye to Basan. And Og the kynge of Basan came out agaynst vs: he and all hys people to battel at Edrai.
Deut.3.2	And the Lord sayde vnto me: feare him not, for I wyll delyuer hym, Ꟶ all his people and hys lande into thy hande, and thou shalt do vnto him, as thou dyddest vnto Sehon kinge of the Amorites, which dwelt at Hesbon.
Deut.3.3	And so the Lorde oure God delyuered into oure handes, Og also the kynge of Basan and all hys folke. And we smote him, vntyll none was lefte hym alyue.
Deut.3.4	And we toke all his cyties the same ceason (nether was there a cytie which we toke not from them) euen thre score cyties thorow out all the region of Argob, the kyngdome of Og in Basan.
Deut.3.5	All these cyties also were made stronge with hye walles, gates and barres, besyde vnwalled townes a greate meanye.
Deut.3.6	And we vtterly destroyed them, as we dyd vnto Sehon kynge of Hesbon, bringyng to nought all the cyties, with men, wemen and chyldren.
Deut.3.7	But all the catell and the spoyle of the cyties, we caughte for oure selues.
Deut.3.8	And thus we toke the same ceason, out of the hande of two kynges of the Amorites, the lande that was on the other syde Iordan, from the ryuer of Arnon vnto mount Hermon
Deut.3.9	(whych Hermon the Sidons call Syrion, and the Amorites call it Senyr)
Deut.3.10	all the cyties that laye in the playne, and all Gilead and all Basan vnto Salecha and Edrai, cityes of the kyngdome of Og in Basan.
Deut.3.11	For onely Og kynge of Basan remayned of the remnaunt of the gyauntes, whose bed was a bed of yron. And is it not yet at Rabah amonge the chyldren of Ammon? .ix. cubytes doth the length therof conteyne, and foure cubytes the breadth of it, after the cubite of a man.
Deut.3.12	And so we conquered this lande the same tyme, from Aroer whych is by the ryuer of Arnon, vnto halfe mount Gilead, Ꟶ the cities therof gaue I vnto the Rubenites and Gaddites.
Deut.3.13	And the rest of Gilead and all Basan of the kyngdome of Og, gaue I vnto the halfe trybe of Manasse: euen all the rygyon of Argob with all Basan: which is called the lande of gyauntes.
Deut.3.14	Iair the sonne of Manasse toke all the region of Argob vnto the coastes of Gesuri and Maachati, and called them after hys owne name: Basan Hauoth Iair vnto thys daye.
Deut.3.15	And I gaue Gilead vnto Machir.
Deut.3.16	And vnto the Rubenites and Gaddites I gaue halfe Gilead vnto the ryuer of Arnon, halfe the valey Ꟶ beyonde, euen vnto the ryuer Iabock, which is the border of the chyldren of Ammon:
Deut.3.17	the playne also and Iordan and the coast therof, from Ceneroth euen vnto the see whych is in the playne, euen the salt see vnder the springes of the hyll, eastwarde.
Deut.3.18	And I commaunded you the same tyme sayinge: the Lorde youre God hath geuen you thys lande to enioye it: ye shall go harnessed before youre brethren the chyldren of Israel, all that are mete for the warre.
Deut.3.19	Youre wyues onely, youre chyldren, and youre catell (for I wote that ye haue moche catell) shall abyde in youre cyties which I haue geuen you,
Deut.3.20	vntill the Lorde haue geuen rest vnto youre brethren as well as vnto you, and vntyll they also haue conquered the lande, whyche the Lord youre God hath geuen them beyonde Iordan: and then shall ye returne agayne, euery man vnto hys possession which I haue geuen you.
Deut.3.21	And I warned Iosua the same tyme sayinge: thyne eyes haue sene all that the Lorde youre God hath done vnto these two kinges euen so shall he do vnto all kyngdomes whyther thou goest.
Deut.3.22	Ye shall not feare them, for the Lord youre God, he shall fyghte for you.
Deut.3.23	And I besoughte the Lorde the same tyme sayinge:
Deut.3.24	O Lorde God, thou hast begonne to shewe thy seruaunte thy greatnesse and thy myghtye hande, for els where is there a God in heauen or in erth, that can do after thy workes and after thy power?
Deut.3.25	let me go ouer and se the good lande that is beyonde Iordan, that goodly mountayne, and Libanon.
Deut.3.26	But the Lorde was angrye wyth me for youre sakes, and wolde not heare me. And the Lorde sayed vnto me: be content, speake no moare vnto me of this matter.
Deut.3.27	Get the vp into the toppe of the hyll, and lyfte vp thyne eyes westwarde, north warde, southwarde, and eastewarde, and beholde it wyth thyne eyes, for thou shalt not go ouer thys Iordan.
Deut.3.28	But charge Iosua: and courage him, Ꟶ bolden him. For he shal go before this people, and he shall deuyde vnto them the lande whyche thou shalt se.
Deut.3.29	And so we abode in the valye ouer agaynst the house of Peor.
Deut.4.1	And now herken O Israel vnto the ordinaunces and lawes which I teache you, for to do them, that so ye maye lyue Ꟶ go in and conquere the lande, which the Lord God of youre fathers geueth you.
Deut.4.2	Ye shall put nothinge vnto the worde which I commaunde you, nether do ought therfrom, that ye maye kepe the commaundementes of the Lord youre God which I commaunde you.
Deut.4.3	Youre eyes haue sene what the Lorde dyd vnto Baal Peor for all the men that folowed Baal Peor, the Lorde youre God hath destroyed from amonge you.
Deut.4.4	But ye that cleue vnto the Lorde youre God, are alyue euery one of you this daye.
Deut.4.5	Behold I haue taught you ordinaunces and lawes, soch as the Lorde my God commaunded me, that ye shulde do euen so in the lande, whether ye go to possesse it.
Deut.4.6	Kepe them therfore and do them, for that is youre wysdome Ꟶ vnderstandynge in the syghte of the nacyons: that they maye heare all these ordinaunces, and saye: Surely it is a wyse and vnderstandynge people: it is a greate nacyon.
Deut.4.7	For what other nacyon is so greate, that Goddes come so nye vnto: as the Lorde oure God is nye vnto vs, in all thynges as oft as we call vnto him?
Deut.4.8	Ye, Ꟶ what nacyon is so greate, that hath ordinaunces Ꟶ lawes so righteous, as all this lawe whyche I sett before you this daye?
Deut.4.9	Take hede to thy selfe therfore, and kepe thy soule diligently, that thou forget not the thynges which thyne eyes haue sene, Ꟶ that they departe not out of thyne harte, all the dayes of thy lyfe: but teache them thy sonnes Ꟶ thy sonnes sonnes:
Deut.4.10	Specially the daye that thou stodest before the Lord thy God in Horeb, when the Lord sayed vnto me: gether me the people together, and I wyll make them heare my wordes, that they maye lerne to feare me all the dayes that they shall lyue vpon the erth and that they maye teache their chyldren:
Deut.4.11	ye came and stode also vnder the hyll, and the hyll burnt with fyre: euen vnto the myddes of heauen, Ꟶ there was darcknesse, clowdes Ꟶ myst.
Deut.4.12	And the Lorde spake vnto you out of the myddes of the fyre, Ꟶ ye herde the voyce of the wordes but sawe no ymage, saue herde a voyce onely.
Deut.4.13	And he declared vnto you his couenaunt which he commaunded you to do, euen .x. verses, which he wrote vpon two tables of stone.
Deut.4.14	And the Lorde commaunded me that same ceason, that I shulde teach you ordinaunces and lawes, which ye ought to do in the lande whether ye go to possesse it.
Deut.4.15	Take therfore good hede vnto youre selues as pertaynynge vnto youre soules, for ye sawe no maner of ymage in the daye that the Lorde spake vnto you in Horeb out of the myddes of the fyre: lest ye marre youre selues
Deut.4.16	and make you a grauen ymage and picture of eny maner of fygure: the lykenesse of man or woman,
Deut.4.17	the lycknesse of any maner of beast that is on the erth, or the lykenesse of any maner feathered foule that flyeth in the ayre,
Deut.4.18	or the lyknesse of any maner worme that crepeth on the erth, or the liknesse of any maner fyshe that is in the waters beneth the erth.
Deut.4.19	Ye and leste thou lyfte vp thyne eyes vnto heuen and when thou seyst the sonne, the moone and the starres with all the hoost of heauen, shuldest be desceaued, and shuldest worshippe and serue the thynges, which the Lorde thy God hath made to serue all nacyons vnder the whole heauen.
Deut.4.20	But the Lorde hath taken you, Ꟶ brought you out of the yron fornace: euen out of Egypte, to be vnto him a people and enheritaunce, as ye be this daye.
Deut.4.21	Furthermoare, the Lorde was angrye with me for youre sakes, and sware, that I shulde not go ouer Iordan, and that I shulde not go in vnto that good land, which the Lorde thy God geueth the to enheritaunce.
Deut.4.22	But I must dye in thys land, and shall not go ouer Iordan. But ye shall go ouer, and conquere that good lande.
Deut.4.23	Take hede vnto youre selues, that ye forgett not the appoyntement of the Lorde your God whyche he made with you, and that ye make you no grauen ymage, or any pycture, that the Lorde thy God hath forbydden the.
Deut.4.24	For the Lorde thy God is a consumynge fyre, and a gelouse God.
Deut.4.25	If thou dost beget chyldren childrens children, Ꟶ whan ye haue dwelt in the lande, ye do wikedly, Ꟶ make any maner of grauen ymage, and worke euell in the syghte of the Lord thy God, to prouoke him to anger,
Deut.4.26	I call heauen and erth to recorde agaynst you thys daye, that ye shall shortely perish from of the lande, whether ye go ouer Iordan to possesse it: ye shall not prolonge youre dayes therin, but shall vtterly be destroyed
Deut.4.27	And the Lord shall skater you amonge the nacyons, and ye shalbe lefte fewe in nombre amonge the people, whether the Lorde shall brynge you:
Deut.4.28	and there ye shall serue goddes, whyche are the worke of mans hande, wood and stone, which nether se, nor heare, nor eate, nor smell.
Deut.4.29	And there thou shalt seke the Lorde thy God: Ꟶ shalt fynde hym, yf thou seke hym wt all thyne herte, and with all thy soule.
Deut.4.30	Whan thou are in tribulacyon, and when all these thynges (that be here spoken of) are come vpon the euen in the later dayes, thou shalt be obedient vnto his voyce.
Deut.4.31	For the Lord thy God is a mercyfull God: he will not forsake the, nether destroye the nor forget the appoyntement of thy fathers, which he sware vnto them.
Deut.4.32	For aske of the dayes that are past, which were before the sence the daye that God created man vpon the erth, and (aske) from the one syde of heauen vnto the other, yf euer there came to passe soch a greate thing, or whether any soche lyke thynge hath bene herde.
Deut.4.33	Dyd euer a nacyon heare the voyce of God speakynge out of the myddes of a fyre, as thou hast herde, and yet lyued?
Deut.4.34	other whether God assayed to go and take hym a people from amonge nacyons thorowe temptacions, signes wondres, warre, a myghtie hande, a stretched out arme, and thorowe greate syghtes, accordynge vnto all that the Lord youre God dyd vnto you in Egypte before youre eyes?
Deut.4.35	Unto the it was shewed, that thou myghtest knowe, howe that the Lorde he is God, and that there is none other but he.
Deut.4.36	Out of heauen he made the heare his voyce, that he myght nourter the, and vpon erth he shewed the hys greate fyre, Ꟶ thou heardest his wordes out of the myddes of the fyre.
Deut.4.37	And because he loued thy fathers, he chose theyr seed after them, and broughte the out in his syght, Ꟶ with his myghtie power out of Egipte:
Deut.4.38	to thrust out nacyons great Ꟶ myghtyer then thou, before the, and to brynge the in, Ꟶ to geue the their lande to enheritaunce: as it is come to passe thys daye.
Deut.4.39	Understande therfore thys daye, Ꟶ turne it to thyne hert, that the Lorde, he is God in heauen aboue, and vpon the erth beneth: neyther is there any other.
Deut.4.40	Thou shalt kepe therfore his ordinaunces, and hys commaundementes which I commaunde the thys daye, that it maye go well with the and with thy chyldren after the, Ꟶ that thou mayst prolonge thy dayes vpon the erth, which the Lord thy God geueth the thy lyfe longe.
Deut.4.41	Then Moses seuered thre cyties on the other syde Iordan towarde the sonne rysynge,
Deut.4.42	that he shulde flye thyther, which had kylled hys neyghboure vnwares, Ꟶ hated hym not in tyme past, Ꟶ therfore shulde flye vnto one of the same cyties, and lyue:
Deut.4.43	Namely, Bezer in the wyldernesse, euen in the playne contre of the trybe of Ruben: and Ramoth in Gilead of the trybe of Gad, and Golan in Basan of the trybe of Manasse.
Deut.4.44	And so thys is the lawe which Moses set before the chyldren of Israel.
Deut.4.45	These are the witnesse, statutes, and ordinaunces, whych Moses tolde the chyldren of Israel after they came out of Egypte,
Deut.4.46	on the other syde Iordan, in the valey ouer agaynst the house of Peor, in the lande of Sehon kynge of the Amorites which dwelt at Hesbon: whom Moses and the chyldren of Israel smote, after they were come out of Egypte,
Deut.4.47	Ꟶ conquered hys lande, Ꟶ the lande of Og kynge Basan two kynges of the Amorites, whych were on the other syde Iordan towarde the sonne risynge:
Deut.4.48	from Aroer whych is by the bancke of the ryuer Arnon, vnto Mount Syon whych is Hermon,
Deut.4.49	and all the playne on the other syde Iordan eastwarde: euen vnto the see, which is in the playne vnder the springes of the hyll.
Deut.5.1	And Moses called all Israel, Ꟶ sayed vnto them. Heare O Israel the ordinaunces Ꟶ lawes which I speake in youre eares this daye, that ye maye lerne them, and fullfill them in ded
Deut.5.2	The Lorde oure God made an apoyntment with vs in Horeb.
Deut.5.3	The Lorde made not this bonde with oure fathers, but with vs: euen with vs, which are all here alyue thys daye.
Deut.5.4	The Lorde talked with you face to face in the mount, oute of the myddes of the fyrere.
Deut.5.5	And I stode betwene the Lorde and you the same tyme, and shewed you the worde of the Lorde. For ye were afrayed at the syght of the fyre, and went not vp into the mount, Ꟶ he sayed
Deut.5.6	I am the Lorde thy God, which broughte the oute of the lande of Egypte from the house of bondage.
Deut.5.7	Thou shalt haue none other goddes in my presence.
Deut.5.8	Thou shalt make the no grauen ymage of any maner of lykenesse that is in heauen aboue and that is in erth beneth, and that is in the waters benethe the erth.
Deut.5.9	Thou shalt nether bowe thy selfe vnto them, nor serue them, for I the Lorde thy God, am a gelouse God, visytinge the wyckednesse of the fathers vpon the chyldren, euen in the thyrde Ꟶ fourth generacyon, amonge them that hate me:
Deut.5.10	Ꟶ shewe mercye vpon thousandes, amonge them that loue me, and kepe my commaundementes.
Deut.5.11	Thou shalt not take the name of the Lord thy God in vayne: for the Lorde wyll not holde him gyltlesse, that taketh his name in vayne.
Deut.5.12	Kepe the Sabboth daye, that thou sanctifye it, as the Lorde thy God hath commaunded th
Deut.5.13	Syxe dayes thou shalt laboure and do all that thou hast to do,
Deut.5.14	but the seuenth daye is the Sabboth of the Lorde thy God: thou shalt not do any worke, thou and thy sonne, thy daughter, thy seruaunte and thy mayde, thyne oxe and thyne asse, and all thy catell, and the straunger that is within thy gates, that thy seruaunte Ꟶ thy mayde maye rest as well as thou.
Deut.5.15	Remembre, that thou wast a seruaunte in the lande of Egypt, and howe that the Lorde thy God brought the out thence thorowe a myghtye hande and a stretched out arme. For whyche cause the Lord thy God commaunded the, to kepe the Sabboth daye.
Deut.5.16	Honoure thy father and thy mother, as the Lorde thy God hath commaunded the: that thy dayes maye be prolonged, Ꟶ that it maye go well with the in the lande, which the Lord thy God geueth the.
Deut.5.17	Thou shalt nol slaye.
Deut.5.18	Thou shalt not breake wedlocke.
Deut.5.19	Thou shalt not steale.
Deut.5.20	Thou shalt not beare false witnesse agaynst thy neyghboure.
Deut.5.21	Thou shalt not luste after thy neygboures wyfe: thou shalt not couet thy neyghbours house, hys felde, hys seruaunte, or hys mayde, hys oxe, hys asse, or ought that thy neyghboure hath.
Deut.5.22	These wordes the Lorde spake vnto all your multitude in the mount out of the myddes of the fyre, cloude and darcknesse, with a greate voyce, added nomore therto, and wrote them in two tables of stone, and delyuered them vnto me.
Deut.5.23	And it fortuned, that whan ye herde the voyce out of the myddes of the darcknesse, Ꟶ sawe that the hill dyd burne with fyre, ye came vnto me with the captaynes of youre tribes and youre elders:
Deut.5.24	and ye sayde: beholde, the Lord oure God hath shewed vs his glorye and his greatnesse, Ꟶ we haue herde his voyce out of the myddes of the fyre: we haue sene thys daye, that God doth talke wyth a man, and he yet lyueth.
Deut.5.25	Nowe therfore, why shulde we dye, that thys greate fyre shulde consume vs? If we heare the voyce of the Lord oure God any moare, we shal dye.
Deut.5.26	For what fleshe hath it bene, that euer hearde the voyce of the lyuynge God speakinge out of the myddes of the fyre (as we haue done) and yet dyd lyue?
Deut.5.27	Go thou and here all that the Lord oure God sayeth, and tell thou vnto vs all that the Lord oure God sayeth vnto the and we wyll heare it and do it.
Deut.5.28	And the Lorde hearde the voyce of youre wordes when ye spake vnto me, Ꟶ the Lorde sayde vnto me: I haue herde the voyce of the wordes of thys people, which they haue spoken vnto the, they haue well sayed all that they haue spoken.
Deut.5.29	Oh that ther were such an hert in them that they wolde feare me, Ꟶ kepe all my commaundementes alwaye, that it myghte go wel with them, and with theyr chyldren for euer.
Deut.5.30	Go and saye vnto them: gett you into youre tentes agayne,
Deut.5.31	but stande thou here by me, and I wyll tell the all the commaundementes, ordinaunces and lawes, which thou shalt teache them, that they maye do them in the lande which I geue them to possesse.
Deut.5.32	Take hede therfore, that ye do in dede as the Lorde youre God hath commaunded you, Ꟶ turne not asyde: ether to the ryghte hande or to the lefte:
Deut.5.33	but walke in all the wayes which the Lorde youre God hath commaunded you, that ye maye lyue, and that it maye go well with you, and that ye maye prolonge youre dayes, in the lande which ye shall possesse.
Deut.6.1	These are the commaundementes, ordinaunces and lawes whych the Lord youre God commaunded me to teach you that ye might do them in the lande whether ye go to possesse it:
Deut.6.2	namely, that thou myghtest feare the Lorde thy God, and kepe all hys ordinaunces and hys commaundementes whych I commaunde the: thou and thy sonne, and thy sonnes sonne all dayes of thy lyfe, that thy dayes maye be prolonged.
Deut.6.3	Heare therfore. O Israel, and take hede, that thou do therafter, that it maye go well with the, and that ye maye encrease myghtely, euen as the Lorde God of thy fathers hath promysed the a lande, that floweth wyth mylcke and hony.
Deut.6.4	Heare O Israel, the Lorde oure God is Lorde only,
Deut.6.5	and thou shalt loue the Lorde thy God with all thyne harte, Ꟶ with all thy soule, Ꟶ with all thy might.
Deut.6.6	And these wordes which I commaunde the thys daye, shalbe in thine herte,
Deut.6.7	and thou shalt shewe them vnto thy chyldren, and shalt talke of them when thou art at home in thyne house, and as thou walkest by the waye, and when thou lyest doune, and when thou rysest vp:
