John.0.0	¶ The Gospell of Sayncte Iohn.
John.5.40	And yet wyll ye not come to me, that ye myght haue lyfe.
John.5.41	I receaue not prayse of men.
John.5.42	But I knowe you, that ye haue not the loue of God in you.
John.5.43	I am come in my fathers name and ye receaue me not. If another come in hys awne name, hym wyll ye receaue:
John.5.44	How can ye beleue, which receaue honoure one of another, Ꟶ seke not the honoure that commeth of God onely?
John.5.45	Do not thyncke that I wyll accuse you to my father. Ther is one that accuseth you: euen Moses in whom ye trust.
John.5.46	For had ye beleued Moses, ye wolde haue beleued me for he wrote of me.
John.5.47	But yf ye beleue not hys wrytinges: how shall ye beleue my wordes?
John.6.1	After these thinges Iesus went hys waye ouer the see of Galile whych is the see of Tiberias
John.6.2	Ꟶ a great multitude folowed him, because they sawe his myracles whych he dyd on them that were diseased.
John.6.3	And Iesus went vp into a mountayne, Ꟶ there he sate wyth hys disciples.
John.6.4	And easter, a feast of the Iewes was nye.
John.6.5	When Iesus then lyfte vp his eyes, and sawe a great company come vnto him, he sayeth vnto Philip: whence shall we bye breed, that these maye eate?
John.6.6	This he sayd to proue hym: for he him selfe knewe, what he wolde do.
John.6.7	Philip answered him two hundred peny worthe of breed are not sufficient for them, that euery man maye take a lytell.
John.6.8	One of his disciples (Andrew, Simon Peters brother) sayeth vnto him:
John.6.9	There is a lad here, whych hath fyue barly loues and two fysshes: but what are they amonge so many?
John.6.10	And Iesus sayde. Make the people syt downe. Ther was moch grasse in that place. So the men sate downe in nombre, about fyue thousand.
John.6.11	And Iesus toke the breed: And whan he had geuen thanckes, he gaue to the disciples, and the disciples to them that were set downe: And lykewyse of the fysshes as moch as they wolde:
John.6.12	When they had eaten ynough, he sayeth vnto his disciples: gather vp the broken meate whych remayneth: that nothynge be lost.
John.6.13	And they gathered it together, and fylled twelue baskettes with the broken meate of the fyue barly loaues: whych broken meate remayned vnto them that had eaten.
John.6.14	Then those men (when they had sene the myracle that Iesus dyd) sayd: this is of a trueth the same Prophete, that shulde come into the worlde.
John.6.15	When Iesus therfore perceaued, that they wolde come, Ꟶ take hym vp to make hym kyng, he departed agayne into a mountayne him selfe alone.
John.6.16	And when euen was now come, hys disciples went downe vnto the see,
John.6.17	Ꟶ gat vp into a shippe, and came ouer the see vnto Capernaum. And it was now darcke, and Iesus was not come to them.
John.6.18	And the see arose with a greate wynde that blewe.
John.6.19	So when they had rowen about a .xxv. or .xxx. furlonges, they sawe Iesus walkyng in the see, Ꟶ drawing nye vnto the shippe, Ꟶ they were afrayed.
John.6.20	But he sayeth vnto them: It is I, be not afrayde.
John.6.21	Then wold they haue receaued him into the shyp, Ꟶ immediatly the shyp was at the lande whyther they went.
John.6.22	The daye folowynge whan the people (whych stode on the other syde of the see) sawe, that ther was none other shyp there, saue that one wher into his disciples were entred, Ꟶ that Iesus went not in wyth his disciples into the shyp: but that his disciples were gone awaye alone
John.6.23	(Howbeit, ther cam other shyppes from Tiberias nye vnto the place, where they dyd eate bred, after that the Lord had geuen thankes)
John.6.24	when the people therfore sawe that Iesus was not there, nether hys disciples, they also toke shypping, Ꟶ came to Capernaum, sekynge for Iesus.
John.6.25	And when they had founde hym on the other syde of the see, they sayde vnto hym: Rabbi, when camest thou hyther?
John.6.26	Iesus answered them, and sayde: verely, verely I saye vnto you: ye seke me, not because ye sawe the myracles but because ye dyd eate of the loaues, and were fylled.
John.6.27	Laboure not for the meate whych perissheth, but for that whych endureth vnto euerlastinge lyfe, whych meate the sonne of man shall geue vnto you. For hym hath God the father sealed.
John.6.28	Then sayde they vnto him: what shal we do, that we myght worcke the worckes of God?
John.6.29	Iesus answered Ꟶ sayde vnto them: This is the worcke of God, that ye beleue on him, whom he hath sent,
John.6.30	They sayde therfore vnto him what sygne shewest thou then, that we maye se, and beleue the? What doest thou worcke?
John.6.31	Oure fathers dyd eate Manna in the desert as it is wrytten: He gaue them breed from heauen to eate.
John.6.32	Then Iesus sayde vnto them: verely, verely I saye vnto you: Moses gaue you not that breed from heauen: but my father geueth you the true breed from heauen.
John.6.33	For the breed of God is he, whych commeth downe from heauen, and geueth lyfe vnto the worlde.
John.6.34	Then sayd they vnto him: Lord, euermore geue vs this breed.
John.6.35	And Iesus sayd vnto them. I am the breed of lyfe. He that commeth to me shall not honger: and he that beleueth on me shall neuer thurst.
John.6.36	But I sayde vnto you: that ye also haue sene me, and yet ye beleue not.
John.6.37	All that the father geueth me shall come to me: and he that commeth to me, I cast not awaye?
John.6.38	For I came downe from heauen: not to do that I will, but that he will, whych hath sent me.
John.6.39	And this is the fathers wyll whych hath sent me, that of all whych he hath geuen me, I shall loose nothinge: but rayse them vp agayne at the last daye.
John.6.40	And thys is the will of him that sent me: that euery one whych seeth the sonne and beleueth on him, haue euerlasting lyfe. And I wyll rayse him vp at the last daye.
John.6.41	The Iewes then murmured at him, because he sayd: I am the breed whych came downe from heauen.
John.6.42	And they sayde: Is not this Iesus the sonne of Ioseph, whose father Ꟶ mother we knowe? How is it then that he sayeth, I came downe from heauen?
John.6.43	Iesus answered Ꟶ sayd vnto them. Murmur not amonge youre selues.
John.6.44	No man can come to me, except the father which hath sent me, drawe hym: And I wyll rayse hym vp at the last daye.
John.6.45	It is written in the Prophetes: and they shalbe all taught of God. Euery man therfore that hath hearde, and hath learned of the father, commeth vnto me.
John.6.46	Not that eny man hath sene the father, saue he which is of God: the same hath sene the father.
John.6.47	Uerely, verely, I saye vnto you: he that putteth his trust in me, hath euerlastinge lyfe.
John.6.48	I am that breed of lyfe.
John.6.49	Youre fathers dyd eate Manna in the wyldernes, Ꟶ are deed?
John.6.50	Thys is that breed, whych commeth downe from heauen, that a man maye eate therof, Ꟶ not dye.
John.6.51	I am that lyuinge bread, whych came downe from heauen. If eny man eate of this bread, he shall liue for euer And the breed that I will geue, is my flesshe, whych I will geue for the lyfe of the worlde.
John.6.52	The Iewes therfore stroue amonge them selues, saying: How can this felowe geue vs the flessh of his, to eate?
John.6.53	Then Iesus sayde vnto them: Uerely, verely, I saye vnto you, except ye eate the flesshe of the sonne of man, and drinke his bloude: ye haue no lyfe in you.
John.6.54	Whoso eateth my flesshe Ꟶ dryncketh my bloude, hath eternall lyfe, Ꟶ I wyll rayse him vp at the last daye.
John.6.55	For my fleshe is meate in dede: and my bloude is drincke in dede.
John.6.56	He that eateth my flesshe Ꟶ drinketh my bloude, dwelleth in me and I in him.
John.6.57	As the lyuinge father hath sent me, and I liue for the father: Euen so he that eateth me, shall lyue by the meanes of me.
John.6.58	This is the breed, which cam downe from heauen: not as youre fathers dyd eate Manna, Ꟶ are deed: He that eateth of this breed, shall lyue euer.
John.6.59	These thinges sayd he in the synagoge, as he taught in Capernaum.
John.6.60	Many therfore of his disciples (when they had herde this) sayde: this is an harde sayinge: who can abyde the bearinge of it?
