Gal.4.20	I wolde I ware with you now, and coulde chaunge my voyce: for I stande in a doubte of you.
Gal.4.21	Tell me: ye that desyre to be vnder the lawe, do ye not heare of the lawe?
Gal.4.22	For it is wrytten, that Abraham had two sonnes the one by a bonde mayde, the other by a fre woman.
Gal.4.23	Yee, and he which was borne of the bonde woman, was borne after the flesshe: but he which was of the fre man, was borne by promesse.
Gal.4.24	Which thynges are spoken by an allegorye. For these are two testamentes the one from the mounte Syna, which gendreth vnto bondage, which is Agar.
Gal.4.25	For mounte Syna is Agar in Arabia, and bordreth vpon the cytie, which is nowe called Ierusalem, and is in bondage with her chyldren.
Gal.4.26	But Ierusalem, which is aboue, is fre: which is the mother of vs al.
Gal.4.27	For it is written. Reioyce thou baren, that bearest no chyldren: breake forth and crye, thou the trauaylest not. For the desolat hath many moo chyldren, then she which hathe an husbande.
Gal.4.28	Brethren, we are after Isaac, the children of promes.
Gal.4.29	But as then he that was borne after the flesshe, persecuted hym that was borne after the sprete, euen so is it nowe.
Gal.4.30	Neuerthelesse, what sayth the scripture: put awaye the bonde woman and her sonne. For the sonne of the bonde woman shall not be heyre with the sonne of the fre woman.
Gal.4.31	So then brethren, we are not chyldren of the bonde woman: but of the fre.
Gal.5.1	Stande fast therfore in the liberty wherwith Christ hath made vs fre, and wrappe not youre selues agayne in the yoke of bondage.
Gal.5.2	Beholde, I Paul saye vnto you, that yf ye be circumcised, Christ shall proffyte you nothynge at all.
Gal.5.3	I testyfye agayne to euery man which is circumcised, that he is bonde to kepe the whole lawe.
Gal.5.4	Christ is become but in vayne vnto you. As many of you as are iustifyed by the lawe are fallen from grace.
Gal.5.5	We loke for, and hope in the sprete to be iustifyed thorowe fayth.
Gal.5.6	For in Iesu Christ, nether is circumcisyon any thynge worth, nether yet vncircumcysion but faith which worketh by loue.
Gal.5.7	Ye dyd runne well: who was a let vnto you, that ye shulde not beleue the trueth?
Gal.5.8	Euen the counsell which came not of hym that calleth you.
Gal.5.9	A lytell leuen doth leuen the whole lompe of dowe.
Gal.5.10	I haue trust towarde you in the Lorde, that ye shalbe none otherwyse minded. But he that troubleth you, shall beare his iudgement whatsoeuer he be.
Gal.5.11	Brethren, yf I yet preach circumcisyon, why do I then yet suffre persecucyon? Then is the slaunder of the crosse ceased.
Gal.5.12	I wolde to God, they were separated from you, which trouble you:
Gal.5.13	Brethren, ye were called into libertye: only let not youre libertye be an occasion vnto the flesshe: but by loue serue one another.
Gal.5.14	For all the lawe is fulfylled in one worde, which is this: thou shalt loue thyne neyghboure as thy selfe.
Gal.5.15	If ye byte and deuoure one another: take hede, lest ye be lykewyse consumed one of another.
Gal.5.16	I saye: walke in the sprete, and fulfyll not the lust of the flesshe.
Gal.5.17	For the flesshe lusteth contrary to the sprete, and the sprete contrary to the flesshe. These are contrarye one to the other, so that ye cannot do whatsoeuer ye wolde.
Gal.5.18	But and yf ye be led of the sprete, then are ye not vnder the lawe.
Gal.5.19	The dedes of the flesshe are manyfeste, which are these: aduoutery, fornicacion, vnclennes, wantannes,
Gal.5.20	worshypping of ymages, witchcraft, hatred, variaunce, zele, wrathe, stryfe, sedicyons, sectes,
Gal.5.21	enuyinge, murther, dronkennes, glottonye, and soche lyke: of the which I tell you before as I haue told you in tyme past, that they which commyt soch thinges shall not be inheritours of the kyngdome of God.
Gal.5.22	Contrarely, the frute of the sprete is, loue, ioye, peace, longe sufferinge, gentylnes, goodnes, faythfulnes,
Gal.5.23	mekenes, temperauncye. Agaynst suche there is no lawe.
Gal.5.24	They trulye that are Christes, haue crucifyed the flesshe with the affeccions and lustes.
Gal.5.25	If we lyue in the sprete, let vs walke in the sprete.
Gal.5.26	Let vs not be desirous of vayne glorye, prouokinge one another, enuying one another.
Gal.6.1	Brethren, if a man also be taken in eny faute, ye which are spirituall, helpe to amende hym in the sprete of meaknes: consyderinge thy selfe, lest thou also be tempted.
Gal.6.2	Beare ye one anothers burthen, and so fulfyll the lawe of Christ.
Gal.6.3	For yf any man seme to him selfe that he is somwhat, when in dede he is nothinge, the same, deceaueth his awne mynd.
Gal.6.4	Let euery man proue his awne worke, and then shall he haue reioysinge onelye in hys awne selfe, Ꟶ not in another.
Gal.6.5	For euery man shall beare his awne burthen.
Gal.6.6	Let hym that is taught in the worde, minister vnto him that teacheth him in all good thinges.
Gal.6.7	Be not deceaued, God is not mocked. For whatsoeuer a man soweth, that shall he also reape.
Gal.6.8	For he that soweth in his flesshe, shall of the flesshe reape corrupcyon. But he that soweth in the sprete, shall of the sprete reape lyfe euerlastynge.
Gal.6.9	Let vs not be wery of well doinge. For when the tyme is come, we shall reape without werynesse.
Gal.6.10	Whyle we haue therfore tyme, lett vs do good vnto all men, and specially vnto them which are of the housholde of fayth.
Gal.6.11	Ye se howe large a letter I haue wrytten vnto you with myne awne hande.
Gal.6.12	As many as desire with vtwarde apperaunce to please carnally, the same constrayne you to be circumcised, onely lest they shulde suffre persecutyon for the crosse of Christ.
Gal.6.13	For they them selues which are circumcysed, kepe not the lawe, but desyre to haue you circumcysed, that they myght reioyce in youre flesshe.
Gal.6.14	God forbyd that I shulde reioyce, but in the crosse of oure Lorde Iesu Christ, wherby the worlde is crucifyed vnto me, Ꟶ I vnto the worlde.
Gal.6.15	For in Christ Iesu nether circumcysion auayleth eny thynge at all: nor vncircumcision: but a newe creature.
Gal.6.16	And as many as walke accordynge to thys rule, peace be on them and mercy, Ꟶ vpon Israell, that pertayneth to God.
Gal.6.17	From hence forth, let no man put me to busynes. For I beare in my body the markes of the Lorde Iesu.
Gal.6.18	Brethren, the grace of oure Lorde Iesu Christ be with youre sprete: Amen.
Gal.0.0	¶ The epistle vnto the Galathyans was sent from Rome.
