Isa.0.0	¶ The booke of the prophete Esay
Isa.1.19	If ye be louynge Ꟶ obedient, ye shal enioye the best thyng that groweth in the land.
Isa.1.20	But yf ye be obstinate Ꟶ rebellyous, ye shalbe deuoured wt the swerde: for thus the Lorde hath promised wt his awne mouth.
Isa.1.21	How happepeneth it then that the ryghteous cytie (which was full of equite) is become vnfaythfull as an whore? ryghtuousnes dwelt in it, but now murtherers.
Isa.1.22	Thy syluer is turned to drosse, Ꟶ thy wyne myxte with water.
Isa.1.23	Thy prices are wicked Ꟶ companyons of theues. They loue gyftes altogether, and gape for rewardes. As for the fatherles, they helpe him not to his ryght, nether wyll they lett the wydowes causes come before them.
Isa.1.24	Therfore, sayeth the lorde God of Hostes, the myghty gouerner of Israel, Oute vpon ye, I wyll ease me of myne enemyes, Ꟶ I will auenge me of myne aduersaryes,
Isa.1.25	I shall laye my hand vpon the, Ꟶ burne out thy drosse from the fynest Ꟶ purest, Ꟶ put out all thy tynne,
Isa.1.26	Ꟶ set thy iudges agayne as they were somtyme Ꟶ thy Senatours as they were from the beginynge. Then shalt thou be called the ryghteous cytie, the faythfull cytie.
Isa.1.27	Sion shalbe redemed wt equite, Ꟶ they shal turne againe vnto her in ryghteousnesse.
Isa.1.28	For the transgressours Ꟶ vngodly, and soch as are be come vnfaythfull vnto the Lord, must altogether be vtterly destroyed.
Isa.1.29	For they shall be ashamed of the goddes that you longed for. And ye shall be put to shame for the Idols grouegardens that ye haue chosen:
Isa.1.30	ye shalbe as a tree whose leaues are fallen awaye, Ꟶ as a garden that hath no moystnesse.
Isa.1.31	And as for the glory of your graued Images, it shalbe turned to drye strawe, and he that made them to a sparke. And they shal both burne together, so that no man shalbe able to quench them.
Isa.2.1	Thys is the worde that was opened vnto Esay the sonne of Amos, vpon Iuda Ꟶ Ierusalem.
Isa.2.2	It wilbe also in the last dayes that the hyll where the house of the Lorde is builded, shall be the chefe amonge hylles, and exalted aboue all lytle hylles. And all nacyons shall preace vnto hym, and the multytude of people shal go
Isa.2.3	speaking thus one to another: vp, let vs go to the hyll of the Lord, Ꟶ to the house of the God of Iacob: that he maye shewe vs his waye, and that we maye walcke in his pathes. For the lawe shall come out of Sion, and the word of the Lorde from Ierusalem,
Isa.2.4	and shall geue sentence amonge the Heathen, and shall reforme the multitude of people: They shall breake theyr swerdes also in to mattockes, and theyr speares to make sythes. And one people shall not lyft vp weapen against another, nether shal they learne to fyght from thens forth.
Isa.2.5	Come ye (O house of Iacob) let vs walcke in the lyght of the Lorde.
Isa.2.6	But thou hast forsaken thy people the house of Iacob, because they go farre beyonde the east contreys in Sorceryes (whom they haue as the Philistines had) and in straunge chyldren they thinke them selues to haue ynough.
Isa.2.7	Theyr land is full of siluer and gold, nether is there any ende of theyr treasure: Theyr land is also full of horses, Ꟶ no ende is there of theyr charets.
Isa.2.8	Theyr lande is also full of vayne goddes, and before the worcke of theyr awne handes haue they bowed them selues, yee, euen before the thinge that theyr awne fyngers haue made.
Isa.2.9	There kneleth the man, there falleth the man downe before them, but thou (o Lorde) wilt not leaue them vnpunished.
Isa.2.10	And therfore get the in to some rock, and hyde the in the grounde for feare of the Lord, and for the glory of his magestye:
Isa.2.11	Which casteth downe the high lookes of presumptuous personnes, and bringeth lowe the pryde of man, and the Lorde only shall be exalted in that daye.
Isa.2.12	For the daye of the Lord of Hostes shall go ouer al pride and presumption, vpon all them that exalte them selues, and shall brynge them all downe:
Isa.2.13	vpon all the hygh and stoute Cedre trees of Libanus, Ꟶ vpon all the okes of Basan,
Isa.2.14	vpon all hygh hylles, and vpon all stoute mountaynes,
Isa.2.15	vpon all costly towres, Ꟶ vpon all stronge walles,
Isa.2.16	vpon all shyppes of Tharsis, and vpon euery thyng that is glorious and pleasaunt to loke vpon.
Isa.2.17	And it shall brynge downe the pryde of man, and laye mans presumptuousnesse full lowe, and the Lorde shall only haue the vyctory in that daye.
Isa.2.18	But the Idols shall vtterly be roted out.
Isa.2.19	Men shall crepe in to holes of stone, and into caues of the earth, for feare of the Lorde, and for the glory of hys magesty: what tyme as he shall aryse vp to condemne the earth.
Isa.2.20	Then shall man cast awaye hys goddes of syluer, and hys goddes of gold (which he neuertheles had made to honour them) vnto Molles Ꟶ Backes:
Isa.2.21	And they shall crepe in to the caues and rockes, Ꟶ into the clyftes of hard stones, for feare of God, and for the glory of hys magestye, whan he ryseth to condemne the earth.
Isa.2.22	Feare not ye then any man, whose breth is in hys nostrels. For what is he of reputacion?
Isa.3.1	For lo, the Lorde God of Hostes doth take awaye from Ierusalem and Iuda, all possessions Ꟶ power al meat and dryncke,
Isa.3.2	the captayne and the soudyar, the iudge and prophete, the wyse and the aged man,
Isa.3.3	the prince of fyftie yeare olde, and the honorable: the Senatours, and men of vnderstandynge: the master of craftes and oratours.
Isa.3.4	And I shall geue them children to be theyr princes, Ꟶ babes shall haue the rule of you.
Isa.3.5	The people also shalbe pylled and polled, and one shall euer be doynge violence and wronge to another. The boye shall presume agaynst the elder, and the vyle persone agaynst the honorable.
Isa.3.6	Yee, one shall take a frende of hys awne kynred by the bosome, and saye: thou hast clothynge, thou shalt be our head, for thou mayest kepe vs from thys fall Ꟶ parell.
Isa.3.7	Then shall he sweare Ꟶ saye I cannot helpe you. Moreouer, there is nether meate ner clothyng in my house, make me no ruler of the people.
Isa.3.8	For Ierusalem is ouerthrowne Ꟶ Iuda must fall to the grownde, because that both theyr wordes Ꟶ councels are agaynst the Lorde, to prouoke the presence of hys magesty vnto anger.
Isa.3.9	The chaungynge of theyr countenaunce bewrayeth them, yee, they declare theyr awne synnes, them selues, as the Sodomites, Ꟶ hyde them not. Wo be vnto theyr soules for they haue retourned euyll vnto them selues.
Isa.3.10	Byd the ryghteous do well, for they shall enioye the frutes of theyr studies.
Isa.3.11	But wo be to the vngodly and vnryghteous, for they shalbe rewarded after theyr worckes.
Isa.3.12	Children are extorcioners of my people, and wemen haue rule of them. O my people, those that call the blessed deceaue the, and depraue the waye of thy fotesteppes.
Isa.3.13	The Lorde is rysen vp to commen of the matter, and standeth vp (I saye) to geue iudgement of the people.
Isa.3.14	The Lorde shall come forth to reason with the Senatours and prynces of hys people. It is ye that haue burnt vp my vyneyarde, the extorcyon done to the poore is in your houses.
Isa.3.15	Wherfore do ye oppresse my people, Ꟶ marre the faces of the poore? sayeth the Lorde God of hostes.
Isa.3.16	Moreouer, thus sayth the lord: Seing the daughters of Sion are be come so proude, and come in wt stretched out neckes and with vayne wanton eyes: seynge they come in tryppyng so nycely with theyr fete:
Isa.3.17	Therfore shall the Lorde shaue the heades of the daughters of Sion, and shal discouer theyr shame.
Isa.3.18	In that daye shall the Lord take awaye the gorgiousnes of theyr apparell, and spanges, cheynes, partelettes,
Isa.3.19	and colarres, bracelettes and hooues,
Isa.3.20	the goodly floured, wyde and brodered rayment, brooches, and headbandes,
Isa.3.21	rynges and garlandes,
Isa.3.22	holy daye clothes and vales, kerchefes and pinnes,
Isa.3.23	glasses and cypresses, bonettes and taches.
Isa.3.24	And in steade of good smell, there shalbe stynck amonge them. And for theyr gyrdles there shalbe lowse bandes. And for well sett heare there shalbe baldenesse. In steade of a stomacher, a sack cloth, and for theyr bewty witherdnesse, and sonne burnyng.
Isa.3.25	Youre housbandes and myghtie men shall perysh with the swerde in batayle.
Isa.3.26	At that tyme shal theyr gates mourne and complayne, and they shall sytt as desolate folck vpon the earth.
Isa.4.1	Then shall seuen wyues take holde of one man, and saye: we wyll laye all our meate and clothynge together in comen, only that we may be called thy wyues, Ꟶ that thys shamefull reprofe maye be taken from vs.
Isa.4.2	After that tyme shall the braunche of the Lorde be bewtyfull and myghtye, and the frute of the earth shalbe fayre and pleasaunt for those Israelytes that shal spring therof.
Isa.4.3	Then shall the remnaunt in Sion Ꟶ the remnaunt at Ierusalem be called holy: Namely all soch as are wrytten among the lyuynge at Ierusalem:
Isa.4.4	What tyme as the Lorde shall wasth awaye the fylthynes of the daughters of Sion, and pourge the bloude out from Ierusalem with the wynde of hys iudgmente and with fyre.
Isa.4.5	Moreouer, vpon all the dwellynges of the hyll of Sion and vpon theyr whole congregacion, shall the Lorde prouyde a cloude and smoke by daye, Ꟶ the shynynge of a flammynge fyre by nyght: for all theyr glory shalbe preserued.
Isa.4.6	And Ierusalem shall be a tabernacle for a shadowne because of hete in the daye tyme a place and refuge where a man maye kepe hym from wether Ꟶ rayne.
Isa.5.1	Now will I syng my beloued frende a songe of my frendes, because of hys vyneyarde. My beloued frende hath a vyneyarde in a very frutefull plenteous grounde.
Isa.5.2	This he hedged, thys he walled rounde aboute, and planted it with goodly grapes. In the myddest of it buylded he a towre, and made a wyne presse therin. And afterwarde when he loked that it shulde brynge him grapes, it brought forth thornes.
Isa.5.3	Now therfore (O ye Cytysens of Ierusalem and whole Iuda:) Iudge I praye you betwixte me, and my vyneyard.
Isa.5.4	What more could haue bene done for it that I haue not done? Wherfore then hath it geuen thornes, where I loked to haue had grapes of it?
Isa.5.5	Well, now I shall tell you how I wyll do with my vyneyarde: I will take the hedge from it, that it maye perysh, and breake downe the wall, that it maye be troden vnder fote.
Isa.5.6	I will laye it waste, that it shall nether be digged nor cut, but beare thornes and brears. I will also forbyd the cloudes that they shall not rayne vpon it.
Isa.5.7	As for the vyneyarde of the Lord of hostes it is the house of Israel, and whole Iuda hys fayre planting. Of these he loked for equite, but se there is wrong: for ryghteousnesse, lo, It is but mysery.
Isa.5.8	Wo vnto them that ioyne one house to another, Ꟶ bring one lande so nygh vnto another, that the poore can get no more grounde, Ꟶ that ye maye dwel vpon the earth alone.
Isa.5.9	These thynges are in the ears of the Lorde of Hostes: shall not many greater Ꟶ more gorgyous houses be so waste, that no man shall dwell in them?
Isa.5.10	And ten akers of vynes shal geue but a Quarte, and .xxx. bushels of sede shall geue but an Epha.
Isa.5.11	Wo be vnto them, that ryse vp early to folowe dronckennes, and to them that continue so, vntyll nyght, Ꟶ tyl they be sett on fyre with wyne.
Isa.5.12	In those companyes are harpes and lutes, tabrettes Ꟶ pipes, and wyne. But they regarde not the worcke of the Lord, and consydre not the operacyon of his handes.
Isa.5.13	Therfore commeth my folk also into captyuite, because they haue no vnderstandynge. Theyr glory is fameshed with hunger, and theyr pryde is marred for thyrste.
Isa.5.14	Therfore gapeth hell, and openeth her mouth maruelous wyde: that theyr pryde, boastinge and welth, with soch as reioyse therin, maye descende into it.
Isa.5.15	Thus hath man a fall, and is brought lowe, and the hygh loke of the proude shalbe layde downe.
Isa.5.16	But the Lord of hostes is exalted in iudgement, and God that is holy, is praysed in ryghteousnes:
Isa.5.17	Then shall the shepe eate in ordre, and the rych mens landes that were layde waist, shall straungers deuoure.
Isa.5.18	Wo be vnto them, that drawe wyckednes vnto them with coardes of vanite and synne, as it were with a cart rope.
Isa.5.19	Which vse to speake on thys maner: let hym make haste nowe, Ꟶ go forth with hys worcke, that we maye se it. Lett the councell of the holy one of Israel come, and drawe nye, that we maye knowe it.
Isa.5.20	Wo be vnto them that call euell good, and good euell, which make darcknesse lyght, Ꟶ lyght darcknesse, that make sowre swete, Ꟶ swete sowre.
Isa.5.21	Wo be vnto them that are wyse in theyr awne syght, and thynke them selues to haue vnderstandynge.
Isa.5.22	Wo be vnto them, that are strong to suppe out wyne and experte men to sett vp dronckenesse.
Isa.5.23	These geue sentence with the vngodly for rewardes, but comdempne the iust cause of the ryghteous.
Isa.5.24	Therfore, lyke as fyre lycketh vp the strawe, and as the flame consumeth the stubble: Euen so theyr rote shalbe as corrupcion: and theyr blossome shall vanysh awaye lyke dust: for they haue cast awaye the lawe of the Lord of Hostes, Ꟶ blasphemed the word of the holy maker of Israel.
Isa.5.25	Therfore is the wrath of the Lord kindled also agaynst hys people, and he shaketh his hande at them: yee, he hath smyten, so that the hylles dyd tremble. And theyr karcases dyd lye in the open streates, lyke myre. And in all thys, the wrath of God hath not ceassed, but hys hande is stretched out styl.
Isa.5.26	And he shall gyue a token vnto a straunge people: and call vnto them in a farre countre: and beholde, they shall come hastely with spede.
Isa.5.27	There shall not be one faynt nor feble amonge them, no not a slogysh nor slepery persone. There shall not one of them put of the gyrdle from his loynes, ner lowse theyr lachet of his shooe.
Isa.5.28	Hys arowes are sharpe, Ꟶ al his bowes bent. His horse hoofes are lyke flynt, Ꟶ his cartwheles lyke a stormy wynde.
Isa.5.29	His crye is as it were of a lyon, and he roareth lyke lyons whelpes. They shall roare, Ꟶ hantch vp the praye, Ꟶ no man shall recouer it or get it from them.
Isa.5.30	In that daye they shalbe so fearce vpon them, as the see. And yf we looke vnto the lande, beholde, it shalbe all darcknesse Ꟶ sorowe. If we loke toward heauen: beholde, it shalbe darcke.
Isa.6.1	In the same yeare that kinge Oziah dyed, I sawe the Lorde syttynge vpon an hygh and glorious seate, Ꟶ his trayne fylled the temple.
Isa.6.2	And aboute him stode the Seraphins, wherof euery one had sixe winges. With twayne eche couered his face, wt twayne hys fete, and with twayne dyd he flye,
Isa.6.3	They cried also eche one to ather on thys maner: holy, holy, holy, is the Lord of Hostes. The whole worlde is full of his glory.
Isa.6.4	Yee, the geastes and dorechekes moued at his cryeng, and the house was full of smoke.
Isa.6.5	Then I sayde, O wo is me For I am lost in asmoch as I am a man of vncleane lyppes, Ꟶ dwell amonge people that hath vncleane lyppes also: for myne eyes haue sene the Kynge and Lorde of Hoostes.
Isa.6.6	Then flewe one of the Seraphins vnto me, hauynge a hote cole in his hande, which he had taken from the aulter with the tonges,
Isa.6.7	and touched my mouth, and sayde, lo: this hath touched thy lyppes, Ꟶ thyne vnryghteousnes is taken awaye, Ꟶ thy synne forgeuen.
Isa.6.8	Also, I herd the voyce of the Lord sayenge on this maner: Whom shall I send, and who wylbe oure messaunger? Then I sayde: here am I, sende me.
Isa.6.9	And he sayde, go, and tell this people: ye shall heare in dede, but ye shall not vnderstande: ye shall playnely se, and not perceaue.
Isa.6.10	Harden the harte of this people, stoppe theyr eares, and shut theyr eyes, that they se not with theyr eyes, heare not with theyr eares, and vnderstand not with theyr hertes, and conuerte and be healed.
Isa.6.11	Then spake I: Lorde, how longe? he answered: vntill the cyties be vtterly wasted without inhabitours, Ꟶ the houses without men, tyll the lande be also desolate, and lye vnbuylded.
Isa.6.12	For the Lorde shall take the men farre awaye, so that the lande shal lye waste a longe season,
Isa.6.13	yet in yt shall succeade .x. kinges, and the lande shall retorne and be layde waste. And as The terebint tre and oke in winter cast ther leaues, and yet haue ther sappe in them so shall the holy sead contynue in theyr substance.
Isa.7.1	It happened in the tyme of Ahaz the sonne of Iotham, which was the sonne of Uziah Kynge of Iuda: that Razin the Kynge of Syria, and Pechah the sonne of Romelyah, kynge of Israel: went vp toward Ierusalem to besege it, but Razin was not able to winne ye.
Isa.7.2	Now when the house of Dauid (that is Ahaz) herde worde therof, that Syria Ꟶ Ephraim were confederate together: his herte quaked (yee and the hertes also of his people) lyke as whan a tree in the felde is moued with the wynde.
Isa.7.3	Then sayde God vnto Esay: go mete Ahaz (thou and thy sonne Sear Iasub) at the head of the ouer pole, in the fote path by the fullers grounde,
Isa.7.4	Ꟶ saye vnto hym, take hede to thy selfe Ꟶ be styll, but feare not, nether be faynt harted, for these two tayles: that is: for these two smokyng fyre brandes, the wrath and furiousnes of Razin the Syrian and Romelies sonne:
Isa.7.5	because that the kynge of Syria Ephraim and Romelies sonne haue wickedly conspyred agaynst the saying:
Isa.7.6	We wyll goo vp agaynst Iuda, vexe them, and brynge them vnder vs, and set a kynge there, euen the sonne of Tabeel
Isa.7.7	For thus sayeth the Lorde God therto, It shal not so goo forth, nether come so to passe:
Isa.7.8	for the head cytie of the Sirians is Damascus, but the head of Damascus is Rayzin. And after fyue Ꟶ threscore yeare, shall Ephraim be no more a people.
Isa.7.9	And the chefe cytie of Ephraim is Samaria, but the head of Samaria is Romelies sonne. Yf ye beleue not: it commeth of thys: that ye are vnfaithfull to God.
Isa.7.10	Moreouer, God spake once agayne vnto Ahaz, sayinge,
Isa.7.11	requyre a token of the Lorde thy God, whether it be toward the depth beneth, or towarde the heygth aboue.
Isa.7.12	Then sayd Ahaz: I will requyre none, nether wyll I tempte the Lorde
Isa.7.13	The Lorde answered: Then heare to, ye of the house of Dauid: Is it not ynough for you that ye be greuous vnto men, but ye must greue my God also.
Isa.7.14	And therfore the Lord shall geue you a token: Behold, a vyrgin shall conceaue and beare a sonne, and (thou hys mother) shalt cal his name Emanuel.
Isa.7.15	Butter and hony shall he eate, that he maye knowe to refuse the euell, and chose the good.
Isa.7.16	For or euer the chyld come to knowledge, to eschue the euel and chose the good. The lande (that thou so Abhorrest) shalbe desolate of both her kynges.
Isa.7.17	The Lorde also shall sende a tyme vpon the, vpon thy people, Ꟶ vpon thy fathers house (soch as neuer came sence the tyme that Ephraim departed from Iuda) thorowe the kynge of the Assirians.
Isa.7.18	For at the same tyme shall the Lord whystle for the flyes that are aboute the water of Egypt, and for the Bees in the Assirians lande.
Isa.7.19	These shall come, and shall lyght all in the desolate valeyes, in the holes of stones, vpon all thornye and bushye places.
Isa.7.20	At the same tyme shall the Lord shaue the heare of the head and the fete and the beerd cleane of, with the rasoure that he shall hyer beyonde the water: namely, with the kynge of the Assirians.
Isa.7.21	At the same tyme shall a man lyue with a kowe, and two shepe.
Isa.7.22	Then, because of the aboundaunce of mylck, he shall make butter Ꟶ eate it. So that euery one which remayneth in the lande, shall eate butter and hony.
Isa.7.23	At the same tyme all vyneyardes (though there be a thousande vynes in one, Ꟶ were solde for a thousande syluerlynges) shalbe turned to brears Ꟶ thornes.
Isa.7.24	Lyke as they shall come in to the lande wt arowes Ꟶ bowes, so shall all the lande be come brears and thornes.
Isa.7.25	And as for al hylles that are hewen downe, ther shall not come vpon them anye feare of brears Ꟶ thornes. But the catell shal be dryuen thyther, and the shepe shall fede there.
Isa.8.1	Moreouer, the lord sayd vnto me: Take the a greate leaf, Ꟶ write in it, as men do wt a penne, make hastye spede to robbe, Ꟶ haste to the spoyle.
Isa.8.2	And I called vnto me faythfull witnesses to recorde. Uryah the prest, Ꟶ zachariah the sonne of Barachiah.
Isa.8.3	After that went I vnto the Prophetisse, that had conceaued Ꟶ borne a sonne. Then sayde the Lorde to me: geue him this name: a spedie robber: an hastie spoiler.
Isa.8.4	For why, or ouer the chylde shal haue knowledge to crye father, Ꟶ mother: shall the ryches of Damascus Ꟶ the substaunce of Samaria be taken awaye by the spoyler, before the kyng of the Assirians.
Isa.8.5	The Lorde spake also vnto me, sayinge:
Isa.8.6	for so moch as thys people refuseth the still rennynge water of Sylo, and put theyr delyte in Razin Ꟶ Romelies sonne:
Isa.8.7	Behold, the Lorde shall brynge myghtie Ꟶ greate floudes of water vpon them: namely, the kynge of the Assirians with all his power: Which shall clyme vp vpon all his floudes, and renne ouer all theyr banckes.
Isa.8.8	And shal breake in vpon Iuda, flowinge Ꟶ increasing in power, tyll he gett him by the neck. He shall fyll also the widenesse of thy lande with hys brode winges, O Emanuel.
Isa.8.9	Breake downe (o ye peple of Assur) and ye shall be, broken downe: herken to all ye of farre countrees. Muster you, and you shalbe broken downe, prepare you to batell and you shall be torne in peces:
Isa.8.10	take your councell together, yet must your councel come to naught: go in hande withall, yet shall it not prospere: for God is with vs.
Isa.8.11	For the Lord spake thus to me in the powre of his hande, Ꟶ warned me, sayinge vnto me: that I shulde not walcke in the waye of this people. He sayde moreouer:
Isa.8.12	rounde with none of them, whosoeuer saye: yonder people are bounde together: feare them not, nether be afrayd of them,
Isa.8.13	but sanctifie the Lord of Hostes, lett hym be youre feare and drede.
Isa.8.14	For he shall be the holy place to flye to, and stone to stomble at: the rock to fall vpon: a snare and net to both the houses of Israel, and the inhabitours of Ierusalem.
Isa.8.15	And many shall stomble, fall, and be broken vpon hym: yee, they shalbe snared Ꟶ taken.
Isa.8.16	Now laye the witnesses together Ꟶ seale the lawe wt my disciples.
Isa.8.17	Thus wil I wayte vpon the Lorde that hath turned his face from the house of Iacob, and I will loke for him.
Isa.8.18	But lo, as for me, and the children which the lord hath geuen me: we are a token and a wondre in Israel, for the Lord of Hostes sake, which dwelleth vpon the hyll of Sion.
Isa.8.19	And yf they saye vnto you: aske councell at the sothesayers, witches, charmers and coniurers, then make them thys answere. Is there a people eny where, that asketh not councell at his God? Shulde men renne vnto the dead for the lyuynge?
Isa.8.20	If eny man want lyght, leet hym loke vpon the lawe, and the testimony, whether they speake not after this meaning.
Isa.8.21	If he do not thys, he stombleth and suffreth hunger. And yf he suffre hunger he is out of pacience, and blasphemeth his kyng Ꟶ his God. Then loketh he vp warde, Ꟶ downe warde to the earth,
Isa.8.22	Ꟶ beholde, there is trouble and darckenesse, vexacion is rounde aboute hym, and the cloude of erroure. And out of soch aduersite, shal he not escape.
Isa.9.1	Euen lyke as in tyme past, it hath bene well sene, that the lande of zabulon and the lande of Nephtaly (where thorow the see waye goeth ouer Iordane into the lande of Galilee) was at the fyrst in lytle trouble: but afterwarde sore vexed.
Isa.9.2	The people that walke in darckenes haue sene a greate lyght. As for them that dwell in the lande of the Shadowe of death, vpon them hath the lyght shyned.
Isa.9.3	Thou hast multyplyed the people, Ꟶ not increased theyr ioye. They reioyse before the, euen as men make mery in haruest, and as men that haue gotten the victory, when they deale the spoyle.
Isa.9.4	For thou hast broken the yocke of the peoples burthen: the staff of hys shoulder and the rod of hys oppressoure, as in the dayes of Madian.
Isa.9.5	And trulie euery batayll that the warryoure accomplissheth, is done wt confused noyse Ꟶ defylinge ther garmentes wt bloude: But this batayle shall be wt burnynge Ꟶ consumynge of fyre.
Isa.9.6	For vnto vs a chylde is borne, Ꟶ vnto vs a sonne is geuen. Upon hys shoulder doth the kyngdome lye, and he is called wt hys awne name: wonderfull. The geuer of councell, the myghtye God, the euerlasting father, the prince of peace,
Isa.9.7	he shall make no ende to encrease the kyngdome Ꟶ peace, Ꟶ shall syt vpon the seate of Dauid Ꟶ in his kyngdome, to set vp the same, Ꟶ to stablish it wt equyte and ryghteousnesse, from hence forth for euermore. Thys shall the gelousy of the Lorde of Hostes brynge to passe.
Isa.9.8	The Lorde sent a worde into Iacob, the same is come into Israel.
Isa.9.9	And all the people of Ephraim shall knowe, and they that dwell in Samaria, that can saye with pryde and hye stomackes, on this maner.
Isa.9.10	The tyle worcke is fallen downe, but we will buylde it wt squared stones. The Molbery tymbre is broken, but we shall sett it vp agayne with Cedre.
Isa.9.11	Neuertheles, the Lord shall prepare Razin the enemye agaynst them, and so ordre theyr aduersaryes,
Isa.9.12	that the Sirians shall laye holde vpon them before, and the Philistynes behynde, and so deuoure Israel with open mouth. After all thys is not the wrath of the Lorde ceassed, but yet hys hande stretched oute styll.
Isa.9.13	For the people turneth not vnto hym that chastyseth them, nether do they seke the Lorde of Hostes.
Isa.9.14	Therfore hath the Lorde roted oute of Israel both head and tayle, braunche and twigge in one daye.
Isa.9.15	By the head, is vnderstande the Senatoure and honorable man, and by the tayle the Prophet that preached lyes.
Isa.9.16	For all they which enfourme the people that they be in a ryght case, soch be disceauers. Soch as men thyncke also to be perfecte among these, are but cast awayes.
Isa.9.17	Therfore shall the Lorde haue no pleasure in theyr yonge men, nether fauoure theyr fatherlesse Ꟶ wydowes. For they are all together ypocrytes and wycked, and all theyr mouthes speake foly. After all thys is not the Lordes wrath ceassed, but yet hys hande is stretched out styll.
Isa.9.18	For vngodlynesse burneth, as a fyre in the bryers and thornes. And as it were out of a fyre in a wood or a rede bush, so ascendeth the smoke of theyr pryde.
Isa.9.19	For cause of the wrath of the Lorde of Hostes, is the lande full of darckenesse, and the people be consumed, as it were with fyre, no man doth spare his brother,
Isa.9.20	but he robbyth on the ryght hand: Ꟶ doth famishe, he eateth on the lefte hande, and he shall not haue ynough. Euery man shall eate the flesh of his awne arme.
Isa.9.21	Manasses shall eate Ephraim, and Ephraim. Manasses, and they both shall eate Iuda. After all thys is not the Lordes wrath ceassed, but yet is hys hande stretched out styll.
Isa.10.1	Wo be vnto them that make vnryghteous lawes, Ꟶ deuyse thinges, which be to harde for to kepe:
Isa.10.2	wher thorow the poore are oppressed, on euery syde, and the innocentes of my people robbed of iudgement: that wyddowes maye be theyr praye, and that they maye robbe the fatherlesse.
Isa.10.3	What will ye do in tyme of the visitacyon, and whan destruccion shall come from farre? To whom wyll ye ronne for helpe? and to whom wyll ye geue youre honoure, that he maye kepe it?
Isa.10.4	that when I with drawe my hande ye come not amonge the presoners, or lye amonge the deed? After all this doth not the wrath of the Lord ceasse, but yet is his hande stretched out styll.
Isa.10.5	Wo be also vnto Assur, which is a staf of my wrath, in whose hande is the rod of my punyshement.
Isa.10.6	I shall sende hym amonge those ypocritish people, amonge the people that haue deserued my dysfauoures shall I send hym: that he may vtterly robbe them, spoyle them, and treade them downe lyke the myre in the strete.
Isa.10.7	Howbeit, his meanyng is not so nether thynketh his hert of thys fasshyon. But he ymagineth onely, how he may rote out and destroye moch people,
Isa.10.8	for he sayeth are not my Prynces all Kynges?
Isa.10.9	Is not Calno as easye to wynne, as Charchamis? Is it harder to conquere Hamath then Arphad? Or is it lyghter to ouercome Damascus then Samaria?
