Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.2.19	Thyne awne wickednesse shall reproue the, Ꟶ thy turnynge awaye shall condemne the: that thou mayest knowe Ꟶ vnderstande: howe euell and hurtfull a thynge it is, that thou hast forsaken the Lorde thy God, Ꟶ not feared him, sayeth the Lorde God of Hostes.
Jer.2.20	I haue euer broken thy yock of olde, Ꟶ burste thy bondes: yet sayest thou, I wyll nomore offend, but (lyke an harlot) thou runnest about vpon all hye hilles, Ꟶ amonge all grene trees,
Jer.2.21	where as I planted the as a noble vyne, Ꟶ a good rote whose seed is all faithfull. How art thou turned then in to a bytter, vnfrutefull, Ꟶ straunge grape?
Jer.2.22	Yee, Ꟶ that so sore: that though thou washe the wt Nitrus Ꟶ make thy selfe to sauoure with that swete smellinge herbe of Borith: yet in my syght thou art stayned wyth thy wyckednesse, sayeth the Lorde thy God.
Jer.2.23	Saye not nowe: I am not vnclene, and I haue not folowed Baal. Loke vpon thyne awne wayes in the woddes, valleys and dennes: so shalt thou knowe, what thou hast done. Thou art lyke a swyft Dromedary, that goeth easely his waye:
Jer.2.24	and thy wantonnes is lyke a wylde Asse, that vseth the wyldernesse, and that snoffeth and bloweth at his wyll. Who can tame the? All they that seke the shall not fayle, but fynde the in thyne awne vnclennes
Jer.2.25	Kepe thou thy fote from nakednes, and thy throte from thyrste, and without shame thou answerest. No, for I haue loued straungers and them will I folowe.
Jer.2.26	Lyke as a thefe that is taken with the dede commeth to shame, euen so is the house of Israel come to confusion: the comen people, their kynges and rulers, their prestes Ꟶ prophetes.
Jer.2.27	For they saye to a stocke, thou art my father, and to a stone: thou hast begotten me yee, they haue turned their backe vpon me, Ꟶ not their face. But in the tyme of their trouble, when they saye: stande vp, and helpe vs,
Jer.2.28	I shall answere them: Where are nowe thy goddes, that thou hast made the? lett them stande vp, Ꟶ helpe the in the tyme of nede? yf they be able. For loke howe many cyties thou hast (O Iuda) so many goddes hast thou also.
Jer.2.29	Wherfore then will ye goo to lawe with me, seynge yee all are synners agaynst me, sayeth the Lorde?
Jer.2.30	It is but lost laboure, that I smyte youre chyldren, for they receaue not my correccion. Youre awne swearde destroyeth youre prophetes, lyke a deuouringe lyon.
Jer.2.31	O ye people, loke vpon the worde of the Lorde. Am I then become a wyldernesse vnto the people of Israel? or a lande that hath no lyght? Wherfore sayeth my people then: we are Lordes, we will come no more vnto the?
Jer.2.32	Doth a mayden forget her rayment, or a bryde her stomacher? But as for my people they haue forget me, dayes innumerable.
Jer.2.33	Why boastest thou thy wayes so hylie (to optayne fauoure there thorowe) when thou hast yet stayned them with blasphemyes? and teachest thyne awne wayes.
Jer.2.34	Upon thy wynges is founde the bloude of poore and innocent people, Ꟶ that not in corners Ꟶ holes only, but openly in all these places.
Jer.2.35	Yet darest thou saye: I am gyltlesse. Tush, his wrath can not come vpon me. Beholde, I condempne the in iudgement, because thou darest saye: I haue not offended.
Jer.2.36	And why runnest thou so often to and fro, to chaunge thy wayes? For thou shalt be confounded, as well of Egypte, as of the Assyrians:
Jer.2.37	yee, thou shalt go thy waye from them, and smyte thyne handes together vpon thy head. Because the Lorde doth abhorre that confydence and hope of thyne, and thou shalt not prospere with all.
Jer.3.1	Comenly, when a man putteth awaye his wyfe, and she goeth from him Ꟶ marieth with another, then the questyon is: shulde he resorte vnto her eny more after that? Is not this felde then defyled and vncleane? But as for the, thou hast played the harlot with many louers, yet turne agayne to me, sayeth the Lorde.
Jer.3.2	Lyft vp thyne eyes vnto the hilaulters Ꟶ loke, yf thou be not defyled with whoredome. Thou hast wayted for them in the stretes, and as a murtherer in the wyldernesse. Thorowe thy whordome Ꟶ shamefull blasphemyes, is the lande defyled.
Jer.3.3	This is the cause, that the rayne Ꟶ eueninge dewe hath ceased. Thou hast gotten the an whores forehead, and wilt not be ashamed.
Jer.3.4	Els woldest thou saye vnto me: O my father, thou art he that hast brought me vp, Ꟶ led me fro my youth:
Jer.3.5	Wylt thou then put me awaye, Ꟶ cast me of for euer? Or wilt thou withdrawe thy selfe cleane fro me? Neuertheles, thou speakest soch wordes, but thou art euer doinge worse and worse.
Jer.3.6	The Lorde sayde also vnto me: in the tyme of Iosiah the kynge: Hast thou sene what that rebellyon Israel hath done? howe she hath runne vp vpon all the hylles, and amonge all thick trees, and there played the harlot.
Jer.3.7	hast thou sene also (when she had done all thys) howe I sayde vnto her: that she shulde turne agayne vnto me, Ꟶ yet she is not returned? Iuda that vnfaythfull syster of hers also sawe thys:
Jer.3.8	Namely, that after I had well sene the aduoutrye of the shrynckyng harlot Israel, I put her awaye, and gaue her a byll of deuorcement. For all this, her vnfaythfull syster Iuda was not ashamed, but went backe Ꟶ played the whore also:
Jer.3.9	Yee, and the noyse of her whordome hath defyled the whole lande. For she hath commytted fornycacyon wyth stones and stockes.
Jer.3.10	Neuerthelesse, her vnfaythfull syster Iuda is not turned vnto me agayne wyth her whole herte, but faynedly, sayeth the Lorde.
Jer.3.11	And the Lorde sayde vnto me: The backslyder Israell is more ryghtuous, then the vnfaythfull Iuda:
Jer.3.12	Ꟶ therfore go preache these wordes towarde the north, and saye: Thou disobedient Israell, turne agayne (sayeth the Lorde) Ꟶ I wyll not let my wrathe fall vpon you, for I am mercyfull (sayeth the Lorde) Ꟶ I wyll not alwaye beare displeasure agaynst the:
Jer.3.13	but this I will, that thou knowe thy greate blasphemy: Namely, that thou hast vnfaythfully forsaken the Lorde thy God, Ꟶ hast made thy selfe partake of straunge Goddes vnder all grene trees, but hast had no wyll to heare my voyce, sayeth the Lorde.
Jer.3.14	O ye disobedient chyldren, turne agayne sayeth the Lorde: Ꟶ I wyll be maryed wyth you. For I wyll take one out of the cytie, Ꟶ two out of one generacyon, from amonge you, and brynge you in to Syon:
Jer.3.15	and wyll geue you herdmen after myne awne mynde, which shall fede you with learnynge and wysdome.
Jer.3.16	Moreouer, when ye be increased and multiplyed in the lande, then (sayeth the Lorde) there shall no more boast be made of the arcke of the Lordes testament: No man shall thinke vpon it, nether shall any man make mencyon of it: for from thence forth it shall nether be vysyted, ner honoured with gyftes.
Jer.3.17	Then shall Ierusalem be called the Lordes seate, Ꟶ all Heathen shalbe gathered vnto it, for the name of the Lordes sake, which shalbe set vp at Ierusalem. And from the tyme forth, they shall folowe no more the ymaginacyon of their awne frowarde herte.
Jer.3.18	Then those that be of the house of Iuda, shall go vnto the house of Israell: Ꟶ they shall come together out of the North, into the same lande that I haue geuen your fathers.
Jer.3.19	I haue shewed also, howe I toke the vp beynge but a childe Ꟶ gaue the a pleasaunt lande for thyne herytage, yee, Ꟶ a goodly Hoste of the Heathen, Ꟶ howe I commaunded the, that thou shuldest call me father only, and not to shryncke fro me.
Jer.3.20	But lyke as a woman vnfaythfully fayleth her husbande, so are ye vnfaythfull vnto me (O ye house of Israel) sayeth the Lorde.
Jer.3.21	And therfore the voyce of the chyldren of Israel was herde on hye, wepinge and waylinge: for they haue defyled their waye, and forgotten God their Lorde.
Jer.3.22	O ye disobedient chyldren, turne agayne (sayinge: lo, we are thyne, for thou art the Lorde oure God:) And so shall I heale youre backturninges.
Jer.3.23	Truly vaynly trusteth he for helth that loketh for it in the hylles and in vayne is it sought in the multitude of the mountaynes, but the health of Israell standeth only vpon God oure Lorde.
Jer.3.24	Confusyon hath deuoured oure fathers laboure from oure youth vp: yee, their shepe and bullockes, their sonnes and daughters.
Jer.3.25	So do we also slepe in oure confusyon, and shame couereth vs: for we Ꟶ oure fathers from oure youth vp vnto this daye haue synned agaynst the Lorde oure God, and haue not obeyed the voyce of the Lorde oure God.
Jer.4.1	O Israel, yf thou wylt turne the, then turne vnto me, sayeth the Lorde. And yf thou wylt put awaye thyne abhominacyons out of my syght, thou shalt not be moued:
Jer.4.2	And shalt sweare: The Lord lyueth: in trueth, in equyte and ryghteousnesse: and all people shall be fortunable Ꟶ ioyfull in him.
Jer.4.3	For thus sayeth the Lorde, to all Iuda Ꟶ Ierusalem: plowe your lande, and sowe not amonge the thornes.
Jer.4.4	Be circumcysed in the Lorde, and cut awaye the foreskynne of youre hertes, all yee of Iuda, and all the indwellers of Ierusalem: that my indignacyon breake not out lyke fyre and kyndle, so that no man maye quench it, because of the wyckednes of youre ymaginacyons.
Jer.4.5	Preach in Iuda and Ierusalem, crye out and speake: blowe the trompettes in the lande, crye that euery man maye heare gather together, Ꟶ saye: Gather you together, and we will go into stronge cyties.
Jer.4.6	Set vp the token in Syon, spede you, and make no tarienge: for I wyll bringe a greate plage, and a greate destruccyon from the north.
Jer.4.7	For the spoyler of the Gentyles is broken vp from his place, as a lyon out of his denne, that he maye make thy lande waste, and destroy the cyties, so that no man maye dwel therin.
Jer.4.8	Wherfore, gyrd your selues aboute with sacke clothe, mourne, and wepe, for the fearful wrath of the Lord is not withdrawen from vs.
Jer.4.9	At the same tyme (sayth the Lorde) the herte of the kynge and of the princes shall be gone, the preastes shalbe astonisshed, and the Prophetes shalbe sore afrayed.
Jer.4.10	Then sayd I: O Lorde God, hast thou then disceyued this people and Ierusalem, saying: ye shal haue peace, and nowe the swearde goeth thorowe theyr lyues:
Jer.4.11	Then shall it be sayde to the people Ꟶ Ierusalem: a stronge wynde in the hye places of the wyldernesse commeth thorow the waye of my people, but neyther to fan, nor to cleanse.
Jer.4.12	After that, shall there come vnto me a stronge wynde from those places, and then wyll I also gyue sentence vpon them.
Jer.4.13	For lo, he commeth downe lyke as a cloude, and his charrettes are lyke a stormye wynde: His horsemen are swyfter then the Egle. Woo vnto vs, for we are destroyed.
Jer.4.14	O Ierusalem, wash thyne hert from wickednesse, that thou mayest be helped. How long shal thy noysom thoughtes remayne with the?
Jer.4.15	For a voyce from Dan and from the hyl of Ephraim speaketh out, and telleth of a destruction.
Jer.4.16	Remembre the Heythen, and gyue Ierusalem warnyng, and preache vnto her, that watchers ouer her are commyng from far countryes. They haue cryed out agaynst the cities of Iuda.
Jer.4.17	And they haue beset her aboute in euery place lyke as the watchmen in the feld: For they haue prouoked me to wrath, sayth the Lorde.
Jer.4.18	Thy wayes and thy thoughtes, haue brought the vnto this, suche is thyne owne wyckednesse and disobedyence: and bycause it is a bytter thing, it hath striken the to the hert
Jer.4.19	Ah my bely, ah my bely, (shalt thou cry) how is my hert so sore? my hert panteth within me: I cannot be styll, for I haue herde the crying of the trompettes, and peales of warre.
Jer.4.20	They crye: murther vpon murther, the hole lande shal perish. Immediatlye, my tentes were destroyed, and my hangynges in the twynkelynge of an eye.
Jer.4.21	How longe shall I se the tokens of warre, and heare the noyse of the trompettes?
Jer.4.22	Neuerthelesse, this shall come vpon them, bycause my people is become foolysshe, and hath not knowen me. They are the children of foolysshnesse, and without any discretion. To doo euyll, they haue wyt ynoughe: but to doo well, they haue no wysdome.
Jer.4.23	I haue loked vpon the erth, and se: it was waste and voyde. I loked towarde heauen, and it had no shyne.
Jer.4.24	I behelde the mountaynes, and lo, they trembled, and all the hylles were in a feare.
Jer.4.25	I loked aboute me, and there was no bodye, and all the byrdes of the ayre were awaye.
Jer.4.26	I marked wel, and the plowed felde was become waste: yea, all theyr cyties were broken downe at the presence of the Lorde, and indignacion of his wrath.
Jer.4.27	For thus hath the Lorde sayd: The whole lande shalbe desolate, yet wil I not then haue done.
Jer.4.28	And therfore, shall the earth mourne, Ꟶ the heauen be sory aboue: for the thynge that I haue spoken to the Prophetes purposed and taken vpon me to do, shall not repent me, and I wil not go from it.
Jer.4.29	The hole lande shall flye, for the noyse of the horsemen and bowemen: they shal runne into tentes, into woddes, and clyme vp the stonye rockes. All the cyties shall be voyde, and noman dwellyng therin.
Jer.4.30	What wylt thou now do, thou beinge destroyed? For though thou clothest thy selfe with scarlet, Ꟶ deckest the wt golde: though thou payntest thy face with colours now, yet shalt thou trym thy selfe in vayne. For those that hytherto haue bene thy greate fauourers, shall abhorre the, and goo about to slaye the.
Jer.4.31	For I heare a noyse, lyke as it were of a woman trauaylynge, or one labourynge of her fyrst chylde: Euen the voyse of the doughter Syon, that casteth out her armes. and swowneth, saying: Ah woo is me, how sore vexed and faint is my hert, for feare of the murtherers?
Jer.5.1	Loke thorowe Ierusalem, beholde and se: Seke thorowe her stretes also within, if ye can fynde one man that doeth equall and ryght, or seketh for the truthe, and I shall spare that cytie (sayeth the Lorde)
Jer.5.2	For though they can saye: the Lorde lyueth, yet they sweare to disceyue.
Jer.5.3	Where as thou (O Lord) lokest onely vpon fayth and truthe. Thou hast scourged them, but they toke no repentaunce: thou hast corrected them for amendement, but they refused thy correction. They made theyr faces harder then a stone, and wolde not amende.
Jer.5.4	Therfore I thought in my selfe: peraduenture they are so symple and foolysshe, that they vnderstand nothing of the Lordes way, and iudgementes of our God.
Jer.5.5	Therfore, wyll I go vnto theyr heedes Ꟶ rulers, Ꟶ talke with them: yf they knowe the waye of the Lord and the iudgementes of oure God. But these (in lyke maner) haue broken the yocke, and burst the bondes in sondre.
Jer.5.6	Wherfore, a Lyon out of the woodde hath hurte them, and a wolfe in the euenynge shall destroye them. The Leoparde doth lye lurkynge by theyre cytyes, to teare in peces all them that come thereout. For theyr offences are multyplyed, and theyr departynge awaye is encreased.
Jer.5.7	Shulde I then for al this haue mercy vpon the? Thy chyldren haue forsaken me, and sworne by them that are no goddes. And albeit that I fed them to the ful yet they fall to aduoutrye, and haunt harlottes houses.
Jer.5.8	In the desyre of vnclenly lust they are become lyke the stoned horse euery man neyeth at his neyghbours wyfe:
Jer.5.9	Shulde I not correct this, sayth the Lorde? Shulde I not be auenged of euery people, that is lyke vnto this?
Jer.5.10	Clyme vp vpon theyr walles, beate them downe, but destroye them not vtterly, take away theyr foretresses, bycause they are not the Lordes:
Jer.5.11	For vnfaythfully hath the house of Israel and Iuda forsaken me, sayth the Lorde:
Jer.5.12	They haue denyed the Lorde, and sayde: it is not he that loketh vpon vs Tush, there shal no misfortune come vpon vs: we shall see nether swerde ner hunger.
Jer.5.13	As for the warnynge of the Prophetes they take it but for wynde, yea, there is none of these whiche wyll tell them, that such thinges shall happen vnto them.
Jer.5.14	Wherfore, thus sayth the Lorde God of hoostes: bycause ye speake suche wordes, beholde: The wordes that are in thy mouth wyl I turne to fyre, and make the people to be wood, that the fyre maye consume them.
Jer.5.15	Lo, I wyll bryng a people vpon you from farre, O house of Israel (sayeth the Lorde) a myghty people, an old people, a people whose speach thou knowest not, neyther vnderstandest what they saye.
Jer.5.16	Theyr arowes are sodayne death: yea, they them selues be verye gyauntes.
Jer.5.17	This people shal eate vp thy frute Ꟶ thy meate, yea, they shall deuoure thy sonnes Ꟶ thy doughters, thy shepe Ꟶ thy bulockes. They shall eate vp thy grapes, Ꟶ fygges. As for thy strong Ꟶ wel defensed cyties, wherin thou dyddest trust, they shall brynge to pouertie, and that thorowe the swerde.
Jer.5.18	Neuerthelesse I wyll not then haue done with you, sayth the Lorde.
Jer.5.19	But yf they saye: wherfore doth the Lorde our God all this vnto vs? Then auswer them: bycause, that lyke as ye haue forsaken me, and serued straunge goddes in your owne lande, euen so shall ye serue other goddes also in a straunge lande.
Jer.5.20	Preache this vnto the house of Iacob, and crye it out in Iuda, and saye thus:
Jer.5.21	Heare this (thou folish Ꟶ vndiscret people) ye haue eyes but ye se not: eares haue ye, but ye heare not.
Jer.5.22	Feare ye not me, sayth the Lorde? Are ye not asshamed to loke me in the face? whiche bynde the see with the sande, so that it cannot passe his boundes. For though it rage, yet can it do nothynge, and thoughe the waues therof do swell, yet maye they not go ouer.
Jer.5.23	But this people hath a false and obstinate hert, they are departed and gone away fro m
Jer.5.24	They thynke not in theyr hertes: O let vs feare the Lord our God, that giueth vs rayne earlye and late, when nede is: whiche kepeth euer styll the haruest for vs yerly.
Jer.5.25	Neuerthelesse, your mysdedes haue turned these from you, and your synnes haue robbed you hereof.
Jer.5.26	For amonge my people are founde wicked persones, that priuily lay snares Ꟶ wayte for men, to take them Ꟶ destroye them.
Jer.5.27	And lyke as a net is full of byrdes, so are theyr houses ful of that whiche they haue gotten with falshed and disceyte. Herof commeth theyr great substaunce and richesse,
Jer.5.28	herof are they fat and welthy, and are more mischeuous then any other. They mynistre not the lawe, they make no ende of the fatherlesse cause, yea, and they prospere: yet they iudge not the poore accordynge to equytie.
Jer.5.29	Shulde I not punish these thinges, sayth the Lord? shulde not I be auenged of all suche people as these be?
Jer.5.30	Horryble Ꟶ greuous thynges are done in the lande.
Jer.5.31	The prophetes teache falsely, and the preestes receyue gyftes, Ꟶ my people hath pleasure therin: What wil come therof at the last?
Jer.6.1	Come out of Ierusalem, ye stronge chyldren of BenIamin: blowe vp the trompettes ye Tecuytes, set vp a token vnto Bethcaran, for a plage and a greate myserye appeareth out from the North.
Jer.6.2	I wyll lyken the doughter Sion to a fayre and tendre woman, and to her shall come the shepherdes with theyr flockes.
Jer.6.3	Theyr tentes shall they pytche rounde about her, and euery one shall fede them that are vnder his hande.
Jer.6.4	Make battayle agaynst her (shall they saye) Aryse, let vs go vp, whyle it is yet daye. Alas, the daye goeth away, and the night shadowes fall downe:
Jer.6.5	Aryse: let vs go vp by nyght, Ꟶ destroye her stronge holdes,
Jer.6.6	for thus hath the Lorde of hoostes commaunded. Hewe downe her trees, and set vp bulworkes agaynst Ierusalem, for the tyme is come that this cytie must be punysshed: for in her is all maliciousnesse.
Jer.6.7	Lyke as a condyte spouteth oute waters, so she spouteth out her wickednesse. Robberye Ꟶ vnrightousnesse is herde in her sorowe and woundes are euer there in my syght.
Jer.6.8	Amend the (O Ierusalem) lest I withdrawe my hert from the, Ꟶ make the desolate: Ꟶ thy land also, that noman dwel in it.
Jer.6.9	For thus saith the Lorde of hoostes. The residue of Israel shalbe gathered, as the remnaunt of grapes. And therfore turne thyne hande agayne into the basket, lyke the grape gatherer.
Jer.6.10	But vnto whom shall I speake, whom shall I warne that he maye take hede? Their eares are so vncircumcised, that they maye not heare. Beholde, they take the worde of God but for a scorne, Ꟶ haue no lust therto.
Jer.6.11	And therfore, I am so full of thyne indignacyon, (O Lord) that I maye suffre no longer. But shede it out vpon the chyldren that are without, and vpon all yonge men. Yee, the man must be taken presoner with the wyfe, Ꟶ the aged wyth the crepel.
Jer.6.12	Theyr houses with theyr landes Ꟶ wyues shallbe turned vnto straungers, when I stretch out myne hande vpon the inhabitatours of this land, sayeth the Lorde.
Jer.6.13	For from the leest vnto the most, they hange all vpon couetousnesse, Ꟶ from the prophete vnto the prest, they go all aboute with falsheed and lyes.
Jer.6.14	And besyde that, they heale the hurt of my people with swete wordes, sayeng: peace, peace, when there is no peace at all.
Jer.6.15	Were they ashamed when they hadd commytted abhomynacyon? Trulye nay they be past shame? And therfore they shall fall amonge the slayne, Ꟶ in the houre when I shall vyset them, they shall be brought downe, sayeth the Lorde.
Jer.6.16	Thus sayeth the Lord: go into the streates, consydre Ꟶ make inquisicyon for the olde waye: and yf it be the good and ryght waye, then go therin, that ye maye fynde rest for youre soules. But they saye: we wyll not walcke therin,
Jer.6.17	and I wyll sett wacthmen ouer you, Ꟶ therfore take hede vnto the voyce of the trompett. But they saye: we wyll not take hede.
Jer.6.18	Heare therfore ye Gentyles, Ꟶ thou congregacyon shalt knowe, what I haue deuysed for them.
Jer.6.19	Heare thou earth also: behold, I will cause a plage to come vpon this people, euen the frute of their awne imaginacions. For they haue not bene obedient vnto my wordes Ꟶ to my lawe, but abhorred them.
Jer.6.20	Wherfore, bryng ye me incense from Saba, Ꟶ swete smellyng Calamus from farre countrees? Your burnt offerynges dysplease me, Ꟶ I reioyce not in your sacrifyces.
Jer.6.21	And therfore thus sayeth the Lorde: behold, I wyll make this people fall, and there shall fall from among them the father wt the chyldren, one neyghboure shall peryshe wyth another.
Jer.6.22	Thus sayeth the Lord, Beholde, there shal come a people from the North, Ꟶ a great people shal aryse from the endes of the earth,
Jer.6.23	with bowes and with dartes shall they be weapened. It is a rough Ꟶ fearce people, Ꟶ Ꟶ an vnmercyfull people, theyr voyce roareth lyke the see, they ryde vpon horses well apointed to the battaill agaynst the, O daughter Sion.
Jer.6.24	The crye of them haue we herde. Oure armes are feble, heuynesse Ꟶ sorowe is come vp on vs, as vpon a woman trauelyng with chylde.
Jer.6.25	Let no man go forth into the felde, let no man come vpon the hye strete: for the swearde and feare of the enemy is on euery syde.
Jer.6.26	Wherfore, gyrde a sack cloth aboute the (O thou daughter of my people) sprynkle thy selfe wt asshes, mourne Ꟶ wepe bitterly as vpon thy only beloued sonne. For the destroyer shal sodenly fall vpon vs.
Jer.6.27	The haue I set for a stronge tower (o thou prophete) Ꟶ a well fensed wall amonge my people, to seke out and to trye theyr wayes.
Jer.6.28	For they are all stubberne apostates and fallen awaye, walkinge disceitfully, they are cleane brasse Ꟶ yron, for they hurt Ꟶ destroye euery man.
Jer.6.29	The bellous are brent in the fyre, the leade is not molten, the melter melteth in vayne for the euell is not taken awaye from them.
Jer.6.30	Therfore do they call them naughty syluer, because the Lorde hath cast them out.
Jer.7.1	These are the wordes that God spake vnto Ieremye: sayenge.
Jer.7.2	Stande vnder the gate of the Lordes house, and crye out these wordes there wt a loude voyce, and saye. Heare the worde of the Lord all ye of Iuda, that go in at this dore, to worshyppe the Lorde.
Jer.7.3	Thus sayeth the Lord of Hostes the God of Israell. Amende youre wayes Ꟶ your councels, and I wyll let you dwell in this place.
Jer.7.4	Trust not in false lyenge wordes, sayeng: here is the temple of the Lord, here is the temple of the Lord, here is the temple of the Lorde.
Jer.7.5	But rather in deade amende your wayes and councels, and iudge ryght betwixte a man and his neyghbour:
Jer.7.6	oppresse not the straunger, the fatherles, Ꟶ the wyddowe: shede not innocent bloud in thys place: cleue not to straunge goddes to your awne destruccion:
Jer.7.7	then wyll I let you dwell in this place, yee, in the land that I gaue afore tyme vnto youre fathers for euer.
Jer.7.8	But take hede: ye trust in lyinge tales, that begyle you Ꟶ do you no good.
Jer.7.9	For when ye haue stollen, murthured, commytted aduoutry, Ꟶ periury. When ye haue offred vnto Baal, folowyng straunge Ꟶ vnknowne goddes shall ye be vnpunyshed?
Jer.7.10	Yet then come ye, Ꟶ stande before me in this house, (which hath my name geuen vnto it) Ꟶ saye. Tush, we are absolued quite, thoughe we haue done all these abhominacyons.
Jer.7.11	What? thyncke you this house that beareth my name, is a denne of theues? And yea I se what you thynke, sayeth the Lorde.
Jer.7.12	Go to my place in Siloh, wherunto I gaue my name a fore tyme, and loke well what I dyd to the same place for the wyckednes of my people of Israell.
Jer.7.13	And nowe, though ye haue done all these dedes (sayeth the Lorde) and I my self rose vp euer by tymes to warne you Ꟶ to comen with you, yet wolde ye not heare me. I called, ye wolde not answere.
