Mic.5.1	After that shalt thou be robbed thy selfe, O thou robbers daughter: they shall laye sege agaynst vs, Ꟶ smyte the iudge of Israel wt a rodde vpon the cheke.
Mic.5.2	And thou Bethleem Ephrata, art lytle amonge the thou sandes of Iuda, Out of the shal come vnto me, which shal be the gouernoure in Israel: whose out goynge hath bene from the begynning, Ꟶ from euerlastynge.
Mic.5.3	In the meane whyle he plageth them for a season, vntyll the tyme that she (which shall beare) haue borne: then shall the remnaunt of his brethren be conuerted vnto the children of Israel.
Mic.5.4	He shall stande fast, and geue fode in the strength of the Lord, and in the victory of the name of the Lord his God: and when they be conuerted, he shall be magnified vnto the farthest partes of the worlde.
Mic.5.5	Then shall there be peace, so that the Assyrian maye come into youre lande, Ꟶ treade in youre houses. We shall bringe vp seuen shepherdes and .viii. princes vpon them:
Mic.5.6	these shall subdue the land of Assur wt the swerde, and the lande of Nymrod with their naked weapens. Thus shal he deliuer vs from the Assirian, when he commeth within oure land, and setteth his fote within oure borders.
Mic.5.7	And the remnaunt of Iacob shall be amonge the multitude of people, as the dewe of the Lorde, and as the droppes vpon the grasse, that tarieth for no man, and wayteth of no body.
Mic.5.8	Yee, the residue of Iacob shalbe amonge the Gentiles and the multitude of people, as the lyon amonge the beastes of the wodd, and as the Lyons whelpe amonge a flocke of shepe: which (when he goeth thorowe) treadeth downe, teareth in peces, and there is no man that can helpe.
Mic.5.9	Thyne hand shalbe lift vp vpon thyne enemyes, and all thyne aduersaries shall perish.
Mic.5.10	The tyme shall come also, sayeth the Lord, that I will take thine horses from the, and destroye thy charettes.
Mic.5.11	I wil breake downe the cityes of thy lande, and ouerthrowe all thy stronge holdes.
Mic.5.12	All witchcraftes wyll I rote oute of thyne hande, there shall no mo sothsayinges be within the.
Mic.5.13	Thine Idols and thyne Images will I destroye out of the so that thou shalt nomore bowe thy selfe vnto the worckes of thyne awne handes.
Mic.5.14	Thy groues will I plucke vp by the rotes, Ꟶ breake downe the cities.
Mic.5.15	Thus will I be auenged also, vpon all the Heathen that will not heare.
Mic.6.1	Herken now what the Lord sayeth: Up, reproue the mountaynes, Ꟶ lett the hylles heare thy voyce.
Mic.6.2	O heare the punishement of the Lord, ye mountaynes, Ꟶ ye mightie foundacions of the earth: for the Lord will reproue his people, Ꟶ reason wt Israel.
Mic.6.3	O my people, what haue I done vnto the? or wherin haue I hurte the? geue me answere.
Mic.6.4	Because I brought the from the lande of Egipte, and deliuered the out of the house of bondage? Because I made Moses, Aaron and Miriam to lede the?
Mic.6.5	Remembre (O my people) what Balach the kyng of Moab had Imagyned agaynst the and what answere that Balaam the sonne of Beor gaue him, from Sethim vnto Galgal, that ye maye knowe the louyng kyndnesses of the Lorde.
Mic.6.6	What acceptable thinge shall I offre vnto the Lord? shal I bowe my knee to the hie God? Shall I come before hym with brentoffrynges, and wyth calues of a yeare olde?
Mic.6.7	Hath the Lord a pleasure in many thousand rammes, or innumerable streames of oyle? Or shall I geue my fyrst borne for myne offences, Ꟶ the frute of my body for the synne of my soule?
Mic.6.8	I will shewe the, O man, what is good, Ꟶ what the Lorde requyreth of the Namely, to do right, to haue pleasure in louinge kyndnesse, to be lowly, Ꟶ to walcke wt thy God,
Mic.6.9	The Lordes voyce crieth vnto the citye, Ꟶ the man that shall be saued considerethe thy name (O Lorde) Herken what is your rodde, Ꟶ here him that warnith you?
Mic.6.10	Shuld I not be displeased, for the vnrightuous good in the houses of the wycked, Ꟶ because the measure his mynished?
Mic.6.11	Or shulde I iustifie the false balaunces and the bagge of disceatfull weyghtes,
Mic.6.12	amonge those that be full of riches vnryghtuously gotten: where the cytesins deale with falshede, speake lyes, Ꟶ haue disceatfull tunges in their mouthes?
Mic.6.13	Therfore, I will take in hande to punish the, Ꟶ to make the desolate, because of thy sinnes.
Mic.6.14	Thou shalt eate, Ꟶ not haue ynough: yee, thou shalt bringe thy selfe downe. Thou shalt fle, but not escape: Ꟶ those that thou woldest saue, will I delyuer to the swerde.
Mic.6.15	Thou shalt sowe, but not reape: thou shalt presse out oliues, but oyle shalt thou not haue to anoynte thy selfe withall: thou shalt treade out swete must, but shalt dryncke no wyne.
Mic.6.16	Ye kepe the ordinaunces of Amri, and all the customes of the house of Ahab: ye folowe their pleasures, therfore wyll I make the waste, and cause thy inhabyters to be abhorred, O my people: Ꟶ thus shalt thou beare thyne awne shame.
Mic.7.1	Wo is me: I am become as one, that goeth a gleanynge in the haruest, There are no mo grapes to eate, yet wold I fayne (wyth all my herte) haue of the best frute.
Mic.7.2	There is not a godly man vpon earth, there is not one rightuous amonge men. They laboure all to shed bloud, and euery man hunteth his brother to death:
Mic.7.3	yet they saye they do well when they do euel. As the prince will, so sayeth the iudge: that he maye do him a pleasure agayne. The greate man speaketh what his herte desireth: Ꟶ the hearers alowe him.
Mic.7.4	The best of them is but as a thistle, Ꟶ the most rightuous of them is but as a breer in the hedge. But when the daye of thy preachers commeth, that thou shalt be visyted: then shall they be wasted awaye.
Mic.7.5	Let no man beleue his frende, ner put hys confydence in a brother. Kepe the porte of thy mouth from her that lyeth in thy bosome:
Mic.7.6	for the sonne shal put his father to dyshonoure, the daughter shall rise agaynst her mother, the daughter in lawe against her mother in lawe: and a mans foes shalbe euen they of hys awne housholde.
Mic.7.7	Neuerthelesse, I will loke vp vnto the Lord I wyll paciently abyde God my sauyoure: my God shal heare me.
Mic.7.8	O thou enemye of myne, reioyce not at my fall, for I shall get vp agayne: Ꟶ though I sytt in darcknesse, yet the Lorde is my lyght.
Mic.7.9	I wyll beare the punishement of the Lord (for why, I haue offended him) tyll he syt in iudgement vpon my cause, Ꟶ se that I haue right. He wyll bryng me forth to the lyght, Ꟶ I shall se his rightuousnesse.
Mic.7.10	She that is myne enemy shal loke vpon it, Ꟶ be confounded, which now saieth. Where is thy Lord God? Myne eyes shall beholde her, when she shalbe troden downe, as the claye in the stretes.
Mic.7.11	The tyme will come, that thy gappes shal be made vp, Ꟶ the lawe shal go abrode:
Mic.7.12	Ꟶ at that tyme shal they come vnto the from Assur vnto the stronge cityes, Ꟶ from the stronge cityes vnto the ryuer: from the one see to the other, from the one mountayne to the other.
Mic.7.13	Notwythstandynge, the land must be wasted, because of them that dwell therin, and for the frutes of their awne Imaginacions.
Mic.7.14	Therfore fede thy people with thy rodde, the flocke of thine heritage which dwel desolate in the wodde: that they maye be fedde vpon the mount of Charmell, Basan Ꟶ Galaad as afore time.
Mic.7.15	Maruelous thinges wil I shewe them, lyke as when they came oute of Egipte
Mic.7.16	Thys shall the Heathen se, and be ashamed for all their power, so that they shall laye their hande vpon their mouth, and stoppe their eares.
Mic.7.17	They shal lycke the dust lyke a serpent, Ꟶ as the wormes of the earth, that tremble in their holes. They shalbe afrayed of the Lord oure God, Ꟶ they shall feare the.
Mic.7.18	Where is there soch a God as thou? that pardonest wyckednes, and forgeuest the offences of the remnaunt of thyne herytage? He kepeth not his wrath for euer: and why? his delite is to haue compassion:
Mic.7.19	he shal turne agayne, and be mercyfull to vs: he shal put downe oure wyckednesses, and cast all oure synnes into the botome of the see.
Mic.7.20	Thou shalt kepe thy trust with Iacob, Ꟶ thy mercy for Abraham, lyke as thou hast sworne vnto oure fathers longe agoo.
Mic.0.0	¶ The ende of the prophecy of Micheas.
